t_s,N_rpm,N_frac,EGT_K,T04_K,P3_Pa,Wf_kg_s,thrust_N,W_kg_s,vib_um,T_metal_K
0.00,2274,0.0314,288.4,288.4,99428,0.00000,0.0,0.0216,0.0,288.2
0.05,2372,0.0327,288.5,288.5,99440,0.00000,0.0,0.0226,0.0,288.2
0.10,2469,0.0341,288.5,288.5,99453,0.00000,0.0,0.0236,0.0,288.2
0.15,2566,0.0354,288.5,288.5,99465,0.00000,0.0,0.0246,0.0,288.2
0.20,2662,0.0367,288.5,288.5,99479,0.00000,0.0,0.0255,0.0,288.2
0.25,2758,0.0380,288.6,288.6,99493,0.00000,0.0,0.0265,0.0,288.2
0.30,2853,0.0394,288.6,288.6,99507,0.00000,0.0,0.0274,0.0,288.2
0.35,2948,0.0407,288.6,288.6,99521,0.00000,0.0,0.0284,0.0,288.2
0.40,3042,0.0420,288.7,288.7,99536,0.00000,0.0,0.0293,0.0,288.2
0.45,3135,0.0432,288.7,288.7,99552,0.00000,0.0,0.0302,0.0,288.2
0.50,3227,0.0445,288.7,288.7,99568,0.00000,0.0,0.0312,0.0,288.2
0.55,3319,0.0458,288.8,288.8,99584,0.00000,0.0,0.0321,0.0,288.2
0.60,3410,0.0470,288.8,288.8,99600,0.00000,0.0,0.0330,0.0,288.2
0.65,3501,0.0483,288.8,288.8,99617,0.00000,0.0,0.0339,0.0,288.2
0.70,3590,0.0495,288.9,288.9,99634,0.00000,0.0,0.0348,0.0,288.2
0.75,3679,0.0507,288.9,288.9,99652,0.00000,0.0,0.0357,0.0,288.2
0.80,3767,0.0520,288.9,288.9,99669,0.00000,0.0,0.0366,0.0,288.2
0.85,3855,0.0532,289.0,289.0,99687,0.00000,0.0,0.0375,0.0,288.2
0.90,3942,0.0544,289.0,289.0,99705,0.00000,0.0,0.0383,0.0,288.2
0.95,4027,0.0556,289.0,289.0,99724,0.00000,0.0,0.0392,0.0,288.2
1.00,4113,0.0567,289.1,289.1,99743,0.00000,0.0,0.0400,0.0,288.2
1.05,4197,0.0579,289.1,289.1,99762,0.00000,0.0,0.0409,0.0,288.2
1.10,4281,0.0590,289.1,289.1,99781,0.00000,0.0,0.0417,0.0,288.2
1.15,4363,0.0602,289.2,289.2,99800,0.00000,0.0,0.0426,0.0,288.2
1.20,4446,0.0613,289.2,289.2,99820,0.00000,0.0,0.0434,0.0,288.2
1.25,4527,0.0624,289.3,289.3,99840,0.00000,0.0,0.0442,0.0,288.3
1.30,4607,0.0635,289.3,289.3,99860,0.00000,0.0,0.0450,0.0,288.3
1.35,4687,0.0646,289.3,289.3,99880,0.00000,0.0,0.0458,0.0,288.3
1.40,4766,0.0657,289.4,289.4,99900,0.00000,0.0,0.0466,0.0,288.3
1.45,4844,0.0668,289.4,289.4,99921,0.00000,0.0,0.0474,0.0,288.3
1.50,4921,0.0679,289.4,289.4,99941,0.00000,0.0,0.0482,0.0,288.3
1.55,4997,0.0689,289.5,289.5,99962,0.00000,0.0,0.0489,0.0,288.3
1.60,5073,0.0700,289.5,289.5,99982,0.00000,0.0,0.0497,0.0,288.3
1.65,5148,0.0710,289.6,289.6,100003,0.00000,0.0,0.0504,0.0,288.3
1.70,5222,0.0720,289.6,289.6,100024,0.00000,0.0,0.0512,0.0,288.3
1.75,5295,0.0730,289.6,289.6,100045,0.00000,0.0,0.0519,0.0,288.3
1.80,5367,0.0740,289.7,289.7,100066,0.00000,0.0,0.0527,0.0,288.3
1.85,5439,0.0750,289.7,289.7,100087,0.00000,0.0,0.0534,0.0,288.3
1.90,5509,0.0760,289.8,289.8,100109,0.00000,0.0,0.0541,0.0,288.4
1.95,5579,0.0770,289.8,289.8,100130,0.00000,0.0,0.0548,0.0,288.4
2.00,5648,0.0779,289.8,289.8,100151,0.00000,0.0,0.0555,0.0,288.4
2.05,5717,0.0789,289.9,289.9,100172,0.00000,0.0,0.0562,0.0,288.4
