t_s,N_rpm,N_frac,EGT_K,T04_K,P3_Pa,Wf_kg_s,thrust_N,W_kg_s,vib_um,T_metal_K
0.00,2274,0.0314,288.4,288.4,99412,0.00000,0.0,0.0194,0.0,288.2
0.05,2374,0.0327,288.4,288.4,99422,0.00000,0.0,0.0203,0.0,288.2
0.10,2472,0.0341,288.5,288.5,99434,0.00000,0.0,0.0212,0.0,288.2
0.15,2570,0.0354,288.5,288.5,99445,0.00000,0.0,0.0221,0.0,288.2
0.20,2668,0.0368,288.5,288.5,99457,0.00000,0.0,0.0230,0.0,288.2
0.25,2765,0.0381,288.5,288.5,99469,0.00000,0.0,0.0238,0.0,288.2
0.30,2861,0.0395,288.6,288.6,99482,0.00000,0.0,0.0247,0.0,288.2
0.35,2957,0.0408,288.6,288.6,99495,0.00000,0.0,0.0256,0.0,288.2
0.40,3052,0.0421,288.6,288.6,99508,0.00000,0.0,0.0264,0.0,288.2
0.45,3147,0.0434,288.7,288.7,99522,0.00000,0.0,0.0273,0.0,288.2
0.50,3241,0.0447,288.7,288.7,99536,0.00000,0.0,0.0281,0.0,288.2
0.55,3335,0.0460,288.7,288.7,99550,0.00000,0.0,0.0290,0.0,288.2
0.60,3428,0.0473,288.8,288.8,99565,0.00000,0.0,0.0298,0.0,288.2
0.65,3520,0.0486,288.8,288.8,99580,0.00000,0.0,0.0306,0.0,288.2
0.70,3612,0.0498,288.8,288.8,99596,0.00000,0.0,0.0315,0.0,288.2
0.75,3703,0.0511,288.9,288.9,99611,0.00000,0.0,0.0323,0.0,288.2
0.80,3794,0.0523,288.9,288.9,99627,0.00000,0.0,0.0331,0.0,288.2
0.85,3883,0.0536,288.9,288.9,99643,0.00000,0.0,0.0339,0.0,288.2
0.90,3973,0.0548,289.0,289.0,99660,0.00000,0.0,0.0347,0.0,288.2
0.95,4061,0.0560,289.0,289.0,99677,0.00000,0.0,0.0355,0.0,288.2
1.00,4149,0.0572,289.0,289.0,99694,0.00000,0.0,0.0363,0.0,288.2
1.05,4236,0.0584,289.1,289.1,99711,0.00000,0.0,0.0371,0.0,288.2
1.10,4322,0.0596,289.1,289.1,99729,0.00000,0.0,0.0378,0.0,288.2
1.15,4408,0.0608,289.1,289.1,99746,0.00000,0.0,0.0386,0.0,288.2
1.20,4493,0.0620,289.2,289.2,99764,0.00000,0.0,0.0394,0.0,288.2
1.25,4577,0.0631,289.2,289.2,99782,0.00000,0.0,0.0401,0.0,288.2
1.30,4661,0.0643,289.3,289.3,99801,0.00000,0.0,0.0409,0.0,288.3
1.35,4744,0.0654,289.3,289.3,99819,0.00000,0.0,0.0416,0.0,288.3
1.40,4826,0.0666,289.3,289.3,99838,0.00000,0.0,0.0424,0.0,288.3
1.45,4907,0.0677,289.4,289.4,99857,0.00000,0.0,0.0431,0.0,288.3
1.50,4988,0.0688,289.4,289.4,99876,0.00000,0.0,0.0438,0.0,288.3
1.55,5068,0.0699,289.4,289.4,99895,0.00000,0.0,0.0446,0.0,288.3
1.60,5147,0.0710,289.5,289.5,99914,0.00000,0.0,0.0453,0.0,288.3
1.65,5226,0.0721,289.5,289.5,99933,0.00000,0.0,0.0460,0.0,288.3
1.70,5303,0.0731,289.6,289.6,99953,0.00000,0.0,0.0467,0.0,288.3
1.75,5380,0.0742,289.6,289.6,99973,0.00000,0.0,0.0474,0.0,288.3
1.80,5457,0.0753,289.6,289.6,99992,0.00000,0.0,0.0481,0.0,288.3
1.85,5532,0.0763,289.7,289.7,100012,0.00000,0.0,0.0488,0.0,288.3
1.90,5607,0.0773,289.7,289.7,100032,0.00000,0.0,0.0494,0.0,288.3
1.95,5681,0.0784,289.8,289.8,100052,0.00000,0.0,0.0501,0.0,288.4
2.00,5754,0.0794,289.8,289.8,100072,0.00000,0.0,0.0508,0.0,288.4
2.05,5827,0.0804,289.8,289.8,100092,0.00000,0.0,0.0514,0.0,288.4
2.10,5899,0.0814,289.9,289.9,100112,0.00000,0.0,0.0521,0.0,288.4
2.15,5970,0.0823,289.9,289.9,100132,0.00000,0.0,0.0527,0.0,288.4
2.20,6040,0.0833,289.9,289.9,100153,0.00000,0.0,0.0533,0.0,288.4
2.25,6110,0.0843,290.0,290.0,100173,0.00000,0.0,0.0540,0.0,288.4
2.30,6179,0.0852,290.0,290.0,100193,0.00000,0.0,0.0546,0.0,288.4
2.35,6247,0.0862,290.1,290.1,100214,0.00000,0.0,0.0552,0.0,288.4
2.40,6314,0.0871,290.1,290.1,100234,0.00000,0.0,0.0558,0.0,288.4
2.45,6381,0.0880,290.1,290.1,100254,0.00000,0.0,0.0564,0.0,288.5
2.50,6447,0.0889,290.2,290.2,100274,0.00000,0.0,0.0570,0.0,288.5
2.55,6512,0.0898,290.2,290.2,100295,0.00000,0.0,0.0576,0.0,288.5
2.60,6577,0.0907,290.3,290.3,100315,0.00000,0.0,0.0582,0.0,288.5
2.65,6641,0.0916,290.3,290.3,100335,0.00000,0.0,0.0588,0.0,288.5
2.70,6704,0.0925,290.3,290.3,100355,0.00000,0.0,0.0593,0.0,288.5
2.75,6766,0.0933,290.4,290.4,100376,0.00000,0.0,0.0599,0.0,288.5
2.80,6828,0.0942,290.4,290.4,100396,0.00000,0.0,0.0605,0.0,288.5
2.85,6889,0.0950,290.4,290.4,100416,0.00000,0.0,0.0610,0.0,288.5
2.90,6949,0.0959,290.5,290.5,100436,0.00000,0.0,0.0615,0.0,288.6
2.95,7009,0.0967,290.5,290.5,100456,0.00000,0.0,0.0621,0.0,288.6
3.00,7068,0.0975,290.5,290.5,100476,0.00000,0.0,0.0626,0.0,288.6
3.05,7126,0.0983,290.6,290.6,100496,0.00000,0.0,0.0631,0.0,288.6
3.10,7183,0.0991,290.6,290.6,100516,0.00000,0.0,0.0637,0.0,288.6
3.15,7240,0.0999,290.7,290.7,100535,0.00000,0.0,0.0642,0.0,288.6
3.20,7296,0.1006,290.7,290.7,100555,0.00000,0.0,0.0647,0.0,288.6
3.25,7352,0.1014,290.7,290.7,100575,0.00000,0.0,0.0652,0.0,288.6
3.30,7424,0.1024,617.9,618.1,101468,0.00023,0.3,0.0332,0.0,289.9
3.35,7496,0.1034,617.9,618.1,101468,0.00023,0.3,0.0332,0.0,291.1
3.40,7569,0.1044,617.9,618.1,101468,0.00023,0.3,0.0332,0.0,292.3
3.45,7642,0.1054,617.9,618.1,101468,0.00023,0.3,0.0332,0.0,293.6
3.50,7715,0.1064,617.9,618.1,101468,0.00023,0.3,0.0332,0.0,294.8
3.55,7788,0.1074,617.9,618.1,101468,0.00023,0.3,0.0332,0.0,296.0
3.60,7862,0.1084,617.9,618.1,101468,0.00023,0.3,0.0332,0.0,297.2
3.65,7936,0.1095,617.9,618.1,101468,0.00023,0.3,0.0332,0.0,298.4
3.70,8009,0.1105,837.7,838.4,101826,0.00043,0.5,0.0360,0.0,300.4
3.75,8082,0.1115,837.7,838.4,101826,0.00043,0.5,0.0360,0.0,302.4
3.80,8155,0.1125,837.7,838.4,101826,0.00043,0.5,0.0360,0.0,304.3
3.85,8229,0.1135,1020.5,1021.6,101968,0.00061,0.6,0.0369,0.0,307.0
3.90,8304,0.1145,1020.5,1021.6,101968,0.00061,0.6,0.0369,0.0,309.6
3.95,8379,0.1156,1020.5,1021.6,101968,0.00061,0.6,0.0369,0.0,312.3
4.00,8455,0.1166,1150.3,1151.7,102114,0.00076,0.7,0.0384,0.0,315.4
4.05,8533,0.1177,1198.4,1200.0,102166,0.00082,0.8,0.0388,0.0,318.6
4.10,8610,0.1188,1198.3,1200.0,102214,0.00085,0.8,0.0399,0.0,321.8
4.15,8687,0.1198,1198.2,1200.0,102263,0.00087,0.9,0.0410,0.0,325.1
4.20,8764,0.1209,1198.1,1200.0,102310,0.00089,0.9,0.0421,0.0,328.3
4.25,8841,0.1219,1198.0,1200.0,102358,0.00091,1.0,0.0431,0.0,331.4
4.30,8918,0.1230,1197.9,1200.0,102406,0.00093,1.0,0.0441,0.0,334.6
4.35,8995,0.1241,1197.8,1200.0,102454,0.00096,1.1,0.0451,0.0,337.7
4.40,9072,0.1251,1197.7,1200.0,102502,0.00098,1.1,0.0461,0.0,340.8
4.45,9149,0.1262,1197.7,1200.0,102547,0.00099,1.1,0.0469,0.0,343.9
4.50,9227,0.1273,1197.6,1200.0,102593,0.00101,1.2,0.0478,0.0,347.0
4.55,9304,0.1283,1197.5,1200.0,102638,0.00103,1.2,0.0487,0.0,350.0
4.60,9382,0.1294,1197.4,1200.0,102685,0.00105,1.3,0.0496,0.0,353.1
4.65,9460,0.1305,1197.3,1200.0,102732,0.00107,1.3,0.0505,0.0,356.1
4.70,9538,0.1316,1197.2,1200.0,102779,0.00109,1.4,0.0513,0.0,359.1
4.75,9616,0.1326,1197.1,1200.0,102827,0.00110,1.4,0.0522,0.0,362.1
4.80,9695,0.1337,1197.0,1200.0,102873,0.00112,1.5,0.0530,0.0,365.0
4.85,9773,0.1348,1197.0,1200.0,102920,0.00114,1.5,0.0538,0.0,368.0
4.90,9852,0.1359,1196.9,1200.0,102966,0.00116,1.6,0.0546,0.0,370.9
4.95,9931,0.1370,1196.8,1200.0,103014,0.00117,1.6,0.0554,0.0,373.8
5.00,10011,0.1381,1196.7,1200.0,103062,0.00119,1.6,0.0562,0.0,376.7
5.05,10090,0.1392,1196.6,1200.0,103110,0.00121,1.7,0.0570,0.0,379.6
5.10,10170,0.1403,1196.5,1200.0,103159,0.00122,1.7,0.0578,0.0,382.4
5.15,10250,0.1414,1196.4,1200.0,103209,0.00124,1.8,0.0586,0.0,385.2
5.20,10331,0.1425,1196.3,1200.0,103259,0.00126,1.8,0.0594,0.0,388.0
5.25,10411,0.1436,1196.2,1200.0,103310,0.00127,1.9,0.0602,0.0,390.8
