# x_mm,r_mm (meridional shroud curve incl. clearance)
0.000000000000000000e+00,4.202160193143593148e+01
1.987429331179614733e+00,4.211345260880450780e+01
3.918107235229366214e+00,4.238044228963008919e+01
5.793727784600892328e+00,4.280972744699251109e+01
7.615985051745830958e+00,4.338846455397160184e+01
9.386573109115822433e+00,4.410381008364716848e+01
1.110718602916249864e+01,4.494292050909899672e+01
1.277951788433750480e+01,4.589295230340695753e+01
1.440526274709247190e+01,4.694106193965085083e+01
1.598611468987903805e+01,4.807440589091049077e+01
1.752376778514885203e+01,4.928014063026570568e+01
1.901991610535353772e+01,5.054542263079629549e+01
2.047625372294473678e+01,5.185740836558210276e+01
2.189447471037408377e+01,5.320325430770292030e+01
2.327627314009322390e+01,5.457011693023858356e+01
2.462334308455379173e+01,5.594515270626891379e+01
2.593737861620742535e+01,5.731551810887371090e+01
2.722007380750575933e+01,5.866836961113282456e+01
2.847312273090043888e+01,5.999086368612603337e+01
2.969821945884309500e+01,6.127015680693319410e+01
3.089705806378536224e+01,6.249340544663410668e+01
3.207133261817889291e+01,6.364776607830859234e+01
3.322273719447530738e+01,6.472039517503647232e+01
3.435296586512625083e+01,6.569844920989754655e+01
