# x_mm,y_mm,z_mm
3.107331859119755180e+01,2.620748423736006316e+01,-2.682395317145814806e-01
3.159859608058078351e+01,2.690594372362474118e+01,-4.707376155967235576e-02
3.213004047646997208e+01,2.760990863889772839e+01,2.629377715941920712e-01
3.265915388272365050e+01,2.830368579649775285e+01,6.808143168215091690e-01
3.320475805180443984e+01,2.900903321997076745e+01,1.200462193694320501e+00
3.371190717263728232e+01,2.975373863952405173e+01,1.794375458911845911e+00
3.421299649675144394e+01,3.050858567826447754e+01,2.412823877254466787e+00
3.473053290687318650e+01,3.127708892813221198e+01,3.065679235830951921e+00
3.527097781453185377e+01,3.208156670466441795e+01,3.771744888294566334e+00
3.575929034265395501e+01,3.293150537228180497e+01,4.517872477649884644e+00
3.624940777120013280e+01,3.377274103420093354e+01,5.283314379081538448e+00
3.675922835921718246e+01,3.463399302282182646e+01,6.095908562040362355e+00
3.723350496191630299e+01,3.552932883967273625e+01,6.953635961368864749e+00
3.768150641558057856e+01,3.642656957886497793e+01,7.834955976064814642e+00
3.813607364093368091e+01,3.732230219695828310e+01,8.746065084090666630e+00
3.857928292213281907e+01,3.823721478649796524e+01,9.702269773706483136e+00
3.896770890203815441e+01,3.916126880669288823e+01,1.068570716133491239e+01
3.935350085869264092e+01,4.006463322932174975e+01,1.167952739228684678e+01
3.974844817597310964e+01,4.097481449899544970e+01,1.271443715543606956e+01
4.006863180715166095e+01,4.189471322986787527e+01,1.377679624243786272e+01
4.037871178518386017e+01,4.278470911020581724e+01,1.483642770814472556e+01
4.069050922785338287e+01,4.366550818416063606e+01,1.591788392729283430e+01
4.096507588649159004e+01,4.454412148596293264e+01,1.702219181599506470e+01
4.119661707518010019e+01,4.540256669128643807e+01,1.812661055494451290e+01
4.142343174319544374e+01,4.623149318928885521e+01,1.922373670640882537e+01
4.165034119008618063e+01,4.704912426405112313e+01,2.033657651764831087e+01
4.181567769337610940e+01,4.785348188701628658e+01,2.145305661840546563e+01
4.196306470803702382e+01,4.862233316926696602e+01,2.254702424899005919e+01
4.210665465067914681e+01,4.936245885887202434e+01,2.362703969446697627e+01
4.224849398059213001e+01,5.008491480909727755e+01,2.470769805599869429e+01
4.233873490046420329e+01,5.078681769406043855e+01,2.577823144347638618e+01
4.241066050198469384e+01,5.145211387081193521e+01,2.681535096086468073e+01
4.247959926063881397e+01,5.208608390290348211e+01,2.782560520849460062e+01
4.254591161659970311e+01,5.269194206976269612e+01,2.881173801028070258e+01
4.260809187078707794e+01,5.327887982738777595e+01,2.978687927943197877e+01
4.261901099265539727e+01,5.383867955642489989e+01,3.073320252513604345e+01
4.262836053966275074e+01,5.436008164419273214e+01,3.163119648947037632e+01
4.263687365304129884e+01,5.485340732261726515e+01,3.249611521605815767e+01
4.264460464520261240e+01,5.531912380361391257e+01,3.332662326784652862e+01
4.265160974610718370e+01,5.575777604748479632e+01,3.412161763929789515e+01
4.265678016626657865e+01,5.609095479502685322e+01,3.492034777234268006e+01
3.063081041002292793e+01,2.654016356395737475e+01,-2.646589905738118698e-01
3.118020620570748846e+01,2.722141637180782325e+01,-3.996208553282676323e-02
3.172402604690147143e+01,2.791617024385976009e+01,2.740074306608517585e-01
3.225341381864427603e+01,2.860978701922406131e+01,6.957514503637186598e-01
3.278087705061018653e+01,2.930556811348719748e+01,1.208412809251424580e+00
3.326471998792764140e+01,3.004045489756684617e+01,1.790957982535551940e+00
3.375130226182714210e+01,3.080048934254658022e+01,2.409825801297360570e+00
3.425487086770302625e+01,3.157635377979847391e+01,3.065327407229145873e+00
3.477057244119930601e+01,3.237119469162649210e+01,3.759880861146288389e+00
3.523541319335932798e+01,3.321327337365534760e+01,4.496045450351993544e+00
3.571087212558020951e+01,3.406342748794648401e+01,5.267014981972344856e+00
3.619931970193785986e+01,3.492122109799233698e+01,6.074698490884138380e+00
3.664910932840093238e+01,3.580598213855147804e+01,6.921315156080473763e+00
3.707867135556146820e+01,3.670407419444882180e+01,7.803416334146492161e+00
3.751547845524580538e+01,3.760109872759156247e+01,8.717104724276826033e+00
3.793568503221381150e+01,3.850363998512833064e+01,9.662923469443745361e+00
3.830445123987312428e+01,3.941987185018239614e+01,1.064174151376329824e+01
3.867658712856132297e+01,4.032710209306585369e+01,1.164532523583245194e+01
3.905222908189878694e+01,4.122347262040250371e+01,1.267167945374636417e+01
3.935451014972124995e+01,4.212766810505107884e+01,1.372419193457374398e+01
3.965409012246174569e+01,4.301736953931325758e+01,1.479371474561141753e+01
3.995436688074468634e+01,4.388946647929594747e+01,1.587648558838577095e+01
4.021662721864178991e+01,4.475024553952533068e+01,1.697165275771690318e+01
4.044058506822349841e+01,4.559805094905122758e+01,1.807709830643755566e+01
4.066418999499105524e+01,4.642347993166759323e+01,1.918602061119602809e+01
4.088623866226176773e+01,4.722458979068467499e+01,2.029396771237472663e+01
4.104853560111615707e+01,4.800933302525989887e+01,2.140150992924456119e+01
4.119812469617687611e+01,4.877023163730116551e+01,2.250358429694684403e+01
4.134642703232839267e+01,4.950433012570081814e+01,2.359527867788822064e+01
4.149251025182203279e+01,5.021039414181504412e+01,2.467241756422959753e+01
4.158871237783871777e+01,5.089288788265375985e+01,2.573446063353391722e+01
4.167030271481743142e+01,5.154865314024580414e+01,2.677825183995480529e+01
4.175078833191733452e+01,5.217583392805972409e+01,2.779957406882451920e+01
4.182979195076199375e+01,5.277419932975178796e+01,2.879557407024041282e+01
4.190439896736612013e+01,5.334358509159488904e+01,2.976329802554241866e+01
4.192954620067855132e+01,5.388661337886411218e+01,3.070253395347188885e+01
4.195473758306440004e+01,5.440167884409780186e+01,3.161070854819454823e+01
4.197956358189584591e+01,5.488877089137218945e+01,3.248548582232095328e+01
4.200379706583855466e+01,5.534837734467527781e+01,3.332547315225082940e+01
4.202738190447335853e+01,5.578107879971774707e+01,3.412954771408289645e+01
4.204985746066410002e+01,5.610801937085539493e+01,3.493601347104296195e+01
2.769923058340159727e+01,3.083873082116988229e+01,-2.094836695846687968e-01
2.824382555223633773e+01,3.145644500413777322e+01,1.608912894933068882e-01
2.877684659218190788e+01,3.208150716103358491e+01,6.162725745274706401e-01
2.929055658081406577e+01,3.269813628175931797e+01,1.168847077453343708e+00
2.979791812176754817e+01,3.330921622666404147e+01,1.805125830695229805e+00
