# x_mm,y_mm,z_mm
3.088595149772043769e+01,2.595899492927041052e+01,2.682395317145814806e-01
3.126308550580974099e+01,2.645029711924339821e+01,9.133242954595953700e-01
3.167929946634868088e+01,2.698281830107959678e+01,1.534472736210954036e+00
3.214336643675495253e+01,2.756827385410504405e+01,2.114127630429802451e+00
3.266044830266580590e+01,2.821399262889890736e+01,2.686333298501610845e+00
3.316321072624960209e+01,2.893250673924164573e+01,3.265639445467397373e+00
3.366179748287386531e+01,2.966211388868878984e+01,3.868767728853207188e+00
3.417751966350225956e+01,3.040500888845233973e+01,4.505734824863395716e+00
3.471456356478831395e+01,3.118046540118647059e+01,5.192493622592058600e+00
3.520078732854867098e+01,3.200196027180376745e+01,5.919345856586437193e+00
3.569164602667107289e+01,3.281731168651089092e+01,6.667570114257573621e+00
3.620146003888687147e+01,3.364963851031052400e+01,7.459744342840163966e+00
3.667602277782334141e+01,3.451463864695332262e+01,8.295174171660777418e+00
3.712705901731616365e+01,3.538445325580224932e+01,9.156579596548072075e+00
3.758599428989180780e+01,3.625288383049045393e+01,1.004755054596639141e+01
3.803323552391806572e+01,3.713695465456303424e+01,1.097951964097313748e+01
3.842791883409937270e+01,3.803234363336584067e+01,1.194040313169521816e+01
3.882281463683305844e+01,3.891078028960264845e+01,1.291528742962631071e+01
3.922645936801716005e+01,3.979105868121417444e+01,1.392536951964678948e+01
3.955700437665257141e+01,4.068189612452883352e+01,1.496314331804987852e+01
3.988048219767268421e+01,4.154817609126703104e+01,1.600384396366706952e+01
4.020653913476050434e+01,4.240336705909086135e+01,1.706369371598140106e+01
4.049628699944166499e+01,4.325468404529945587e+01,1.814366201553179536e+01
4.074515093978075697e+01,4.408919305418683621e+01,1.922721736957659289e+01
4.099122199432037661e+01,4.489713340464624025e+01,2.030668917099862014e+01
4.123802416236577528e+01,4.569086958691776346e+01,2.139735276321211188e+01
4.142453304305326611e+01,4.647197928684933288e+01,2.249159586692282531e+01
4.159484768061851412e+01,4.722185395184078516e+01,2.356838683139244139e+01
4.176255829577613099e+01,4.794439288177716918e+01,2.463242217173804605e+01
4.192911631928463123e+01,4.864765751579395925e+01,2.569379983814870272e+01
4.204489462687989487e+01,4.933115132138394898e+01,2.674508233556576187e+01
4.214334083311607060e+01,4.998142169264441037e+01,2.776704001416311840e+01
4.223942991194895313e+01,5.060195446082936144e+01,2.876357419815997929e+01
4.233328487522478412e+01,5.119508424978111094e+01,2.973602902401367132e+01
4.242301594978202672e+01,5.176865586161218147e+01,3.069521722266480168e+01
4.246161819980402896e+01,5.231675652560785039e+01,3.162711814726284132e+01
4.249872631798791645e+01,5.282897104027210844e+01,3.251380774567993370e+01
4.253477708984714667e+01,5.331401379196605461e+01,3.336786701102528241e+01
4.256967376290821647e+01,5.377228812619222964e+01,3.418789679721407992e+01
4.260332960458899265e+01,5.420430917624663891e+01,3.497280331255359442e+01
4.263683502725530872e+01,5.468972356752052377e+01,3.568168881673715020e+01
3.037031388349619832e+01,2.634878126605059023e+01,2.646589905738118698e-01
3.072301338968567208e+01,2.685684034157442923e+01,9.139281142313012696e-01
3.112655132803660507e+01,2.739806851669597876e+01,1.539367626730579364e+00
3.159034393295375409e+01,2.798346687041521719e+01,2.124258778084619603e+00
3.210117299532247159e+01,2.860649465108145506e+01,2.686910174341633706e+00
3.259923096169386980e+01,2.929556377356896490e+01,3.254641319807263677e+00
3.310691376593127444e+01,3.001245046096154212e+01,3.860296597253802808e+00
3.363413464263582142e+01,3.074466211670713278e+01,4.501670979947363094e+00
3.417086347346831587e+01,3.149203541252527927e+01,5.176756105636260763e+00
3.465994065522630052e+01,3.228829032157151602e+01,5.893666662865480355e+00
3.516545784967399868e+01,3.309537351604157607e+01,6.647414242176468591e+00
3.568314800108503704e+01,3.390853583332955878e+01,7.434162603109550460e+00
3.616289911862056528e+01,3.474943654328240683e+01,8.258258827099609789e+00
3.662596582270218448e+01,3.560654845579240657e+01,9.118939916588301386e+00
3.709759092231512767e+01,3.646388862430745803e+01,1.001025225385917494e+01
3.755194856752949306e+01,3.732752726009424293e+01,1.093162852821025233e+01
3.795613305277181126e+01,3.820790867085931808e+01,1.188670216974998262e+01
3.836468492347178483e+01,3.908171644246615273e+01,1.286673382356871542e+01
3.877557565822873187e+01,3.994606764415644307e+01,1.386826073067187437e+01
3.911269018940866715e+01,4.082145612506473498e+01,1.489698377995374479e+01
3.944613715485929362e+01,4.168446217710523882e+01,1.594272339200719202e+01
3.977888733476746097e+01,4.253196426321309787e+01,1.700187530076500408e+01
4.007213115777565804e+01,4.337081529127035395e+01,1.807455820291546900e+01
4.032459947736317929e+01,4.419862604256248062e+01,1.915796120998592045e+01
4.057388027315058565e+01,4.500531005306743992e+01,2.024467338336808808e+01
4.082003075786681023e+01,4.579010905210124349e+01,2.133223013897216092e+01
4.100383462026293557e+01,4.656071376462204370e+01,2.242112328855044012e+01
4.117105747676347960e+01,4.730776996502471832e+01,2.350387453743249111e+01
4.133405569841168870e+01,4.802891244404241888e+01,2.457665371180854308e+01
4.149307298911693209e+01,4.872399976768512886e+01,2.563716560923250398e+01
4.159940663070948119e+01,4.939692287667308079e+01,2.668424043764222731e+01
4.168752519955412339e+01,5.004290043512224884e+01,2.771233937305213146e+01
4.177206741994122297e+01,5.066072873901064355e+01,2.871832910091124091e+01
4.185311132016519053e+01,5.125044323921965628e+01,2.969985882961221080e+01
4.192833269094062132e+01,5.181253986541067036e+01,3.065516967253520875e+01
4.195148278692784771e+01,5.234879048901041187e+01,3.158271966574003287e+01
4.197274906973323993e+01,5.285680128191874871e+01,3.247854277584342952e+01
