"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy"
0, -2.500000000e-02, 1.470000000e-02, 0.000000000e+00, 1.068838551e+00, 0.000000000e+00, -0.000000000e+00, 1.221529772e+02, 2.279908006e+05
1, -2.500000000e-02, 1.466852617e-02, 9.614259997e-04, 1.068838551e+00, 0.000000000e+00, -7.989186956e+00, 1.218914383e+02, 2.279908006e+05
2, -2.500000000e-02, 1.457423946e-02, 1.918735026e-03, 1.068838551e+00, 0.000000000e+00, -1.594416299e+01, 1.211079416e+02, 2.279908006e+05
3, -2.500000000e-02, 1.441754362e-02, 2.867827734e-03, 1.068838551e+00, 0.000000000e+00, -2.383086367e+01, 1.198058420e+02, 2.279908006e+05
4, -2.500000000e-02, 1.419910965e-02, 3.804639963e-03, 1.068838551e+00, 0.000000000e+00, -3.161551691e+01, 1.179907154e+02, 2.279908006e+05
5, -2.500000000e-02, 1.391987290e-02, 4.725160140e-03, 1.068838551e+00, 0.000000000e+00, -3.926478770e+01, 1.156703346e+02, 2.279908006e+05
6, -2.500000000e-02, 1.358102913e-02, 5.625446456e-03, 1.068838551e+00, 0.000000000e+00, -4.674592058e+01, 1.128546355e+02, 2.279908006e+05
7, -2.500000000e-02, 1.318402930e-02, 6.501643746e-03, 1.068838551e+00, 0.000000000e+00, -5.402688030e+01, 1.095556756e+02, 2.279908006e+05
8, -2.500000000e-02, 1.273057344e-02, 7.350000000e-03, 1.068838551e+00, 0.000000000e+00, -6.107648858e+01, 1.057875814e+02, 2.279908006e+05
9, -2.500000000e-02, 1.222260330e-02, 8.166882425e-03, 1.068838551e+00, 0.000000000e+00, -6.786455802e+01, 1.015664886e+02, 2.279908006e+05
10, -2.500000000e-02, 1.166229410e-02, 8.948793006e-03, 1.068838551e+00, 0.000000000e+00, -7.436202098e+01, 9.691047251e+01, 2.279908006e+05
11, -2.500000000e-02, 1.105204517e-02, 9.692383482e-03, 1.068838551e+00, 0.000000000e+00, -8.054105433e+01, 9.183947087e+01, 2.279908006e+05
12, -2.500000000e-02, 1.039446968e-02, 1.039446968e-02, 1.068838551e+00, 0.000000000e+00, -8.637519855e+01, 8.637519855e+01, 2.279908006e+05
13, -2.500000000e-02, 1.697500000e-02, 0.000000000e+00, 1.091544618e+00, 0.000000000e+00, -0.000000000e+00, 1.080291581e+02, 2.310514829e+05
14, -2.500000000e-02, 1.693865522e-02, 1.110218119e-03, 1.091544618e+00, 0.000000000e+00, -7.065444988e+00, 1.077978593e+02, 2.310514829e+05
15, -2.500000000e-02, 1.682977652e-02, 2.215682113e-03, 1.091544618e+00, 0.000000000e+00, -1.410063465e+01, 1.071049536e+02, 2.310514829e+05
16, -2.500000000e-02, 1.664883013e-02, 3.311658216e-03, 1.091544618e+00, 0.000000000e+00, -2.107544324e+01, 1.059534081e+02, 2.310514829e+05
17, -2.500000000e-02, 1.639659090e-02, 4.393453291e-03, 1.091544618e+00, 0.000000000e+00, -2.796000354e+01, 1.043481538e+02, 2.310514829e+05
18, -2.500000000e-02, 1.607413895e-02, 5.456434924e-03, 1.091544618e+00, 0.000000000e+00, -3.472483480e+01, 1.022960646e+02, 2.310514829e+05
19, -2.500000000e-02, 1.568285506e-02, 6.496051264e-03, 1.091544618e+00, 0.000000000e+00, -4.134096902e+01, 9.980592806e+01, 2.310514829e+05
20, -2.500000000e-02, 1.522441479e-02, 7.507850516e-03, 1.091544618e+00, 0.000000000e+00, -4.778007481e+01, 9.688840714e+01, 2.310514829e+05
21, -2.500000000e-02, 1.470078123e-02, 8.487500000e-03, 1.091544618e+00, 0.000000000e+00, -5.401457902e+01, 9.355599522e+01, 2.310514829e+05
22, -2.500000000e-02, 1.411419667e-02, 9.430804706e-03, 1.091544618e+00, 0.000000000e+00, -6.001778451e+01, 8.982296216e+01, 2.310514829e+05
23, -2.500000000e-02, 1.346717295e-02, 1.033372526e-02, 1.091544618e+00, 0.000000000e+00, -6.576398464e+01, 8.570529338e+01, 2.310514829e+05
24, -2.500000000e-02, 1.276248073e-02, 1.119239521e-02, 1.091544618e+00, 0.000000000e+00, -7.122857328e+01, 8.122062140e+01, 2.310514829e+05
25, -2.500000000e-02, 1.200313761e-02, 1.200313761e-02, 1.091544618e+00, 0.000000000e+00, -7.638815023e+01, 7.638815023e+01, 2.310514829e+05
26, -2.500000000e-02, 1.925000000e-02, 0.000000000e+00, 1.106687442e+00, 0.000000000e+00, -0.000000000e+00, 9.658363134e+01, 2.330514480e+05
27, -2.500000000e-02, 1.920878427e-02, 1.259010238e-03, 1.106687442e+00, 0.000000000e+00, -6.316871725e+00, 9.637683838e+01, 2.330514480e+05
28, -2.500000000e-02, 1.908531358e-02, 2.512629200e-03, 1.106687442e+00, 0.000000000e+00, -1.260669363e+01, 9.575734499e+01, 2.330514480e+05
29, -2.500000000e-02, 1.888011665e-02, 3.755488699e-03, 1.106687442e+00, 0.000000000e+00, -1.884253174e+01, 9.472780393e+01, 2.330514480e+05
30, -2.500000000e-02, 1.859407216e-02, 4.982266618e-03, 1.106687442e+00, 0.000000000e+00, -2.499768322e+01, 9.329262389e+01, 2.330514480e+05
31, -2.500000000e-02, 1.822840499e-02, 6.187709707e-03, 1.106687442e+00, 0.000000000e+00, -3.104579082e+01, 9.145795054e+01, 2.330514480e+05
32, -2.500000000e-02, 1.778468100e-02, 7.366656073e-03, 1.106687442e+00, 0.000000000e+00, -3.696095555e+01, 8.923164017e+01, 2.330514480e+05
33, -2.500000000e-02, 1.726480027e-02, 8.514057287e-03, 1.106687442e+00, 0.000000000e+00, -4.271784782e+01, 8.662322623e+01, 2.330514480e+05
34, -2.500000000e-02, 1.667098902e-02, 9.625000000e-03, 1.106687442e+00, 0.000000000e+00, -4.829181568e+01, 8.364387833e+01, 2.330514480e+05
35, -2.500000000e-02, 1.600579004e-02, 1.069472699e-02, 1.106687442e+00, 0.000000000e+00, -5.365899056e+01, 8.030635448e+01, 2.330514480e+05
36, -2.500000000e-02, 1.527205180e-02, 1.171865751e-02, 1.106687442e+00, 0.000000000e+00, -5.879638944e+01, 7.662494653e+01, 2.330514480e+05
37, -2.500000000e-02, 1.447291629e-02, 1.269240694e-02, 1.106687442e+00, 0.000000000e+00, -6.368201315e+01, 7.261541879e+01, 2.330514480e+05
38, -2.500000000e-02, 1.361180554e-02, 1.361180554e-02, 1.106687442e+00, 0.000000000e+00, -6.829494066e+01, 6.829494066e+01, 2.330514480e+05
39, -2.500000000e-02, 2.152500000e-02, 0.000000000e+00, 1.117287927e+00, 0.000000000e+00, -0.000000000e+00, 8.720296014e+01, 2.344318623e+05
40, -2.500000000e-02, 2.147891332e-02, 1.407802357e-03, 1.117287927e+00, 0.000000000e+00, -5.703346474e+00, 8.701625192e+01, 2.344318623e+05
41, -2.500000000e-02, 2.134085064e-02, 2.809576288e-03, 1.117287927e+00, 0.000000000e+00, -1.138227034e+01, 8.645692673e+01, 2.344318623e+05
42, -2.500000000e-02, 2.111140316e-02, 4.199319181e-03, 1.117287927e+00, 0.000000000e+00, -1.701245357e+01, 8.552737972e+01, 2.344318623e+05
43, -2.500000000e-02, 2.079155341e-02, 5.571079946e-03, 1.117287927e+00, 0.000000000e+00, -2.256978688e+01, 8.423159133e+01, 2.344318623e+05
44, -2.500000000e-02, 2.038267104e-02, 6.918984491e-03, 1.117287927e+00, 0.000000000e+00, -2.803047288e+01, 8.257511033e+01, 2.344318623e+05
45, -2.500000000e-02, 1.988650694e-02, 8.237260882e-03, 1.117287927e+00, 0.000000000e+00, -3.337112809e+01, 8.056503004e+01, 2.344318623e+05
46, -2.500000000e-02, 1.930518576e-02, 9.520264057e-03, 1.117287927e+00, 0.000000000e+00, -3.856888303e+01, 7.820995794e+01, 2.344318623e+05
47, -2.500000000e-02, 1.864119682e-02, 1.076250000e-02, 1.117287927e+00, 0.000000000e+00, -4.360148006e+01, 7.551997876e+01, 2.344318623e+05
48, -2.500000000e-02, 1.789738340e-02, 1.195864927e-02, 1.117287927e+00, 0.000000000e+00, -4.844736891e+01, 7.250661145e+01, 2.344318623e+05
49, -2.500000000e-02, 1.707693065e-02, 1.310358976e-02, 1.117287927e+00, 0.000000000e+00, -5.308579863e+01, 6.918275971e+01, 2.344318623e+05
50, -2.500000000e-02, 1.618335186e-02, 1.419241867e-02, 1.117287927e+00, 0.000000000e+00, -5.749690682e+01, 6.556265676e+01, 2.344318623e+05
51, -2.500000000e-02, 1.522047347e-02, 1.522047347e-02, 1.117287927e+00, 0.000000000e+00, -6.166180444e+01, 6.166180444e+01, 2.344318623e+05
52, -2.500000000e-02, 2.380000000e-02, 0.000000000e+00, 1.124996555e+00, 0.000000000e+00, -0.000000000e+00, 7.941152154e+01, 2.354255423e+05
53, -2.500000000e-02, 2.374904237e-02, 1.556594476e-03, 1.124996555e+00, 0.000000000e+00, -5.193762008e+00, 7.924149539e+01, 2.354255423e+05
54, -2.500000000e-02, 2.359638770e-02, 3.106523375e-03, 1.124996555e+00, 0.000000000e+00, -1.036528353e+01, 7.873214497e+01, 2.354255423e+05
55, -2.500000000e-02, 2.334268967e-02, 4.643149664e-03, 1.124996555e+00, 0.000000000e+00, -1.549241931e+01, 7.788565143e+01, 2.354255423e+05
56, -2.500000000e-02, 2.298903467e-02, 6.159893273e-03, 1.124996555e+00, 0.000000000e+00, -2.055321417e+01, 7.670563955e+01, 2.354255423e+05
57, -2.500000000e-02, 2.253693708e-02, 7.650259274e-03, 1.124996555e+00, 0.000000000e+00, -2.552599703e+01, 7.519716238e+01, 2.354255423e+05
58, -2.500000000e-02, 2.198833287e-02, 9.107865690e-03, 1.124996555e+00, 0.000000000e+00, -3.038947364e+01, 7.336667941e+01, 2.354255423e+05
59, -2.500000000e-02, 2.134557125e-02, 1.052647083e-02, 1.124996555e+00, 0.000000000e+00, -3.512281785e+01, 7.122202902e+01, 2.354255423e+05
60, -2.500000000e-02, 2.061140461e-02, 1.190000000e-02, 1.124996555e+00, 0.000000000e+00, -3.970576077e+01, 6.877239501e+01, 2.354255423e+05
61, -2.500000000e-02, 1.978897677e-02, 1.322257155e-02, 1.124996555e+00, 0.000000000e+00, -4.411867754e+01, 6.602826702e+01, 2.354255423e+05
62, -2.500000000e-02, 1.888180950e-02, 1.448852201e-02, 1.124996555e+00, 0.000000000e+00, -4.834267133e+01, 6.300139587e+01, 2.354255423e+05
63, -2.500000000e-02, 1.789378742e-02, 1.569243040e-02, 1.124996555e+00, 0.000000000e+00, -5.235965439e+01, 5.970474307e+01, 2.354255423e+05
64, -2.500000000e-02, 1.682914139e-02, 1.682914139e-02, 1.124996555e+00, 0.000000000e+00, -5.615242539e+01, 5.615242539e+01, 2.354255423e+05
65, -2.500000000e-02, 2.607500000e-02, 0.000000000e+00, 1.130776982e+00, 0.000000000e+00, -0.000000000e+00, 7.285542970e+01, 2.361650593e+05
66, -2.500000000e-02, 2.601917142e-02, 1.705386595e-03, 1.130776982e+00, 0.000000000e+00, -4.764973086e+00, 7.269944064e+01, 2.361650593e+05
67, -2.500000000e-02, 2.585192476e-02, 3.403470462e-03, 1.130776982e+00, 0.000000000e+00, -9.509541821e+00, 7.223214140e+01, 2.361650593e+05
68, -2.500000000e-02, 2.557397619e-02, 5.086980147e-03, 1.130776982e+00, 0.000000000e+00, -1.421338924e+01, 7.145553304e+01, 2.361650593e+05
69, -2.500000000e-02, 2.518651592e-02, 6.748706601e-03, 1.130776982e+00, 0.000000000e+00, -1.885637275e+01, 7.037294113e+01, 2.361650593e+05
70, -2.500000000e-02, 2.469120313e-02, 8.381534058e-03, 1.130776982e+00, 0.000000000e+00, -2.341861036e+01, 6.898900147e+01, 2.361650593e+05
71, -2.500000000e-02, 2.409015881e-02, 9.978470499e-03, 1.130776982e+00, 0.000000000e+00, -2.788056590e+01, 6.730964033e+01, 2.361650593e+05
