"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy"
0, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 1.148511443e+00, 1.171481672e+02, 0.000000000e+00, 0.000000000e+00, 2.434596641e+05
1, 0.000000000e+00, 0.000000000e+00, 1.666666667e-03, 1.148511443e+00, 1.171481672e+02, 1.453284689e+01, 0.000000000e+00, 2.435516108e+05
2, 0.000000000e+00, 0.000000000e+00, 3.333333333e-03, 1.148511443e+00, 1.171481672e+02, 2.906569379e+01, 0.000000000e+00, 2.438274508e+05
3, 0.000000000e+00, 0.000000000e+00, 5.000000000e-03, 1.148511443e+00, 1.171481672e+02, 4.359854068e+01, 0.000000000e+00, 2.442871842e+05
4, 0.000000000e+00, 0.000000000e+00, 6.666666667e-03, 1.148511443e+00, 1.171481672e+02, 5.813138757e+01, 0.000000000e+00, 2.449308110e+05
5, 0.000000000e+00, 0.000000000e+00, 8.333333333e-03, 1.148511443e+00, 1.171481672e+02, 7.266423447e+01, 0.000000000e+00, 2.457583312e+05
6, 0.000000000e+00, 0.000000000e+00, 1.000000000e-02, 1.148511443e+00, 1.171481672e+02, 8.719708136e+01, 0.000000000e+00, 2.467697447e+05
7, 0.000000000e+00, 0.000000000e+00, 1.166666667e-02, 1.148511443e+00, 1.171481672e+02, 1.017299283e+02, 0.000000000e+00, 2.479650516e+05
8, 0.000000000e+00, 0.000000000e+00, 1.333333333e-02, 1.148511443e+00, 1.171481672e+02, 1.162627751e+02, 0.000000000e+00, 2.493442519e+05
9, 0.000000000e+00, 0.000000000e+00, 1.500000000e-02, 1.148511443e+00, 1.171481672e+02, 1.307956220e+02, 0.000000000e+00, 2.509073455e+05
10, 0.000000000e+00, 0.000000000e+00, 1.666666667e-02, 1.148511443e+00, 1.171481672e+02, 1.453284689e+02, 0.000000000e+00, 2.526543325e+05
11, 0.000000000e+00, 0.000000000e+00, 1.833333333e-02, 1.148511443e+00, 1.171481672e+02, 1.598613158e+02, 0.000000000e+00, 2.545852129e+05
