"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,  "Pressure_Drop" ,"Avg_Massflow(INLET)","Avg_Massflow(OUTLET)","Avg_Press(INLET)","Avg_Press(OUTLET)","Avg_TotalTemp(INLET)","Avg_TotalTemp(OUTLET)","Avg_TotalPress(INLET)","Avg_TotalPress(OUTLET)"
          0,           0,           0,      -3.709413199,      -1.846024132,      -1.922233348,      -1.422356444,       1.629851992,      0.1016894045,      0.1016894045,       0.612382734,       603.0118048,       217720.4203,       217720.4203,       2.510298707,       617267.3538,       149.1831585,        149.181399,         101.7092396,     -6.521763853e-05,                2.113999821,       614.3779344,       614.3779344,       232470.4476,       232470.4476,        19922.5282,        0.07363015895,         0.02805924552,       98898.94606,        118821.4743,           292.9185027,            321.4594317,            105154.6223,             127315.8254
          0,           0,           1,       -3.77594596,      -1.606494542,      -1.708092808,      -1.423935955,       1.721862153,      0.1337917872,      0.1337917872,       0.670734765,       628.2315776,       239431.3493,       239431.3493,       2.634450728,       645894.7113,       195.5089739,        195.505863,          101.605311,     -6.390454749e-05,                1.065854419,       642.8712877,       642.8712877,       260018.3396,       260018.3396,       42392.15414,        0.07275118745,         0.06104059976,        98519.5976,        140911.7517,           292.5186507,            350.3526369,            104641.8075,             155376.5321
          0,           0,           2,      -3.795379539,        -1.6132366,      -1.708688618,      -1.440217074,       1.709873427,      0.1715378575,      0.1715378575,      0.7468296147,       651.8225476,       264037.4993,       264037.4993,       2.775440708,        674967.121,       240.7623813,       240.7412399,         101.5002568,     -0.0003154370774,               0.7182100123,       671.8076098,       671.8076098,       295315.5029,       295315.5029,       67716.09626,        0.07191974586,         0.09961811165,       98160.70152,        165876.7978,           292.1386521,            379.6689577,            104157.8874,             191157.6155
          0,           0,           3,      -3.814547682,      -1.622439396,      -1.710475619,      -1.465588227,       1.696500045,      0.2135954959,      0.2135954959,       0.824331948,       672.9064923,       290625.9924,       290625.9924,       2.927654159,       703092.7654,       282.9676854,       282.8084842,         101.3950636,      -0.001766912114,               0.5509865139,       699.8015985,       699.8015985,       337958.3831,       337958.3831,       94979.76101,        0.07113800273,          0.1424574932,       97823.11568,        192802.8767,            291.779528,            408.0220705,            103703.8028,             234254.5804
          0,           0,           4,      -3.837069198,      -1.640019195,      -1.717394954,      -1.502453672,       1.678431548,      0.2489156506,      0.2489156506,      0.8812380734,       687.8317171,       312390.3149,       312390.3149,       3.050648513,       724268.5077,         313.42599,       313.1788873,         101.2956596,      -0.002358277004,               0.4712340254,       720.8782175,       720.8782175,       376114.9169,       376114.9169,       117375.7643,        0.07040702861,          0.1785086219,        97507.2753,        214883.0396,           291.4422114,            429.4360061,            103279.9204,             272834.9965
          0,           0,           5,      -3.857156921,      -1.656167768,      -1.716048771,      -1.528259549,       1.664129242,      0.2785633689,      0.2785633689,      0.9236110008,       698.7460627,       330296.0702,       330296.0702,       3.151299028,       740490.8308,       336.1269694,        335.865564,         101.2044555,      -0.002280458062,               0.4249711286,       737.0246041,       737.0246041,       409568.1997,       409568.1997,       135871.3296,        0.06972502662,          0.2088383423,        97212.3703,        233083.6999,            291.125932,            445.8986721,            102884.9603,             306683.2395
          0,           0,           6,      -3.874265486,      -1.664439305,      -1.701873589,      -1.546615183,       1.654015887,      0.3032923005,      0.3032923005,      0.9556627309,       707.0519376,       345019.4626,       345019.4626,       3.233111972,       753231.7219,       353.4457847,       353.2097145,         101.1224183,       -0.00195613698,               0.3951281775,       749.7058552,       749.7058552,       438424.1986,       438424.1986,       151144.5492,         0.0690898406,          0.2342024599,       96937.45672,        248082.0059,           290.8298021,            458.8760531,            102517.4853,             335906.7133
          0,           0,           7,      -3.886106192,      -1.660581154,      -1.674588419,      -1.555991434,       1.649722556,      0.3237855177,      0.3237855177,      0.9801658697,       713.4867649,       357099.9538,       357099.9538,       3.299496515,       763332.8804,       366.8289858,       366.6367931,         101.0499166,      -0.001560724606,               0.3746476457,       759.7597304,       759.7597304,       462982.5143,       462982.5143,       163736.4494,        0.06849951669,           0.255286001,       96681.75219,        260418.2016,           290.5536755,            469.2060549,            102176.2863,              360806.228
          0,           0,           8,      -3.893513108,       -1.64822547,      -1.639793419,      -1.561915267,       1.649244986,      0.3407045871,      0.3407045871,      0.9991124718,       718.6027676,       367015.8665,       367015.8665,        3.35312464,       771477.5272,       377.3180993,        377.171604,         100.9858386,      -0.001200640358,               0.3599422316,       767.8662522,       767.8662522,       483731.3072,       483731.3072,       174126.9791,        0.06795214744,          0.2727524397,       96444.44372,        270571.4228,           290.2969846,            477.5692676,            101860.1414,             381871.1657
          0,           0,           9,      -3.897502087,      -1.633529954,      -1.604126106,      -1.562582921,       1.651952838,      0.3543410086,      0.3543410086,       1.013542501,       722.6430325,       375001.2682,       375001.2682,       3.395598504,        777964.823,       385.4329604,       385.3230718,         100.9308129,     -0.0009329090971,               0.3492871104,        774.323181,        774.323181,       500819.2016,       500819.2016,       182550.8008,        0.06744707597,          0.2868939326,       96225.23372,        278776.0345,           290.0592597,            484.2639213,            101568.5376,             399250.6639
