"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,  "Pressure_Drop" ,"Avg_Massflow(INLET)","Avg_Massflow(OUTLET)","Avg_Press(INLET)","Avg_Press(OUTLET)","Avg_TotalTemp(INLET)","Avg_TotalTemp(OUTLET)","Avg_TotalPress(INLET)","Avg_TotalPress(OUTLET)"
          0,           0,           0,      -4.697231049,      -2.359760721,      -3.214644747,      -3.186199923,      0.7859818458,   -0.005876445285,   -0.005876445285,      0.6092838965,        570.832561,       193013.7232,       193013.7232,       2.355763835,        584182.194,      -9.275744141,       206.3335928,        0.4962576816,      -2.40689768e-06,             0.004776621612,       581.4476458,       581.4476458,       205867.0737,       205867.0737,      -1671.162943,        0.07085825028,        -0.07673469557,       97342.44306,        95671.28012,           291.2495576,            290.1980881,            103211.5248,             102655.5489
          0,           0,           1,      -4.874668392,       -2.41395486,      -3.229781126,      -3.200785497,      0.5920158729,    -0.01105129409,    -0.01105129409,      0.6177382032,       567.4142328,       189407.3734,       189407.3734,       2.325611796,       581030.4769,      -17.38288198,       208.5359731,        0.8808435212,     -8.568681334e-06,             0.008366792999,       578.3106817,       578.3106817,         202436.67,         202436.67,      -2597.580183,        0.06806961073,        -0.07912090482,       96002.47681,        93404.89663,           289.7826557,             288.528026,            101465.4051,             100971.2649
          0,           0,           2,      -4.988136373,       -2.46132704,      -3.251702788,       -3.22180825,      0.4671546933,    -0.01521850211,    -0.01521850211,      0.6252503617,       565.2406422,       187011.7263,       187011.7263,       2.304967419,       579135.2281,      -24.01157672,       210.6329383,         1.183302653,     -1.305021619e-05,              0.01110946583,       576.4243046,       576.4243046,       200269.3949,       200269.3949,      -3245.073059,        0.06602661569,         -0.0812451178,       95128.39967,        91883.32661,           288.8099425,            287.6143622,             100297.287,             99972.10788
          0,           0,           3,      -5.038138365,       -2.49802726,       -3.27750281,       -3.24853447,      0.4125975012,    -0.01834814139,    -0.01834814139,       0.631852707,       563.8769197,       185416.8225,       185416.8225,       2.290776265,       578038.3078,      -29.14481936,       212.5681256,         1.433900624,     -2.117626355e-05,              0.01330721841,        575.332519,        575.332519,         198915.49,         198915.49,      -3801.956344,        0.06463938273,        -0.08298752411,       94609.38943,        90807.43309,           288.2291057,            287.1034132,            99580.02598,             99335.46399
          0,           0,           4,      -5.056101857,       -2.52451487,      -3.302358756,      -3.276230437,      0.3937435271,    -0.02055281835,    -0.02055281835,      0.6375593854,        563.068562,       184390.3616,       184390.3616,       2.281304981,       577470.3313,       -32.9091404,       214.3068184,         1.650669502,     -2.671299251e-05,               0.0151438022,       574.7672012,       574.7672012,       198118.9167,       198118.9167,      -4298.092294,        0.06379314703,        -0.08434596538,       94344.22694,        90046.13464,           287.9280094,            286.8391917,            99193.82808,             98925.08863
          0,           0,           5,      -5.059670388,      -2.544308418,      -3.321146346,      -3.301927103,      0.3907220128,    -0.02200697572,    -0.02200697572,      0.6424738217,       562.6420997,       183766.5635,       183766.5635,       2.275251744,       577253.4566,      -35.53418505,       215.8543102,         1.846319479,     -3.116243724e-05,              0.01675583204,       574.5513416,       574.5513416,         197704.18,         197704.18,      -4746.018033,        0.06336655464,        -0.08537353036,       94256.29076,        89510.27273,            287.827809,            286.7235326,            99043.91774,              98660.2623
          0,           0,           6,      -5.065011976,      -2.565729784,      -3.332000987,      -3.321799355,      0.3852106329,    -0.02293501946,    -0.02293501946,      0.6462235656,       562.4769226,       183422.2574,       183422.2574,       2.271608664,       577250.8282,      -37.28739665,       217.0655904,         2.036523318,     -3.824206506e-05,              0.01829360972,       574.5487256,       574.5487256,       197525.9217,       197525.9217,      -5092.070794,        0.06317090337,        -0.08610592283,       94257.16412,        89165.09332,           287.8293717,            286.7193538,            99015.22514,             98510.69654
          0,           0,           7,      -5.076660794,      -2.582881134,       -3.33530737,      -3.336631969,      0.3730872384,    -0.02350737709,    -0.02350737709,      0.6491468798,       562.4284081,        183224.592,        183224.592,       2.269315624,       577328.9014,      -38.45697468,       218.0252442,         2.216267625,       -4.3421556e-05,              0.01972894389,       574.6264333,       574.6264333,       197459.2461,       197459.2461,      -5383.621353,        0.06311504565,        -0.08662242274,       94304.10668,        88920.48533,            287.880651,            286.7457823,             99052.2543,             98406.99185
          0,           0,           8,      -5.086121411,      -2.597302243,      -3.333602039,      -3.346285643,      0.3635813237,    -0.02385312204,    -0.02385312204,      0.6513090167,       562.4572222,       183127.7041,       183127.7041,       2.267968433,       577451.8331,      -39.21737287,       218.7478952,         2.384829394,     -4.854188881e-05,              0.02106640225,       574.7487895,       574.7487895,       197461.0213,       197461.0213,      -5602.801478,        0.06312745823,        -0.08698058027,        94365.2528,        88762.45132,            287.947178,            286.8016115,            99113.33935,             98347.68192
          0,           0,           9,      -5.095966622,      -2.609702101,      -3.328497657,      -3.352221548,      0.3536541896,    -0.02405220988,    -0.02405220988,      0.6527693335,       562.5391701,       183101.0127,       183101.0127,       2.267286725,       577598.6534,      -39.69201768,       219.2481873,         2.543564213,     -5.587762753e-05,              0.02232265496,       574.8949226,       574.8949226,       197503.1222,       197503.1222,      -5756.141091,        0.06316378958,        -0.08721599947,       94428.57691,        88672.43582,           288.0157251,            286.8791975,            99180.14356,             98322.97865
