"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,  "Pressure_Drop" ,"Avg_Massflow(INLET)","Avg_Massflow(OUTLET)","Avg_Press(INLET)","Avg_Press(OUTLET)","Avg_TotalTemp(INLET)","Avg_TotalTemp(OUTLET)","Avg_TotalPress(INLET)","Avg_TotalPress(OUTLET)"
          0,           0,           0,      -4.094168813,      -2.191718587,      -2.045467208,      -1.453559185,       1.564890088,      0.1068246246,      0.1068246246,      0.6232680189,       604.0627074,        216546.229,        216546.229,       2.492098595,       618807.8912,       159.7178357,       159.6668863,         101.6252289,      -0.001674174541,                1.693838288,       615.9112605,       615.9112605,       231868.8352,       231868.8352,       20551.40225,        0.07215578209,         0.03466884255,       97997.41339,        118548.8156,           291.9560167,            323.9552438,            104040.2181,             127828.6171
          0,           0,           1,      -3.991716325,      -1.859197226,      -1.827543891,      -1.435987022,       1.671945989,      0.1448844988,      0.1448844988,      0.7085757932,       629.6653193,       236627.9768,       236627.9768,       2.596902087,       649632.1793,       216.7361334,        216.612116,         101.5082076,      -0.002101179339,               0.8532964596,       646.5912606,       646.5912606,       260478.9094,       260478.9094,         42698.246,        0.07008748674,         0.07479701208,       96964.86538,        139663.1114,           290.8374581,            355.7538025,            102705.1141,             157773.7953
          0,           0,           2,      -4.013165394,       -1.83479799,      -1.737266734,        -1.4360321,       1.678170311,       0.189324652,       0.189324652,      0.8121203298,       653.4181204,       259251.2105,       259251.2105,       2.717637003,       681856.3172,       272.4533687,       272.3118479,          101.457045,      -0.001688674258,               0.5763087199,       678.6645578,       678.6645578,       299118.0596,       299118.0596,       66939.64028,        0.06834693539,          0.1209777166,       96155.78512,        163095.4254,           289.9489563,            388.7156015,            101644.0133,             197474.0463
          0,           0,           3,      -4.041496184,      -1.776132219,      -1.701078622,      -1.454858738,       1.686429093,       0.240431131,       0.240431131,      0.9159527199,       675.7266693,        285029.306,        285029.306,       2.857286352,       715365.1297,       325.8135359,       325.6750841,         101.4424138,      -0.001339946069,               0.4411741671,        712.016516,        712.016516,       350109.4527,       350109.4527,       93963.18189,        0.06691402051,          0.1735171105,       95533.06204,        189496.2439,           289.2584711,            422.7580449,            100815.4494,             249294.0033
          0,           0,           4,      -4.060796651,      -1.726792464,      -1.666156928,      -1.495621607,       1.685633653,      0.2983646422,      0.2983646422,       1.011700825,       697.2519576,       314904.2305,       314904.2305,       3.019514235,       750046.4955,       375.5714393,       375.4373041,         101.4376163,      -0.001125943023,               0.3631489146,       746.5355388,       746.5355388,       415915.9126,       415915.9126,       124779.1245,        0.06575704158,          0.2326076006,       95062.55299,        219841.6775,           288.7316327,            457.8039061,            100179.5912,             315736.3214
          0,           0,           5,      -4.009287895,      -1.684633865,      -1.605315951,      -1.549512005,       1.674237599,      0.3609052167,      0.3609052167,       1.090963625,       717.8793687,       348961.2163,       348961.2163,       3.203179837,       784090.1828,       418.6043331,       418.5780281,         101.3916554,     -0.0003424728336,               0.3154207187,       780.4198681,       780.4198681,        495050.742,        495050.742,       159517.0328,        0.06485583188,          0.2960493848,       94722.09177,        254239.1245,           288.3486844,            492.0711837,            99710.59404,              395340.148
          0,           0,           6,      -3.949959003,        -1.6306294,      -1.520047003,      -1.593729675,       1.672816019,      0.3983880684,      0.3983880684,       1.124931346,       730.7069472,       372151.6652,       372151.6652,       3.324087309,       804145.2861,       439.1487568,       439.1161307,         101.3018976,     -0.0003555051664,               0.2967001338,       800.3810938,       800.3810938,       547624.2099,       547624.2099,       183182.6799,        0.06417470359,          0.3342133648,       94484.49265,        277667.1725,           288.0784161,            512.3026777,            99375.85327,             448248.3567
          0,           0,           7,      -3.914643903,      -1.589290605,      -1.454586998,      -1.602245026,       1.689435656,      0.4156811353,      0.4156811353,       1.133469672,       738.1060153,       385511.3539,       385511.3539,       3.390268302,       814288.3011,       446.2503076,       446.2164564,         101.1637212,     -0.0003455356302,               0.2902263004,       810.4766295,       810.4766295,       574421.1011,       574421.1011,       196858.8182,        0.06367697416,          0.3520041612,       94326.26788,        291185.0861,           287.8971098,            522.5795197,            99146.62424,             475274.4769
          0,           0,           8,      -3.878543526,      -1.558667295,      -1.407004215,      -1.592298913,       1.712222426,      0.4199566286,      0.4199566286,        1.12862769,       742.4278999,        392275.901,        392275.901,        3.41992475,       818767.3986,       446.0436158,       445.9461604,         101.0080538,     -0.0007049804895,               0.2895674156,       814.9347604,       814.9347604,       583943.0126,       583943.0126,       203828.3069,        0.06331739511,          0.3566392335,       94223.79703,         298052.104,           287.7766094,             527.158151,             98992.9293,             484950.0833
          0,           0,           9,      -3.831888114,      -1.535201639,       -1.36605174,      -1.571594407,       1.734432941,      0.4155588776,      0.4155588776,       1.115323377,       745.0694418,       394791.5047,       394791.5047,       3.425574079,       819957.4169,       441.2602926,       440.9968432,         100.8579023,      -0.001677930444,               0.2925542792,       816.1192083,       816.1192083,       582282.2272,       582282.2272,       206466.1933,        0.06306277106,          0.3524961066,       94162.65572,         300628.849,           287.7022066,            528.4170017,            98895.64003,             483386.5872
          0,           0,          10,      -3.794371906,      -1.505959955,      -1.324960218,      -1.553155722,         1.7512315,      0.4064587408,      0.4064587408,       1.098419574,       746.5117295,       394572.7192,       394572.7192,       3.416681967,       819223.3358,       434.2816743,       433.7535257,         100.7128191,      -0.003284571992,               0.2975060351,       815.3885633,       815.3885633,       574632.7612,       574632.7612,       206314.2182,        0.06288331015,          0.3435754306,       94129.25055,        300443.4687,            287.657179,            527.7313843,            98836.99167,             475795.7695
          0,           0,          11,      -3.777457261,      -1.479110765,      -1.293450686,      -1.542953553,        1.75583548,      0.3951704558,      0.3951704558,       1.081015342,       747.1282996,       392557.3168,       392557.3168,       3.398528645,       817514.3974,       426.6771627,       425.7689866,         100.5712736,       -0.00566337603,               0.3033524864,       813.6876245,       813.6876245,       564286.2219,       564286.2219,       204325.1797,        0.06276234326,          0.3324081125,       94116.06853,        298441.2483,           287.6338417,            526.0537828,            98807.12524,             465479.0967
          0,           0,          12,      -3.769381905,      -1.458244722,      -1.271153792,      -1.534248519,       1.758643422,      0.3835485495,      0.3835485495,       1.065058623,        747.176901,       389588.8236,       389588.8236,       3.376101088,       815430.9617,       419.4520127,       418.0486158,         100.4569114,      -0.008849117779,               0.3094353578,       811.6139413,       811.6139413,       553545.6321,       553545.6321,       201359.0011,        0.06268173625,          0.3208668133,       94114.91125,        295473.9123,           287.6220382,            523.9919031,            98795.32807,              454750.304
          0,           0,          13,      -3.761010797,      -1.438607317,      -1.251077729,      -1.525781926,       1.769735522,      0.3727110865,      0.3727110865,       1.051408358,       747.0133863,       386398.0391,       386398.0391,       3.353105531,       813486.7683,       413.1395844,        411.153319,         100.3908101,       -0.01268589752,               0.3153608261,       809.6788487,       809.6788487,       543806.3727,       543806.3727,       198141.3203,        0.06264243656,          0.3100686499,       94128.35941,        292269.6797,            287.624503,            522.0543457,            98804.13094,             445002.2417
          0,           0,          14,       -3.75286252,      -1.420529287,      -1.234083661,      -1.519550533,       1.786336813,      0.3633474855,      0.3633474855,       1.040695368,       746.8329356,       383417.0608,       383417.0608,       3.331820581,       811971.0737,       408.1134496,       405.4691763,         100.3699224,       -0.01707435211,               0.3207105798,        808.170249,        808.170249,       535836.9253,       535836.9253,       195106.7535,        0.06263754257,          0.3007099429,       94155.15365,        289261.9071,           287.6418179,            520.5284311,            98831.20278,             437005.7225
          0,           0,          15,      -3.746428712,      -1.404905999,      -1.219100264,      -1.515036903,       1.798304619,        0.35580236,        0.35580236,       1.033259665,       746.7092934,        380862.241,        380862.241,       3.313505883,       810992.1978,       404.5648942,       401.2079959,         100.3896444,       -0.02184468918,               0.3251578716,       807.1959552,       807.1959552,       529946.0841,       529946.0841,       192476.6503,        0.06266231143,          0.2931400486,       94192.79531,        286669.4457,           287.6705874,            519.5253679,            98873.40939,             431072.6747
          0,           0,          16,      -3.741502723,      -1.391238959,      -1.204194564,      -1.511943613,         1.8013864,      0.3501301612,      0.3501301612,       1.028991355,       746.7036742,       378877.2118,       378877.2118,       3.298929288,       810588.2644,       402.4743639,        398.368223,         100.4375474,       -0.02682530798,               0.3285227457,       806.7939126,       806.7939126,       526184.1304,       526184.1304,       190402.8157,        0.06270853645,          0.2874216248,       94237.19802,        284640.0138,           287.7068345,            519.0870781,            98925.46002,             427258.6704
          0,           0,          17,      -3.736888593,      -1.380255091,      -1.189112607,      -1.509327844,       1.801709206,      0.3461730784,      0.3461730784,       1.027514735,       746.8371743,       377495.4171,       377495.4171,       3.288246447,        810724.587,        401.694037,       396.7770923,         100.4923838,       -0.03212734626,               0.3307616752,       806.9295971,       806.9295971,       524426.5116,       524426.5116,       188923.9694,         0.0627710663,          0.2834020121,       94285.72388,        283209.6933,           287.7475606,            519.1820365,            98984.10524,             425442.4064
