"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,"Avg_Massflow(HUB)", "Avg_Press(HUB)" ,"Avg_TotalTemp(HUB)","Avg_TotalPress(HUB)"
          0,           0,           0,      -5.980178059,      -15.76868364,      -3.221678639,      -3.198246151,      -0.511700191,   0.0001888393946,   0.0001888393946,      0.3296476322,       288.5873766,        88596.2109,        88596.2109,       1.069468908,       296246.1177,       7.342365097,       1.499121925,         114.0369839,        -0.9583128735,                76.06918554,       294.8593939,       294.8593939,       95520.56489,       95520.56489,    0.0001888393946,        88596.2109,         294.8593939,          95520.56489
          0,           0,           1,      -5.986505055,      -8.775097862,      -3.237159221,       -3.21311857,     -0.5227798322,   0.0001861348273,   0.0001861348273,       0.324885746,        288.858146,       88648.85636,       88648.85636,       1.069101313,       296343.1627,       7.239695786,       1.478159495,         113.8050487,        -0.9583128735,                76.99104805,       294.9559847,       294.9559847,       95373.38847,       95373.38847,    0.0001861348273,       88648.85636,         294.9559847,          95373.38847
          0,           0,           2,      -6.000729646,      -8.600816071,      -3.272583525,      -3.242151211,     -0.5401292206,   0.0001840431126,   0.0001840431126,      0.3210047851,       289.1599057,       88758.70251,       88758.70251,       1.069308984,       296507.0939,       7.156948524,       1.461264635,         113.5668566,        -0.9583128735,                77.71819963,       295.1191486,       295.1191486,        95327.5753,        95327.5753,    0.0001840431126,       88758.70251,         295.1191486,           95327.5753
          0,           0,           3,      -6.009702256,      -8.481473534,      -3.313060856,      -3.275658812,     -0.5508886889,   0.0001826620514,   0.0001826620514,      0.3181911202,       289.4722793,       88919.62246,       88919.62246,       1.070091649,       296722.7926,       7.098047412,       1.449238544,         113.3216466,        -0.9583128735,                78.19392263,       295.3338376,       295.3338376,       95382.65517,       95382.65517,    0.0001826620514,       88919.62246,         295.3338376,          95382.65517
          0,           0,           4,      -6.026050887,      -8.380347992,      -3.346713382,      -3.307514001,     -0.5695609773,   0.0001817702634,   0.0001817702634,      0.3161777492,       289.7642686,       89093.86361,       89093.86361,       1.071108109,       296947.7288,       7.056690482,       1.440794524,         113.0723968,        -0.9583128735,                78.47919668,       295.5577209,       295.5577209,       95485.83858,       95485.83858,    0.0001817702634,       89093.86361,         295.5577209,          95485.83858
          0,           0,           5,      -6.030132617,      -8.319052448,      -3.369866243,      -3.334502046,     -0.5762730225,   0.0001811991033,   0.0001811991033,      0.3147145918,       290.0293656,       89267.62811,       89267.62811,       1.072216209,       297165.6011,       7.027246953,       1.434782913,         112.8212129,        -0.9583128735,                78.63294988,       295.7745732,       295.7745732,        95611.4751,        95611.4751,    0.0001811991033,       89267.62811,         295.7745732,           95611.4751
          0,           0,           6,      -6.042217004,      -8.263518435,      -3.382509697,         -3.355329,     -0.5908012872,   0.0001808298212,   0.0001808298212,      0.3136315016,       290.2598098,       89428.85558,       89428.85558,       1.073299957,        297362.022,        7.00584429,        1.43041304,         112.5695237,        -0.9583128735,                78.69721577,       295.9700747,       295.9700747,       95739.42357,       95739.42357,    0.0001808298212,       89428.85558,         295.9700747,          95739.42357
          0,           0,           7,      -6.063341062,      -8.220187884,      -3.387318891,      -3.370586698,     -0.6139819702,   0.0001805872169,   0.0001805872169,      0.3128196974,       290.4503203,       89570.02339,       89570.02339,        1.07428911,        297527.513,       6.990003151,       1.427178687,          112.318169,        -0.9583128735,                78.69944386,       296.1347911,       296.1347911,       95857.07972,       95857.07972,    0.0001805872169,       89570.02339,         296.1347911,          95857.07972
          0,           0,           8,      -6.092055205,      -8.185980159,      -3.387755455,      -3.381481156,     -0.6443427789,   0.0001803559945,   0.0001803559945,      0.3121043576,        290.599954,       89683.46187,       89683.46187,       1.075095808,       297654.6889,       6.975814976,       1.424281827,         112.0683964,        -0.9583128735,                78.68414397,       296.2613717,       296.2613717,       95949.02648,       95949.02648,    0.0001803559945,       89683.46187,         296.2613717,          95949.02648
          0,           0,           9,      -6.115210915,      -8.160153462,      -3.386241108,       -3.38746179,     -0.6682957939,   0.0001800764004,   0.0001800764004,       0.311385492,       290.7124811,       89768.52929,       89768.52929,       1.075699032,       297743.7654,       6.961095036,       1.421276394,         111.8205917,        -0.9583128735,                78.67617596,       296.3500312,       296.3500312,       96010.48406,       96010.48406,    0.0001800764004,       89768.52929,         296.3500312,          96010.48406
          0,           0,          10,      -6.131369401,      -8.143712545,      -3.381673229,      -3.388286134,     -0.6849247716,   0.0001797256157,   0.0001797256157,       0.310619314,       290.7936097,       89827.18654,       89827.18654,       1.076101618,       297799.0094,       6.944935802,       1.417977095,         111.5746405,        -0.9583128735,                78.68578474,       296.4050166,       296.4050166,       96041.78365,       96041.78365,    0.0001797256157,       89827.18654,         296.4050166,          96041.78365
          0,           0,          11,      -6.151456873,      -8.133982444,      -3.375454205,      -3.387325597,     -0.7057349322,   0.0001793099604,   0.0001793099604,      0.3098066653,        290.855484,       89864.07957,       89864.07957,       1.076314569,       297832.9073,       6.927503208,       1.414417808,         111.3300259,        -0.9583128735,                78.71084855,       296.4387558,       296.4387558,       96047.96505,       96047.96505,    0.0001793099604,       89864.07957,         296.4387558,          96047.96505
          0,           0,          12,      -6.175986055,      -8.125727097,      -3.371262578,      -3.387723539,     -0.7308572361,   0.0001788418337,   0.0001788418337,       0.308959736,        290.900966,       89882.19194,       89882.19194,       1.076363189,       297848.8475,       6.909105386,       1.410661447,         111.0864794,        -0.9583128735,                78.74779574,       296.4546214,       296.4546214,       96032.75104,       96032.75104,    0.0001788418337,       89882.19194,         296.4546214,          96032.75104
          0,           0,          13,       -6.19929272,      -8.118826861,      -3.369210125,      -3.388793272,     -0.7539878479,    0.000178337667,    0.000178337667,      0.3080973538,       290.9314399,       89884.39205,       89884.39205,       1.076276789,       297848.9405,       6.890181251,       1.406797625,         110.8436857,        -0.9583128735,                78.79149335,       296.4547139,       296.4547139,       96000.00361,       96000.00361,     0.000178337667,       89884.39205,         296.4547139,          96000.00361
          0,           0,          14,      -6.224165724,      -8.113837088,      -3.371459649,      -3.390982993,      -0.776579391,   0.0001778113853,   0.0001778113853,      0.3072351257,       290.9483857,         89873.265,         89873.265,       1.076080875,        297835.271,       6.871098784,       1.402901477,         110.6014255,        -0.9583128735,                78.83762853,       296.4411084,       296.4411084,       95953.13921,       95953.13921,    0.0001778113853,         89873.265,         296.4411084,          95953.13921
          0,           0,          15,      -6.245127902,      -8.115014436,      -3.376064995,      -3.394421121,     -0.7967608298,   0.0001772736401,   0.0001772736401,      0.3063834623,       290.9535166,       89851.32641,       89851.32641,       1.075799226,       297809.9701,       6.852112347,       1.399024935,         110.3595198,        -0.9583128735,                78.88316855,        296.415926,        296.415926,       95895.27837,       95895.27837,    0.0001772736401,       89851.32641,          296.415926,          95895.27837
          0,           0,          16,       -6.25938541,      -8.108087055,      -3.386776306,      -3.396985638,      -0.807306972,   0.0001767314904,   0.0001767314904,      0.3055472816,       290.9490023,       89820.98149,       89820.98149,       1.075452589,       297775.4346,       6.833358573,       1.395195897,         110.1178616,        -0.9583128735,                78.92645172,       296.3815521,       296.3815521,       95829.19314,       95829.19314,    0.0001767314904,       89820.98149,         296.3815521,          95829.19314
          0,           0,          17,      -6.270569718,      -8.123557991,      -3.400019847,      -3.400170868,     -0.8148591086,   0.0001761917666,   0.0001761917666,      0.3047356182,       290.9355247,        89783.1034,        89783.1034,       1.075048863,       297732.6825,       6.815048416,       1.391457435,         109.8764151,        -0.9583128735,                78.96498474,       296.3390002,       296.3390002,       95756.18021,       95756.18021,    0.0001761917666,        89783.1034,         296.3390002,          95756.18021
          0,           0,          18,      -6.279072624,        -8.1327661,      -3.414645931,      -3.403963104,     -0.8202383169,   0.0001756613365,   0.0001756613365,      0.3039540927,       290.9150787,        89739.8104,        89739.8104,       1.074605999,       297683.9506,       6.797331672,       1.387840132,         109.6351316,        -0.9583128735,                78.99694575,       296.2904964,       296.2904964,        95678.7209,        95678.7209,    0.0001756613365,        89739.8104,         296.2904964,           95678.7209
          0,           0,          19,      -6.286505455,      -8.138783465,      -3.430382518,      -3.406715345,     -0.8252795429,   0.0001751443652,   0.0001751443652,      0.3032031064,       290.8900535,       89693.46532,       89693.46532,       1.074143432,       297631.6911,       6.780245703,       1.384351617,         109.3940602,        -0.9583128735,                79.02187483,       296.2384815,       296.2384815,       95599.34319,       95599.34319,    0.0001751443652,       89693.46532,         296.2384815,          95599.34319
          0,           0,          20,      -6.294751378,      -8.143514996,      -3.444154371,      -3.410241892,     -0.8319784093,   0.0001746399164,   0.0001746399164,      0.3024746919,       290.8630295,       89646.34297,       89646.34297,       1.073678854,       297578.2553,       6.763642661,       1.380961703,         109.1531366,        -0.9583128735,                79.04139293,       296.1852958,       296.1852958,       95520.14561,       95520.14561,    0.0001746399164,       89646.34297,         296.1852958,          95520.14561
          0,           0,          21,      -6.309481086,      -8.147288748,       -3.46095163,      -3.413028555,      -0.845760943,    0.000174147564,    0.000174147564,      0.3017637432,       290.8333289,       89599.64261,       89599.64261,       1.073229121,       297522.7641,         6.7474006,       1.377645492,         108.9123649,        -0.9583128735,                79.05688768,       296.1300644,       296.1300644,       95442.19552,       95442.19552,     0.000174147564,       89599.64261,         296.1300644,          95442.19552
          0,           0,          22,       -6.32430674,       -8.15254913,      -3.478440746,      -3.415029829,     -0.8603523527,   0.0001736662631,   0.0001736662631,      0.3010637968,       290.8021704,       89554.94907,       89554.94907,       1.072808715,       297466.2329,        6.73138927,       1.374376391,         108.6716801,        -0.9583128735,                79.06981001,       296.0737978,       296.0737978,       95366.91844,       95366.91844,    0.0001736662631,       89554.94907,         296.0737978,          95366.91844
          0,           0,          23,      -6.340063737,      -8.157780455,       -3.49604836,      -3.416643813,     -0.8764095277,   0.0001731956788,   0.0001731956788,      0.3003701942,       290.7722035,       89513.90533,       89513.90533,       1.072427551,       297411.2057,       6.715535191,       1.371139396,          108.430967,        -0.9583128735,                79.08092152,       296.0190282,       296.0190282,       95295.87418,       95295.87418,    0.0001731956788,       89513.90533,         296.0190282,          95295.87418
          0,           0,          24,      -6.353604965,      -8.163925186,      -3.513685334,      -3.418041987,     -0.8905826303,   0.0001727354258,   0.0001727354258,      0.2996734503,       290.7476103,       89479.81305,       89479.81305,       1.072109784,       297361.6257,       6.699674376,       1.367901026,         108.1899712,        -0.9583128735,                79.09195851,       295.9696803,       295.9696803,       95232.19865,       95232.19865,    0.0001727354258,       89479.81305,         295.9696803,          95232.19865
          0,           0,          25,      -6.363019033,      -8.168353513,      -3.531269877,      -3.419442921,     -0.9008031987,   0.0001722913631,   0.0001722913631,      0.2989827594,        290.729091,       89453.11139,       89453.11139,       1.071858128,       297318.5295,       6.684020006,       1.364704807,         107.9485884,        -0.9583128735,                79.10032111,       295.9267859,       295.9267859,       95176.71354,       95176.71354,    0.0001722913631,       89453.11139,         295.9267859,          95176.71354
