"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,"Avg_Massflow(HUB)", "Avg_Press(HUB)" ,"Avg_TotalTemp(HUB)","Avg_TotalPress(HUB)"
          0,           0,           0,      -3.877522529,      -3.069023706,      -1.223861544,     -0.8716065159,       1.589123585,   -0.001955408239,   -0.001955408239,      0.3171257731,       288.1399474,       89107.18619,       89107.18619,       1.077307535,       295410.7827,      -76.62450747,       15.54420303,          108.716806,        -0.9588469973,                6.994041818,       294.0279692,       294.0279692,       95627.91051,       95627.91051,    -0.001955408239,       89107.18619,         294.0279692,          95627.91051
          0,           0,           1,      -4.243027297,      -3.091515865,      -1.282276121,     -0.9614314174,       1.213030202,   -0.001388834862,   -0.001388834862,      0.2061762595,       291.2462232,        91347.1354,        91347.1354,       1.092810375,       295187.3951,       -53.8404603,       10.90326889,         105.1150298,        -0.9589894195,                9.640689497,       293.8056273,       293.8056273,       94165.48214,       94165.48214,    -0.001388834862,        91347.1354,         293.8056273,          94165.48214
          0,           0,           2,      -4.094124426,      -3.074402606,      -1.317037491,      -1.018034054,       1.343204109,   -0.001136181328,   -0.001136181328,       0.268698143,       290.1726456,       97551.41884,       97551.41884,       1.172239374,       296468.4187,      -64.61712506,       10.35924066,         103.0771058,         -0.974298375,                9.950256896,       295.0806544,       295.0806544,       103808.1445,       103808.1445,    -0.001136181328,       97551.41884,         295.0806544,          103808.1445
          0,           0,           3,       -3.98880868,      -3.041147953,      -1.343448549,      -1.050391765,       1.428253574,   -0.001086833106,   -0.001086833106,      0.4481176062,       284.3470709,       106030.6132,       106030.6132,       1.301842272,       299277.4519,      -78.76541181,       15.89846308,         101.4586209,         -0.959258296,                6.381662203,       297.8765386,       297.8765386,       126326.4067,       126326.4067,    -0.001086833106,       106030.6132,         297.8765386,          126326.4067
          0,           0,           4,      -3.956100439,      -2.982339684,      -1.365044961,      -1.074612339,       1.449584359,  -0.0009471267583,  -0.0009471267583,      0.5960545973,       278.0428749,       113587.7002,       113587.7002,       1.428189176,       301872.1249,      -78.28624734,       21.02339864,          99.4812768,        -0.9278834571,                 4.73193124,       300.4590659,       300.4590659,       152295.6511,       152295.6511,   -0.0009471267583,       113587.7002,         300.4590659,          152295.6511
          0,           0,           5,       -3.94535278,      -2.953047774,      -1.389750337,      -1.096799789,       1.451036304,    -0.00050235265,    -0.00050235265,      0.6987591539,       273.2493658,       120637.3379,       120637.3379,       1.544443035,       303951.6573,      -62.41214155,        24.6013817,         97.27854333,        -0.8446251118,                3.954190237,       302.5288641,       302.5288641,       177145.3886,       177145.3886,     -0.00050235265,       120637.3379,         302.5288641,          177145.3886
          0,           0,           6,      -3.943003035,      -2.859340907,      -1.410660417,      -1.116063334,        1.44915516,  -0.0004060608105,  -0.0004060608105,      0.7973213487,       267.0479769,       127978.1299,       127978.1299,       1.681704562,       305411.2036,      -71.22793702,       29.15861768,         95.45100636,        -0.8324157767,                3.273509307,       303.9815782,       303.9815782,       211755.5799,       211755.5799,   -0.0004060608105,       127978.1299,         303.9815782,          211755.5799
          0,           0,           7,      -3.953025775,      -2.869962645,      -1.428805353,      -1.127090242,       1.441608188,   0.0004121501537,   0.0004121501537,      0.8466724878,       264.8027431,       135540.6566,       135540.6566,       1.796336616,       306934.1886,      -42.78447303,        32.0049377,         93.53268097,        -0.4404207551,                2.922445338,       305.4974342,       305.4974342,       236519.9092,       236519.9092,    0.0004121501537,       135540.6566,         305.4974342,          236519.9092
          0,           0,           8,      -3.951273982,      -2.872371784,      -1.444861717,      -1.132529579,       1.446119308,   6.265330056e-05,   6.265330056e-05,       0.921450691,       258.3620811,       141032.0676,       141032.0676,        1.92115671,       306882.5404,      -64.18868265,       32.95993757,         91.63015806,         -0.736332965,                2.780046469,       305.4460277,       305.4460277,       274502.4266,       274502.4266,    6.265330056e-05,       141032.0676,         305.4460277,          274502.4266
          0,           0,           9,       -3.94415577,      -2.809609743,      -1.454134859,      -1.131450587,       1.453991253,   0.0003137917907,   0.0003137917907,       0.983393228,       253.7684979,        147705.587,        147705.587,       2.051031496,       307104.9995,      -59.19915165,       35.29777667,         91.30796302,        -0.6444802469,                2.586790774,       305.6674455,       305.6674455,       312264.7132,       312264.7132,    0.0003137917907,        147705.587,         305.6674455,          312264.7132
          0,           0,          10,      -3.938617308,      -2.713334379,      -1.455071727,      -1.121355512,       1.460332013,   0.0007363194921,   0.0007363194921,       1.026521917,       251.1862772,       155646.5884,       155646.5884,       2.184194248,       307758.8411,       -51.0012217,       37.56264781,         92.46376213,        -0.4575605864,                2.461587974,       306.3182264,       306.3182264,       349836.6092,       349836.6092,    0.0007363194921,       155646.5884,         306.3182264,          349836.6092
          0,           0,          11,      -3.928242254,       -2.65570174,      -1.439246189,      -1.098418141,        1.47105048,  -0.0004418592822,  -0.0004418592822,       1.170699044,       237.2991089,       157678.0264,       157678.0264,       2.351460364,       305233.2253,      -84.80403163,       39.13816973,          95.4690878,        -0.7870056781,                2.439283402,        303.804433,        303.804433,       436134.2202,       436134.2202,   -0.0004418592822,       157678.0264,          303.804433,          436134.2202
          0,           0,          12,      -3.928796495,      -2.657329566,      -1.449896276,      -1.095106756,       1.486237431,    0.001393558145,    0.001393558145,       1.161831287,       240.1278613,       168800.7028,       168800.7028,       2.473921418,       306864.3499,      -32.77488566,       41.65781711,         99.18301523,         0.6155137079,                2.380898043,       305.4279224,       305.4279224,       447723.5701,       447723.5701,     0.001393558145,       168800.7028,         305.4279224,          447723.5701
          0,           0,          13,      -3.919312873,      -2.618793273,      -1.452998196,      -1.086674056,       1.500238737,   0.0007605543426,   0.0007605543426,        1.23863629,       233.5656892,       172686.9799,       172686.9799,        2.61247911,       305928.7503,      -58.72603029,       43.50547769,         105.4974721,        -0.4511842155,                2.424923887,       304.4967023,       304.4967023,       535337.0764,       535337.0764,    0.0007605543426,       172686.9799,         304.4967023,          535337.0764
          0,           0,          14,      -3.905496878,      -2.566425561,      -1.454608037,       -1.07985917,        1.50958472,    0.002117115283,    0.002117115283,       1.240388019,       233.8092911,       180444.3893,       180444.3893,       2.717701035,       306447.5576,      -26.35548964,       44.50989839,         112.9742487,          1.852141234,                2.538182579,       305.0130811,       305.0130811,       546319.3594,       546319.3594,     0.002117115283,       180444.3893,         305.0130811,          546319.3594
          0,           0,          15,      -3.880577854,      -2.509931912,      -1.442696872,      -1.071148577,       1.534501762,    0.001159242012,    0.001159242012,       1.286812515,       229.7051589,       183817.8707,       183817.8707,       2.822970464,       305885.7886,      -56.15754314,       43.44868004,          121.501035,        -0.4013996373,                2.796426378,       304.4539417,       304.4539417,       615925.3225,       615925.3225,     0.001159242012,       183817.8707,         304.4539417,          615925.3225
          0,           0,          16,      -3.859143649,      -2.449128873,      -1.416896074,       -1.06124593,       1.555389383,  -0.0001544282917,  -0.0001544282917,       1.475703281,        213.903674,       179960.8084,       179960.8084,       2.991017955,       302489.7133,      -86.81053841,       45.44891576,         132.6726621,        -0.7259043428,                2.919160113,       301.0737633,       301.0737633,       874613.4007,       874613.4007,   -0.0001544282917,       179960.8084,         301.0737633,          874613.4007
          0,           0,          17,      -3.828295825,      -2.418310362,      -1.369499319,      -1.039740057,       1.587576723,    0.002655629315,    0.002655629315,       1.402594333,       220.5374927,       193555.9035,       193555.9035,       3.089969444,       304824.4613,      -23.17351266,       47.83413628,         144.5555896,          3.260809665,                3.022017347,       303.3975825,       303.3975825,       757859.2537,       757859.2537,     0.002655629315,       193555.9035,         303.3975825,          757859.2537
          0,           0,          18,      -3.793974538,      -2.350409231,       -1.32117397,       -1.02006897,       1.622828136,    0.001663135138,    0.001663135138,       1.425809232,       219.3350005,       198044.0723,       198044.0723,       3.182020912,       304917.5476,      -53.72722808,       46.47128634,         156.6558225,        -0.2518640602,                3.371024021,        303.490233,        303.490233,       840609.5756,       840609.5756,     0.001663135138,       198044.0723,          303.490233,          840609.5756
