"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,"Avg_Massflow(HUB)", "Avg_Press(HUB)" ,"Avg_TotalTemp(HUB)","Avg_TotalPress(HUB)"
          0,           0,           0,      -6.027733247,      -15.75915665,      -3.218192708,      -3.195632264,     -0.5672949245,   0.0001888193062,   0.0001888193062,      0.3296596338,       288.5705576,       88580.97973,       88580.97973,       1.069347371,       296229.3111,       7.342418444,       1.499132817,         114.0437793,        -0.9583128735,                76.07316578,       294.8426661,       294.8426661,       95504.66104,       95504.66104,    0.0001888193062,       88580.97973,         294.8426661,          95504.66104
          0,           0,           1,      -6.003129803,      -8.735163908,      -3.289366458,      -3.260822653,       -0.54522927,   0.0001863190702,   0.0001863190702,      0.3252045575,       288.8754134,        88652.2616,        88652.2616,       1.069078473,       296372.9081,        7.24701672,       1.479654241,         113.8125228,        -0.9583128735,                76.91832292,       294.9855908,       294.9855908,       95390.60388,       95390.60388,    0.0001863190702,        88652.2616,         294.9855908,          95390.60388
          0,           0,           2,       -6.00784883,      -8.567511188,      -3.376297454,      -3.321432202,      -0.550937092,   0.0001845690931,   0.0001845690931,      0.3218925525,       289.1990553,       88772.88397,       88772.88397,       1.069335056,       296580.4052,        7.17722752,       1.465405083,         113.5733327,        -0.9583128735,                77.50302904,       295.1921167,       295.1921167,       95380.13375,       95380.13375,    0.0001845690931,       88772.88397,         295.1921167,          95380.13375
          0,           0,           3,      -6.018553994,      -8.494716993,      -3.454620267,      -3.363734847,     -0.5609076313,   0.0001835129474,   0.0001835129474,      0.3196496724,       289.5309569,        88935.2221,        88935.2221,       1.070062473,       296837.0648,        7.13130673,        1.45602924,         113.3264745,        -0.9583128735,                77.83255404,       295.4475749,       295.4475749,       95460.29615,       95460.29615,    0.0001835129474,        88935.2221,         295.4475749,          95460.29615
          0,           0,           4,      -6.036173528,      -8.437210134,      -3.508182102,      -3.393422048,      -0.577772453,   0.0001829061897,   0.0001829061897,      0.3181128876,       289.8556256,       89119.31713,       89119.31713,       1.071076428,       297112.8414,        7.10099948,        1.44984128,         113.0748499,        -0.9583128735,                77.99119218,       295.7220605,       295.7220605,       95593.59946,       95593.59946,    0.0001829061897,       89119.31713,         295.7220605,          95593.59946
          0,           0,           5,      -6.051468193,      -8.401988322,      -3.535397194,      -3.413372453,     -0.5944191768,   0.0001825074189,   0.0001825074189,      0.3169687331,        290.144786,       89290.51521,       89290.51521,       1.072064471,       297366.8776,       7.078987728,       1.445347047,         112.8222234,        -0.9583128735,                78.05891577,       295.9749076,       295.9749076,       95729.49322,       95729.49322,    0.0001825074189,       89290.51521,         295.9749076,          95729.49322
          0,           0,           6,      -6.074560841,      -8.377693872,      -3.540469592,      -3.425205633,     -0.6198494895,    0.000182222324,    0.000182222324,       0.316086114,       290.3921525,       89438.07563,       89438.07563,        1.07292142,       297587.7976,       7.062284439,       1.441936666,         112.5700417,        -0.9583128735,                  78.068645,       296.1947935,       296.1947935,       95850.93457,       95850.93457,     0.000182222324,       89438.07563,         296.1947935,          95850.93457
          0,           0,           7,      -6.101038855,      -8.365159211,      -3.535032088,      -3.433385906,     -0.6483782802,   0.0001819841475,   0.0001819841475,      0.3153597645,       290.5983185,       89558.67689,       89558.67689,       1.073605968,       297772.2903,       7.048556433,        1.43913376,         112.3190661,        -0.9583128735,                78.04630061,       296.3784226,       296.3784226,       95949.97528,       95949.97528,    0.0001819841475,       89558.67689,         296.3784226,          95949.97528
          0,           0,           8,      -6.130972541,      -8.363819185,      -3.527856313,      -3.439471635,     -0.6798329278,   0.0001817482788,   0.0001817482788,      0.3147125518,       290.7658986,       89652.37972,       89652.37972,       1.074109843,       297920.1816,       7.036118577,        1.43659427,         112.0696449,        -0.9583128735,                78.01064448,       296.5256216,       296.5256216,       96023.48463,       96023.48463,    0.0001817482788,       89652.37972,         296.5256216,          96023.48463
          0,           0,           9,      -6.160003604,      -8.369940663,      -3.520820076,      -3.444191183,     -0.7092457857,   0.0001815016423,   0.0001815016423,      0.3141070368,       290.8994722,       89723.91273,       89723.91273,       1.074473271,        298034.785,       7.024193754,       1.434159528,         111.8216261,        -0.9583128735,                77.97014482,       296.6396885,       296.6396885,       96074.98725,       96074.98725,    0.0001815016423,       89723.91273,         296.6396885,          96074.98725
