"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,"Avg_Massflow(HUB)", "Avg_Press(HUB)" ,"Avg_TotalTemp(HUB)","Avg_TotalPress(HUB)"
          0,           0,           0,      -6.027733247,      -15.75285592,      -3.218192708,      -3.195632264,     -0.5672949245,   0.0001888193017,   0.0001888193017,      0.3296596243,       288.5705588,       88580.98039,       88580.98039,       1.069347374,        296229.312,       7.342418246,       1.499132777,         114.0437794,        -0.9583128735,                 76.0731679,       294.8426669,       294.8426669,       95504.66134,       95504.66134,    0.0001888193017,       88580.98039,         294.8426669,          95504.66134
          0,           0,           1,       -6.00312942,      -9.510458019,      -3.289366626,      -3.260822789,     -0.5452289015,   0.0001863190692,   0.0001863190692,       0.325204553,       288.8754149,        88652.2626,        88652.2626,        1.06907848,       296372.9094,       7.247016638,       1.479654225,         113.8125222,        -0.9583128735,                76.91832342,       294.9855922,       294.9855922,       95390.60477,       95390.60477,    0.0001863190692,        88652.2626,         294.9855922,          95390.60477
          0,           0,           2,      -6.007848581,      -9.310489489,      -3.376297588,      -3.321432251,     -0.5509368582,   0.0001845690926,   0.0001845690926,      0.3218925477,       289.1990574,       88772.88539,       88772.88539,       1.069335065,       296580.4071,       7.177227439,       1.465405067,         113.5733312,        -0.9583128735,                77.50302886,       295.1921186,       295.1921186,       95380.13506,       95380.13506,    0.0001845690926,       88772.88539,         295.1921186,          95380.13506
          0,           0,           3,      -6.018553613,      -9.123404636,      -3.454620412,       -3.36373482,     -0.5609072513,   0.0001835129462,   0.0001835129462,      0.3196496651,       289.5309597,       88935.22399,       88935.22399,       1.070062485,       296837.0675,       7.131306602,       1.456029214,         113.3264717,        -0.9583128735,                 77.8325535,       295.4475775,       295.4475775,       95460.29788,       95460.29788,    0.0001835129462,       88935.22399,         295.4475775,          95460.29788
          0,           0,           4,      -6.036173381,      -8.973329198,       -3.50818235,      -3.393422043,     -0.5777722635,   0.0001829061876,   0.0001829061876,      0.3181128767,       289.8556295,       89119.31974,       89119.31974,       1.071076445,        297112.845,       7.100999284,        1.44984124,         113.0748457,        -0.9583128735,                77.99119139,       295.7220641,       295.7220641,        95593.6018,        95593.6018,    0.0001829061876,       89119.31974,         295.7220641,           95593.6018
          0,           0,           5,      -6.051468091,      -8.870448507,      -3.535397356,      -3.413372437,      -0.594419047,   0.0001825074157,   0.0001825074157,      0.3169687188,       290.1447907,       89290.51839,       89290.51839,       1.072064492,       297366.8819,       7.078987464,       1.445346993,         112.8222177,        -0.9583128735,                 78.0589147,       295.9749119,       295.9749119,       95729.49602,       95729.49602,    0.0001825074157,       89290.51839,         295.9749119,          95729.49602
          0,           0,           6,      -6.074560817,        -8.8009098,      -3.540469633,      -3.425205531,     -0.6198494649,   0.0001822223194,   0.0001822223194,      0.3160860965,       290.3921577,       89438.07913,       89438.07913,       1.072921443,       297587.8023,       7.062284113,       1.441936599,         112.5700345,        -0.9583128735,                78.06864363,       296.1947982,       296.1947982,        95850.9376,        95850.9376,    0.0001822223194,       89438.07913,         296.1947982,           95850.9376
          0,           0,           7,      -6.101038965,      -8.754834507,      -3.535032241,      -3.433385804,     -0.6483783718,   0.0001819841417,   0.0001819841417,      0.3153597448,       290.5983239,       89558.68049,       89558.68049,       1.073605992,       297772.2951,       7.048556057,       1.439133683,         112.3190576,        -0.9583128735,                78.04629885,       296.3784274,       296.3784274,       95949.97832,       95949.97832,    0.0001819841417,       89558.68049,         296.3784274,          95949.97832
          0,           0,           8,      -6.130972428,      -8.724633616,      -3.527856598,      -3.439471518,     -0.6798327115,   0.0001817482719,   0.0001817482719,      0.3147125303,       290.7659041,       89652.38332,       89652.38332,       1.074109866,       297920.1864,       7.036118161,       1.436594185,         112.0696351,        -0.9583128735,                78.01064227,       296.5256264,       296.5256264,        96023.4876,        96023.4876,    0.0001817482719,       89652.38332,         296.5256264,           96023.4876
          0,           0,           9,      -6.160003527,      -8.705721096,      -3.520820563,      -3.444191137,     -0.7092455761,   0.0001815016357,   0.0001815016357,      0.3141070152,       290.8994776,       89723.91651,       89723.91651,       1.074473296,       298034.7898,       7.024193336,       1.434159443,         111.8216151,        -0.9583128735,                77.97014178,       296.6396933,       296.6396933,       96074.99039,       96074.99039,    0.0001815016357,       89723.91651,         296.6396933,          96074.99039
          0,           0,          10,      -6.192109423,      -8.695124243,      -3.516448107,      -3.448721993,     -0.7418788367,   0.0001812378594,   0.0001812378594,       0.313511282,       291.0056911,       89780.15189,       89780.15189,       1.074754318,       298121.7451,       7.012151089,       1.431700726,         111.5746695,        -0.9583128735,                77.93155893,       296.7262416,       296.7262416,       96110.53452,       96110.53452,    0.0001812378594,       89780.15189,         296.7262416,          96110.53452
          0,           0,          11,      -6.223882878,      -8.690789895,      -3.516399554,       -3.45333072,     -0.7744401885,   0.0001809010387,   0.0001809010387,      0.3128397393,       291.0884206,       89818.42899,       89818.42899,       1.074906948,       298181.8949,       6.998125558,       1.428837074,         111.3292386,        -0.9583128735,                77.91597842,       296.7861098,       296.7861098,       96123.74882,       96123.74882,    0.0001809010387,       89818.42899,         296.7861098,          96123.74882
          0,           0,          12,      -6.252519726,      -8.690891052,      -3.519264577,       -3.45704177,     -0.8047041704,    0.000180521487,    0.000180521487,      0.3121281543,       291.1533292,       89844.33173,       89844.33173,       1.074977236,       298222.3672,       6.982986051,       1.425745976,         111.0846991,        -0.9583128735,                77.91338777,       296.8263927,       296.8263927,        96122.1156,        96122.1156,     0.000180521487,       89844.33173,         296.8263927,           96122.1156
          0,           0,          13,      -6.278409935,      -8.693595854,      -3.525204379,      -3.460878794,     -0.8316827591,   0.0001801163317,   0.0001801163317,      0.3113972243,        291.204149,        89860.9447,        89860.9447,       1.074988373,       298247.7526,       6.967241531,        1.42253135,         110.8407124,        -0.9583128735,                77.91793998,       296.8516592,       296.8516592,       96109.80769,       96109.80769,    0.0001801163317,        89860.9447,         296.8516592,          96109.80769
          0,           0,          14,      -6.301281279,      -8.673898559,      -3.533986492,      -3.464737735,     -0.8520790146,   0.0001796953244,   0.0001796953244,      0.3106587638,       291.2432229,       89870.03814,       89870.03814,       1.074952918,       298260.8885,       6.951185432,       1.419253108,         110.5971145,        -0.9583128735,                77.92627955,       296.8647337,       296.8647337,       96089.21722,       96089.21722,    0.0001796953244,       89870.03814,         296.8647337,          96089.21722
          0,           0,          15,      -6.312273991,      -8.699229266,      -3.542680315,      -3.470092268,     -0.8643073709,   0.0001792631621,   0.0001792631621,      0.3099181732,       291.2719892,       89872.58115,       89872.58115,       1.074877169,       298263.4487,        6.93495671,       1.415939621,         110.3538349,        -0.9583128735,                77.93682248,       296.8672819,       296.8672819,       96061.61078,       96061.61078,    0.0001792631621,       89872.58115,         296.8672819,          96061.61078
          0,           0,          16,       -6.31544448,      -8.678775057,      -3.552982406,      -3.474891594,     -0.8689494149,   0.0001788214695,   0.0001788214695,      0.3091765412,       291.2915445,       89869.20681,       89869.20681,       1.074764655,       298256.5988,       6.918593645,       1.412598705,         110.1108732,        -0.9583128735,                77.94915349,        296.860464,        296.860464,       96027.71648,       96027.71648,    0.0001788214695,       89869.20681,          296.860464,          96027.71648
          0,           0,          17,      -6.321236474,      -8.692816649,      -3.567431274,      -3.477678076,     -0.8738511946,   0.0001783721886,   0.0001783721886,      0.3084349842,       291.3030583,        89860.7162,        89860.7162,       1.074620638,       298241.5794,        6.90213587,       1.409238451,         109.8682141,        -0.9583128735,                77.96282741,       296.8455149,       296.8455149,       95988.44172,       95988.44172,    0.0001783721886,        89860.7162,         296.8455149,          95988.44172
          0,           0,          18,       -6.32969451,      -8.698436539,       -3.58170331,      -3.480534535,     -0.8824859351,   0.0001779176795,   0.0001779176795,      0.3076950163,       291.3076806,       89848.00858,       89848.00858,       1.074451622,       298219.6244,       6.885631549,       1.405868693,         109.6258256,        -0.9583128735,                77.97728634,       296.8236628,       296.8236628,       95944.81324,       95944.81324,    0.0001779176795,       89848.00858,         296.8236628,          95944.81324
          0,           0,          19,      -6.338095348,      -8.697579714,      -3.595510148,      -3.483135669,     -0.8910925592,   0.0001774597375,   0.0001774597375,      0.3069573071,       291.3067413,       89831.97967,       89831.97967,       1.074263403,       298192.1209,        6.86911194,       1.402495814,         109.3836731,        -0.9583128735,                77.99215655,        296.796288,        296.796288,       95897.81794,       95897.81794,    0.0001774597375,       89831.97967,          296.796288,          95897.81794
          0,           0,          20,      -6.346908455,      -8.690727204,      -3.607860297,      -3.485216208,     -0.9001854738,   0.0001770009167,   0.0001770009167,      0.3062236922,       291.3016153,       89813.58207,       89813.58207,       1.074062293,       298160.5428,       6.852634763,       1.399131599,         109.1417075,        -0.9583128735,                78.00674902,       296.7648577,       296.7648577,       95848.54893,       95848.54893,    0.0001770009167,       89813.58207,         296.7648577,          95848.54893
          0,           0,          21,      -6.356915842,      -8.679176479,      -3.618807387,      -3.487089909,     -0.9107834007,   0.0001765447405,   0.0001765447405,      0.3054974291,       291.2936263,       89793.84315,       89793.84315,        1.07385569,       298126.3613,       6.836288795,       1.395794173,         108.8998794,        -0.9583128735,                 78.0200129,       296.7308362,       296.7308362,       95798.23415,       95798.23415,    0.0001765447405,       89793.84315,         296.7308362,          95798.23415
          0,           0,          22,      -6.369723144,       -8.66453175,      -3.629974154,      -3.488080854,     -0.9237819523,   0.0001760940532,   0.0001760940532,       0.304780798,        291.283943,       89773.71655,       89773.71655,       1.073650685,       298090.8528,       6.820138973,       1.392496795,         108.6581441,        -0.9583128735,                78.03116277,       296.6954939,       296.6954939,       95747.98088,       95747.98088,    0.0001760940532,       89773.71655,         296.6954939,          95747.98088
          0,           0,          23,      -6.382595213,      -8.648679377,      -3.640934409,      -3.489528983,     -0.9375631991,   0.0001756511983,   0.0001756511983,       0.304075851,       291.2734696,        89753.9344,        89753.9344,       1.073452697,       298055.0134,       6.804241907,       1.389251024,         108.4164675,        -0.9583128735,                78.03950884,       296.6598223,       296.6598223,       95698.64886,       95698.64886,    0.0001756511983,        89753.9344,         296.6598223,          95698.64886
          0,           0,          24,      -6.394728566,      -8.632739033,      -3.652107419,      -3.491419013,      -0.951063745,     0.00017521759,     0.00017521759,      0.3033852554,       291.2623649,       89734.46183,       89734.46183,       1.073260724,       298019.0977,       6.788659182,       1.386069432,         108.1748467,        -0.9583128735,                78.04432023,       296.6240747,       296.6240747,       95650.30306,       95650.30306,      0.00017521759,       89734.46183,         296.6240747,          95650.30306
          0,           0,          25,      -6.404106514,      -8.617806479,      -3.663822283,      -3.493685414,     -0.9618150744,   0.0001747955301,   0.0001747955301,      0.3027100303,        291.251751,       89716.35651,       89716.35651,       1.073083281,       297984.2865,       6.773426679,       1.382959348,         107.9332181,        -0.9583128735,                78.04511266,       296.5894264,       296.5894264,       95604.10608,       95604.10608,    0.0001747955301,       89716.35651,         296.5894264,          95604.10608
          0,           0,          26,      -6.409531104,      -8.604525106,      -3.676419039,      -3.496397705,     -0.9682778776,   0.0001743863242,   0.0001743863242,       0.302050407,       291.2424682,       89700.36169,       89700.36169,       1.072926165,       297951.4437,       6.758559272,       1.379923806,         107.6915382,        -0.9583128735,                78.04165548,       296.5567374,       296.5567374,        95560.8528,        95560.8528,    0.0001743863242,       89700.36169,         296.5567374,           95560.8528
          0,           0,          27,      -6.410441711,      -8.593240746,       -3.69020187,      -3.499446021,     -0.9696331352,   0.0001739908491,   0.0001739908491,      0.3014066351,       291.2350765,       89686.95592,       89686.95592,       1.072793043,        297921.147,       6.744068904,       1.376965246,         107.4497749,        -0.9583128735,                78.03375956,       296.5265825,       296.5265825,       95521.05609,       95521.05609,    0.0001739908491,       89686.95592,         296.5265825,          95521.05609
          0,           0,          28,      -6.406657821,       -8.58384794,      -3.705119861,      -3.503120301,     -0.9654155138,   0.0001736088028,   0.0001736088028,      0.3007777358,       291.2298838,       89676.33886,       89676.33886,       1.072685173,       297893.6728,       6.729937085,       1.374079892,         107.2079158,        -0.9583128735,                78.02160301,       296.4992369,       296.4992369,       95484.88297,       95484.88297,    0.0001736088028,       89676.33886,         296.4992369,          95484.88297
          0,           0,          29,      -6.400267989,      -8.576345266,      -3.720742427,      -3.507385983,     -0.9571461326,   0.0001732390286,   0.0001732390286,      0.3001618994,       291.2269869,        89668.4841,        89668.4841,       1.072601886,       297869.0527,        6.71612427,       1.371259671,         106.9659644,        -0.9583128735,                78.00562261,       296.4747321,       296.4747321,       95452.22741,       95452.22741,    0.0001732390286,        89668.4841,         296.4747321,          95452.22741
          0,           0,          30,      -6.390975216,      -8.570701787,      -3.737166413,      -3.511940421,     -0.9468628274,   0.0001728796958,   0.0001728796958,      0.2995565519,       291.2263398,       89663.22124,       89663.22124,       1.072541315,       297847.1462,       6.702572169,       1.368492681,         106.7239442,        -0.9583128735,                77.98649248,       296.4529281,       296.4529281,       95422.80101,       95422.80101,    0.0001728796958,       89663.22124,         296.4529281,          95422.80101
          0,           0,          31,      -6.381462285,      -8.566670819,      -3.753620391,       -3.51678192,     -0.9362382769,   0.0001725284314,   0.0001725284314,      0.2989585647,       291.2277575,        89660.2409,        89660.2409,       1.072500444,       297827.6518,         6.6892085,       1.365764163,          106.481892,        -0.9583128735,                77.96506519,       296.4335249,       296.4335249,       95396.14699,       95396.14699,    0.0001725284314,        89660.2409,         296.4335249,          95396.14699
          0,           0,          32,      -6.374080231,      -8.563944612,      -3.769585573,      -3.521868419,     -0.9276107026,   0.0001721842927,   0.0001721842927,       0.298367208,       291.2309217,       89659.23464,       89659.23464,       1.072476755,       297810.2165,       6.676013139,       1.363070011,         106.2398401,        -0.9583128735,                77.94158724,       296.4161712,       296.4161712,       95371.90494,       95371.90494,    0.0001721842927,       89659.23464,         296.4161712,          95371.90494
          0,           0,          33,      -6.369718491,      -8.562290864,      -3.784584798,      -3.527049338,     -0.9221002382,   0.0001718414911,   0.0001718414911,      0.2977747699,       291.2351735,       89659.41314,       89659.41314,       1.072463233,        297793.896,       6.662805878,       1.360373428,         105.9978809,        -0.9583128735,                77.91822356,       296.3999272,       296.3999272,       95348.93101,       95348.93101,    0.0001718414911,       89659.41314,         296.3999272,          95348.93101
          0,           0,          34,       -6.36792789,      -8.561523847,      -3.797149261,       -3.53162821,     -0.9193839178,   0.0001714956739,   0.0001714956739,      0.2971752902,       291.2400688,       89660.23664,       89660.23664,       1.072455056,       297778.0292,       6.649448213,       1.357646136,         105.7560778,        -0.9583128735,                77.89664406,       296.3841346,       296.3841346,       95326.41836,       95326.41836,    0.0001714956739,       89660.23664,         296.3841346,          95326.41836
          0,           0,          35,      -6.370348295,      -8.562433879,      -3.806965953,      -3.535775634,     -0.9208730924,   0.0001711437892,   0.0001711437892,      0.2965642248,       291.2455096,       89661.46832,       89661.46832,       1.072449754,       297762.3591,       6.635837296,       1.354867138,         105.5144663,        -0.9583128735,                77.87809104,       296.3685378,       296.3685378,       95303.93986,       95303.93986,    0.0001711437892,       89661.46832,         296.3685378,          95303.93986
