"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,"Avg_Massflow(HUB)", "Avg_Press(HUB)" ,"Avg_TotalTemp(HUB)","Avg_TotalPress(HUB)"
          0,           0,           0,      -4.113802286,       -15.7685691,      -3.622774639,      -3.825711282,        1.35234167,   3.683293421e-18,   3.683293421e-18,      0.3058301383,       290.1390042,       90134.46838,       90134.46838,       1.081419358,       297341.8494,   1.101799475e-14,   1.303733124e-14,         107.4350867,         0.4001426274,            8.240573529e+15,       295.9499965,       295.9499965,       96575.66672,       96575.66672,    3.683293421e-18,       90134.46838,         295.9499965,          96575.66672
          0,           0,           1,      -4.250454611,      -6.638141788,      -2.660098261,      -2.042378535,       1.216790125,   3.649797238e-18,   3.649797238e-18,      0.2914529913,       291.6651619,       91713.91486,       91713.91486,       1.093044862,       298455.3231,   1.104825369e-14,   1.228980351e-14,         103.6422736,         0.2373786067,            8.433192074e+15,       297.0582582,       297.0582582,       97712.22563,       97712.22563,    3.649797238e-18,       91713.91486,         297.0582582,          97712.22563
          0,           0,           2,      -4.289098824,      -5.954573281,      -2.302700505,      -1.926217959,       1.177052666,   4.156081113e-18,   4.156081113e-18,      0.2766022749,       292.8540348,       93143.85473,       93143.85473,       1.103424583,       299208.5385,   1.194104559e-14,   1.279184976e-14,         98.94387249,            0.1475774,             7.73491515e+15,       297.8079477,       297.8079477,       98659.19494,       98659.19494,    4.156081113e-18,       93143.85473,         297.8079477,          98659.19494
          0,           0,           3,      -4.310289227,      -5.642916695,      -2.172729903,      -1.870500688,       1.154885439,   4.273365282e-18,   4.273365282e-18,      0.2559596447,       294.6318694,        95320.4574,        95320.4574,       1.119791749,       300411.9599,   1.321016578e-14,   1.279885599e-14,          93.7380439,       -0.06130226729,            7.323939264e+15,        299.005736,        299.005736,       100193.1033,       100193.1033,    4.273365282e-18,        95320.4574,          299.005736,          100193.1033
          0,           0,           4,      -4.331998401,      -5.136657412,      -2.105644877,      -1.848670569,       1.133066475,    4.38153219e-18,    4.38153219e-18,      0.2376804048,       296.1334258,       97206.93153,       97206.93153,       1.134046538,        301483.699,   1.212714776e-14,   1.315379011e-14,         88.22633545,         0.1764798064,            6.707293848e+15,       300.0724582,       300.0724582,       101588.8025,       101588.8025,     4.38153219e-18,       97206.93153,         300.0724582,          101588.8025
          0,           0,           5,      -4.358685055,      -4.690028749,      -2.076925689,       -1.84791082,       1.106428935,    4.42552696e-18,    4.42552696e-18,      0.2177279491,       296.4279117,       97780.81753,       97780.81753,       1.137472843,       301302.5057,   1.286999485e-14,   1.315402412e-14,          82.5033858,        0.04462525508,            6.272102366e+15,       299.8921131,       299.8921131,       101630.9109,       101630.9109,     4.42552696e-18,       97780.81753,         299.8921131,          101630.9109
          0,           0,           6,      -4.371345457,      -4.987509574,      -2.070446598,      -1.859807117,       1.093954815,   4.443294626e-18,   4.443294626e-18,      0.1953839816,       297.5886709,        99285.0568,        99285.0568,       1.148688425,        301969.196,   1.265531911e-14,   1.269834312e-14,         76.59530188,       0.006810914782,            6.031913072e+15,       300.5556826,       300.5556826,        102571.341,        102571.341,    4.443294626e-18,        99285.0568,         300.5556826,           102571.341
          0,           0,           7,      -4.378125463,      -5.022524779,      -2.081475371,      -1.878549881,       1.087086382,   4.963993171e-18,   4.963993171e-18,      0.1683952876,       299.2798681,       101379.2167,       101379.2167,       1.164583674,       303100.5077,    1.42720368e-14,   1.370599419e-14,         70.47689867,       -0.07774891859,            5.142049359e+15,       301.6816987,       301.6816987,       104033.2327,       104033.2327,    4.963993171e-18,       101379.2167,         301.6816987,          104033.2327
          0,           0,           8,       -4.38245737,      -5.127072704,      -2.098337912,      -1.898150305,       1.082923003,   5.001444188e-18,   5.001444188e-18,      0.1481241834,       300.5487167,       102929.9889,       102929.9889,       1.176921176,       303971.8751,   1.392031856e-14,   1.368976958e-14,         64.07165105,       -0.03284979399,            4.680257815e+15,       302.5489872,       302.5489872,       105140.4275,       105140.4275,    5.001444188e-18,       102929.9889,         302.5489872,          105140.4275
          0,           0,           9,      -4.390075155,      -5.269846733,      -2.115894289,      -1.913837711,       1.075524263,   5.316069716e-18,   5.316069716e-18,      0.1290264627,       300.8438045,       103399.1081,       103399.1081,        1.18000845,       303901.0715,   1.458839759e-14,   1.373433127e-14,         57.27678838,        -0.1136610106,            4.170336894e+15,        302.478515,        302.478515,        105187.446,        105187.446,    5.316069716e-18,       103399.1081,          302.478515,           105187.446
