"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,  "Pressure_Drop" ,"Avg_Massflow(INLET)","Avg_Massflow(OUTLET)","Avg_Press(INLET)","Avg_Press(OUTLET)","Avg_TotalTemp(INLET)","Avg_TotalTemp(OUTLET)","Avg_TotalPress(INLET)","Avg_TotalPress(OUTLET)"
          0,           0,           0,       -4.90277312,      -2.565302792,      -15.58965904,      -15.48688811,      0.5804397746,   -0.002925716161,   -0.002925716161,      0.6062310756,       572.1600911,       194297.7134,       194297.7134,       2.365954381,       585425.4549,      -6.955226541,        205.547085,     2.934154784e-05,     -6.228351168e-14,            2.869338118e-07,       582.6850869,       582.6850869,       207095.5171,       207095.5171,      -1218.453262,        0.04716246185,        -0.05008817801,       97758.08333,        96539.63007,           291.7060017,            290.9790852,            103738.1458,             103357.3713
          0,           0,           1,      -5.029167062,      -2.598734302,      -7.897861401,      -7.897861401,      0.4422113982,   -0.005676903415,   -0.005676903415,      0.6123511672,       569.1557125,       191127.6405,       191127.6405,       2.339598296,       582595.7861,      -13.45168637,         207.05648,      0.005631982319,     -6.894375182e-08,            5.303829533e-05,       579.8686638,       579.8686638,       204012.1624,       204012.1624,      -2008.185279,        0.04558439058,        -0.05126129399,       96567.91291,        94559.72763,           290.4179548,             289.450709,            102197.2024,               101814.96
          0,           0,           2,      -5.130541289,      -2.632119653,      -5.511067103,      -5.511067103,      0.3311026943,   -0.008077376123,   -0.008077376123,         0.6180068,       567.0162288,       188802.7534,       188802.7534,       2.319820412,       580648.1547,       -19.1440269,       208.5530797,       0.03206800934,     -1.976380194e-06,            0.0002982431176,       577.9301492,       577.9301492,       201821.2443,       201821.2443,      -2551.293398,        0.04430490017,         -0.0523822763,       95677.02341,        93125.73001,           289.4449822,             288.485167,            101025.3729,             100795.8714
          0,           0,           3,      -5.191351568,      -2.659714695,      -4.712158639,      -4.712158639,      0.2654584728,    -0.01004806287,    -0.01004806287,      0.6230793507,       565.5282531,       187116.6427,       187116.6427,       2.305115428,       579352.1229,      -23.88222223,       209.9669429,        0.0578562505,       -5.3792879e-06,             0.000535828276,       576.6401841,       576.6401841,       200290.2704,       200290.2704,      -2973.537866,        0.04332094774,         -0.0533690106,        95045.0903,        92071.55243,           288.7555395,            287.8846445,            100179.6029,             100110.6674
          0,           0,           4,      -5.208125983,      -2.675085728,      -4.449709017,      -4.449709034,      0.2485405001,    -0.01158469882,    -0.01158469882,      0.6276278087,        564.521193,        185920.867,        185920.867,       2.294433888,       578528.6202,       -27.6631811,        211.291312,        0.1002801476,     -1.330581172e-05,            0.0009287722197,       575.8205362,       575.8205362,       199256.7757,       199256.7757,       -3343.72952,         0.0426141743,        -0.05419887312,       94632.29824,        91288.56872,           288.3025167,            287.5180195,            99614.08338,             99642.69233
          0,           0,           5,      -5.210490308,      -2.684499132,      -4.249969012,      -4.249968987,      0.2461916607,    -0.01273742351,    -0.01273742351,      0.6318948206,       563.8265279,       185057.9641,       185057.9641,       2.286558193,       578010.2082,      -30.62140967,       212.5784046,        0.1485249569,     -1.442902876e-05,             0.001364463842,       575.3045509,       575.3045509,       198559.1083,       198559.1083,      -3724.798173,        0.04214712929,        -0.05488455279,       94391.38113,        90666.58296,           288.0359891,            287.2685619,            99272.16322,             99286.94506
          0,           0,           6,      -5.222028055,      -2.700805112,      -4.224132837,      -4.224132389,      0.2326749051,    -0.01363948504,    -0.01363948504,      0.6358267801,        563.303818,       184384.1409,       184384.1409,       2.280303627,          577651.8,      -33.02285132,       213.7847051,        0.1788569012,     -1.108944936e-05,             0.001638736112,       574.9478204,       574.9478204,       198042.9425,       198042.9425,      -4096.177789,        0.04181970335,        -0.05545918839,       94240.15936,        90143.98157,           287.8705561,            287.0772644,            99050.08175,             98992.86071
          0,           0,           7,      -5.235389273,      -2.714820515,      -4.238886506,      -4.238886656,      0.2177599386,    -0.01433244435,    -0.01433244435,      0.6394877848,       562.9312718,       183878.9488,       183878.9488,       2.275516704,        577432.734,      -34.94387728,       214.9284828,        0.2016524897,     -1.114342578e-05,             0.001843143192,       574.7297799,       574.7297799,       197689.1422,       197689.1422,      -4449.621448,        0.04161321777,        -0.05594566212,       94164.28513,        89714.66368,           287.7888101,            286.9409698,            98929.16716,             98759.97508
          0,           0,           8,       -5.24559587,      -2.727646697,      -4.236007417,       -4.23600759,      0.2065864621,     -0.0148549729,     -0.0148549729,      0.6428725137,       562.6661178,       183498.2804,       183498.2804,       2.271830293,       577309.1616,      -36.47513192,       216.0002791,        0.2292724525,     -1.196870947e-05,             0.002085976958,       574.6067859,       574.6067859,       197450.7137,       197450.7137,      -4793.073748,        0.04149881093,        -0.05635378383,       94145.67709,        89352.60334,           287.7680739,            286.8387119,            98884.90714,             98565.80654
          0,           0,           9,      -5.254056544,      -2.739269986,      -4.253511034,      -4.253510346,      0.1973123348,    -0.01524895065,    -0.01524895065,      0.6458510205,       562.4967053,       183226.6902,       183226.6902,       2.269108934,       577264.7278,      -37.68007773,       216.9558339,        0.2560577939,     -1.212862987e-05,             0.002316542191,       574.5625601,       574.5625601,       197306.7812,       197306.7812,       -5095.33923,        0.04144418288,        -0.05669313353,       94161.01472,        89065.67549,           287.7825204,            286.7800397,            98887.19349,             98419.58771
