"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,  "Pressure_Drop" ,"Avg_Massflow(INLET)","Avg_Massflow(OUTLET)","Avg_Press(INLET)","Avg_Press(OUTLET)","Avg_TotalTemp(INLET)","Avg_TotalTemp(OUTLET)","Avg_TotalPress(INLET)","Avg_TotalPress(OUTLET)"
          0,           0,           0,      -4.814804663,      -2.724882025,      -3.578970919,      -3.576068485,      0.3147156729,   -0.001421500611,   -0.001421500611,       0.605794519,       573.7686225,       187768.4048,       187768.4048,       2.280075532,       587048.2631,      -3.841410632,       205.0931421,         15.69741121,      2.205702934e-07,               0.1530061505,       584.3002988,       584.3002988,       200109.4588,       200109.4588,       -922.775024,        0.04604836142,        -0.04746986203,       94345.58992,         93422.8149,           292.3485402,            291.9517586,            100299.5438,             99809.91501
          0,           0,           1,      -4.837504874,      -2.738405371,      -3.604672137,      -3.604526638,       0.154216694,   -0.002726024362,   -0.002726024362,      0.6099145534,       571.9785315,       186199.5359,       186199.5359,       2.268164242,       585369.5009,      -7.266036659,       206.2086644,          15.0606784,     -1.896579773e-05,               0.1458037428,       582.6293949,       582.6293949,       198616.5889,       198616.5889,      -1532.479647,        0.04539612723,        -0.04812215159,        93866.0078,        92333.52815,           291.5465333,            291.0828616,            99661.37494,             98955.21401
          0,           0,           2,      -4.847675116,      -2.747968673,      -3.622498256,      -3.624636424,     0.04565224613,   -0.003866540525,   -0.003866540525,      0.6139288408,        570.629953,       185042.9841,       185042.9841,       2.259515744,        584142.492,      -10.26025674,       207.3531027,         14.45763129,     -8.835234017e-05,               0.1388709718,       581.4081296,       581.4081296,       197561.6397,       197561.6397,      -2001.469901,        0.04489406724,        -0.04876060776,         93522.227,         91520.7571,           290.9016094,            290.5065202,            99195.03717,             98366.60254
          0,           0,           3,      -4.852871962,      -2.755469729,      -3.635434731,      -3.638311573,    -0.01349869191,   -0.004807624923,   -0.004807624923,      0.6176883928,       569.6172761,       184199.4822,       184199.4822,       2.253374828,       583251.9093,       -12.7599161,       208.4585344,         13.88811517,      -0.000235113091,               0.1322726177,       580.5217157,       580.5217157,       196831.2684,       196831.2684,      -2379.707994,        0.04453094631,        -0.04933857123,       93289.59509,        90909.88709,           290.3904711,            290.1312445,            98873.52142,             97957.74694
          0,           0,           4,      -4.855895867,      -2.761138463,      -3.643995671,      -3.647195181,    -0.03485740994,   -0.005555280303,   -0.005555280303,      0.6212493239,       568.8391612,       183576.2803,       183576.2803,       2.249026309,       582594.5306,      -14.80047769,       209.5262458,         13.35433012,     -0.0004790773073,               0.1260485002,       579.8674141,       579.8674141,       196327.6876,       196327.6876,      -2716.013483,        0.04429038102,        -0.04984566133,       93146.14688,         90430.1334,           289.9900598,            289.8773544,            98671.23792,             97656.44972
          0,           0,           5,      -4.858833364,      -2.766567104,      -3.648883065,      -3.650843335,    -0.05287114192,   -0.006144489057,   -0.006144489057,      0.6246324073,       568.2125826,       183098.9388,       183098.9388,       2.245894883,       582085.4409,      -16.46427966,       210.5483264,         12.85736252,     -0.0008373784106,                0.120232624,       579.3607075,       579.3607075,       195971.8705,       195971.8705,      -3027.341326,        0.04414172045,        -0.05028620951,       93063.14007,        90035.79874,           289.6669376,              289.69377,            98552.70178,             97419.16869
          0,           0,           6,      -4.861436041,      -2.771348294,      -3.652778911,      -3.654923872,    -0.06344167148,   -0.006590908512,   -0.006590908512,      0.6277884636,       567.7100534,       182745.6065,       182745.6065,       2.243826841,       581694.0725,      -17.77415063,       211.5038365,         12.40326925,      -0.001317206833,                 0.11491119,       578.9711711,       578.9711711,       195738.0874,       195738.0874,      -3303.858171,        0.04407012889,         -0.0506610374,       93024.73233,        89720.87415,           289.3994452,            289.5717259,            98498.78657,              97239.3008
          0,           0,           7,      -4.863565034,      -2.776058281,      -3.653629825,      -3.654947963,    -0.06326691853,   -0.006918823597,   -0.006918823597,      0.6306701944,       567.3182171,       182499.9279,       182499.9279,       2.242676291,       581404.7427,      -18.77289061,       212.3744623,         11.99697271,      -0.001926414554,               0.1101538074,       578.6831957,       578.6831957,       195606.9395,       195606.9395,      -3540.611478,        0.04405712283,        -0.05097594643,       93020.26968,         89479.6582,           289.1811627,             289.502033,            98494.68682,             97112.25264
          0,           0,           8,      -4.866003968,      -2.780602603,      -3.651874319,      -3.652086846,     -0.0693187992,   -0.007147929555,   -0.007147929555,      0.6332998482,       567.0011546,       182325.8641,       182325.8641,       2.242142384,       581181.4251,      -19.51419441,       213.1622012,         11.64622171,      -0.002647715774,               0.1060390126,       578.4609234,       578.4609234,       195540.8171,       195540.8171,       -3751.80919,        0.04408722499,        -0.05123515455,       93038.83663,        89287.02744,           289.0024393,            289.4584841,            98525.85635,             97014.96076
          0,           0,           9,      -4.868692072,       -2.78450535,      -3.649715802,      -3.649113926,    -0.07842417507,   -0.007299563963,   -0.007299563963,      0.6357334146,       566.7330869,        182200.558,        182200.558,        2.24204688,        580999.948,      -20.05026837,       213.8842069,         11.35486659,      -0.003446800628,               0.1025996265,       578.2802957,       578.2802957,       195517.7826,       195517.7826,      -3941.427756,        0.04414992596,        -0.05144948992,        93070.9929,        89129.56515,           288.8503154,            289.4299803,            98580.30341,             96937.47921
