"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,  "Pressure_Drop" ,"Avg_Massflow(INLET)","Avg_Massflow(OUTLET)","Avg_Press(INLET)","Avg_Press(OUTLET)","Avg_TotalTemp(INLET)","Avg_TotalTemp(OUTLET)","Avg_TotalPress(INLET)","Avg_TotalPress(OUTLET)"
          0,           0,           0,      -5.243053535,       -2.71375484,      -15.60081327,      -2.644902542,      0.2471272649,   -0.002031644927,   -0.002031644927,      0.6655367526,       574.5350655,       188185.0771,       188185.0771,       2.282069335,       590030.5878,      -4.824771659,       204.8347227,         95.78905738,      4.739898085e-08,                0.934828753,       587.2686632,       587.2686632,       203191.5176,       203191.5176,      -370.7455421,         0.0457268654,        -0.04775851033,       94277.91131,        93907.16577,            293.329946,            293.9387172,            101375.0842,             101816.4335
          0,           0,           1,      -5.312218637,      -2.799162594,      -8.167145637,      -2.673404051,      0.1744039796,   -0.003690164363,   -0.003690164363,      0.6640326479,       573.0126571,       186668.4876,       186668.4876,        2.26969004,       588432.9716,      -8.894630641,       205.7592333,         91.74528644,      2.001091806e-07,               0.8899573219,       585.6785255,       585.6785255,       201511.8525,       201511.8525,       -753.570418,        0.04484835559,        -0.04853851995,       93711.02899,        92957.45857,           292.2856577,            293.3928678,             100384.251,             101127.6014
          0,           0,           2,      -5.368876722,      -2.871172744,      -6.666502959,      -2.700085286,      0.1123243749,   -0.004993154661,   -0.004993154661,      0.6631438151,       571.7051419,       185429.6605,       185429.6605,       2.259779437,       587087.1883,      -12.22576051,       206.7685004,         87.87919736,     -9.836408714e-07,               0.8460311696,       584.3390418,       584.3390418,       200168.3343,       200168.3343,      -1152.531926,        0.04421275929,        -0.04920591395,        93291.0962,        92138.56427,           291.4229098,             292.916132,            99629.51319,             100538.8211
          0,           0,           3,      -5.402671554,      -2.914663445,      -5.723930838,      -2.729318843,     0.07188864583,   -0.005949256889,   -0.005949256889,      0.6628652735,       570.6296776,       184471.6909,       184471.6909,       2.252335547,       586004.3954,      -14.81056654,       207.8347684,         84.26326162,     -3.193951626e-06,               0.8041288118,       583.2613175,       583.2613175,       199156.0018,       199156.0018,      -1561.119057,        0.04381090686,        -0.04976016375,       93016.40499,        91455.28593,           290.7466412,            292.5146763,            99104.27571,              100051.726
          0,           0,           4,      -5.420541254,      -2.937378688,      -5.338802084,       -2.75334165,     0.04902017213,   -0.006643244912,   -0.006643244912,      0.6632038979,       569.7392074,       183722.1861,       183722.1861,       2.246680846,       585133.4147,      -16.82762352,       208.9552224,         80.91265787,     -3.327349856e-06,               0.7646536897,       582.3944138,       582.3944138,       198393.1634,       198393.1634,      -1984.107443,         0.0435868739,        -0.05023011881,       92853.14678,        90869.03934,           290.2277115,            292.1667023,            98757.51557,              99635.6478
          0,           0,           5,      -5.440390455,      -2.965308676,      -5.076146878,      -2.764892247,     0.02466591714,   -0.007166950698,   -0.007166950698,      0.6637629684,       568.9788635,       183119.9628,       183119.9628,       2.242297595,       584402.4998,      -18.44995242,       210.0420115,         77.65943821,     -1.964833602e-06,               0.7263352519,       581.6669203,       581.6669203,       197795.9867,       197795.9867,      -2386.487106,        0.04346545227,        -0.05063240297,       92753.22497,        90366.73787,           289.7999689,            291.8669514,            98514.46551,             99281.52124
          0,           0,           6,      -5.449938499,      -2.981200851,      -4.878985677,      -2.781188753,    0.009692949549,   -0.007530500821,   -0.007530500821,      0.6646203061,       568.3403716,       182656.7708,       182656.7708,       2.239125826,       583804.2885,       -19.6995515,       211.0898128,         74.62639279,     -5.396265327e-06,               0.6905696993,       581.0715092,       581.0715092,       197357.1351,       197357.1351,      -2772.391331,        0.04343997845,        -0.05097047927,       92714.58106,        89942.18973,           289.4591121,            291.6123971,            98373.15145,             98983.98369
          0,           0,           7,      -5.453696148,      -2.986579061,      -4.781191334,      -2.795128203,    0.001948836676,   -0.007740173089,   -0.007740173089,      0.6656765447,       567.8307733,       182329.0653,       182329.0653,       2.237100959,       583340.8759,      -20.57778889,       212.0814369,         71.81680222,     -6.892106391e-06,               0.6575938364,       580.6102658,       580.6102658,       197067.1573,       197067.1573,      -3134.592117,        0.04350331199,        -0.05124348508,       92731.82871,         89597.2366,           289.2062685,            291.4039973,            98324.71267,             98742.44465
          0,           0,           8,      -5.462786566,      -2.997210964,      -4.685722899,      -2.803481626,    -0.01183581704,   -0.007856570362,   -0.007856570362,      0.6668057381,       567.4031158,       182091.8335,       182091.8335,       2.235860665,        582960.841,      -21.22261761,        213.003255,         69.11456251,     -8.992696443e-06,               0.6262006264,       580.2320099,       580.2320099,       196873.8954,       196873.8954,      -3471.937012,        0.04361465347,        -0.05147122383,       92781.88524,        89309.94823,            289.001516,            291.2304938,            98331.28277,             98542.61264
          0,           0,           9,       -5.46502972,      -3.002153797,      -4.672253014,      -2.814565922,    -0.01845603227,   -0.007890771303,   -0.007890771303,      0.6679122778,       567.0524747,       181933.4442,       181933.4442,       2.235285539,       582655.0126,      -21.64136514,       213.8193085,           66.581641,     -1.111986703e-05,               0.5971900211,        579.927613,        579.927613,       196760.4656,       196760.4656,      -3767.139898,         0.0437587534,         -0.0516495247,       92850.29207,        89083.15217,           288.8350678,            291.0925452,            98375.72832,             98384.73724
          0,           0,          10,      -5.468000224,      -3.009254241,      -4.600980098,        -2.8236703,    -0.02540182523,   -0.007862234916,   -0.007862234916,      0.6688623493,       566.7735178,       181844.8184,       181844.8184,       2.235287967,       582413.2397,      -21.86835713,       214.4966975,         64.20125609,     -1.360840125e-05,               0.5704459043,       579.6869719,       579.6869719,       196711.9201,       196711.9201,       -4011.63714,        0.04391715956,        -0.05177939448,       92928.22778,        88916.59064,           288.6963644,            290.9906075,             98443.1124,             98268.80768
          0,           0,          11,      -5.479721264,      -3.019650129,       -4.66836805,      -2.829880249,    -0.03929350608,   -0.007805618349,   -0.007805618349,      0.6698723457,       566.5330172,       181788.8761,       181788.8761,        2.23554191,       582210.9338,      -22.00737894,       215.1148647,         62.00644078,      -1.68661769e-05,               0.5459949936,       579.4856129,       579.4856129,       196699.0945,       196699.0945,      -4232.362808,        0.04408259268,        -0.05188821103,       93010.61945,        88778.25664,           288.5796113,            290.9060016,            98525.98809,             98173.10638
          0,           0,          12,      -5.488876297,      -3.029699321,      -4.717250937,      -2.833581256,    -0.05023022948,   -0.007720491763,   -0.007720491763,      0.6708618696,       566.3342357,       181766.9076,       181766.9076,       2.236051295,       582048.3464,      -22.05027696,       215.6574228,         60.01444507,     -2.029801249e-05,                0.524055579,       579.3237867,       579.3237867,       196719.9416,       196719.9416,      -4422.797894,         0.0442519994,        -0.05197249116,       93094.85273,        88672.05484,           288.4829298,            290.8408569,            98619.94069,             98100.00092
          0,           0,          13,      -5.492300326,      -3.035628905,      -4.796667237,      -2.838792475,     -0.0558046166,   -0.007610587407,   -0.007610587407,      0.6716968134,       566.1776726,       181780.3286,       181780.3286,       2.236832593,       581921.1652,      -22.00018664,       216.0957366,         58.16901544,     -2.427133444e-05,                0.504092709,       579.1972008,       579.1972008,       196770.4368,       196770.4368,      -4577.822077,        0.04441763651,        -0.05202822392,       93179.07536,        88601.25328,           288.4004721,            290.7967287,            98719.28107,             98051.15568
          0,           0,          14,      -5.496335689,      -3.042617961,      -4.777528598,      -2.840931607,    -0.06202937455,   -0.007485366777,   -0.007485366777,      0.6723831475,       566.0588021,       181820.6904,       181820.6904,       2.237799443,       581825.3648,      -21.87960844,       216.4384904,         56.49990659,     -2.890944824e-05,               0.4863424415,       579.1018488,       579.1018488,       196842.1813,       196842.1813,      -4699.675126,        0.04457476687,        -0.05206013365,       93260.18277,        88560.50765,           288.3312947,            290.7705541,            98819.17971,             98023.00163
          0,           0,          15,      -5.502329538,      -3.050326341,      -4.858185217,      -2.840801973,    -0.06956944215,   -0.007355542523,   -0.007355542523,      0.6729716095,       565.9649012,       181875.5653,       181875.5653,       2.238848354,       581750.4164,      -21.72206128,       216.7114438,         55.00800041,     -3.389363605e-05,               0.4706886559,       579.0272513,       579.0272513,       196924.5506,       196924.5506,      -4797.405827,        0.04472120992,        -0.05207675244,       93336.48559,        88539.07976,           288.2712813,              290.75597,            98916.39368,             98008.15695
          0,           0,          16,       -5.50820744,      -3.057353573,      -4.882348135,      -2.839855204,    -0.07660353964,   -0.007227518884,   -0.007227518884,      0.6734820542,       565.8843442,       181935.6635,       181935.6635,       2.239910946,       581685.5363,       -21.5456451,       216.9283942,         53.69451017,     -3.879447367e-05,               0.4570669775,       578.9626748,       578.9626748,       197008.7833,       197008.7833,      -4872.979951,        0.04485519484,        -0.05208271373,       93404.32174,        88531.34179,           288.2129985,            290.7496763,            99005.96552,             98002.81774
          0,           0,          17,      -5.511784588,       -3.06265977,      -4.968188442,       -2.84723727,    -0.08140987491,   -0.007102706474,   -0.007102706474,        0.67387092,       565.8199356,       182000.6452,       182000.6452,       2.240971738,       581632.0879,      -21.35096553,       217.0851342,         52.46727148,     -4.333994973e-05,                0.444525663,       578.9094767,       578.9094767,       197092.7479,       197092.7479,      -4924.951756,        0.04497477253,        -0.05207747901,        93462.7985,        88537.84674,           288.1576067,              290.75187,            99085.49515,             98007.25277
          0,           0,          18,      -5.515584924,      -3.067840752,      -5.007422129,      -2.851608787,    -0.08611928118,   -0.006982001989,   -0.006982001989,        0.67415355,        565.771794,       182070.9369,       182070.9369,       2.242034847,       581590.8981,      -21.14443447,       217.1900149,         51.36640962,     -4.707000453e-05,               0.4334341665,       578.8684797,       578.8684797,       197177.6376,       197177.6376,      -4958.353474,        0.04508130436,        -0.05206330635,       93514.64519,        88556.29171,           288.1071963,            290.7612834,             99157.5949,              98020.0427
          0,           0,          19,       -5.52038989,      -3.073159384,      -5.043626082,      -2.852825414,    -0.09156458479,   -0.006869956548,   -0.006869956548,      0.6743531747,       565.7358585,       182142.8546,       182142.8546,       2.243070167,        581558.974,      -20.94304611,       217.2548668,         50.50766911,     -5.009697352e-05,               0.4249079706,       578.8367049,       578.8367049,       197260.7022,       197260.7022,      -4980.342262,         0.0451742568,        -0.05204421334,       93561.59844,        88581.25618,             288.06205,             290.774655,            99223.32332,             98037.37889
