"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,  "Pressure_Drop" ,"Avg_Massflow(INLET)","Avg_Massflow(OUTLET)","Avg_Press(INLET)","Avg_Press(OUTLET)","Avg_TotalTemp(INLET)","Avg_TotalTemp(OUTLET)","Avg_TotalPress(INLET)","Avg_TotalPress(OUTLET)"
          0,           0,           0,      -3.858616975,      -1.846458945,        -1.6750666,     -0.6279161094,        1.61265415,   -0.001908809332,   -0.001908809332,        0.67395386,       573.6504348,       187716.7318,       187716.7318,        2.27990449,       589550.6213,      -4.567580342,       204.8311363,         103.0881699,     -0.0001434520801,                1.006116427,       586.7909435,       586.7909435,         203289.28,         203289.28,      -363.1468913,        0.04572670506,        -0.04763551439,       94039.93934,        93676.79245,           293.1102633,            293.6806802,            101390.7992,             101898.4808
          0,           0,           1,      -4.080688752,      -2.066125341,      -1.663308442,     -0.7052407726,       1.373252645,   -0.003138676557,   -0.003138676557,      0.7034107582,       569.7895453,        185605.611,        185605.611,       2.269934039,       587239.4751,      -7.703451603,       205.8884395,         124.1079797,      -0.001600391075,                1.204177035,       584.4906158,       584.4906158,       203534.3432,       203534.3432,      -664.4059385,        0.04506823287,        -0.04820690942,       93135.00845,        92470.60251,            291.751987,            292.7386288,            101068.8422,              102465.501
          0,           0,           2,      -3.855852499,      -1.845182701,      -1.638838872,     -0.7526500901,       1.574592426,   -0.003617580292,   -0.003617580292,      0.7455838051,       565.0271033,       183980.0195,       183980.0195,       2.271048215,       585196.4039,      -9.153077713,       207.2955811,         150.9519367,      -0.007510418281,                1.453834401,       582.4571082,       582.4571082,       207050.5669,       207050.5669,      -776.3721833,        0.04496466769,        -0.04858224799,       92378.19586,        91601.82368,           290.5908713,            291.8662369,            101701.2312,             105349.3356
          0,           0,           3,       -3.77431362,      -1.760699368,      -1.620824818,     -0.7848750104,       1.637207454,   -0.003142936654,   -0.003142936654,      0.7875784323,       560.3102788,       182638.7367,       182638.7367,       2.277486696,        583462.374,      -8.536884495,       208.9690784,         171.3157133,       -0.02002277654,                1.636111575,       580.7311952,       580.7311952,       212728.6237,       212728.6237,      -743.8617886,        0.04537173201,        -0.04851466867,       91691.29925,        90947.43746,           289.6761813,            291.0550139,            102687.2986,              110041.325
          0,           0,           4,      -3.781474286,      -1.763379738,      -1.612318943,     -0.8096500201,        1.61741512,   -0.001938723866,   -0.001938723866,      0.8367124319,       555.4088864,        182021.678,        182021.678,       2.297667109,       582171.9414,      -6.162523067,       210.7275677,         189.4085953,       -0.03931307027,                1.794681334,       579.4468031,       579.4468031,       223001.5466,       223001.5466,      -369.7052455,        0.04622328566,        -0.04816200953,       91195.69162,        90825.98638,           289.0506903,            290.3961129,            104382.7277,             118618.8189
          0,           0,           5,      -3.794361391,      -1.771837434,      -1.603731469,     -0.8319449831,       1.596059102,  -0.0001463440901,  -0.0001463440901,      0.8945142022,       550.3697562,       182140.8063,       182140.8063,       2.331990473,       581328.2071,      -2.440628971,       212.3939134,         206.9685263,       -0.06413715549,                 1.95019103,       578.6070183,       578.6070183,        238380.052,        238380.052,       339.3341745,        0.04740243172,        -0.04754877581,       90900.73608,        91240.07026,           288.6978974,            289.9091208,            106719.2254,             131660.8267
          0,           0,           6,      -3.813297928,      -1.786983099,      -1.597722595,     -0.8522810199,       1.573856357,    0.002297496277,    0.002297496277,      0.9487176402,       545.7992416,       182431.2967,       182431.2967,       2.370115756,       580636.9177,       2.278781412,       214.0797492,         218.4207096,       -0.09446919227,                2.052091414,       577.9189649,       577.9189649,       256888.6925,       256888.6925,        1147.36756,        0.04879696915,        -0.04649947287,       90641.96455,        91789.33211,           288.5239834,            289.3949814,            108859.0862,             148029.6062
          0,           0,           7,      -3.834980623,      -1.802473501,      -1.592222558,     -0.8646417064,       1.556401421,    0.005204589203,    0.005204589203,       1.001789569,       541.5480935,       182761.9305,       182761.9305,       2.409730047,        580041.245,       7.398395713,       215.7418253,         227.5019489,        -0.1289558953,                2.137374551,       577.3260804,       577.3260804,       277959.1777,       277959.1777,          1968.693,        0.05031830664,        -0.04511371744,       90396.61875,        92365.31175,           288.4903761,            288.8357043,            110815.1543,             167144.0234
          0,           0,           8,      -3.832724376,      -1.793957268,      -1.585665646,      -0.862793524,       1.569715585,    0.008424522188,    0.008424522188,       1.044553328,       537.7298399,       182711.8157,       182711.8157,       2.445428913,       579329.9028,       15.24229713,       217.3333605,         235.3330005,        -0.1223115951,                2.217890253,        576.618068,        576.618068,       301907.8672,       301907.8672,       2353.739453,        0.05191262388,        -0.04348810169,       90179.03812,        92532.77757,           288.5466035,            288.0714645,            112594.6468,             189313.2204
          0,           0,           9,      -3.826953776,      -1.777396032,      -1.577405522,     -0.8561695928,       1.584922498,     0.01189555986,     0.01189555986,       1.082734717,       534.5003164,       182534.1773,       182534.1773,       2.479703486,       578827.4985,       24.67602464,       218.7716407,         241.9271312,       -0.08613996174,                2.295104535,       576.1180154,       576.1180154,       330216.9308,       330216.9308,       2655.807942,        0.05352097111,        -0.04162541124,        89939.1847,        92594.99264,           288.6370809,            287.4809345,            114054.4911,             216162.4397
