"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,  "Pressure_Drop" ,"Avg_Massflow(INLET)","Avg_Massflow(OUTLET)","Avg_Press(INLET)","Avg_Press(OUTLET)","Avg_TotalTemp(INLET)","Avg_TotalTemp(OUTLET)","Avg_TotalPress(INLET)","Avg_TotalPress(OUTLET)"
          0,           0,           0,      -4.136068846,      -1.701781763,      -1.640396042,      -1.583696958,        1.50016022,      0.3417340938,      0.3417340938,       1.221875583,       740.6876314,       360018.7548,       360018.7548,       3.183191573,       840154.2398,       477.5240005,       450.4258919,         105.5238894,        -0.1352178762,               0.2964794037,       836.2214902,       836.2214902,       622554.5632,       622554.5632,       171081.4844,        0.06372056049,          0.2780135334,       94468.63519,        265550.1196,           288.1438874,            548.0776028,            99291.54838,             523263.0148
          0,           0,           1,      -4.133714614,      -1.705940849,      -1.642724208,      -1.582715252,       1.505881134,      0.3423349579,      0.3423349579,        1.22678063,       740.3237984,       358887.8895,       358887.8895,       3.176184488,       840495.5886,       479.3619908,       452.5802166,         105.5922926,        -0.1330825158,               0.2949355596,       836.5612411,       836.5612411,       622775.2225,       622775.2225,       169946.9055,        0.06372087177,          0.2786140861,       94470.49201,        264417.3975,           288.1454867,            548.4157544,            99293.27098,             523481.9516
          0,           0,           2,      -4.138875054,      -1.710845591,       -1.65873604,      -1.585278889,       1.504584459,       0.342945133,       0.342945133,       1.231531866,       739.9342012,       357832.0794,       357832.0794,       3.169822438,       840774.7888,       481.0908374,       454.7115183,          105.652653,        -0.1305833029,               0.2934067139,       836.8391344,       836.8391344,       622989.1631,       622989.1631,       168878.3909,          0.063711033,             0.2792341,       94476.84424,        263355.2351,           288.1493584,             548.689776,             99297.7592,             523691.4039
          0,           0,           3,      -4.152893396,      -1.717082702,      -1.683754575,      -1.588060564,       1.494467837,      0.3435933085,      0.3435933085,       1.236279806,       739.6225363,       356912.6078,       356912.6078,       3.164129697,       841156.8509,        482.829526,       456.8669518,         105.7023485,        -0.1280233485,               0.2918374669,        837.219408,        837.219408,       623486.4644,       623486.4644,       167932.8271,        0.06368327785,          0.2799100306,       94489.89034,        262422.7174,           288.1562919,            549.0631161,             99305.9539,             524180.5105
          0,           0,           4,      -4.168316233,      -1.722027193,      -1.710086249,      -1.589613917,       1.479997545,      0.3444850225,      0.3444850225,       1.241336035,       739.3834127,       356227.9735,       356227.9735,       3.159941155,       841698.7053,       484.7178563,        459.157432,         105.7576496,        -0.1254946798,               0.2901784057,        837.758726,        837.758726,       624636.5638,       624636.5638,       167203.4152,         0.0636280345,           0.280856988,       94512.27916,        261715.6944,           288.1671901,             549.591536,            99318.96657,             525317.5973
          0,           0,           5,      -4.181873765,      -1.726291535,      -1.728740596,      -1.594616597,       1.466219909,      0.3453385982,      0.3453385982,       1.246368387,        739.171974,        355609.386,        355609.386,       3.156201159,       842300.3418,         486.57673,        461.418245,         105.8427771,        -0.1229843708,               0.2886229852,       838.3575462,       838.3575462,       626037.2771,       626037.2771,       166517.1386,        0.06353506623,           0.281803532,       94546.12374,        261063.2623,           288.1825264,            550.1750198,            99337.33372,             526699.9433
          0,           0,           6,      -4.192226084,      -1.733261864,      -1.738062712,      -1.601427354,       1.454762481,      0.3458766642,      0.3458766642,       1.250966276,       738.9092799,       354874.6948,       354874.6948,       3.151898728,       842806.7536,       488.1939794,       463.4745897,         105.9364967,        -0.1203791545,               0.2872459972,       838.8615876,       838.8615876,       627143.1414,       627143.1414,       165687.3489,        0.06339199832,          0.2824846659,       94593.67294,        260281.0219,           288.2026638,            550.6589238,            99361.47986,             527781.6616
          0,           0,           7,      -4.196616936,      -1.741906195,      -1.742941786,      -1.608413754,       1.450265723,      0.3461874633,      0.3461874633,       1.255123771,       738.6230765,       354109.4446,       354109.4446,       3.147549439,       843257.8436,       489.5882465,       465.3495504,         106.0286481,        -0.1176554782,               0.2860040947,       839.3105661,       839.3105661,       628128.3908,       628128.3908,       164793.5445,        0.06318395227,          0.2830035111,       94657.95004,        259451.4945,           288.2284366,            551.0821295,            99392.34393,             528736.0469
          0,           0,           8,      -4.197434841,      -1.747224567,       -1.74596934,       -1.61718224,       1.449786384,      0.3463924381,      0.3463924381,       1.258833916,       738.3613821,       353417.0658,       353417.0658,       3.143730878,       843718.0222,        490.788761,       467.0930861,         106.0991944,        -0.1147208482,               0.2848167942,       839.7685905,       839.7685905,        629211.353,        629211.353,       163933.1354,        0.06289298055,          0.2834994575,        94741.9652,        258675.1006,           288.2604741,            551.5081164,            99430.64133,             529780.7117
          0,           0,           9,      -4.196405011,      -1.752538493,       -1.75013322,      -1.628389907,       1.449375359,      0.3461676361,      0.3461676361,       1.261650802,       738.0441837,       352594.4788,       352594.4788,       3.139254556,       844023.0351,        491.569999,       468.4963086,         106.1416446,        -0.1115888311,               0.2838395449,       840.0721757,       840.0721757,       629807.3608,       629807.3608,       162896.6975,        0.06249895708,           0.283668679,       94848.89066,        257745.5882,           288.2996481,            551.7725276,            99477.31413,             530330.0466
