"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,  "Pressure_Drop" ,"Avg_Massflow(INLET)","Avg_Massflow(OUTLET)","Avg_Press(INLET)","Avg_Press(OUTLET)","Avg_TotalTemp(INLET)","Avg_TotalTemp(OUTLET)","Avg_TotalPress(INLET)","Avg_TotalPress(OUTLET)"
          0,           0,           0,       -5.29448162,      -2.921976791,       -3.24313172,      -3.214686896,      0.1123644046,  -0.0009530417399,  -0.0009530417399,      0.6016398498,       565.2281532,       185142.8038,       185142.8038,       2.282131246,       578165.3671,      -2.212714416,       202.7521591,         1.556749763,      -3.14716854e-07,              0.01535669854,       575.4589835,       575.4589835,        197138.573,        197138.573,      -1050.136882,        0.06978570171,        -0.07073874345,       93096.47032,        92046.33344,           288.0533038,            287.4056797,            98985.07107,             98153.50189
          0,           0,           1,        -5.3445698,      -2.992331079,      -3.255856046,      -3.229247066,     0.07657102083,   -0.001763953129,   -0.001763953129,      0.6088517719,       564.5842002,       184424.4302,       184424.4302,       2.275834453,       577756.8033,      -4.107676563,       205.0606353,         1.628301475,     -6.942672148e-07,              0.01588137421,       575.0523322,       575.0523322,       196668.9772,       196668.9772,      -1923.837351,        0.06997655634,        -0.07174050946,        93174.1338,        91250.29645,           288.1200379,            286.9322943,            99091.55559,             97577.42165
          0,           0,           2,      -5.398356502,      -3.050613398,      -3.346023572,      -3.275649863,     0.03038924463,   -0.002447790583,   -0.002447790583,      0.6148525422,       564.0323169,       183820.6092,       183820.6092,       2.270558369,       577403.4276,      -5.711758062,       206.9738629,         1.722641457,     -1.049668678e-06,              0.01664140011,       574.7006106,       574.7006106,       196273.1536,       196273.1536,      -2643.451373,        0.07012020496,        -0.07256799554,       93232.03026,        90588.57889,           288.1660278,            286.5345827,            99171.14228,             97102.01133
          0,           0,           3,      -5.437097448,      -3.094874367,      -3.428251007,      -3.299038419,   -0.001577154194,   -0.003011220449,   -0.003011220449,      0.6196786467,       563.5734452,       183326.4982,       183326.4982,        2.26625314,       577105.9033,       -7.03060368,       208.5065705,         1.823066588,     -1.880445716e-06,              0.01747142268,        574.404479,        574.404479,       195946.6939,       195946.6939,      -3216.827941,        0.07022039163,        -0.07323161208,       93271.66309,        90054.83515,           288.1935461,            286.2109329,            99225.88629,             96720.80764
          0,           0,           4,      -5.461764743,      -3.123723495,      -3.501830978,      -3.313658939,     -0.0215830803,   -0.003454408381,   -0.003454408381,      0.6233947438,       563.2082685,       182939.4928,       182939.4928,       2.262894126,       576865.9603,      -8.065902505,       209.6824372,         1.921815497,     -3.164253429e-06,              0.01829862437,       574.1656592,       574.1656592,       195688.9115,       195688.9115,      -3655.075339,         0.0702871306,        -0.07374153898,       93297.28407,        89642.20873,           288.2068344,            285.9588247,            99261.53989,             96427.37157
          0,           0,           5,      -5.485748902,      -3.146107375,      -3.562049082,      -3.324775074,    -0.04115227246,   -0.003806027294,   -0.003806027294,      0.6262536137,       562.9167762,       182635.0498,       182635.0498,       2.260262928,       576671.3627,      -8.881633886,       210.5836742,         2.016386002,     -5.101834165e-06,              0.01909675155,       573.9719725,       573.9719725,       195483.7896,       195483.7896,      -3989.833808,        0.07032871316,        -0.07413474045,        93312.4418,        89322.60799,           288.2096293,            285.7623432,            99282.90543,             96200.88421
          0,           0,           6,      -5.496866274,      -3.159626542,      -3.605629789,      -3.329988106,    -0.05101686939,   -0.004073541189,   -0.004073541189,      0.6283643363,       562.6928824,       182405.1837,       182405.1837,       2.258288568,       576519.2767,      -9.497644585,       211.2464397,         2.106562056,     -8.282155213e-06,              0.01986464094,       573.8205984,       573.8205984,       195327.1286,       195327.1286,      -4235.231488,        0.07035249388,        -0.07442603507,       93320.20757,        89084.97608,           288.2053207,            285.6152777,            99294.17745,             96032.95116
          0,           0,           7,      -5.508379506,      -3.170262973,      -3.642924236,      -3.340119325,    -0.06074336296,    -0.00426240964,    -0.00426240964,      0.6298183367,          562.5314,       182243.4709,       182243.4709,       2.256914245,       576407.3354,      -9.929931758,       211.7009229,         2.192900024,     -1.213342628e-05,              0.02060843158,       573.7091811,       573.7091811,       195215.7353,       195215.7353,      -4403.059329,        0.07036486761,        -0.07462727725,       93323.26509,        88920.20576,            288.196875,            285.5123062,            99299.01736,             95916.71795
          0,           0,           8,      -5.520054556,      -3.180583321,      -3.668989628,       -3.35082009,    -0.07039906489,   -0.004391835191,   -0.004391835191,       0.630790873,       562.4175333,       182133.2298,       182133.2298,       2.255992145,        576326.598,      -10.22402447,       212.0032035,         2.275906518,     -1.723314473e-05,              0.02133059205,       573.6288217,       573.6288217,       195139.0868,       195139.0868,       -4514.05733,        0.07037062376,        -0.07476245895,       93323.64359,        88809.58626,            288.186564,            285.4422577,            99300.18685,             95838.89993
          0,           0,           9,      -5.531593092,      -3.190436511,      -3.686803222,      -3.361470809,    -0.07974020645,   -0.004471433863,   -0.004471433863,      0.6313826859,       562.3430073,       182065.3807,       182065.3807,       2.255442472,       576272.1656,      -10.40416312,       212.1855839,          2.35613593,     -2.299945955e-05,              0.02203561827,       573.5746441,       573.5746441,       195091.6733,       195091.6733,      -4580.293448,        0.07037340037,        -0.07484483423,       93322.83708,        88742.54363,            288.175968,             285.398676,            99299.73653,             95791.93674
          0,           0,          10,      -5.542637596,      -3.199517221,      -3.698020754,      -3.372130609,    -0.08844980806,   -0.004514643663,   -0.004514643663,      0.6317082944,       562.2968225,       182027.6745,       182027.6745,       2.255156306,       576236.9383,      -10.50240237,       212.2843216,         2.434128331,     -2.929226094e-05,              0.02272666577,       573.5395816,       573.5395816,       195065.2157,       195065.2157,       -4615.69706,        0.07037511536,        -0.07488975902,       93321.68576,         88705.9887,           288.1660334,            285.3735483,            99298.79874,             95766.41693
          0,           0,          11,      -5.552815353,      -3.207590969,      -3.704977757,      -3.382221913,    -0.09627059322,    -0.00453142172,    -0.00453142172,      0.6318492018,       562.2713668,       182011.7841,       182011.7841,       2.255059985,       576216.1053,      -10.54187853,       212.3252416,         2.510061004,     -3.592823366e-05,               0.0234040693,       573.5188461,       573.5188461,       195054.2515,       195054.2515,      -4629.746381,        0.07037702887,        -0.07490845059,       93320.76522,        88691.01884,           288.1573511,            285.3614951,            99298.13843,             95756.11303
          0,           0,          12,      -5.560214973,      -3.213392419,      -3.709267984,      -3.392214309,     -0.1019531628,   -0.004523067821,   -0.004523067821,       0.631821682,       562.2651163,       182015.9834,       182015.9834,       2.255138002,       576208.6967,      -10.52648459,       212.3134941,          2.58420718,     -4.300552527e-05,              0.02407107423,       573.5114723,       573.5114723,       195057.6171,       195057.6171,      -4624.594121,        0.07037970893,        -0.07490277675,       93320.28878,        88695.69466,           288.1501359,            285.3613364,            99298.05583,             95759.56125
          0,           0,          13,       -5.56737748,      -3.219165103,      -3.715113158,      -3.403681621,     -0.1073639906,   -0.004497990889,   -0.004497990889,      0.6316869935,       562.2714485,        182033.067,        182033.067,       2.255326695,       576210.1978,      -10.47525246,       212.2682689,         2.656971239,      -5.06793222e-05,              0.02472992053,       573.5129663,       573.5129663,       195070.2059,       195070.2059,      -4607.506509,         0.0703832475,        -0.07488123839,       93320.28673,        88712.78022,           288.1443759,            285.3685904,            99298.59355,             95771.61235
          0,           0,          14,      -5.573890195,      -3.224795066,      -3.717926898,      -3.414925356,      -0.112173596,   -0.004462740839,   -0.004462740839,      0.6314878144,       562.2859006,       182058.3155,       182058.3155,       2.255584878,       576217.6232,      -10.40205317,       212.2029811,         2.728067024,     -5.888624214e-05,              0.02537694837,       573.5203569,       573.5203569,       195088.7883,       195088.7883,      -4583.088725,        0.07038747689,        -0.07485021773,       93320.70214,        88737.61341,           288.1399233,            285.3804336,            99299.66574,             95789.12252
          0,           0,          15,      -5.579538734,      -3.230059978,      -3.718764019,      -3.426907106,      -0.116217633,   -0.004421681732,   -0.004421681732,      0.6312506257,       562.3057457,       182088.6558,       182088.6558,       2.255885031,       576229.1658,      -10.31588633,       212.1259637,         2.798222559,     -6.728190844e-05,              0.02601797857,       573.5318455,       573.5318455,       195111.2043,       195111.2043,      -4554.138469,        0.07039208289,        -0.07481376462,       93321.39713,        88767.25866,           288.1366157,            285.3952298,            99301.08754,             95810.11678
          0,           0,          16,      -5.585133483,      -3.235413514,      -3.715119826,      -3.436164307,     -0.1202099085,   -0.004378066765,   -0.004378066765,      0.6309947869,        562.329106,       182121.9279,       182121.9279,       2.256207658,       576243.6225,      -10.22334619,       212.0433326,         2.867869632,      -7.56306345e-05,              0.02665624527,       573.5462345,       573.5462345,       195135.9689,       195135.9689,      -4522.623252,        0.07039683428,        -0.07477490105,       93322.27559,        88799.65234,           288.1343503,            285.4118842,            99302.72949,             95833.23938
          0,           0,          17,      -5.590735473,      -3.240621944,      -3.714046251,      -3.444814585,     -0.1243147077,   -0.004334024679,   -0.004334024679,      0.6307361155,       562.3534088,       182155.4615,       182155.4615,       2.256529686,       576258.9449,      -10.12984588,       211.9598866,         2.936853944,     -8.386517738e-05,              0.02728974116,       573.5614852,       573.5614852,       195160.8929,       195160.8929,      -4490.961105,        0.07040149799,        -0.07473552267,       93323.21132,        88832.25021,           288.1327892,             285.428696,            99304.42637,             95856.46656
