"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,"Avg_Massflow(HUB)", "Avg_Press(HUB)" ,"Avg_TotalTemp(HUB)","Avg_TotalPress(HUB)"
          0,           0,           0,      -7.123152398,      -15.76847743,      -4.901230245,      -4.851705581,      -1.644134612,  -7.916898106e-12,  -7.916898106e-12,     0.08639600895,       288.1353603,       91506.85646,       91506.85646,       1.106336963,       289922.6279,   3.247613803e-05,      0.2777524392,         29.39440692,          73145396.74,                105.8295186,       288.5655044,       288.5655044,       91985.87168,       91985.87168,   -7.916898106e-12,       91506.85646,         288.5655044,          91985.87168
          0,           0,           1,      -7.134968538,      -6.259112681,      -4.928497191,      -4.859682316,      -1.657557508,  -1.746692733e-09,  -1.746692733e-09,      0.0863957467,       288.1386697,        91509.0349,        91509.0349,       1.106350593,       289925.9552,  -1.463231789e-05,      0.2777531911,         29.38993018,          360322894.8,                105.8131144,       288.5688161,       288.5688161,       91988.05861,       91988.05861,   -1.746692733e-09,        91509.0349,         288.5688161,          91988.05861
          0,           0,           2,       -7.15421385,      -5.999971497,      -4.938717117,      -4.839177897,      -1.678379775,  -2.717527212e-09,  -2.717527212e-09,     0.08639546813,       288.1414425,       91510.89775,       91510.89775,       1.106362468,       289928.7424,  -4.549129892e-05,      0.2777536315,          29.3853417,          37278875.64,                105.7964266,       288.5715902,       288.5715902,       91989.92811,       91989.92811,   -2.717527212e-09,       91510.89775,         288.5715902,          91989.92811
          0,           0,           3,      -7.180324711,      -5.870562158,      -4.933775819,      -4.805514011,      -1.705052079,  -3.017094272e-09,  -3.017094272e-09,     0.08639528625,        288.143757,        91512.4404,        91512.4404,       1.106372232,       289931.0695,  -6.187749786e-05,      0.2777541612,         29.38075488,          20149099.38,                105.7797109,       288.5739064,       288.5739064,       91991.47682,       91991.47682,   -3.017094272e-09,        91512.4404,         288.5739064,          91991.47682
          0,           0,           4,      -7.210839663,      -5.796917658,      -4.919557108,      -4.771554454,      -1.735932019,  -2.744236059e-09,  -2.744236059e-09,      0.0863951765,       288.1456936,       91513.67253,       91513.67253,       1.106379692,        289933.017,  -6.524801061e-05,      0.2777547393,          29.3762574,          18121259.62,                105.7632985,       288.5758448,       288.5758448,       91992.71418,       91992.71418,   -2.744236059e-09,       91513.67253,         288.5758448,          91992.71418
          0,           0,           5,      -7.243163531,       -5.75531539,      -4.901963477,      -4.743655635,      -1.768654895,  -2.019130027e-09,  -2.019130027e-09,     0.08639511688,       288.1473331,       91514.61473,       91514.61473,       1.106384789,        289934.666,  -5.768449935e-05,       0.277755333,         29.37191361,          23184970.01,                105.7474335,       288.5774861,       288.5774861,       91993.66064,       91993.66064,   -2.019130027e-09,       91514.61473,         288.5774861,          91993.66064
          0,           0,           6,      -7.273941291,      -5.734430796,      -4.885312633,      -4.724013798,       -1.80017617,  -9.713769076e-10,  -9.713769076e-10,     0.08639508725,       288.1487519,       91515.29575,       91515.29575,       1.106387574,       289936.0933,  -4.161426259e-05,      0.2777559136,         29.36776298,          44549436.15,                105.7322691,       288.5789068,       288.5789068,       91994.34491,       91994.34491,   -9.713769076e-10,       91515.29575,         288.5789068,          91994.34491
          0,           0,           7,      -7.299521054,      -5.727310342,      -4.872069276,      -4.712848161,      -1.827172749,   2.689802764e-10,   2.689802764e-10,     0.08639507021,        288.150019,       91515.74972,       91515.74972,       1.106388197,       289937.3682,  -1.962297825e-05,      0.2777564572,         29.36382191,          200354213.9,                105.7178731,       288.5801756,       288.5801756,       91994.80106,       91994.80106,    2.689802764e-10,       91515.74972,         288.5801756,          91994.80106
          0,           0,           8,      -7.316989557,      -5.728849025,      -4.863359209,      -4.709549808,      -1.846927428,   1.579450968e-09,   1.579450968e-09,     0.08639505149,       288.1511935,        91516.0135,        91516.0135,       1.106386876,       289938.5497,   5.721786879e-06,      0.2777569458,         29.36008657,           2356494883,                105.7042389,       288.5813516,       288.5813516,       91995.06601,       91995.06601,    1.579450968e-09,        91516.0135,         288.5813516,          91995.06601
          0,           0,           9,      -7.325339536,      -5.734989804,      -4.859503946,      -4.713156387,      -1.858350193,   2.851691167e-09,   2.851691167e-09,     0.08639502014,       288.1523227,        91516.1244,        91516.1244,        1.10638388,       289939.6856,   3.202569252e-05,      0.2777573666,         29.35653603,          75220134.71,                105.6912959,       288.5824822,       288.5824822,       91995.17714,       91995.17714,    2.851691167e-09,        91516.1244,         288.5824822,          91995.17714
