"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,"Avg_Massflow(HUB)", "Avg_Press(HUB)" ,"Avg_TotalTemp(HUB)","Avg_TotalPress(HUB)"
          0,           0,           0,      -6.159579835,      -15.76858839,      -3.072817901,      -3.156746196,     -0.5443626634,  -3.713882034e-06,  -3.713882034e-06,     0.09273713924,       288.1304157,       91434.76153,       91434.76153,       1.105484292,       289983.4183,     -0.1396968467,      0.2988165105,         29.62128073,          3.575472751,                99.12866154,       288.6260102,       288.6260102,       91986.39463,       91986.39463,   -3.713882034e-06,       91434.76153,         288.6260102,          91986.39463
          0,           0,           1,      -6.202382087,      -5.620048707,      -3.097785115,      -3.189034528,     -0.6231412048,  -7.211302027e-06,  -7.211302027e-06,     0.09863013726,       288.1489687,        91391.4694,        91391.4694,       1.104889727,        290067.387,     -0.2713975943,        0.31950026,         29.86176913,         0.3858953719,                93.46399006,       288.7095858,       288.7095858,       92015.31758,       92015.31758,   -7.211302027e-06,        91391.4694,         288.7095858,          92015.31758
          0,           0,           2,      -6.114631639,      -5.438551515,      -3.123332747,      -3.218480741,     -0.6001774438,  -1.031358257e-05,  -1.031358257e-05,      0.1038604701,       288.1795698,       91367.28575,       91367.28575,       1.104480061,       290159.5208,     -0.3882961251,      0.3385921335,         30.11425555,        -0.2396253765,                88.93961961,       288.8012883,       288.8012883,       92059.05336,       92059.05336,   -1.031358257e-05,       91367.28575,         288.8012883,          92059.05336
          0,           0,           3,      -6.034170891,      -5.337993176,      -3.148578916,      -3.248964789,     -0.5569008488,  -1.281118158e-05,  -1.281118158e-05,      0.1080813842,       288.2133607,       91347.50812,       91347.50812,       1.104111518,       290245.3529,     -0.4824896357,      0.3544206055,         30.37156494,        -0.4604124146,                85.69356426,       288.8867186,       288.8867186,       92096.65086,       92096.65086,   -1.281118158e-05,       91347.50812,         288.8867186,          92096.65086
          0,           0,           4,      -5.978550895,      -5.259424687,       -3.17566772,        -3.2735663,     -0.5195871138,  -1.472753058e-05,  -1.472753058e-05,      0.1113383356,       288.2345126,       91314.42149,       91314.42149,       1.103630607,       290308.0446,     -0.5549048506,        0.36684549,         30.62784498,        -0.5629518098,                83.48976835,       288.9491169,       288.9491169,       92109.24841,       92109.24841,   -1.472753058e-05,       91314.42149,         288.9491169,          92109.24841
          0,           0,           5,      -5.931207595,      -5.189282584,      -3.200678303,      -3.290441097,     -0.4827563978,   -1.61673596e-05,   -1.61673596e-05,      0.1137875727,       288.2506751,       91276.47616,       91276.47616,       1.103110142,       290356.2607,     -0.6094431438,      0.3763057959,         30.88145996,        -0.6187451092,                82.06480021,       288.9971073,       288.9971073,       92106.42684,       92106.42684,    -1.61673596e-05,       91276.47616,         288.9971073,          92106.42684
          0,           0,           6,      -5.900803173,      -5.132969378,      -3.224227182,      -3.302383827,     -0.4563256702,  -1.721436216e-05,  -1.721436216e-05,      0.1155735142,       288.2638107,       91235.75926,       91235.75926,       1.102567819,       290393.2198,     -0.6492310217,      0.3832628174,         31.13138319,         -0.651506366,                81.22724611,       289.0338934,       289.0338934,       92091.67324,       92091.67324,   -1.721436216e-05,       91235.75926,         289.0338934,          92091.67324
          0,           0,           7,      -5.879583264,      -5.095718821,      -3.247174266,       -3.31181091,     -0.4363057702,  -1.796392431e-05,  -1.796392431e-05,      0.1168574231,       288.2746219,         91193.102,         91193.102,       1.102010983,       290421.3974,     -0.6778434161,      0.3882936079,         31.37739829,        -0.6718580774,                80.80843375,       289.0619391,       289.0619391,       92067.79473,       92067.79473,   -1.796392431e-05,         91193.102,         289.0619391,          92067.79473
          0,           0,           8,      -5.863036388,      -5.076057129,      -3.268340085,      -3.315519878,     -0.4180877036,  -1.851355285e-05,  -1.851355285e-05,      0.1178031438,       288.2840483,       91149.69548,       91149.69548,       1.101450426,       290443.7496,     -0.6989383897,      0.3920154374,         31.61989313,        -0.6854218535,                 80.6598162,       289.0841867,       289.0841867,       92038.22938,       92038.22938,   -1.851355285e-05,       91149.69548,         289.0841867,          92038.22938
          0,           0,           9,      -5.848173099,      -5.070440635,      -3.287674671,      -3.316128986,     -0.4006014447,  -1.893479538e-05,  -1.893479538e-05,      0.1185433295,       288.2829613,       91095.69716,       91095.69716,       1.100802062,       290452.7882,     -0.7152618856,      0.3949243356,         31.85902673,        -0.6951419791,                80.67121688,        289.093183,        289.093183,       91994.93799,       91994.93799,   -1.893479538e-05,       91095.69716,          289.093183,          91994.93799
          0,           0,          10,       -5.83655058,       -5.07209359,      -3.305423914,      -3.316069343,     -0.3866914654,  -1.930083109e-05,  -1.930083109e-05,      0.1191886893,       288.2768601,       91037.15287,       91037.15287,       1.100117895,        290455.528,     -0.7295413011,      0.3974647252,         32.09559308,        -0.7031770919,                80.75079636,         289.09591,         289.09591,        91945.6617,        91945.6617,   -1.930083109e-05,       91037.15287,           289.09591,           91945.6617
          0,           0,          11,      -5.830361716,      -5.074390431,      -3.321971747,      -3.320627127,     -0.3799295675,  -1.967009922e-05,  -1.967009922e-05,      0.1198375217,       288.2696611,       90978.45319,       90978.45319,       1.099436008,       290457.2578,      -0.743959159,      0.4000256921,         32.33039394,        -0.7108803691,                80.82079371,       289.0976317,       289.0976317,       91896.32334,       91896.32334,   -1.967009922e-05,       90978.45319,         289.0976317,          91896.32334
          0,           0,          12,      -5.825226834,      -5.071526436,      -3.337775609,       -3.32600769,      -0.374386196,  -2.008671807e-05,  -2.008671807e-05,       0.120566149,       288.2626765,       90921.06607,       90921.06607,       1.098769131,       290460.3661,     -0.7601767127,      0.4029095199,         32.56415765,        -0.7190778812,                 80.8225074,       289.1007254,       289.1007254,       91849.58599,       91849.58599,   -2.008671807e-05,       90921.06607,         289.1007254,          91849.58599
          0,           0,          13,      -5.822009607,      -5.065421923,      -3.353616391,      -3.330981858,     -0.3691196222,  -2.057805771e-05,  -2.057805771e-05,      0.1214211303,       288.2569612,       90865.98943,       90865.98943,       1.098125309,        290466.591,     -0.7792273971,      0.4063040494,         32.79753875,        -0.7281221204,                80.72166349,       289.1069212,       289.1069212,       91807.20303,       91807.20303,   -2.057805771e-05,       90865.98943,         289.1069212,          91807.20303
          0,           0,          14,      -5.818825333,      -5.040437315,      -3.368563258,      -3.334292854,     -0.3631133446,   -2.11532377e-05,   -2.11532377e-05,      0.1224194629,       288.2524065,       90812.70279,       90812.70279,       1.097498675,       290476.1014,     -0.8014648116,      0.4102797478,         33.03106061,        -0.7379457298,                80.50863048,        289.116387,        289.116387,       91768.95446,       91768.95446,    -2.11532377e-05,       90812.70279,          289.116387,          91768.95446
          0,           0,          15,      -5.814449799,       -5.01190621,      -3.383346143,      -3.339738135,     -0.3564981249,  -2.180659078e-05,  -2.180659078e-05,      0.1235531652,       288.2481289,       90759.64579,       90759.64579,       1.096873742,       290487.9426,     -0.8266901297,      0.4148078788,         33.26526127,        -0.7482273862,                80.19438148,       289.1281728,       289.1281728,       91733.18951,       91733.18951,   -2.180659078e-05,       90759.64579,         289.1281728,          91733.18951
          0,           0,          16,      -5.809636809,      -4.992170414,      -3.396952698,      -3.346827811,     -0.3493695249,   -2.25153964e-05,   -2.25153964e-05,      0.1247880387,       288.2405851,       90702.26069,       90702.26069,       1.096208905,       290498.1022,     -0.8540788304,      0.4197506984,         33.50000908,        -0.7584611801,                79.80929919,       289.1382849,       289.1382849,       91694.81032,       91694.81032,    -2.25153964e-05,       90702.26069,         289.1382849,          91694.81032
          0,           0,          17,      -5.804615822,      -4.987719897,      -3.410235969,      -3.356026774,     -0.3430979891,  -2.326204337e-05,  -2.326204337e-05,      0.1260904284,       288.2263274,       90640.50441,       90640.50441,        1.09551672,       290502.6567,     -0.8829591601,      0.4249767983,         33.73516266,        -0.7683409838,                79.38118691,        289.142818,        289.142818,         91653.273,         91653.273,   -2.326204337e-05,       90640.50441,          289.142818,            91653.273
          0,           0,          18,      -5.800443091,      -4.994106034,      -3.423154105,       -3.36697322,     -0.3379867907,  -2.403026678e-05,  -2.403026678e-05,      0.1274325651,       288.2058196,       90575.36516,       90575.36516,       1.094807319,       290501.6923,     -0.9127097896,      0.4303760127,         33.97077194,        -0.7776532951,                78.93277258,       289.1418582,       289.1418582,       91609.15329,       91609.15329,   -2.403026678e-05,       90575.36516,         289.1418582,          91609.15329
          0,           0,          19,      -5.797666206,       -4.98856525,      -3.434971112,      -3.379269334,     -0.3347588667,  -2.480369815e-05,  -2.480369815e-05,      0.1287871988,       288.1797068,       90507.15189,       90507.15189,       1.094081937,       290495.4701,     -0.9427105813,      0.4358383922,         34.20673255,        -0.7862558663,                78.48489981,       289.1356651,       289.1356651,       91562.33185,       91562.33185,   -2.480369815e-05,       90507.15189,         289.1356651,          91562.33185
          0,           0,          20,      -5.795926015,      -4.985288691,      -3.445132045,      -3.391386028,     -0.3328247889,  -2.556912185e-05,  -2.556912185e-05,      0.1301317889,        288.148468,        90436.0716,        90436.0716,       1.093341212,       290484.1378,     -0.9724601906,      0.4412722015,         34.44290826,        -0.7940937756,                78.05365519,       289.1243858,       289.1243858,       91512.64708,       91512.64708,   -2.556912185e-05,        90436.0716,         289.1243858,          91512.64708
          0,           0,          21,      -5.796626327,      -4.995814467,      -3.454059101,      -3.402747082,     -0.3341096599,  -2.631672713e-05,  -2.631672713e-05,      0.1314496927,       288.1123686,       90362.16238,       90362.16238,       1.092584554,       290467.7039,      -1.001586566,      0.4466084655,         34.67913629,        -0.8011722854,                77.64997523,       289.1080288,       289.1080288,       91459.85095,       91459.85095,   -2.631672713e-05,       90362.16238,         289.1080288,          91459.85095
          0,           0,          22,      -5.798706215,      -5.000754859,      -3.462609096,      -3.413433522,     -0.3369474524,  -2.704164235e-05,  -2.704164235e-05,      0.1327325386,       288.0716098,       90285.47135,       90285.47135,       1.091811726,       290446.2295,        -1.0299044,      0.4518114653,         34.91528405,        -0.8075487804,                77.27843742,       289.0866549,       289.0866549,       91403.83436,       91403.83436,   -2.704164235e-05,       90285.47135,         289.0866549,          91403.83436
          0,           0,          23,      -5.801122647,       -5.00788047,      -3.470595477,      -3.423405779,     -0.3398772544,  -2.776032862e-05,  -2.776032862e-05,      0.1339991241,       288.0321759,       90213.25018,       90213.25018,       1.091087722,       290426.0237,      -1.057977596,      0.4569677629,         35.15254996,        -0.8134401494,                76.92566701,       289.0665437,       289.0665437,       91352.24302,       91352.24302,   -2.776032862e-05,       90213.25018,         289.0665437,          91352.24302
          0,           0,          24,      -5.804307824,      -4.997251304,      -3.477853732,       -3.43288088,     -0.3437933072,   -2.84462778e-05,   -2.84462778e-05,      0.1352125805,       287.9913418,       90142.66258,       90142.66258,       1.090388581,       290403.7546,      -1.084814948,      0.4619147622,         35.39051713,        -0.8186939224,                76.61698656,       289.0443789,       289.0443789,       91301.56471,       91301.56471,    -2.84462778e-05,       90142.66258,         289.0443789,          91301.56471
          0,           0,          25,       -5.80823932,      -5.003156257,      -3.483990243,      -3.440940506,     -0.3482342934,  -2.907925522e-05,  -2.907925522e-05,      0.1363425756,       287.9447216,       90068.75613,       90068.75613,       1.089670986,       290374.4985,      -1.109684158,      0.4665194356,         35.62836561,        -0.8232576151,                76.37059231,       289.0152598,       289.0152598,       91246.23363,       91246.23363,   -2.907925522e-05,       90068.75613,         289.0152598,          91246.23363
          0,           0,          26,      -5.812408725,      -5.023009292,      -3.488320857,       -3.44876022,     -0.3528598117,  -2.965745171e-05,  -2.965745171e-05,      0.1373847852,       287.8909192,       89989.80011,       89989.80011,       1.088919223,       290336.7453,      -1.132529871,      0.4707622207,          35.8656401,        -0.8272158605,                76.18631767,       288.9776833,       288.9776833,       91184.38489,       91184.38489,   -2.965745171e-05,       89989.80011,         288.9776833,          91184.38489
