"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,"Avg_Massflow(HUB)", "Avg_Press(HUB)" ,"Avg_TotalTemp(HUB)","Avg_TotalPress(HUB)"
          0,           0,           0,       -6.39745952,       -15.7684776,       -4.10587878,      -4.211834019,     -0.9308114439,  -7.916897999e-12,  -7.916897999e-12,     0.08639058366,       288.1401872,       91513.36969,       91513.36969,       1.106397175,       289927.4304,   4.114439947e-05,      0.2777373238,         29.39881435,          45566642.31,                105.8511472,       288.5702844,       288.5702844,       91992.35873,       91992.35873,   -7.916897999e-12,       91513.36969,         288.5702844,          91992.35873
          0,           0,           1,      -6.477852422,        -5.9224748,      -4.306698885,      -4.371327865,      -1.011146436,   -2.20819129e-09,   -2.20819129e-09,     0.08638943265,       288.1486685,       91522.29217,       91522.29217,       1.106472477,       289935.9528,  -9.817598968e-06,       0.277737711,         29.39845723,          800311628.8,                105.8497138,       288.5787669,       288.5787669,       92001.31511,       92001.31511,    -2.20819129e-09,       91522.29217,         288.5787669,          92001.31511
          0,           0,           2,       -6.54482176,      -5.816219342,      -4.467222767,      -4.500960321,      -1.078382477,  -3.896900981e-09,  -3.896900981e-09,     0.08638834592,       288.1566773,       91530.94497,       91530.94497,       1.106546328,       289944.0004,  -4.854831771e-05,      0.2777380767,         29.39753732,          32728225.85,                105.8462623,       288.5867768,       288.5867768,       92010.00112,       92010.00112,   -3.896900981e-09,       91530.94497,         288.5867768,          92010.00112
          0,           0,           3,       -6.61334898,      -5.835837563,      -4.458631278,      -4.558383327,      -1.147140346,  -5.213056037e-09,  -5.213056037e-09,     0.08638752915,       288.1640511,       91539.09114,       91539.09114,       1.106616488,       289951.4118,  -7.933983442e-05,      0.2777390041,         29.39616063,          12254374.06,                105.8409521,       288.5941535,       288.5941535,       92018.18085,       92018.18085,   -5.213056037e-09,       91539.09114,         288.5941535,          92018.18085
          0,           0,           4,      -6.687994009,      -5.900600187,      -4.387545658,      -4.559085111,      -1.222034489,  -6.206369224e-09,  -6.206369224e-09,     0.08638696094,       288.1706515,       91546.54599,       91546.54599,       1.106681259,       289958.0475,  -0.0001029327879,      0.2777403577,         29.39442198,          7280654.965,                105.8341763,       288.6007582,       288.6007582,        92025.6684,        92025.6684,   -6.206369224e-09,       91546.54599,         288.6007582,           92025.6684
          0,           0,           5,       -6.76704518,      -5.959240256,       -4.34127317,      -4.544798248,      -1.301299972,  -6.936952427e-09,  -6.936952427e-09,     0.08638662449,       288.1763827,       91553.17135,       91553.17135,       1.106739338,       289963.8108,  -0.0001208675124,      0.2777420375,         29.39240187,          5280365.496,                105.8262629,       288.6064945,       288.6064945,        92032.3247,        92032.3247,   -6.936952427e-09,       91553.17135,         288.6064945,           92032.3247
          0,           0,           6,      -6.842563162,      -5.962857238,      -4.326636182,      -4.537100757,      -1.376885421,  -7.443134243e-09,  -7.443134243e-09,     0.08638650202,       288.1811784,       91558.86784,       91558.86784,       1.106789779,       289968.6351,  -0.0001340703269,      0.2777439545,         29.39016965,          4291645.013,                105.8174955,       288.6112962,       288.6112962,       92038.04964,       92038.04964,   -7.443134243e-09,       91558.86784,         288.6112962,          92038.04964
          0,           0,           7,      -6.903107724,      -5.918537164,      -4.337096249,      -4.540163328,      -1.437279047,  -7.752337585e-09,  -7.752337585e-09,     0.08638650247,       288.1850824,       91563.66054,       91563.66054,       1.106832719,       289972.5633,  -0.0001425337545,       0.277745837,         29.38777957,          3797165.721,                 105.808173,        288.615206,        288.615206,       92042.86743,       92042.86743,   -7.752337585e-09,       91563.66054,          288.615206,          92042.86743
          0,           0,           8,      -6.943164928,      -5.869814725,      -4.364315423,      -4.553372841,      -1.476985911,  -7.919867485e-09,  -7.919867485e-09,     0.08638659335,       288.1881681,       91567.60686,       91567.60686,        1.10686857,       289975.6691,  -0.0001474544219,       0.277747616,         29.38527825,          3548010.985,                105.7984895,       288.6182972,       288.6182972,       92046.83541,       92046.83541,   -7.919867485e-09,       91567.60686,         288.6182972,          92046.83541
          0,           0,           9,      -6.963006257,      -5.840701366,      -4.403514056,      -4.572998715,      -1.496378766,  -7.992671104e-09,  -7.992671104e-09,     0.08638677292,       288.1904953,        91570.7522,        91570.7522,       1.106897652,       289978.0125,  -0.0001498512594,      0.2777493147,         29.38269455,          3435461.382,                105.7885402,       288.6206297,       288.6206297,       92049.99921,       92049.99921,   -7.992671104e-09,        91570.7522,         288.6206297,          92049.99921
