"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,"Avg_Massflow(HUB)", "Avg_Press(HUB)" ,"Avg_TotalTemp(HUB)","Avg_TotalPress(HUB)"
          0,           0,           0,      -4.165478683,      -15.76847425,      -3.223954953,      -3.531746743,     -0.8904526371,   -7.91689757e-12,   -7.91689757e-12,     0.08656716208,        289.619098,       91503.89744,       91503.89744,       1.106376556,       291420.1607,     0.06997093568,      0.2799345445,         29.41865257,          15.00580886,                105.0911835,       290.0560272,       290.0560272,       91985.42644,       91985.42644,    -7.91689757e-12,       91503.89744,         290.0560272,          91985.42644
          0,           0,           1,      -4.185699111,      -4.805907039,      -3.238179043,       -3.43725118,     -0.1448002227,  -3.704106309e-06,  -3.704106309e-06,     0.08650890143,       290.3549662,       91522.98176,       91522.98176,       1.120323369,       292157.0319,   -0.002323639364,      0.2805668888,         29.42922467,          14578.25669,                104.8920091,       290.7894491,       290.7894491,       92003.33753,       92003.33753,   -3.704106309e-06,       91522.98176,         290.7894491,          92003.33753
          0,           0,           2,      -4.201824376,      -4.478914529,      -3.154369429,      -3.163049262,     -0.2929309689,  -7.265729342e-06,  -7.265729342e-06,     0.08678132783,       289.7137363,       91551.52408,       91551.52408,        1.14913566,       291508.5701,    -0.07158757699,      0.2804899666,         29.43117793,           14.3518011,                104.9277387,       290.1440228,       290.1440228,       92035.73866,       92035.73866,   -7.265729342e-06,       91551.52408,         290.1440228,          92035.73866
          0,           0,           3,      -4.213200086,      -4.413365565,      -3.039956974,      -3.003781138,     -0.2663474913,  -1.071054972e-05,  -1.071054972e-05,     0.08754630761,       287.8316456,       91579.68097,       91579.68097,       1.190996328,       289613.9046,     -0.1374709636,      0.2804187749,         29.43124474,          3.160947363,                104.9546156,       288.2582261,       288.2582261,       92074.39272,       92074.39272,   -1.071054972e-05,       91579.68097,         288.2582261,          92074.39272
          0,           0,           4,      -4.220814008,      -4.437262143,      -2.951910823,      -2.908896117,     -0.1559892883,  -1.405065585e-05,  -1.405065585e-05,     0.08873672427,       284.8790818,       91602.14775,       91602.14775,       1.244204369,       286644.1926,     -0.1994614287,       0.280350313,         29.43018272,          0.975532778,                104.9764575,       285.3024154,       285.3024154,        92113.1101,        92113.1101,   -1.405065585e-05,       91602.14775,         285.3024154,           92113.1101
          0,           0,           5,      -4.225765078,      -4.494375307,      -2.888074881,      -2.845644142,    -0.07524782284,  -1.730164742e-05,  -1.730164742e-05,     0.09029157663,        281.023787,       91614.82062,       91614.82062,       1.307237766,       282767.9345,     -0.2573926515,      0.2802861718,         29.42888056,         0.1857989366,                104.9958347,       281.4443019,       281.4443019,       92147.01215,       92147.01215,   -1.730164742e-05,       91614.82062,         281.4443019,          92147.01215
          0,           0,           6,      -4.228887191,      -4.539188372,      -2.841554291,       -2.80130808,    -0.02782731115,  -2.047795705e-05,  -2.047795705e-05,     0.09215442384,       276.4241917,       91615.21142,       91615.21142,       1.378763815,       278144.2627,     -0.3112419692,      0.2802256745,         29.42815183,        -0.1893758508,                105.0159015,       276.8422735,       276.8422735,       92172.92297,       92172.92297,   -2.047795705e-05,       91615.21142,         276.8422735,          92172.92297
          0,           0,           7,      -4.230809482,      -4.545291385,       -2.80810376,      -2.770057627,   -0.003244447865,   -2.35926898e-05,   -2.35926898e-05,     0.09428078077,        271.209188,       91592.98133,       91592.98133,       1.457614199,       272902.6393,     -0.3611025169,      0.2801688485,         29.42925319,        -0.3980247175,                105.0411327,        271.625186,        271.625186,       92179.91939,       92179.91939,    -2.35926898e-05,       91592.98133,          271.625186,          92179.91939
          0,           0,           8,      -4.231897255,      -4.521342069,      -2.784872593,      -2.748329436,    0.008418678388,  -2.665672599e-05,  -2.665672599e-05,     0.09661905886,       265.5279672,       91557.86848,       91557.86848,       1.542834585,       267192.8936,     -0.4070852278,      0.2801094105,         29.43272403,        -0.5265384531,                 105.075813,       265.9421676,       265.9421676,       92177.20483,       92177.20483,   -2.665672599e-05,       91557.86848,         265.9421676,          92177.20483
          0,           0,           9,      -4.232345609,      -4.492205576,      -2.770304824,      -2.733655706,     0.01327583627,  -2.968127517e-05,  -2.968127517e-05,     0.09913166966,       259.5007467,       91513.65771,       91513.65771,       1.633592448,        261135.791,     -0.4494054815,      0.2800519045,         29.43891862,        -0.6116705478,                105.1195087,       259.9134182,       259.9134182,       92168.17021,       92168.17021,   -2.968127517e-05,       91513.65771,         259.9134182,          92168.17021
          0,           0,          10,      -4.232362476,      -4.471064224,      -2.762721483,      -2.725614794,     0.01652266527,  -3.267519085e-05,  -3.267519085e-05,      0.1017843226,       253.2317979,       91464.01627,       91464.01627,        1.72916709,       254836.0624,     -0.4882860486,      0.2799944507,         29.44832427,        -0.6711860634,                105.1746711,       253.6431785,       253.6431785,       92156.12862,       92156.12862,   -3.267519085e-05,       91464.01627,         253.6431785,          92156.12862
          0,           0,          11,      -4.232130468,      -4.457190809,      -2.761006035,      -2.723192758,     0.01954476306,  -3.564556205e-05,  -3.564556205e-05,      0.1045476438,       246.8128176,       91411.82189,       91411.82189,        1.82892898,        248385.813,     -0.5239453874,      0.2799389561,         29.46113503,        -0.7145338389,                105.2412835,       247.2231227,       247.2231227,        92143.6544,        92143.6544,   -3.564556205e-05,       91411.82189,         247.2231227,           92143.6544
          0,           0,          12,      -4.231712289,      -4.452018936,      -2.763367637,       -2.72527596,     0.02280406503,  -3.859833263e-05,  -3.859833263e-05,      0.1073966175,       240.3200915,         91358.916,         91358.916,        1.93233539,       241861.6656,     -0.5566089034,      0.2798867616,         29.47736409,        -0.7471491507,                105.3188937,       240.7295147,       240.7295147,       92132.32786,       92132.32786,   -3.859833263e-05,         91358.916,         240.7295147,          92132.32786
          0,           0,          13,      -4.231198368,      -4.453425732,      -2.768629234,      -2.730974464,     0.02550559249,  -4.153845293e-05,  -4.153845293e-05,      0.1103108109,       233.8149058,       91305.50073,       91305.50073,       2.038914661,       235325.1748,     -0.5865043244,      0.2798389251,         29.49724023,        -0.7723467731,                105.4079243,       234.2236211,       234.2236211,       92122.12856,       92122.12856,   -4.153845293e-05,       91305.50073,         234.2236211,          92122.12856
          0,           0,          14,      -4.230641505,      -4.460423572,       -2.77581136,      -2.739400403,     0.02676153566,   -4.44698634e-05,   -4.44698634e-05,      0.1132726791,        227.346769,       91251.45921,       91251.45921,       2.148265366,       228826.0592,      -0.613849846,      0.2797949049,         29.52097108,        -0.7922431745,                105.5093233,       227.7549278,       227.7549278,       92112.74203,       92112.74203,    -4.44698634e-05,       91251.45921,         227.7549278,          92112.74203
