"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,  "Pressure_Drop" ,"Avg_Massflow(INLET)","Avg_Massflow(OUTLET)","Avg_Press(INLET)","Avg_Press(OUTLET)","Avg_TotalTemp(INLET)","Avg_TotalTemp(OUTLET)","Avg_TotalPress(INLET)","Avg_TotalPress(OUTLET)"
          0,           0,           0,      -4.242226911,      -2.548671364,      -2.745798951,      -2.795629591,       1.247877607,     0.06902391239,     0.06902391239,      0.5928359104,       571.2976604,       193059.0659,       193059.0659,         2.3544422,       584109.3677,       93.78760263,       105.1094973,         101.9234431,       -0.01738313431,                18.00042325,       581.3751603,       581.3751603,       205232.0058,       205232.0058,      -2699.015779,        0.07191732471,       -0.002893412313,       97879.04084,        95180.02506,           291.8286442,            289.5465161,             103886.603,             101345.4028
          0,           0,           1,      -4.080394411,      -1.970608085,      -1.972373976,      -2.302787214,       1.373042165,     0.06410779596,     0.06410779596,       0.586902269,        568.388503,       189762.7145,       189762.7145,       2.325910986,        580947.058,       85.95853539,       108.2469762,         101.5176485,       -0.01925945423,                9.108938175,       578.2276533,       578.2276533,        201486.352,        201486.352,      -3826.743432,        0.06968857427,       -0.005580778308,       96794.72894,        92967.98551,           290.6655644,            287.5620889,            102476.2705,             99010.08144
          0,           0,           2,      -4.109410558,      -1.994091571,      -1.984755388,      -2.238106013,       1.353388736,     0.06000565325,     0.06000565325,      0.5816950184,       566.5616013,       187713.7788,       187713.7788,       2.308024419,       578917.6034,       79.08709364,       111.0567884,         101.0458762,       -0.02592466317,                6.328132432,       576.2076986,       576.2076986,       199102.4565,       199102.4565,      -4232.151071,        0.06785220672,       -0.007846553466,       95972.96495,        91740.81388,           289.7749912,            286.4327074,            101388.6691,             97713.78735
          0,           0,           3,       -4.11158687,      -1.923310283,      -1.961318199,      -2.209870522,       1.342500594,     0.05679649878,     0.05679649878,      0.5766056825,       565.4889367,       186392.3284,       186392.3284,       2.295997079,       577664.2947,       73.52358772,       113.4056122,         100.5461453,       -0.01704302942,                5.032962114,       574.9602566,       574.9602566,       197506.9743,       197506.9743,      -4347.054124,        0.06638930274,       -0.009592803959,       95369.69128,        91022.63716,           289.1184385,            285.8418181,            100575.2048,             96931.76952
          0,           0,           4,      -4.093390198,      -1.816142229,      -1.862121452,      -2.137497361,       1.366308492,     0.05442470347,     0.05442470347,      0.5722714705,       564.9570782,       185609.1513,       185609.1513,       2.288491927,       576985.1948,       69.13303468,       115.4037712,         100.0225309,        0.00239883603,                4.292500264,       574.2843355,       574.2843355,       196517.5735,       196517.5735,      -4272.171661,        0.06525464497,         -0.0108299415,       94940.66147,        90668.48981,           288.6526985,             285.631637,             99983.8864,             96533.68711
          0,           0,           5,      -4.068188808,      -1.750929944,        -1.7759956,      -2.054536207,       1.415375388,     0.05274455001,     0.05274455001,      0.5689352973,       564.7551597,       185104.3156,       185104.3156,       2.283183439,       576667.8113,       65.83440512,       117.3688835,         99.46446407,        0.05478072782,                3.783965801,       573.9684378,       573.9684378,       195859.7853,       195859.7853,       -4193.88447,        0.06440312957,        -0.01165857956,       94649.10002,        90455.21555,           288.3375261,            285.6309117,            99570.76258,             96289.02269
          0,           0,           6,      -4.040193471,      -1.723604486,      -1.731875057,      -1.995137314,       1.454828147,     0.05159127987,     0.05159127987,      0.5675920289,       564.8089308,       184819.5839,       184819.5839,       2.279663589,       576669.8777,       63.25263641,       119.5212509,         98.86187181,          0.135594264,                3.383742468,       573.9704945,       573.9704945,       195505.8224,       195505.8224,      -4083.480068,        0.06376261648,        -0.01217133661,       94451.53201,        90368.05194,           288.1236939,            285.8468005,            99281.90632,             96223.91606
          0,           0,           7,      -4.013107433,      -1.706874269,      -1.708390791,      -1.956875982,       1.479714223,     0.05086840124,     0.05086840124,      0.5682451413,       565.0100351,       184653.6851,       184653.6851,       2.277050639,       576891.1436,       61.50184824,       122.0239808,         98.21354568,          0.274397655,                3.042015876,       574.1907246,       574.1907246,       195356.6235,       195356.6235,      -4005.373669,        0.06330197794,         -0.0124335767,       94329.52936,        90324.15569,           287.9935213,            286.1972034,            99094.27356,             96262.34993
          0,           0,           8,      -3.992253672,       -1.69419269,      -1.692463402,       -1.92896294,       1.496590646,     0.05048074857,     0.05048074857,      0.5712855617,       565.3302223,       184600.7704,       184600.7704,       2.275374671,       577326.6902,        60.3151647,       124.8972938,         97.53022866,         0.4686489346,                2.741726022,       574.6242324,       574.6242324,       195431.3201,       195431.3201,      -3912.655502,        0.06296673909,        -0.01248599052,       94256.71297,        90344.05747,           287.9152232,            286.7090092,            98973.74561,             96457.57445
          0,           0,           9,      -3.977187694,      -1.686317898,      -1.680989843,      -1.906314461,       1.504275094,     0.05035078464,     0.05035078464,      0.5763810501,       565.6755951,       184589.8941,       184589.8941,       2.274083754,       577877.6885,       59.84283198,        128.132551,         96.82851758,         0.7575798143,                2.476111959,       575.1726516,       575.1726516,       195650.9088,       195650.9088,      -3848.817158,        0.06272572387,        -0.01237493923,       94219.35563,        90370.53848,           287.8749578,            287.2976938,              98902.116,             96748.79275
