"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,  "Pressure_Drop" ,"Avg_Massflow(INLET)","Avg_Massflow(OUTLET)","Avg_Press(INLET)","Avg_Press(OUTLET)","Avg_TotalTemp(INLET)","Avg_TotalTemp(OUTLET)","Avg_TotalPress(INLET)","Avg_TotalPress(OUTLET)"
          0,           0,           0,      -3.860835409,      -2.182344738,      -2.212674624,      -2.374258723,       1.278135332,   -0.008695527435,   -0.008695527435,       1.233915158,       686.5899802,       391823.6251,       391823.6251,       3.716789993,       752226.4455,       44.14839447,       251.6051381,         304.1750514,     -0.0001627697608,                2.930828885,       748.7052846,       748.7052846,       556857.6862,       556857.6862,       202270.1077,          0.107553894,         -0.1162494215,       94776.75868,        297046.8664,           287.0375734,            461.6677112,            108507.8429,             448349.8433
          0,           0,           1,      -3.776799035,      -1.948132052,      -1.945120675,      -2.209908992,       1.370523084,   -0.008030139647,   -0.008030139647,       1.212912389,       689.6071436,       397752.9871,       397752.9871,       3.742511327,        753959.424,       46.02146301,        241.105618,         304.0563835,      -0.000336489529,                3.115115949,        750.430151,        750.430151,       561785.0208,       561785.0208,       210785.2348,          0.103065855,         -0.1110959947,       93483.87614,        304269.1109,           286.1983943,            464.2317567,             106226.561,             455558.4598
          0,           0,           2,      -3.811362337,      -1.990617622,      -1.871425968,       -2.11109544,       1.339248002,   -0.007777023683,   -0.007777023683,       1.196790392,       691.4958993,       401552.5517,       401552.5517,       3.758072376,       754878.7464,       46.92529478,       233.0840714,         303.9880713,     -0.0004727336575,                3.263187146,       751.3451701,       751.3451701,       564736.0652,       564736.0652,       216683.5415,        0.09941176485,         -0.1071887885,       92434.50512,        309118.0466,           285.6005908,            465.7445792,            104396.9052,               460339.16
          0,           0,           3,      -3.823916579,      -1.817609547,      -1.644184356,      -1.921385755,       1.457335226,   -0.008004348216,   -0.008004348216,       1.184372031,       692.7523924,       404005.0549,       404005.0549,       3.767400001,       755409.5177,       47.05623617,       227.1482848,         303.9419084,     -0.0005214162881,                 3.37197834,       751.8734568,       751.8734568,       566518.8199,       566518.8199,       220750.5556,        0.09648334592,         -0.1044876941,       91627.24963,        312377.8053,           285.2416953,            466.6317615,            102977.6135,             463541.2064
          0,           0,           4,      -3.824836721,      -1.754850702,      -1.574482512,      -1.855836311,       1.531272554,   -0.008669994339,   -0.008669994339,       1.174701778,       693.6535652,       405586.7548,       405586.7548,       3.772812662,       755767.2577,       46.58307054,       222.8700856,         303.8788765,     -0.0005174982786,                3.443521826,       752.2295223,       752.2295223,       567583.1395,       567583.1395,        223507.265,        0.09414461963,          -0.102814614,       91039.74491,        314547.0099,           285.0913941,            467.1381282,            101907.5403,             465675.5992
          0,           0,           5,      -3.821083462,       -1.74325963,      -1.556417982,       -1.83501297,       1.555178106,   -0.009765971608,   -0.009765971608,       1.167057514,        694.337033,       406553.9222,       406553.9222,        3.77545351,        756044.222,       45.58132934,       219.9030986,          303.772136,     -0.0005325197664,                3.480822986,       752.5051901,       752.5051901,       568154.0448,       568154.0448,       225288.4647,        0.09224968357,         -0.1020156552,       90632.72874,        315921.1935,           285.1090836,            467.3961065,            101112.2564,             467041.7884
          0,           0,           6,      -3.817160386,       -1.75364211,      -1.560621364,      -1.834783635,       1.558419687,    -0.01124260944,    -0.01124260944,       1.160889104,       694.8853155,       407087.2405,       407087.2405,       3.776142226,       756287.9282,        44.1339842,       217.9471457,         303.6089552,     -0.0006049231345,                3.489105005,       752.7477555,       752.7477555,        568384.648,        568384.648,       226343.7394,        0.09068437953,          -0.101926989,       90371.75056,          316715.49,           285.2546892,            467.4930663,            100531.1713,             467853.4767
          0,           0,           7,      -3.811483733,      -1.773749361,      -1.578897852,       -1.84650282,       1.554621607,    -0.01300281898,    -0.01300281898,       1.155827698,       695.3575837,       407338.8746,       407338.8746,       3.775615629,       756532.1333,       42.36106263,       216.7584034,         303.3898473,     -0.0007538538868,                3.475119071,       752.9908175,       752.9908175,       568409.5454,       568409.5454,       226881.5554,        0.08937727154,         -0.1023800905,       90228.65958,         317110.215,            285.497016,            467.4938015,            100120.4442,             468289.1012
          0,           0,           8,      -3.803697491,      -1.796961252,      -1.600756906,      -1.860198338,        1.55054415,    -0.01499120553,    -0.01499120553,       1.151594766,       695.7772967,       407407.6735,       407407.6735,       3.774374005,       756781.3627,       40.33436668,       216.1533974,          303.123149,     -0.0009756217881,                3.444376697,       753.2388802,       753.2388802,       568317.7447,       568317.7447,       227057.4688,        0.08826505801,         -0.1032562635,       90175.10233,        317232.5712,            285.802937,            467.4359432,            99838.29177,             468479.4529
          0,           0,           9,      -3.797677262,      -1.818352132,      -1.624961432,      -1.874221835,       1.540239323,      -0.017123921,      -0.017123921,       1.147966658,       696.1674022,       407387.5308,       407387.5308,        3.77289036,       757042.1006,       38.15123255,       215.9626695,         302.8225368,      -0.001243082416,                3.402879233,       753.4983977,       753.4983977,       568192.1838,       568192.1838,       227015.8237,        0.08730301179,         -0.1044269328,       90185.85356,        317201.6772,           286.1424443,            467.3559534,            99650.30097,             468541.8828
          0,           0,          10,      -3.794460823,      -1.835832289,      -1.650174608,       -1.88814487,       1.520758379,    -0.01935033796,    -0.01935033796,       1.144746253,       696.5375769,       407327.1544,       407327.1544,       3.771383911,       757310.5251,       35.86786105,       216.0492929,         302.5048828,      -0.001529028819,                3.355058871,       753.7655656,       753.7655656,       568067.1269,       568067.1269,       226846.1293,        0.08644622215,         -0.1057965601,       90240.51256,        317086.6418,           286.4935198,            467.2720459,            99527.16855,             468539.9583
          0,           0,          11,      -3.792952264,      -1.848463978,      -1.671741485,      -1.898135958,       1.499331597,    -0.02162235828,    -0.02162235828,       1.141926711,       696.9036862,       407285.9565,       407285.9565,       3.770181981,        757599.785,       33.55142519,       216.3772574,         302.1845357,      -0.001811522442,                3.303417185,       754.0534716,       754.0534716,       568009.0477,       568009.0477,       226626.0751,        0.08569897565,         -0.1073213339,        90329.9407,        316956.0158,            286.845786,            467.2076856,            99460.70785,             468548.3398
          0,           0,          12,      -3.789117815,      -1.857444871,      -1.690334144,      -1.903327353,       1.477472533,    -0.02392859421,    -0.02392859421,       1.139426201,       697.2549152,       407265.3685,       407265.3685,         3.7693077,       757893.1157,       31.21376508,       216.8897741,         301.8722799,      -0.002081097918,                3.249631357,       754.3454292,       754.3454292,       568012.0177,       568012.0177,       226376.4912,        0.08503751146,         -0.1089661057,       90444.43863,        316820.9299,           287.1896351,            467.1557941,            99436.35526,             468575.6624
