"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,  "Pressure_Drop" ,"Avg_Massflow(INLET)","Avg_Massflow(OUTLET)","Avg_Press(INLET)","Avg_Press(OUTLET)","Avg_TotalTemp(INLET)","Avg_TotalTemp(OUTLET)","Avg_TotalPress(INLET)","Avg_TotalPress(OUTLET)"
          0,           0,           0,      -3.796427989,      -1.686629482,      -1.631144172,      -1.567171819,       1.588366214,      0.3419709582,      0.3419709582,       1.233597865,       738.2697664,       359205.9388,       359205.9388,       3.187276651,       838979.6958,       477.2077873,        450.913685,         125.0194996,        -0.1114479416,               0.4726212435,       835.0524442,       835.0524442,       629801.9466,       629801.9466,       170512.9394,        0.06230927257,          0.2796616856,       94346.49973,        264859.4391,           288.1632533,            546.8891909,            99227.80004,             530574.1466
          0,           0,           1,      -3.864707604,      -1.550048703,      -1.594662905,      -1.517198233,       1.668224856,      0.3416500803,      0.3416500803,       1.232706286,       738.2305181,       358883.1238,       358883.1238,       3.185224292,       839082.0982,       477.4353575,        450.897426,         125.0504083,        -0.1188359146,               0.4777665404,       835.1543672,       835.1543672,       629141.9425,       629141.9425,       170226.4862,        0.06156122185,          0.2800888585,       94328.31883,         264554.805,           288.0122469,            547.1421202,            99142.14529,             529999.7972
          0,           0,           2,      -3.932753689,      -1.592867226,      -1.618536211,      -1.544322432,       1.617011682,      0.3415144453,      0.3415144453,       1.234942729,       738.0756221,       358624.4903,       358624.4903,       3.184423242,       839298.6464,       478.0262215,       451.2888554,          127.580046,        -0.1258033705,               0.5057275449,       835.3699017,       835.3699017,       630052.8877,       630052.8877,       169792.5545,        0.06077650648,          0.2807379389,       94415.96792,        264208.5224,            288.013543,            547.3563588,            99223.74755,             530829.1402
          0,           0,           3,      -3.975972977,      -1.597779107,      -1.626198977,      -1.547197347,       1.591590161,      0.3412343008,      0.3412343008,       1.237600057,       737.8643177,       358263.0138,       358263.0138,       3.182963809,       839419.1635,       478.7577768,       451.7660332,         131.0794678,        -0.1357393607,               0.5450662893,       835.4898547,       835.4898547,       630583.1118,       630583.1118,       169335.2895,        0.05996611964,          0.2812681812,       94463.86213,        263799.1516,           287.9988628,             547.490992,            99295.25047,             531287.8613
          0,           0,           4,      -4.003136856,      -1.587550108,      -1.633086305,      -1.543722529,       1.578911756,      0.3412644748,      0.3412644748,       1.240845397,       737.9612669,       358337.0277,       358337.0277,       3.184225573,       839963.7573,       479.3480777,       452.6821002,         135.0423751,        -0.1318410864,               0.5892208298,       836.0318992,       836.0318992,       631994.3588,       631994.3588,       168885.0743,        0.05913851361,          0.2821259612,        94725.9767,         263611.051,           288.1841388,            547.8477604,            99597.61589,             532396.7429
          0,           0,           5,      -4.021076325,       -1.57501637,      -1.640516749,      -1.540777915,       1.573241627,      0.3409932364,      0.3409932364,       1.244973392,       738.1420704,       358458.5362,       358458.5362,       3.185996004,       840561.2829,       479.3472865,       453.6877849,         139.0507489,        -0.1130077833,               0.6334205788,       836.6266279,       836.6266279,       633188.2397,       633188.2397,        168048.955,        0.05828613422,          0.2827071022,       95204.79059,        263253.7456,           288.5918346,            548.0347933,            100175.2987,              533012.941
          0,           0,           6,      -4.030257534,      -1.564404129,      -1.646785425,      -1.538008157,       1.570833232,      0.3406382888,      0.3406382888,        1.25049851,       738.3751481,       358641.2943,       358641.2943,       3.188018228,       841273.9546,       479.2765065,       454.9925167,          142.922637,       -0.08475095376,               0.6747368264,       837.3359635,       837.3359635,       634561.9577,       634561.9577,       167122.1153,        0.05739232303,          0.2832459658,       95759.58953,        262881.7048,           289.1287671,            548.2071964,            100907.1955,             533654.7622
          0,           0,           7,      -4.034801068,      -1.558670683,      -1.652316298,       -1.53644587,       1.569422343,      0.3401449936,      0.3401449936,       1.256727069,        738.870508,       359124.1688,       359124.1688,       3.192279864,       842290.1783,        478.561572,       456.5949065,         146.5589205,       -0.03143385759,               0.7115582334,       838.3474303,       838.3474303,       636307.3354,       636307.3354,       165829.1855,         0.0564243628,          0.2837206308,       96647.49169,        262476.6772,           290.0138655,            548.3335649,            102038.0529,             534269.2825
          0,           0,           8,      -4.036401917,      -1.554817861,      -1.656860213,      -1.534519492,       1.568659375,      0.3396537384,      0.3396537384,        1.26472775,       739.5049214,       359789.1456,       359789.1456,       3.197461406,       843543.5135,       477.8464707,       458.6048303,         149.8560619,        0.03602633767,               0.7423974905,       839.5948987,       839.5948987,        638432.306,        638432.306,       164512.7697,         0.0553734053,          0.2842803331,       97638.18794,        262150.9576,            291.064991,            548.5299076,            103369.2201,             535063.0858
          0,           0,           9,      -4.035160083,      -1.550967745,      -1.659404203,      -1.530775075,       1.570306699,      0.3390342001,      0.3390342001,       1.273720005,       740.2619494,       360602.8277,       360602.8277,       3.203760445,        844966.474,       476.9769464,       460.9578025,         152.8056241,           0.12236696,               0.7669431352,       841.0111983,       841.0111983,       640744.5036,       640744.5036,       163021.2534,         0.0542437621,           0.284790438,       98790.78718,        261812.0406,            292.305728,            548.7054703,            104943.4476,              535801.056
          0,           0,          10,      -4.034599969,      -1.548443831,      -1.660817743,      -1.527881856,       1.571770079,      0.3384174754,      0.3384174754,       1.283784342,       741.2183125,         361679.99,         361679.99,       3.211793915,       846679.0913,       475.9564438,        463.715411,         155.4300301,         0.2340155204,                0.785585679,       842.7157989,       842.7157989,       643552.6154,       643552.6154,       161448.4963,        0.05298846248,          0.2854290129,       100115.7469,        261564.2431,           293.7369204,            548.9788785,            106754.1163,             536798.4991
          0,           0,          11,      -4.034336283,      -1.545535406,       -1.66049838,      -1.524309338,       1.573186578,      0.3375475964,      0.3375475964,       1.294692866,       742.1672965,       362733.8916,       362733.8916,       3.219596338,       848412.7839,       474.8665594,       466.6485639,         157.7429411,         0.3643816317,                0.799249123,       844.4413761,       844.4413761,       646300.5668,       646300.5668,       159846.6819,        0.05154470195,          0.2860028944,       101443.6048,        261290.2868,           295.2094613,            549.2319148,            108627.4953,             537673.0715
          0,           0,          12,      -4.036693721,      -1.546215734,      -1.660653674,      -1.523086816,       1.572093562,       0.336540788,       0.336540788,       1.305728405,       743.2405695,       363956.5823,       363956.5823,       3.228620574,       850315.2931,       473.4138387,       469.8196026,         159.7905466,         0.5338856837,                0.808589722,       846.3349797,       846.3349797,       649341.6495,       649341.6495,       158172.1449,        0.04990308495,          0.2866377031,       102892.2187,        261064.3636,           296.7951642,            549.5398155,            110650.9661,             538690.6835
          0,           0,          13,      -4.037995295,      -1.545723742,      -1.659024244,      -1.521177983,       1.572150461,      0.3352922765,      0.3352922765,       1.317513572,       744.3141135,       365183.4032,       365183.4032,       3.237661584,       852251.6765,       471.7297707,       473.1400381,         161.6118385,         0.7426562224,               0.8144205585,       848.2622989,       848.2622989,        652439.145,        652439.145,        156481.021,        0.04803597344,           0.287256303,       104351.1911,        260832.2121,           298.4132841,            549.8490148,            112732.3709,             539706.7741
          0,           0,          14,       -4.04226837,      -1.548114808,      -1.657947016,      -1.520517667,       1.570031188,      0.3336462278,      0.3336462278,       1.328932655,       745.3421907,        366324.633,        366324.633,       3.246358654,       854102.2807,       469.5768269,       476.4853217,         163.2261092,          1.008158002,               0.8173887023,       850.1042404,       850.1042404,       655232.9978,       655232.9978,       154658.4922,        0.04595527773,            0.28769095,       105833.0704,        260491.5626,           300.0529315,            550.0513089,            114854.0031,             540378.9947
          0,           0,          15,      -4.045753952,      -1.550581117,      -1.656304943,       -1.52030794,       1.568606009,      0.3316200369,      0.3316200369,       1.339856417,       746.3720193,       367440.3136,       367440.3136,       3.255007431,       855916.0458,       466.8301401,       479.8254605,         164.6724077,          1.358384602,               0.8182921381,       851.9095154,       851.9095154,       657853.7225,       657853.7225,       152720.2364,         0.0436421294,          0.2879779075,       107360.0386,         260080.275,            301.718189,            550.1913264,             117025.421,             540828.3015
          0,           0,          16,      -4.050867914,      -1.553431998,      -1.655084491,      -1.520523598,        1.56679907,      0.3296948174,      0.3296948174,       1.351939146,       747.4707854,       368720.8466,       368720.8466,       3.264215775,       857916.2285,       464.2354656,       483.4208723,         165.9740947,          1.792646454,               0.8174156832,       853.9003352,       853.9003352,       661064.8628,       661064.8628,       151092.1682,        0.04110109045,          0.2885937269,       108814.3392,        259906.5074,           303.3330418,            550.5672934,            119160.5995,             541904.2634
          0,           0,          17,      -4.056726356,       -1.55800894,      -1.654149065,      -1.521637555,       1.564315603,      0.3271361703,      0.3271361703,       1.362605145,       748.4396268,       369746.5211,       369746.5211,       3.272088316,       859649.3231,       460.9196624,       486.7956152,         167.1610493,          2.375973724,               0.8155821997,       855.6253172,       855.6253172,       663499.8688,       663499.8688,       149203.7769,        0.03835569026,            0.28878048,       110271.3721,         259475.149,           304.9214597,            550.7038575,            121274.7474,             542225.1214
          0,           0,          18,       -4.06241438,      -1.562228478,      -1.653780256,      -1.522363423,       1.562273667,      0.3241735876,      0.3241735876,       1.373052188,       749.3322059,       370615.2952,       370615.2952,       3.279044206,       861244.3487,       457.2594186,       490.0729078,         168.2597804,          3.146649727,               0.8129054569,       857.2128765,       857.2128765,       665483.3752,       665483.3752,       147173.3307,        0.03547824816,          0.2886953395,       111720.9822,        258894.3129,           306.4976769,            550.7151996,            123387.7079,             542095.6673
