"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,  "Pressure_Drop" ,"Avg_Massflow(INLET)","Avg_Massflow(OUTLET)","Avg_Press(INLET)","Avg_Press(OUTLET)","Avg_TotalTemp(INLET)","Avg_TotalTemp(OUTLET)","Avg_TotalPress(INLET)","Avg_TotalPress(OUTLET)"
          0,           0,           0,      -5.242434376,      -2.934615064,      -2.781569992,      -2.828110268,      0.1643380496,      -1.974039364,      0.4093947825,    0.003069806632,    0.003069806632,       1.377922284,       675.0167482,       444272.1609,       444272.1609,       4.226169204,       760101.3824,       56.96313397,       227.8040164,         381.7377613,        -0.2077919983,                 4.54862012,       756.0148409,       756.0148409,       735651.3646,       735651.3646,        270591.026,        0.09684712351,        -0.09377731688,       86840.56744,        357431.5934,           288.1090313,            467.9058096,             99298.2196,              636353.145
          0,           0,           1,      -5.198118156,      -2.934800971,      -2.788655848,      -2.828651138,      0.1757002098,      -1.974183531,      0.4045566435,    0.002710058689,    0.002710058689,       1.377322388,       675.0536895,       444250.2841,       444250.2841,       4.225934994,       760131.9901,        56.5933457,       227.6967601,         381.8738819,        -0.2067944514,                4.542601765,       756.0448352,       756.0448352,       735657.6663,       735657.6663,        270485.885,        0.09671027404,        -0.09400021535,       86882.19953,        357368.0846,           288.1093558,            467.9354794,             99298.2514,             636359.4149
          0,           0,           2,      -5.223329961,      -2.933684407,      -2.790188975,      -2.831545462,       0.167872313,      -1.974430701,      0.4045376593,    0.002360344427,    0.002360344427,       1.376722521,       675.0893811,       444226.7027,       444226.7027,       4.225693454,       760160.9284,       56.22968851,       227.5819777,         382.0084141,        -0.2058786874,                4.537044367,       756.0731327,       756.0731327,       735658.6519,       735658.6519,       270379.4707,        0.09657382823,         -0.0942134838,         86923.616,        357303.0867,           288.1096731,            467.9634596,            99298.30185,               636360.35
          0,           0,           3,      -5.234572324,       -2.93335056,      -2.810642944,      -2.837910007,      0.1612022265,      -1.974646434,      0.4026687165,    0.002021438998,    0.002021438998,       1.376120424,       675.1241463,       444202.1961,       444202.1961,       4.225448685,       760188.2938,       55.87395926,       227.4587799,         382.1421906,        -0.2050309274,                4.532002133,       756.0998304,       756.0998304,       735654.6706,       735654.6706,       270272.6805,        0.09643773992,        -0.09441630092,       86964.75779,        357237.4383,           288.1099643,            467.9898661,            99298.30838,             636356.3622
          0,           0,           4,      -5.241552838,      -2.932095429,      -2.785498243,      -2.831615098,      0.1630296099,      -1.974916713,      0.4030634684,    0.001695615873,    0.001695615873,       1.375503122,       675.1594505,       444180.4953,       444180.4953,       4.225222132,       760213.9669,       55.53349267,        227.324749,         382.2746891,        -0.2041707121,                4.527594811,       756.1248262,       756.1248262,       735643.9131,       735643.9131,       270169.1561,        0.09630209749,        -0.09460648162,       87005.66961,        357174.8257,           288.1102519,            468.0145743,            99298.33035,             636345.5828
          0,           0,           5,      -5.170271391,      -2.930773792,      -2.780411059,      -2.827593006,      0.1847270624,       -1.97513471,      0.4040200667,      0.0013798282,      0.0013798282,       1.374883239,       675.1934466,       444157.1133,       444157.1133,       4.224988326,        760237.534,       55.20406056,        227.182558,         382.4067368,        -0.2033201906,                4.523688615,       756.1476965,       756.1476965,       735626.3914,       735626.3914,       270064.5759,        0.09616682672,        -0.09478699852,       87046.26871,        357110.8446,           288.1104946,            468.0372018,             99298.2765,             636328.1149
          0,           0,           6,      -5.227880938,      -2.930810274,      -2.804564052,      -2.841207523,      0.1655668502,      -1.975402471,      0.4052128618,    0.001074987111,    0.001074987111,       1.374260132,       675.2263838,       444131.7556,       444131.7556,       4.224743204,       760259.1841,       54.88535199,       227.0324824,         382.5381507,        -0.2024827172,                4.520268338,       756.1686365,       756.1686365,       735601.1814,       735601.1814,       269958.5256,         0.0960320535,        -0.09495706639,         87086.615,        357045.1406,           288.1107263,            468.0579102,            99298.23007,             636302.9513
          0,           0,           7,      -5.206492741,       -2.92997335,      -2.791185744,      -2.835583666,      0.1705910151,      -1.975613107,      0.4063719975,   0.0007826765696,   0.0007826765696,        1.37363956,       675.2581935,       444105.1572,       444105.1572,       4.224493648,       760279.6219,       54.57705511,        226.874131,         382.6695231,        -0.2016742098,                4.517361164,       756.1883379,       756.1883379,       735572.9347,       735572.9347,       269851.8012,        0.09589779591,        -0.09511511934,         87126.678,        356978.4792,           288.1109567,            468.0773812,            99298.16938,             636274.7653
          0,           0,           8,      -5.197977046,      -2.928757325,      -2.793232861,      -2.837608372,      0.1751536734,      -1.975845972,      0.4070969664,    0.000500954077,    0.000500954077,       1.373025469,       675.2875925,       444072.4457,       444072.4457,       4.224207328,       760297.9616,       54.27492269,       226.7107647,         382.8011594,        -0.2009021762,                4.514791864,       756.2059284,       756.2059284,       735536.1568,       735536.1568,       269739.4855,        0.09576402586,        -0.09526307178,       87166.48011,        356905.9656,           288.1111725,            468.0947559,            99298.10297,             636238.0538
          0,           0,           9,      -5.248523601,      -2.927707877,      -2.817143655,      -2.847512629,      0.1581560062,      -1.975975972,      0.4073577731,   0.0002330174769,   0.0002330174769,       1.372411408,       675.3179709,       444045.0836,       444045.0836,       4.223958573,       760317.1794,       53.98588164,       226.5349389,         382.9339168,        -0.2002002214,                4.512974145,       756.2243558,       756.2243558,       735506.7859,       735506.7859,       269633.0382,        0.09563090974,        -0.09539789226,       87206.02271,        356839.0609,           288.1114233,            468.1129325,            99298.07851,             636208.7074
