"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,  "Pressure_Drop" ,"Avg_Massflow(INLET)","Avg_Massflow(OUTLET)","Avg_Press(INLET)","Avg_Press(OUTLET)","Avg_TotalTemp(INLET)","Avg_TotalTemp(OUTLET)","Avg_TotalPress(INLET)","Avg_TotalPress(OUTLET)"
          0,           0,           0,      -4.242235839,      -2.548622393,      -2.745822662,      -2.795636526,       1.227261815,     0.06892212461,     0.06892212461,      0.5910572695,        571.464162,       193015.1503,       193015.1503,       2.352892235,       584235.2737,        93.5304372,       105.4230327,          101.366246,       -0.01570319146,                17.08252139,       581.5004769,       581.5004769,        205130.899,        205130.899,      -2748.038275,        0.07193746832,        -0.00301534371,       97881.59429,        95133.55602,           291.8359388,            289.6645382,            103892.4082,             101238.4908
          0,           0,           1,      -4.388151869,      -2.220530612,       -2.43899289,      -2.578697706,       1.080467483,     0.06451369905,     0.06451369905,      0.5853068839,       569.1634846,        190358.971,        190358.971,       2.329621452,       581694.3352,       86.39486507,       108.3524658,         100.8253484,       -0.02123139944,                9.210242914,       578.9714325,       578.9714325,       202068.6236,       202068.6236,      -3496.368259,        0.06995333821,       -0.005439639154,       96927.66962,        93431.30136,           290.8133593,            288.1580733,            102647.2658,             99421.35787
          0,           0,           2,      -4.506531355,      -2.194950707,      -2.394820379,      -2.526512531,      0.9608153594,     0.06106025018,     0.06106025018,      0.5797661112,       567.9156921,       188861.8938,       188861.8938,       2.316098135,       580240.4781,       80.49996662,       110.9231362,         100.1980604,       -0.01554223362,                6.592431752,       577.5243809,       577.5243809,       200256.0076,       200256.0076,      -3679.902204,        0.06842399213,       -0.007363741955,         96270.898,         92590.9958,           290.1039796,            287.4204013,            101766.9888,             98489.01879
          0,           0,           3,      -4.573422758,      -2.158103882,      -2.374189556,      -2.500444254,      0.8946112811,     0.05837867219,     0.05837867219,      0.5748635881,       567.1942714,       187929.8253,       187929.8253,        2.30735754,       579345.4006,       75.60793738,       113.2417417,         99.50606339,      -0.001007385265,                5.270817433,       576.6334933,       576.6334933,       199073.5365,       199073.5365,      -3687.238951,        0.06722858693,       -0.008849914734,       95808.53213,        92121.29318,           289.6023111,            287.0311822,             101130.446,             97943.09047
          0,           0,           4,      -4.611661561,      -2.143486774,      -2.374523815,      -2.496630241,      0.8566445602,      0.0563279174,      0.0563279174,      0.5705425253,       566.7702144,       187299.8091,       187299.8091,       2.301157481,       578771.6484,       71.62256953,       115.4311234,         98.75884673,        0.03431783292,                4.454127719,       576.0624269,       576.0624269,       198237.7976,       198237.7976,      -3653.676973,        0.06628414268,       -0.009956225277,       95476.74304,        91823.06607,           289.2412822,            286.8211447,            100661.3403,             97576.45733
          0,           0,           5,      -4.633028842,      -2.145757679,      -2.387461461,      -2.506398305,      0.8352604777,     0.05479465974,     0.05479465974,      0.5671936873,       566.5627733,       186881.1277,       186881.1277,       2.296737287,       578447.4801,         68.388824,       117.6068185,         97.96039665,         0.0915035472,                3.880528966,        575.739776,        575.739776,       197663.1362,       197663.1362,        -3586.5191,        0.06553244906,        -0.01073778932,        95233.8234,         91647.3043,           288.9765953,            286.7631807,            100309.3401,             97353.79616
          0,           0,           6,      -4.645914495,      -2.156473445,       -2.40577379,      -2.522427166,       0.822380864,     0.05368631057,     0.05368631057,      0.5650011551,       566.5109221,       186606.8822,       186606.8822,       2.293526396,       578317.4046,       65.80390714,       119.8677062,         97.11347888,         0.1756360327,                3.440013588,       575.6103093,       575.6103093,       197285.1606,       197285.1606,      -3498.891432,        0.06493166181,        -0.01124535125,       95052.88684,         91553.9954,           288.7793823,            286.8309269,            100041.3861,             97243.77448
          0,           0,           7,       -4.65603714,      -2.168274439,      -2.423801588,      -2.538968233,      0.8123354099,     0.05292689808,     0.05292689808,      0.5640707476,       566.5546005,       186419.4479,       186419.4479,       2.291045318,       578325.7596,       63.87056415,       122.2876146,          96.2196783,         0.3005142449,                3.080423554,       575.6186252,       575.6186252,       197047.7528,       197047.7528,      -3412.814982,        0.06445089219,        -0.01152399411,       94916.13142,        91503.31644,           288.6303814,            286.9882438,            99835.13424,             97212.61852
          0,           0,           8,      -4.666555272,        -2.1765344,      -2.438035514,      -2.552461921,      0.8018610356,     0.05245235333,     0.05245235333,      0.5646040345,       566.6910622,       186319.9068,       186319.9068,       2.289316248,       578479.9477,       62.37861375,       124.9143202,         95.28430817,         0.4602039793,                2.775362812,       575.7720916,       575.7720916,       196962.8985,       196962.8985,      -3303.607748,        0.06406675507,        -0.01161440174,       94811.75729,        91508.14954,           288.5167061,            287.2553855,            99675.34297,             97287.55554
          0,           0,           9,      -4.678742733,      -2.179848691,      -2.447302541,      -2.561653388,      0.7896306589,     0.05220847368,     0.05220847368,      0.5664187688,       566.8450357,       186240.6247,       186240.6247,       2.287792424,       578700.1038,       61.47491674,       127.7649658,         94.30974295,         0.6848360355,                2.511118049,       575.9912171,       575.9912171,       196955.1768,       196955.1768,      -3223.249081,        0.06376105046,        -0.01155257677,       94731.93689,        91508.68781,           288.4296898,            287.5615273,            99551.49769,             97403.67907
          0,           0,          10,       -4.69282858,      -2.179296883,      -2.452447784,      -2.567166181,      0.7754158439,     0.05214799983,     0.05214799983,      0.5695962509,       567.0419693,       186212.9989,       186212.9989,       2.286750852,       579017.1164,       60.84654318,       130.8355947,         93.30204523,         0.9564985011,                2.279964922,       576.3067458,       576.3067458,       197063.5413,       197063.5413,      -3129.159485,        0.06351931123,        -0.01137131139,       94671.07918,        91541.91969,           288.3631061,            287.9436397,            99455.87659,             97607.66469
          0,           0,          11,      -4.708402688,      -2.176755323,      -2.455170467,      -2.570348704,      0.7597386538,     0.05223095489,     0.05223095489,      0.5737964165,       567.2230235,       186186.3899,       186186.3899,       2.285793669,       579360.2839,        60.6259134,       134.1015764,         92.26406824,          1.308719472,                2.077153187,       576.6483069,       576.6483069,       197222.3682,       197222.3682,      -3063.662145,        0.06332988638,        -0.01109893149,       94625.02603,        91561.36388,           288.3123223,            288.3359846,            99382.61239,             97839.75579
          0,           0,          12,      -4.724990367,      -2.173745809,      -2.457325699,       -2.57246285,       0.743128566,     0.05242272489,     0.05242272489,        0.57893713,        567.403094,       186177.1526,       186177.1526,       2.285059884,       579742.0787,       60.55608946,       137.5319322,         91.20124043,          1.721481852,                1.899027428,       577.0283145,       577.0283145,       197445.9976,       197445.9976,      -3004.007603,         0.0631833213,        -0.01076059641,       94590.58009,        91586.57249,            288.273798,            288.7545165,            99327.12767,             98118.86996
          0,           0,          13,      -4.742159156,      -2.171017197,      -2.460303132,      -2.574219754,      0.7260463668,     0.05269439726,     0.05269439726,       0.584644332,       567.5438122,       186152.1165,       186152.1165,       2.284286889,       580109.7075,       60.72521875,       141.0887731,         90.11557086,          2.225593413,                1.742558699,       577.3942225,       577.3942225,       197683.5331,       197683.5331,       -2978.38464,        0.06307187109,        -0.01037747383,       94565.25056,        91586.86592,           288.2447936,            289.1494289,            99285.80609,             98397.72706
          0,           0,          14,      -4.759539869,      -2.168808558,      -2.465059164,      -2.575863953,      0.7088480299,     0.05302225614,     0.05302225614,      0.5907918126,       567.6567133,       186119.7332,       186119.7332,       2.283533196,       580469.7768,       60.96524465,       144.7345253,         89.01130148,          2.801680199,                 1.60505401,       577.7526063,       577.7526063,       197937.8048,       197937.8048,       -2974.42833,        0.06298914368,       -0.009966887538,       94547.08079,        91572.65246,           288.2231768,            289.5294294,            99255.76546,             98682.03935
          0,           0,          15,      -4.776853158,      -2.167212882,      -2.472186139,      -2.577346565,      0.6917569827,     0.05338680982,     0.05338680982,       0.597047743,       567.7106394,       186050.8056,       186050.8056,       2.282561551,        580777.698,       61.37576715,       148.4342522,         87.88979191,           3.48990584,                1.484017829,       578.0590861,       578.0590861,       198162.6694,       198162.6694,      -3018.238192,        0.06292982908,       -0.009543019254,       94534.52191,        91516.28372,           288.2072791,             289.851807,            99234.69041,             98927.97901
          0,           0,          16,      -4.793705511,      -2.166264351,      -2.481991807,      -2.578463782,      0.6751625576,     0.05377212273,     0.05377212273,      0.6034009007,       567.7343061,       185965.9948,       185965.9948,       2.281511555,       581061.9127,       61.81495151,       152.1502729,         86.75488082,          4.263539129,                1.377402372,       578.3419704,       578.3419704,       198378.7908,       198378.7908,      -3086.681497,        0.06288949415,       -0.009117371423,       94526.33814,        91439.65665,           288.1957881,            290.1461823,             99220.7068,             99158.08397
