"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,  "Pressure_Drop" ,"Avg_Massflow(INLET)","Avg_Massflow(OUTLET)","Avg_Press(INLET)","Avg_Press(OUTLET)","Avg_TotalTemp(INLET)","Avg_TotalTemp(OUTLET)","Avg_TotalPress(INLET)","Avg_TotalPress(OUTLET)"
          0,           0,           0,       -4.64293508,      -3.136819427,      -3.413477557,      -3.404726201,      0.1297510546,   4.561277711e-05,   4.561277711e-05,      0.4280845938,        582.852061,       213875.6895,       213875.6895,       2.553651646,       591733.7856,      -7.361334921,       100.1263503,         85.24046189,     -3.104229351e-05,                1.586521693,       588.9638885,       588.9638885,       222292.5365,       222292.5365,       20589.90504,        0.03306200006,        -0.03301638728,       96642.89224,        117232.7973,           288.4008459,            300.5630426,             97909.1843,             124383.3522
          0,           0,           1,      -4.605516971,      -3.116879239,      -3.248139155,      -3.319201958,       0.325689886,   0.0004808299382,   0.0004808299382,      0.4291405238,       583.0471985,       214136.3344,       214136.3344,       2.556011145,       591943.6412,      -6.838714486,       100.4886886,         85.22148786,      -4.13063408e-05,                1.588528781,       589.1727617,       589.1727617,       222570.0504,       222570.0504,       20323.09015,         0.0334463854,        -0.03296555546,       96906.62212,        117229.7123,           288.6094719,            300.5632898,            98199.99749,             124370.0529
          0,           0,           2,      -4.623605806,      -3.063941049,      -3.049585937,      -3.212497779,      0.2722687666,   0.0008648317618,   0.0008648317618,      0.4301073494,       583.1829253,       214333.9175,       214333.9175,       2.557846936,       592092.6993,      -6.370360241,       100.8230325,         85.21071516,     -5.270060887e-05,                1.590327752,        589.321122,        589.321122,       222782.8619,       222782.8619,       20119.12832,        0.03378760039,        -0.03292276863,       97107.39458,        117226.5229,           288.7568944,            300.5642276,            98425.30371,             124357.5582
          0,           0,           3,      -4.618543559,      -2.978478043,      -2.912545591,      -3.086933194,      0.2344934358,    0.001192615438,    0.001192615438,      0.4309469144,       583.2768869,       214486.5438,       214486.5438,       2.559307466,        592198.091,      -5.968410751,       101.1180108,         85.20307717,     -6.134525522e-05,                1.591796719,       589.4260205,       589.4260205,       222948.5152,       222948.5152,       19961.02221,        0.03408095428,        -0.03288833884,       97262.76077,         117223.783,           288.8597081,            300.5663124,            98602.04424,             124346.4709
          0,           0,           4,       -4.60032204,      -2.918225755,      -2.837072724,       -2.99789434,      0.2263619306,    0.001463985304,    0.001463985304,      0.4316369291,       583.3437372,       214609.1874,       214609.1874,       2.560514122,       592274.1282,      -5.636765286,       101.3665611,         85.19292732,     -6.601155272e-05,                1.592863537,       589.5017016,       589.5017016,       223081.6142,       223081.6142,       19835.88659,        0.03432546073,        -0.03286147542,       97386.65042,         117222.537,           288.9313891,            300.5703125,            98743.86527,             124337.7489
          0,           0,           5,      -4.582379675,      -2.881885492,       -2.79782403,      -2.942457299,       0.228882742,    0.001678997227,    0.001678997227,       0.432165545,       583.3914784,       214709.8253,       214709.8253,       2.561531188,       592328.6033,      -5.377413753,        101.564916,         85.17650378,     -6.716810457e-05,                1.593477563,       589.5559218,       589.5559218,       223189.8822,       223189.8822,       19735.77079,        0.03452064134,        -0.03284164411,       97487.02726,        117222.7981,           288.9798105,            300.5761113,            98858.55586,             124331.3263
          0,           0,           6,      -4.569257423,      -2.863660037,      -2.778569021,      -2.911187466,      0.2346306777,    0.001844231199,    0.001844231199,      0.4325478432,       583.4254812,       214793.8191,       214793.8191,        2.56240159,       592367.0909,      -5.182127683,       101.7177728,         85.15270732,     -6.727850275e-05,                1.593668953,       589.5942292,       589.5942292,       223278.9133,       223278.9133,       19655.89486,        0.03467206857,        -0.03282783737,       97568.96211,         117224.857,           289.0104152,             300.583814,            98951.54329,               124327.37
          0,           0,           7,      -4.560130343,      -2.857467373,      -2.771708781,      -2.896018065,      0.2487667991,    0.001964346196,    0.001964346196,      0.4328003782,       583.4469119,       214862.3314,       214862.3314,       2.563135284,       592391.0059,      -5.044835677,       101.8305439,         85.12150338,       -6.8798827e-05,                1.593447036,       589.6180323,       589.6180323,       223350.1382,       223350.1382,       19593.86817,        0.03478410436,        -0.03281975816,        97634.2316,        117228.0998,           289.0251693,             300.592863,            99024.91182,             124325.2264
          0,           0,           8,      -4.554383688,      -2.860018066,      -2.772961202,      -2.891162991,      0.2641260525,    0.002044758606,    0.002044758606,       0.432942331,       583.4573855,       214917.2324,       214917.2324,       2.563748833,       592402.2726,      -4.958801254,       101.9097238,         85.08371421,     -7.315426856e-05,                1.592832396,       589.6292462,       589.6292462,       223405.7805,       223405.7805,       19546.68493,        0.03486199404,        -0.03281723543,       97685.27372,        117231.9586,           289.0264918,            300.6027544,            99081.47959,             124324.3009
          0,           0,           9,      -4.552916449,      -2.866158323,      -2.778844181,      -2.892789047,      0.2649760933,    0.002090922379,    0.002090922379,      0.4329898487,       583.4589511,       214960.7745,       214960.7745,       2.564261292,       592403.1877,      -4.917081245,       101.9605442,         85.04080888,     -8.096949654e-05,                 1.59188051,       589.6301571,       589.6301571,        223448.378,        223448.378,       19511.72009,        0.03491063956,        -0.03281971718,        97724.5272,        117236.2473,            289.016883,            300.6132741,            99124.04605,              124324.332
