"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,  "Pressure_Drop" ,"Avg_Massflow(INLET)","Avg_Massflow(OUTLET)","Avg_Press(INLET)","Avg_Press(OUTLET)","Avg_TotalTemp(INLET)","Avg_TotalTemp(OUTLET)","Avg_TotalPress(INLET)","Avg_TotalPress(OUTLET)"
          0,           0,           0,      -4.640866974,      -3.136819427,      -3.349388844,      -3.331561885,      0.1779878125,   -0.001575812114,   -0.001575812114,      0.4352132272,       580.3250155,       210805.5641,       210805.5641,       2.529065793,       589399.1541,      -11.02452648,       103.7888427,         85.23874388,     -5.369970257e-05,                1.485487171,       586.6401853,       586.6401853,       219385.8229,       219385.8229,        17519.7796,        0.03306200007,        -0.03463781219,       96642.89225,        114162.6719,           288.4008459,            298.2393394,            97909.18431,             121476.6386
          0,           0,           1,      -4.604986313,      -3.116850316,       -3.23195019,      -3.248948379,      0.3316540803,   -0.002777166364,   -0.002777166364,      0.4425272651,       579.1685802,       209381.4433,       209381.4433,       2.517590615,       588447.7701,      -13.83547751,       107.4831286,         85.21644828,     -0.0001147679044,                1.405686837,       585.6932548,       585.6932548,       218181.4059,       218181.4059,       15568.19902,        0.03344638541,        -0.03622355177,       96906.62213,        112474.8211,           288.6094719,            297.0837828,             98199.9975,             119981.4084
          0,           0,           2,      -4.623281535,          -3.06388,        -3.0447619,      -3.169650659,      0.2763101607,   -0.003784813171,   -0.003784813171,      0.4486432126,       578.5025834,       208532.9732,       208532.9732,       2.510601015,       587960.7718,      -16.11430148,       110.5635605,         85.19988653,     -0.0001562258902,                1.346197774,        585.208536,        585.208536,       217536.5806,       217536.5806,       14318.18401,         0.0337876004,        -0.03757241357,       97107.39458,        111425.5786,           288.7568944,            296.4516416,            98425.30372,             119111.2768
          0,           0,           3,      -4.618282799,      -2.978399042,      -2.910289792,      -3.064822443,      0.2383769637,   -0.004554570218,   -0.004554570218,      0.4535117282,       578.1000373,        208001.466,        208001.466,       2.506136704,       587703.6746,      -17.85146334,       112.9974376,         85.18493364,     -0.0001670692226,                1.303298575,       584.9526423,       584.9526423,        217174.716,        217174.716,       13475.94446,        0.03408095429,        -0.03863552451,       97262.76078,        110738.7052,           288.8597081,            296.0929342,            98602.04425,             118572.6717
          0,           0,           4,      -4.600092939,      -2.918125491,      -2.835563391,      -2.984704339,       0.230213791,   -0.005099783514,   -0.005099783514,      0.4571672272,       577.8778762,       207693.6841,       207693.6841,       2.503499593,       587591.8918,      -19.09305618,       114.8198131,         85.16698419,     -0.0001509777874,                1.273420835,       584.8413828,       584.8413828,       216997.9602,       216997.9602,       12920.38329,        0.03432546074,        -0.03942524426,       97386.65043,        110307.0337,           288.9313891,            295.9099937,            98743.86528,             118254.0949
          0,           0,           5,      -4.582174823,       -2.88175864,      -2.796611074,      -2.933242425,      0.2325759373,    -0.00547471934,    -0.00547471934,      0.4598198268,        577.756647,       207520.1819,       207520.1819,       2.501996355,       587551.1486,      -19.96216697,       116.1472942,         85.14142098,     -0.0001305621214,                1.252657736,       584.8008303,       584.8008303,       216921.0086,       216921.0086,       12546.12737,        0.03452064135,        -0.03999536069,       97487.02727,        110033.1546,           288.9798105,            295.8210198,            98858.55587,             118062.4527
          0,           0,           6,      -4.569068411,      -2.863496706,      -2.777481669,      -2.903756026,      0.2381605883,    -0.00571951536,    -0.00571951536,      0.4616477475,       577.7062355,       207443.4631,       207443.4631,       2.501322092,       587556.2761,      -20.54281419,       117.0765862,         85.10693172,     -0.0001147708572,                1.238523443,       584.8059338,       584.8059338,       216911.7693,       216911.7693,       12305.53889,        0.03467206857,        -0.04039158393,       97568.96211,         109874.501,           289.0104152,            295.7955186,            98951.54329,              117960.226
          0,           0,           7,      -4.559951651,      -2.857257842,      -2.770663906,      -2.889416398,      0.2520354426,   -0.005877750889,   -0.005877750889,      0.4628471896,         577.69895,       207429.9173,       207429.9173,       2.501202226,       587585.5884,      -20.92335731,       117.7074713,         85.06405775,     -0.0001073182975,                1.228929513,       584.8351089,       584.8351089,       216943.5431,       216943.5431,       12161.45412,        0.03478410435,        -0.04066185524,        97634.2316,        109795.6857,           289.0251693,            295.8099395,            99024.91182,             117918.6312
          0,           0,           8,      -4.554213906,      -2.859750202,      -2.771919201,      -2.884879132,      0.2671018381,   -0.005980261899,   -0.005980261899,      0.4635841821,       577.7121361,       207449.5949,       207449.5949,       2.501381983,       587621.4839,       -21.1718722,       118.1212482,         85.01405744,     -0.0001095325028,                1.222387066,       584.8708363,       584.8708363,       216991.9191,       216991.9191,       12079.04742,        0.03486199402,        -0.04084225592,       97685.27372,        109764.3211,           289.0264918,            295.8443445,            99081.47959,             117910.4395
          0,           0,           9,       -4.55275186,      -2.865821981,      -2.777779602,      -2.886567151,      0.2678766268,   -0.006046179814,   -0.006046179814,      0.4639693161,       577.7369306,        207488.269,        207488.269,         2.5017322,       587658.5407,      -21.33046093,       118.3722504,         84.95852734,     -0.0001202692519,                1.217995683,       584.9077197,       584.9077197,       217046.5933,       217046.5933,       12039.21458,        0.03491063955,        -0.04095681936,        97724.5272,        109763.7418,            289.016883,            295.8908367,            99124.04604,             117922.5472
