"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy"
0, -2.521296116e-02, 1.470756068e-02, 0.000000000e+00, 1.185026880e+00, 9.038793610e+01, 0.000000000e+00, 0.000000000e+00, 2.442309335e+05
1, -2.521296116e-02, 1.470695355e-02, 1.336352487e-04, 1.185026880e+00, 9.038793610e+01, 0.000000000e+00, 0.000000000e+00, 2.442309335e+05
2, -2.521296116e-02, 1.470378995e-02, 3.330196821e-04, 1.185026880e+00, 9.038793610e+01, 0.000000000e+00, 0.000000000e+00, 2.442309335e+05
3, -2.521296116e-02, 1.469441405e-02, 6.217208623e-04, 1.185026880e+00, 9.038793610e+01, 0.000000000e+00, 0.000000000e+00, 2.442309335e+05
4, -2.521296116e-02, 1.467200813e-02, 1.022016919e-03, 1.185026880e+00, 9.038793610e+01, 0.000000000e+00, 0.000000000e+00, 2.442309335e+05
5, -2.521296116e-02, 1.462621657e-02, 1.544710282e-03, 1.185026880e+00, 9.038793610e+01, 0.000000000e+00, 0.000000000e+00, 2.442309335e+05
6, -2.521296116e-02, 1.454572150e-02, 2.175850871e-03, 1.185026880e+00, 9.038793610e+01, 0.000000000e+00, 0.000000000e+00, 2.442309335e+05
7, -2.521296116e-02, 1.442495902e-02, 2.869302748e-03, 1.185026880e+00, 9.038793610e+01, 0.000000000e+00, 0.000000000e+00, 2.442309335e+05
8, -2.521296116e-02, 1.427115646e-02, 3.556182545e-03, 1.185026880e+00, 9.038793610e+01, 0.000000000e+00, 0.000000000e+00, 2.442309335e+05
9, -2.521296116e-02, 1.410399716e-02, 4.170084547e-03, 1.185026880e+00, 9.038793610e+01, 0.000000000e+00, 0.000000000e+00, 2.442309335e+05
10, -2.521296116e-02, 1.394627695e-02, 4.670513916e-03, 1.185026880e+00, 9.038793610e+01, 0.000000000e+00, 0.000000000e+00, 2.442309335e+05
11, -2.521296116e-02, 1.381379065e-02, 5.048913625e-03, 1.185026880e+00, 9.038793610e+01, 0.000000000e+00, 0.000000000e+00, 2.442309335e+05
12, -2.521296116e-02, 1.371197170e-02, 5.319226739e-03, 1.185026880e+00, 9.038793610e+01, 0.000000000e+00, 0.000000000e+00, 2.442309335e+05
13, -2.521296116e-02, 1.363859336e-02, 5.504644592e-03, 1.185026880e+00, 9.038793610e+01, 0.000000000e+00, 0.000000000e+00, 2.442309335e+05
14, -2.521296116e-02, 1.358801428e-02, 5.628339801e-03, 1.185026880e+00, 9.038793610e+01, 0.000000000e+00, 0.000000000e+00, 2.442309335e+05
