"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Turb_Kin_Energy","Omega"
0, -2.521296116e-02, 4.913112014e-03, -1.386267187e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
1, -2.521296116e-02, 4.920241388e-03, -1.386014306e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
2, -2.521296116e-02, 4.932948251e-03, -1.385562567e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
3, -2.521296116e-02, 4.955526838e-03, -1.384756639e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
4, -2.521296116e-02, 4.995428965e-03, -1.383322199e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
5, -2.521296116e-02, 5.065273145e-03, -1.380780030e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
6, -2.521296116e-02, 5.185495852e-03, -1.376310190e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
7, -2.521296116e-02, 5.386567817e-03, -1.368565776e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
8, -2.521296116e-02, 5.707136072e-03, -1.355510748e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
9, -2.521296116e-02, 6.180889411e-03, -1.334574641e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
10, -2.521296116e-02, 6.807349281e-03, -1.303734393e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
11, -2.521296116e-02, 7.523181064e-03, -1.263780391e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
12, -2.521296116e-02, 8.215639543e-03, -1.219900028e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
13, -2.521296116e-02, 8.785378557e-03, -1.179531537e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
14, -2.521296116e-02, 9.195258557e-03, -1.147865676e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
15, -2.521296116e-02, 9.462835457e-03, -1.125908905e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
16, -2.521296116e-02, 9.626764787e-03, -1.111925091e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
17, -2.521296116e-02, 9.723367681e-03, -1.103487481e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
18, -2.521296116e-02, 9.779009679e-03, -1.098559560e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
19, -2.521296116e-02, 9.810640659e-03, -1.095735693e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
20, -2.521296116e-02, 9.828488491e-03, -1.094135069e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
21, -2.521296116e-02, 9.838516930e-03, -1.093233395e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
22, -2.521296116e-02, 9.844138484e-03, -1.092727224e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
23, -2.521296116e-02, 9.849757434e-03, -1.092220763e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
24, -2.521296116e-02, 9.859768311e-03, -1.091317139e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
25, -2.521296116e-02, 9.877544053e-03, -1.089708514e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
26, -2.521296116e-02, 9.908919447e-03, -1.086856276e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
27, -2.521296116e-02, 9.963718596e-03, -1.081834797e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
28, -2.521296116e-02, 1.005768456e-02, -1.073104479e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
29, -2.521296116e-02, 1.021381424e-02, -1.058254883e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
30, -2.521296116e-02, 1.046002126e-02, -1.033925994e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
31, -2.521296116e-02, 1.081759326e-02, -9.964537976e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
32, -2.521296116e-02, 1.127834620e-02, -9.439875429e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
33, -2.521296116e-02, 1.178679118e-02, -8.796811618e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
34, -2.521296116e-02, 1.225861652e-02, -8.126417540e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
35, -2.521296116e-02, 1.263050321e-02, -7.535431628e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
36, -2.521296116e-02, 1.288800295e-02, -7.086022939e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
37, -2.521296116e-02, 1.305118684e-02, -6.780771572e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
38, -2.521296116e-02, 1.314912405e-02, -6.588844940e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
39, -2.521296116e-02, 1.320608415e-02, -6.473923258e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
40, -2.521296116e-02, 1.323863232e-02, -6.407101940e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
41, -2.521296116e-02, 1.325704907e-02, -6.368908157e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
42, -2.521296116e-02, 1.326741299e-02, -6.347290255e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
43, -2.521296116e-02, 1.327322750e-02, -6.335122154e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
44, -2.521296116e-02, 1.327648411e-02, -6.328294462e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
45, -2.521296116e-02, 5.068382427e-03, -1.411117372e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
46, -2.521296116e-02, 5.075639593e-03, -1.410856502e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
47, -2.521296116e-02, 5.088574178e-03, -1.410390503e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
48, -2.521296116e-02, 5.111557263e-03, -1.409559175e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
49, -2.521296116e-02, 5.152173801e-03, -1.408079648e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
50, -2.521296116e-02, 5.223267130e-03, -1.405457950e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
51, -2.521296116e-02, 5.345635945e-03, -1.400849387e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
52, -2.521296116e-02, 5.550285699e-03, -1.392867736e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
53, -2.521296116e-02, 5.876527514e-03, -1.379420707e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
54, -2.521296116e-02, 6.358594809e-03, -1.357873324e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
55, -2.521296116e-02, 6.995912599e-03, -1.326163381e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
56, -2.521296116e-02, 7.723948305e-03, -1.285123912e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
57, -2.521296116e-02, 8.427986956e-03, -1.240091771e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
58, -2.521296116e-02, 9.007070210e-03, -1.198692665e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
59, -2.521296116e-02, 9.423559612e-03, -1.166234318e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
60, -2.521296116e-02, 9.695395918e-03, -1.143735207e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
61, -2.521296116e-02, 9.861911832e-03, -1.129408780e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
62, -2.521296116e-02, 9.960030505e-03, -1.120765438e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
63, -2.521296116e-02, 1.001654264e-02, -1.115717696e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
64, -2.521296116e-02, 1.004866731e-02, -1.112825277e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
65, -2.521296116e-02, 1.006679339e-02, -1.111185831e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
66, -2.521296116e-02, 1.007697807e-02, -1.110262299e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
67, -2.521296116e-02, 1.008268718e-02, -1.109743860e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
68, -2.521296116e-02, 1.008839362e-02, -1.109225128e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
69, -2.521296116e-02, 1.009856032e-02, -1.108299615e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
70, -2.521296116e-02, 1.011661256e-02, -1.106652043e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
71, -2.521296116e-02, 1.014847545e-02, -1.103730811e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
72, -2.521296116e-02, 1.020412432e-02, -1.098588054e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
73, -2.521296116e-02, 1.029954216e-02, -1.089647446e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
74, -2.521296116e-02, 1.045806942e-02, -1.074441754e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
