"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.750479572,      -2.422541839,      -15.58965904,      -15.48688811,      0.5639666515
          0,           0,           1,      -4.869256839,      -2.512098943,      -2.906748343,      -2.907953463,      0.5944143881
          0,           0,           2,      -4.922080909,      -2.574085495,       -2.80142723,      -2.802695977,      0.5398685824
          0,           0,           3,      -4.960656543,      -2.615923371,       -2.76124606,      -2.763358608,      0.5006877631
          0,           0,           4,      -4.994839811,      -2.644969474,       -2.75112923,      -2.754344104,      0.4661145996
          0,           0,           5,      -5.024196554,      -2.666182211,      -2.756373326,      -2.761051078,      0.4364966698
          0,           0,           6,       -5.04618116,      -2.680256593,      -2.768581611,      -2.773972908,      0.4145351614
          0,           0,           7,      -5.061155662,      -2.689779329,      -2.781052256,      -2.787112424,       0.399696365
          0,           0,           8,      -5.071228762,      -2.698460239,      -2.796696857,      -2.803676606,      0.3897572209
          0,           0,           9,      -5.079788857,       -2.70502653,      -2.815096916,      -2.822824979,      0.3812307833
          0,           0,          10,      -5.088260789,      -2.711427006,      -2.830973527,      -2.839074371,      0.3726735833
          0,           0,          11,      -5.098027732,      -2.717768608,      -2.840892866,      -2.848993835,      0.3626587809
          0,           0,          12,      -5.110393056,      -2.725160421,      -2.844452263,      -2.852551525,      0.3499478053
          0,           0,          13,      -5.126096859,       -2.73328536,      -2.840338905,      -2.848050637,      0.3335252019
          0,           0,          14,      -5.147511629,       -2.74222356,      -2.828818742,      -2.836262407,      0.3110997907
          0,           0,          15,       -5.17371042,      -2.751005704,      -2.813026183,      -2.820242838,      0.2835358103
          0,           0,          16,      -5.203584135,      -2.759518853,      -2.796689232,       -2.80382909,      0.2518544322
          0,           0,          17,      -5.235128838,      -2.767921886,       -2.78304838,      -2.790236118,      0.2181525011
          0,           0,          18,      -5.262601659,      -2.775712225,      -2.774803186,      -2.782292232,      0.1885282296
          0,           0,          19,       -5.27943294,      -2.782579792,      -2.773686152,      -2.781638164,      0.1703258284
          0,           0,          20,      -5.281442394,      -2.787943966,       -2.78046895,      -2.788995641,      0.1682849131
          0,           0,          21,      -5.269493252,      -2.791529595,      -2.795695078,      -2.804953336,      0.1814285297
          0,           0,          22,      -5.249352755,      -2.793790516,      -2.818662534,      -2.828858548,      0.2033860476
          0,           0,          23,      -5.226818993,      -2.795178744,      -2.848066062,      -2.858956159,      0.2276829486
          0,           0,          24,      -5.205900815,      -2.796338271,      -2.882012731,      -2.893624928,       0.250031124
          0,           0,          25,      -5.188885342,      -2.797619922,        -2.9183032,      -2.930061817,      0.2681014445
          0,           0,          26,      -5.176633271,      -2.799300249,      -2.954275004,      -2.965549466,      0.2810895423
          0,           0,          27,      -5.168771786,      -2.801470234,      -2.988090008,      -2.998053002,      0.2894497365
