"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.659493513,      -1.645789662,      -15.58965904,      -15.48688811,       1.517169879
          0,           0,           1,      -3.790534953,      -1.775543491,      -1.712906815,      -1.717223435,       1.670002129
          0,           0,           2,      -3.837254759,      -1.821406584,      -1.640890108,      -1.660703348,       1.620039369
          0,           0,           3,      -3.878867252,       -1.85812519,      -1.596225292,      -1.632440509,       1.583847012
          0,           0,           4,      -3.917274409,      -1.888344337,      -1.564863194,      -1.617300398,       1.553636329
          0,           0,           5,       -3.94863744,      -1.909430524,       -1.54226935,      -1.607941496,       1.530729123
          0,           0,           6,      -3.972983709,      -1.922888361,      -1.528595276,      -1.604129348,        1.51287993
          0,           0,           7,      -3.991025371,      -1.930453496,      -1.525646836,      -1.610391092,       1.498429289
          0,           0,           8,      -4.003760969,      -1.934385913,      -1.528631446,       -1.62570713,       1.487232882
          0,           0,           9,      -4.011182252,      -1.935316162,      -1.533180703,      -1.644273738,       1.481135301
          0,           0,          10,      -4.017704265,       -1.93602382,      -1.539559392,       -1.66051341,       1.475718001
          0,           0,          11,      -4.024090593,      -1.936838548,      -1.549820627,      -1.673758261,       1.470342657
          0,           0,          12,      -4.032389415,      -1.939076284,       -1.55684826,      -1.684466299,       1.462961134
          0,           0,          13,      -4.046767462,      -1.945716933,        -1.5595016,      -1.687951693,       1.449408071
          0,           0,          14,      -4.067105246,      -1.956513249,        -1.5580847,      -1.682551551,       1.430247554
          0,           0,          15,      -4.095788596,       -1.97239296,      -1.552288982,      -1.671684242,       1.402970484
          0,           0,          16,      -4.135651778,      -1.994382814,       -1.54214749,      -1.656843885,       1.365450094
          0,           0,          17,      -4.191265226,      -2.023691375,      -1.531123833,      -1.641729879,       1.312948749
          0,           0,          18,      -4.261393253,       -2.05770082,       -1.51978785,      -1.629304771,       1.248722435
          0,           0,          19,      -4.343115079,      -2.093330586,       -1.51055394,       -1.62265315,       1.177111269
          0,           0,          20,      -4.422346629,      -2.125478871,      -1.505552602,       -1.62276033,       1.112003695
          0,           0,          21,      -4.462373209,      -2.147572385,      -1.506714393,      -1.631140175,       1.080026009
