"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.270414668,      -2.956261401,      -3.060972478,      -2.860223703,      0.1812501178
          0,           0,           1,      -5.272756584,      -2.956520975,      -3.057933959,      -2.862153908,      0.1791110572
          0,           0,           2,      -5.273864963,      -2.952589464,       -3.05452303,      -2.864573952,      0.1785602029
          0,           0,           3,      -5.275324229,      -2.951968938,      -3.051043398,      -2.867445971,      0.1775145833
          0,           0,           4,      -5.275655256,      -2.944862319,      -3.048010343,      -2.870757997,      0.1781164568
          0,           0,           5,      -5.277023075,      -2.944811698,      -3.044157724,      -2.874499973,      0.1772032158
          0,           0,           6,      -5.277010932,      -2.938275456,       -3.03997443,      -2.878647718,      0.1780730086
          0,           0,           7,      -5.277229855,       -2.93498335,      -3.035798542,      -2.883159357,      0.1786818471
          0,           0,           8,      -5.277286977,      -2.930463428,       -3.03208085,      -2.887988419,      0.1792651937
          0,           0,           9,      -5.276759585,      -2.922457193,      -3.028944043,        -2.8930624,      0.1811307309
          0,           0,          10,      -5.276723348,      -2.918844594,       -3.02629867,      -2.898150162,      0.1819037179
          0,           0,          11,      -5.274342263,      -2.902512926,      -3.022916851,      -2.903398077,      0.1863841112
          0,           0,          12,       -5.27647053,      -2.912300913,      -3.019972531,      -2.909342207,      0.1834109426
          0,           0,          13,      -5.279613612,      -2.923650535,      -3.017461324,       -2.91498569,      0.1795410788
          0,           0,          14,        -5.2790208,      -2.917563608,      -3.015353245,      -2.920408594,      0.1806496866
          0,           0,          15,       -5.27674243,      -2.900196304,      -3.013781645,      -2.925519611,      0.1852382162
          0,           0,          16,      -5.279355236,      -2.910718567,      -3.013161222,      -2.930518183,      0.1817036019
          0,           0,          17,      -5.281792836,      -2.915699981,      -3.012184309,      -2.935082437,      0.1788440784
          0,           0,          18,      -5.282335173,      -2.913635905,      -3.011634259,      -2.940534112,      0.1785737549
          0,           0,          19,      -5.281291136,      -2.899885608,      -3.011358213,      -2.944808893,      0.1810821389
          0,           0,          20,      -5.283809102,      -2.907831993,      -3.011835929,      -2.948474124,      0.1775488499
          0,           0,          21,      -5.285663769,      -2.905178441,      -3.013071438,      -2.951539693,      0.1759072021
          0,           0,          22,      -5.287456011,      -2.908104848,      -3.014988778,      -2.954089746,      0.1735507403
          0,           0,          23,      -5.289489378,      -2.905555349,       -3.01653127,      -2.956006443,      0.1716004669
          0,           0,          24,      -5.291552763,      -2.907638312,      -3.018578072,      -2.957390338,      0.1689601911
          0,           0,          25,       -5.29410417,      -2.905332113,      -3.021050469,      -2.958220227,      0.1663534278
          0,           0,          26,      -5.296413032,      -2.907619057,      -3.023910663,      -2.958605246,      0.1633419453
          0,           0,          27,       -5.29919072,      -2.906174228,      -3.027367286,      -2.958413248,      0.1603351331
          0,           0,          28,      -5.301824399,       -2.90834788,      -3.031642904,      -2.957821533,      0.1569743469
          0,           0,          29,      -5.305039317,      -2.907641171,      -3.035710667,      -2.956793995,      0.1533986451
          0,           0,          30,      -5.307375954,      -2.909107745,      -3.039766107,       -2.95551461,      0.1500635392
          0,           0,          31,       -5.31058789,      -2.908778357,      -3.044206362,      -2.953903892,       0.146672392
          0,           0,          32,      -5.313862613,      -2.912780469,      -3.049129761,      -2.952147765,      0.1424833703
          0,           0,          33,      -5.316862438,        -2.9119285,      -3.053878712,      -2.950186313,      0.1391986511
          0,           0,          34,      -5.320497308,      -2.918127519,      -3.059012999,      -2.948204091,      0.1345964513
          0,           0,          35,      -5.322507307,      -2.915793372,      -3.064208163,      -2.946121166,      0.1324500088
          0,           0,          36,       -5.32614032,      -2.923148227,      -3.069874549,      -2.944104869,      0.1277081337
          0,           0,          37,      -5.328153265,      -2.921182257,      -3.076057391,      -2.942103413,      0.1256186729
          0,           0,          38,      -5.330258123,      -2.924352632,      -3.082240792,      -2.940232594,      0.1231708802
          0,           0,          39,       -5.33189928,      -2.924635641,      -3.087839981,      -2.938420764,      0.1214901446
          0,           0,          40,      -5.334242742,      -2.929957595,      -3.093154341,      -2.936804743,      0.1186163875
          0,           0,          41,      -5.335542163,      -2.930113617,      -3.098711315,      -2.935341249,      0.1174273341
          0,           0,          42,      -5.336916903,      -2.934245291,      -3.103904315,      -2.934102471,      0.1159194131
          0,           0,          43,       -5.33711183,        -2.9339643,      -3.108989525,      -2.933030605,      0.1160775539
          0,           0,          44,      -5.338227338,      -2.938237221,      -3.115484235,       -2.93219919,      0.1149797354
          0,           0,          45,      -5.342362888,      -2.956999444,      -3.122132005,      -2.931567632,      0.1092850798
          0,           0,          46,      -5.343488231,      -2.961885991,       -3.12768858,       -2.93118676,      0.1081429841
          0,           0,          47,      -5.332678617,       -2.91821786,      -3.132441701,      -2.930953773,        0.12372439
          0,           0,          48,      -5.340034745,      -2.955143767,      -3.136782393,      -2.930981954,      0.1130110931
          0,           0,          49,      -5.342443629,      -2.964116477,      -3.142815738,      -2.931374259,      0.1118505425
          0,           0,          50,      -5.340669947,      -2.959501275,      -3.148597466,      -2.931919822,      0.1139847565
          0,           0,          51,      -5.340223921,      -2.962574008,       -3.15333048,      -2.932672442,      0.1148511568
          0,           0,          52,      -5.331739982,      -2.924290151,      -3.157682388,      -2.933659959,      0.1289029798
          0,           0,          53,      -5.327254902,      -2.918931552,      -3.161645643,      -2.934888213,      0.1299585481
          0,           0,          54,       -5.33265357,      -2.942777224,       -3.16507585,       -2.93637169,      0.1235431676
          0,           0,          55,      -5.337390306,      -2.960503016,      -3.168309257,      -2.938140673,      0.1200282833
          0,           0,          56,       -5.33659733,      -2.958156652,      -3.172927402,      -2.940149302,      0.1202345433
          0,           0,          57,      -5.328186629,      -2.926888811,      -3.178064068,       -2.94227291,      0.1305675878
          0,           0,          58,      -5.334803524,      -2.949880508,       -3.18110584,      -2.944615531,      0.1235002714
          0,           0,          59,      -5.337344979,      -2.958930097,      -3.184262072,      -2.947229583,      0.1206557564
          0,           0,          60,      -5.335275806,      -2.954160543,      -3.185718083,      -2.950021794,         0.1202478
          0,           0,          61,      -5.323718342,      -2.915613306,      -3.187319307,      -2.952991207,      0.1294438545
          0,           0,          62,      -5.322711742,      -2.896769213,      -3.187576794,      -2.956090351,      0.1389860168
          0,           0,          63,      -5.338870845,      -2.951214495,      -3.187401668,       -2.95939335,      0.1198184386
          0,           0,          64,      -5.337997743,      -2.944474137,       -3.18862021,      -2.962988185,      0.1193553994
          0,           0,          65,      -5.341883344,      -2.949990168,      -3.189722263,      -2.966697082,       0.115314345
          0,           0,          66,      -5.342057508,      -2.945127086,      -3.190367855,      -2.970609287,       0.114415866
          0,           0,          67,      -5.345194363,      -2.947382885,      -3.189616046,      -2.974630867,      0.1109055361
          0,           0,          68,      -5.332753031,      -2.897183051,      -3.188753862,      -2.978832082,      0.1278163815
          0,           0,          69,       -5.32910741,      -2.888689657,      -3.185049928,      -2.983152692,      0.1241351964
          0,           0,          70,      -5.341588915,      -2.919647444,      -3.181337749,      -2.987717281,      0.1110326956
          0,           0,          71,      -5.351857668,      -2.936853515,      -3.178735852,      -2.992439568,      0.1029576363
          0,           0,          72,      -5.351745697,      -2.930598828,      -3.176364142,      -2.997313713,      0.1012807935
