"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.121667488529082e+00, 1.390975302731183e+02, 0.000000000000000e+00, 0.000000000000000e+00, 2.343675258801049e+05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1, 0.000000000000000e+00, 0.000000000000000e+00, 1.666666667000000e-03, 1.122510121894823e+00, 1.386858572145983e+02, 9.357380127650544e-01, -4.668603194399698e-01, 2.345472923512730e+05, 0.000000000000000e+00, 8.333333334999999e-01, 0.000000000000000e+00
2, 0.000000000000000e+00, 0.000000000000000e+00, 3.333333333000000e-03, 1.124190976035220e+00, 1.375840091546193e+02, 1.874274588939326e+00, -6.289240488077023e-01, 2.348754984244903e+05, 0.000000000000000e+00, 1.666666666500000e+00, 0.000000000000000e+00
3, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000000000e-03, 1.126179118327656e+00, 1.362616172605845e+02, 2.816365953192674e+00, -6.077141960774727e-01, 2.352636635174262e+05, 0.000000000000000e+00, 2.500000000000000e+00, 0.000000000000000e+00
4, 0.000000000000000e+00, 0.000000000000000e+00, 6.666666667000000e-03, 1.128332488342610e+00, 1.347474268733406e+02, 3.762311132404586e+00, -5.642285805342896e-01, 2.356773659727992e+05, 0.000000000000000e+00, 3.333333333500000e+00, 0.000000000000000e+00
5, 0.000000000000000e+00, 0.000000000000000e+00, 8.333333332999999e-03, 1.130550626109543e+00, 1.331460047481206e+02, 4.712099481540810e+00, -5.420421246126402e-01, 2.361018353038596e+05, 0.000000000000000e+00, 4.166666666499999e+00, 0.000000000000000e+00
6, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-02, 1.132782352562902e+00, 1.314966282164961e+02, 5.665639682806893e+00, -5.383254376722888e-01, 2.365281488011090e+05, 0.000000000000000e+00, 5.000000000000000e+00, 0.000000000000000e+00
7, 0.000000000000000e+00, 0.000000000000000e+00, 1.166666667000000e-02, 1.134989146961719e+00, 1.298487051680969e+02, 6.622744087018046e+00, -5.502789804903707e-01, 2.369522386090300e+05, 0.000000000000000e+00, 5.833333335000001e+00, 0.000000000000000e+00
8, 0.000000000000000e+00, 0.000000000000000e+00, 1.333333333000000e-02, 1.137149576149854e+00, 1.282335503570043e+02, 7.583207429410858e+00, -5.878455162437407e-01, 2.373715732677114e+05, 0.000000000000000e+00, 6.666666665000000e+00, 0.000000000000000e+00
9, 0.000000000000000e+00, 0.000000000000000e+00, 1.500000000000000e-02, 1.139223415626869e+00, 1.267026619693081e+02, 8.546614621680479e+00, -6.574355644944109e-01, 2.377804150119497e+05, 0.000000000000000e+00, 7.500000000000000e+00, 0.000000000000000e+00
10, 0.000000000000000e+00, 0.000000000000000e+00, 1.666666667000000e-02, 1.141144717781805e+00, 1.253206124607798e+02, 9.512206629035569e+00, -7.134529398350176e-01, 2.381666061237846e+05, 0.000000000000000e+00, 8.333333335000001e+00, 0.000000000000000e+00
11, 0.000000000000000e+00, 0.000000000000000e+00, 1.833333333000000e-02, 1.142685738162253e+00, 1.242041339345724e+02, 1.047750941685998e+01, -6.401399449666254e-01, 2.384784280641797e+05, 0.000000000000000e+00, 9.166666664999999e+00, 0.000000000000000e+00
12, 0.000000000000000e+00, 0.000000000000000e+00, 2.000000000000000e-02, 1.143976854004478e+00, 1.232407090721240e+02, 1.144298939099039e+01, 0.000000000000000e+00, 2.387392127007841e+05, 0.000000000000000e+00, 1.000000000000000e+01, 0.000000000000000e+00
13, 0.000000000000000e+00, 1.666666667000000e-03, 0.000000000000000e+00, 1.120209912055453e+00, 1.400152503273459e+02, 6.500405877816728e-01, -9.338272473223186e-01, 2.340799422316254e+05, 0.000000000000000e+00, 0.000000000000000e+00, -8.333333334999999e-01
14, 0.000000000000000e+00, 1.666666667000000e-03, 1.666666667000000e-03, 1.121063189693423e+00, 1.396191338595826e+02, 7.804624416627619e-01, -6.516620642303889e-01, 2.342639746451600e+05, 0.000000000000000e+00, 8.333333334999999e-01, -8.333333334999999e-01
15, 0.000000000000000e+00, 1.666666667000000e-03, 3.333333333000000e-03, 1.122786931789352e+00, 1.384841316957494e+02, 1.016272727730043e+00, -5.487299879182108e-01, 2.345981871105552e+05, 0.000000000000000e+00, 1.666666666500000e+00, -8.333333334999999e-01
16, 0.000000000000000e+00, 1.666666667000000e-03, 5.000000000000000e-03, 1.124561747004367e+00, 1.372156903640812e+02, 1.348595067808233e+00, -4.673426994072820e-01, 2.349318361373609e+05, 0.000000000000000e+00, 2.500000000000000e+00, -8.333333334999999e-01
17, 0.000000000000000e+00, 1.666666667000000e-03, 6.666666667000000e-03, 1.126376829330100e+00, 1.357746571561564e+02, 1.738231026373257e+00, -4.141179361100228e-01, 2.352572475328123e+05, 0.000000000000000e+00, 3.333333333500000e+00, -8.333333334999999e-01
18, 0.000000000000000e+00, 1.666666667000000e-03, 8.333333332999999e-03, 1.128269326919754e+00, 1.343390963857770e+02, 2.160571934424681e+00, -3.973903680950016e-01, 2.356083470886291e+05, 0.000000000000000e+00, 4.166666666499999e+00, -8.333333334999999e-01
19, 0.000000000000000e+00, 1.666666667000000e-03, 1.000000000000000e-02, 1.130185896173207e+00, 1.329248919724583e+02, 2.577865076023158e+00, -3.920227798003828e-01, 2.359715568131553e+05, 0.000000000000000e+00, 5.000000000000000e+00, -8.333333334999999e-01
20, 0.000000000000000e+00, 1.666666667000000e-03, 1.166666667000000e-02, 1.132053592923899e+00, 1.314501494911152e+02, 2.996304363078224e+00, -4.004319344902816e-01, 2.363175192853500e+05, 0.000000000000000e+00, 5.833333335000001e+00, -8.333333334999999e-01
21, 0.000000000000000e+00, 1.666666667000000e-03, 1.333333333000000e-02, 1.133880603973472e+00, 1.299891517878681e+02, 3.418259780602738e+00, -4.340299314349427e-01, 2.366571670824971e+05, 0.000000000000000e+00, 6.666666665000000e+00, -8.333333334999999e-01
22, 0.000000000000000e+00, 1.666666667000000e-03, 1.500000000000000e-02, 1.135647725717504e+00, 1.285782765552132e+02, 3.825762046200455e+00, -5.047826938640456e-01, 2.369891680065833e+05, 0.000000000000000e+00, 7.500000000000000e+00, -8.333333334999999e-01
23, 0.000000000000000e+00, 1.666666667000000e-03, 1.666666667000000e-02, 1.137354045801645e+00, 1.272482946799082e+02, 4.178138080240458e+00, -6.232947946713241e-01, 2.373161839760246e+05, 0.000000000000000e+00, 8.333333335000001e+00, -8.333333334999999e-01
24, 0.000000000000000e+00, 1.666666667000000e-03, 1.833333333000000e-02, 1.138887034502365e+00, 1.261673737775842e+02, 4.360256545908392e+00, -8.079957575731659e-01, 2.376245603140844e+05, 0.000000000000000e+00, 9.166666664999999e+00, -8.333333334999999e-01
25, 0.000000000000000e+00, 1.666666667000000e-03, 2.000000000000000e-02, 1.140125390289197e+00, 1.252500438784206e+02, 4.536415436498910e+00, -9.503765044145017e-01, 2.378698441811272e+05, 0.000000000000000e+00, 1.000000000000000e+01, -8.333333334999999e-01
26, 0.000000000000000e+00, 3.333333333000000e-03, 0.000000000000000e+00, 1.118570994967086e+00, 1.409764586054871e+02, 7.064477875995662e-01, -1.864935904013431e+00, 2.337504599564118e+05, 0.000000000000000e+00, 0.000000000000000e+00, -1.666666666500000e+00
27, 0.000000000000000e+00, 3.333333333000000e-03, 1.666666667000000e-03, 1.119470714330949e+00, 1.406074352915484e+02, 5.960790252761247e-01, -8.906614474400233e-01, 2.339491912281667e+05, 0.000000000000000e+00, 8.333333334999999e-01, -1.666666666500000e+00
28, 0.000000000000000e+00, 3.333333333000000e-03, 3.333333333000000e-03, 1.121145800443181e+00, 1.395169820534390e+02, 5.790283104100137e-01, -5.460821150417532e-01, 2.342728649985026e+05, 0.000000000000000e+00, 1.666666666500000e+00, -1.666666666500000e+00
29, 0.000000000000000e+00, 3.333333333000000e-03, 5.000000000000000e-03, 1.122651504198703e+00, 1.383811224086676e+02, 6.585160995072572e-01, -3.805819887348147e-01, 2.345459962292268e+05, 0.000000000000000e+00, 2.500000000000000e+00, -1.666666666500000e+00
30, 0.000000000000000e+00, 3.333333333000000e-03, 6.666666667000000e-03, 1.124119055161159e+00, 1.371873333972026e+02, 8.068972129419256e-01, -3.079284870668812e-01, 2.348032513111821e+05, 0.000000000000000e+00, 3.333333333500000e+00, -1.666666666500000e+00
