"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.086343719544266e+00, 1.634740171019246e+02, 0.000000000000000e+00, 0.000000000000000e+00, 2.280832581321565e+05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1, 0.000000000000000e+00, 0.000000000000000e+00, 1.666666667000000e-03, 1.105559109772187e+00, 1.547151950436390e+02, 1.399270362170978e+01, -8.212582254833082e+00, 2.320288096717547e+05, 0.000000000000000e+00, 1.265363700253073e+01, 0.000000000000000e+00
2, 0.000000000000000e+00, 0.000000000000000e+00, 3.333333333000000e-03, 1.135082142233614e+00, 1.384862060978689e+02, 2.873064641988279e+01, -9.815237973047257e+00, 2.380827670608764e+05, 0.000000000000000e+00, 2.530727399746927e+01, 0.000000000000000e+00
3, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000000000e-03, 1.166526525421540e+00, 1.170950708793031e+02, 4.428584109806322e+01, -7.594015539514208e+00, 2.446186462500447e+05, 0.000000000000000e+00, 3.796091100000000e+01, 0.000000000000000e+00
4, 0.000000000000000e+00, 0.000000000000000e+00, 6.666666667000000e-03, 1.194764968734380e+00, 9.075563204215049e+01, 6.047313303446158e+01, -3.879061405034808e+00, 2.505501157443167e+05, 0.000000000000000e+00, 5.061454800253073e+01, 0.000000000000000e+00
5, 0.000000000000000e+00, 0.000000000000000e+00, 8.333333332999999e-03, 1.218121230617121e+00, 6.100385418703424e+01, 7.706611625301454e+01, 4.767791182755463e-02, 2.556928796418489e+05, 0.000000000000000e+00, 6.326818499746927e+01, 0.000000000000000e+00
6, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-02, 1.232438445699940e+00, 2.940786871020536e+01, 9.356442076182307e+01, 2.342185640490677e+00, 2.595248166611754e+05, 0.000000000000000e+00, 7.592182200000001e+01, 0.000000000000000e+00
7, 0.000000000000000e+00, 0.000000000000000e+00, 1.166666667000000e-02, 1.219076413867485e+00, 6.022555524022586e+00, 1.079717786524331e+02, 2.696607660992394e+00, 2.628203687364472e+05, 0.000000000000000e+00, 8.857545902530728e+01, 0.000000000000000e+00
8, 0.000000000000000e+00, 0.000000000000000e+00, 1.333333333000000e-02, 1.228187669566848e+00, -2.454497584535812e+00, 1.243117080858616e+02, 3.331476247210016e+00, 2.679361350701231e+05, 0.000000000000000e+00, 1.012290959746927e+02, 0.000000000000000e+00
9, 0.000000000000000e+00, 0.000000000000000e+00, 1.500000000000000e-02, 1.236509336482656e+00, -7.536771567841177e+00, 1.408669492678645e+02, 6.458123645845996e+00, 2.719020261882700e+05, 0.000000000000000e+00, 1.138827330000000e+02, 0.000000000000000e+00
10, 0.000000000000000e+00, 0.000000000000000e+00, 1.666666667000000e-02, 1.253993102608669e+00, -9.244341210835687e+00, 1.582506146834741e+02, 1.875098982314533e+01, 2.809838056842890e+05, 0.000000000000000e+00, 1.265363700253073e+02, 0.000000000000000e+00
11, 0.000000000000000e+00, 0.000000000000000e+00, 1.833333333000000e-02, 1.246325613984311e+00, -1.235980720181143e+01, 1.737506571144053e+02, 2.858636409636976e+01, 2.836319304869318e+05, 0.000000000000000e+00, 1.391900069746927e+02, 0.000000000000000e+00
12, 0.000000000000000e+00, 0.000000000000000e+00, 2.000000000000000e-02, 1.150006936862983e+00, -1.149639417989292e+01, 1.746043173055243e+02, 0.000000000000000e+00, 2.780923133632555e+05, 0.000000000000000e+00, 1.518436440000000e+02, 0.000000000000000e+00
13, 0.000000000000000e+00, 1.666666667000000e-03, 0.000000000000000e+00, 1.065488244258087e+00, 1.727868713238492e+02, 8.583113532940278e+00, -1.348636038924936e+01, 2.240823876421679e+05, 0.000000000000000e+00, 0.000000000000000e+00, -1.265363700253073e+01
14, 0.000000000000000e+00, 1.666666667000000e-03, 1.666666667000000e-03, 1.084614469422886e+00, 1.641784152033800e+02, 1.188062641036269e+01, -1.019995054192705e+01, 2.279933118944167e+05, 0.000000000000000e+00, 1.265363700253073e+01, -1.265363700253073e+01
15, 0.000000000000000e+00, 1.666666667000000e-03, 3.333333333000000e-03, 1.114612301062716e+00, 1.481936009493276e+02, 1.598772782569444e+01, -8.075675438333519e+00, 2.338721525743656e+05, 0.000000000000000e+00, 2.530727399746927e+01, -1.265363700253073e+01
16, 0.000000000000000e+00, 1.666666667000000e-03, 5.000000000000000e-03, 1.143176532482784e+00, 1.278671052114620e+02, 2.161778445229294e+01, -6.397214349525509e+00, 2.394712397995687e+05, 0.000000000000000e+00, 3.796091100000000e+01, -1.265363700253073e+01
17, 0.000000000000000e+00, 1.666666667000000e-03, 6.666666667000000e-03, 1.167956061020347e+00, 1.024293261930935e+02, 2.900581266389801e+01, -5.276581127571647e+00, 2.443832388043437e+05, 0.000000000000000e+00, 5.061454800253073e+01, -1.265363700253073e+01
18, 0.000000000000000e+00, 1.666666667000000e-03, 8.333333332999999e-03, 1.188336858396544e+00, 7.335370939745442e+01, 3.816316167144822e+01, -6.585547141970303e+00, 2.488718629357007e+05, 0.000000000000000e+00, 6.326818499746927e+01, -1.265363700253073e+01
