"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.055585314842675e+00, 1.798249603538994e+02, 0.000000000000000e+00, 0.000000000000000e+00, 2.225973080165792e+05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1, 0.000000000000000e+00, 0.000000000000000e+00, 1.666666667000000e-03, 1.076917789428208e+00, 1.716535850020526e+02, 1.362884534441736e+01, -8.057227459996060e+00, 2.268982186873977e+05, 0.000000000000000e+00, 1.265363700253073e+01, 0.000000000000000e+00
2, 0.000000000000000e+00, 0.000000000000000e+00, 3.333333333000000e-03, 1.110679236095235e+00, 1.560072199141674e+02, 2.811012412539009e+01, -9.786157156619510e+00, 2.337393618433343e+05, 0.000000000000000e+00, 2.530727399746927e+01, 0.000000000000000e+00
3, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000000000e-03, 1.147699715260007e+00, 1.351983962108666e+02, 4.357059556696594e+01, -8.212815160183830e+00, 2.413130973708525e+05, 0.000000000000000e+00, 3.796091100000000e+01, 0.000000000000000e+00
4, 0.000000000000000e+00, 0.000000000000000e+00, 6.666666667000000e-03, 1.180511415955197e+00, 1.093545035256367e+02, 5.975371834971528e+01, -6.062025554690559e+00, 2.481461342144767e+05, 0.000000000000000e+00, 5.061454800253073e+01, 0.000000000000000e+00
5, 0.000000000000000e+00, 0.000000000000000e+00, 8.333333332999999e-03, 1.208765218918685e+00, 8.069339501037817e+01, 7.647945636199631e+01, -4.295530808563776e+00, 2.542596775491112e+05, 0.000000000000000e+00, 6.326818499746927e+01, 0.000000000000000e+00
6, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-02, 1.229464685661388e+00, 4.638870198031601e+01, 9.334070934498693e+01, -3.392263853404129e+00, 2.590157484786135e+05, 0.000000000000000e+00, 7.592182200000001e+01, 0.000000000000000e+00
7, 0.000000000000000e+00, 0.000000000000000e+00, 1.166666667000000e-02, 1.212452710479856e+00, 1.259950429013005e+01, 1.073904755928968e+02, -3.198919851302956e+00, 2.620681932019571e+05, 0.000000000000000e+00, 8.857545902530728e+01, 0.000000000000000e+00
8, 0.000000000000000e+00, 0.000000000000000e+00, 1.333333333000000e-02, 1.209869304262336e+00, 1.560145774504668e+00, 1.224732704689605e+02, -4.125035446120171e+00, 2.661773799011154e+05, 0.000000000000000e+00, 1.012290959746927e+02, 0.000000000000000e+00
9, 0.000000000000000e+00, 0.000000000000000e+00, 1.500000000000000e-02, 1.220755141072832e+00, -4.965696749719598e+00, 1.390468825845876e+02, -4.770476660131928e+00, 2.718464408049224e+05, 0.000000000000000e+00, 1.138827330000000e+02, 0.000000000000000e+00
