"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 1.056766718108684e+00, 0.000000000000000e+00, 1.352732287226333e+00, 4.132170319694941e+01, 2.240560133355502e+05
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 1.041272961993229e+00, 0.000000000000000e+00, -3.109231540494148e+00, 4.743770550516203e+01, 2.208966763550375e+05
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 1.048042601321188e+00, 0.000000000000000e+00, -5.870424806706656e+00, 4.459030332022390e+01, 2.223228582837752e+05
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.048404055604406e+00, 0.000000000000000e+00, -9.377174627919098e+00, 4.714224104425024e+01, 2.224114647888331e+05
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 1.052749984513755e+00, 0.000000000000000e+00, -1.248243422392222e+01, 4.658507856329997e+01, 2.233206559907196e+05
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 1.053600760106561e+00, 0.000000000000000e+00, -1.617231994427817e+01, 4.764211815220330e+01, 2.234887542762178e+05
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 1.056532843190322e+00, 0.000000000000000e+00, -1.931885496037700e+01, 4.663984184112163e+01, 2.240773872467660e+05
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 1.058106504514265e+00, 0.000000000000000e+00, -2.272903024280783e+01, 4.608991405174493e+01, 2.243968945630218e+05
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 1.060061780544467e+00, 0.000000000000000e+00, -2.557671024710396e+01, 4.430016161935821e+01, 2.248012429774586e+05
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 1.062500346508511e+00, 0.000000000000000e+00, -2.865152335080714e+01, 4.288003467755563e+01, 2.253381539941338e+05
10, -2.500000000000000e-02, 1.166229410000000e-02, 8.948793005999999e-03, 1.062715134932681e+00, 0.000000000000000e+00, -3.013113480892254e+01, 3.926765943663199e+01, 2.253675228872624e+05
11, -2.500000000000000e-02, 1.105204517000000e-02, 9.692383482000000e-03, 1.069935180490579e+00, -4.328835152566898e-14, -3.431562015271285e+01, 3.912946526824381e+01, 2.269582346214114e+05
12, -2.500000000000000e-02, 1.039446968000000e-02, 1.039446968000000e-02, 1.056766718108684e+00, 0.000000000000000e+00, -2.826233036731304e+01, 3.017538271416850e+01, 2.240560133355502e+05
13, -2.500000000000000e-02, 1.697500000000000e-02, 0.000000000000000e+00, 1.089327268156391e+00, 0.000000000000000e+00, 3.489610993757457e+00, 1.041856797062517e+02, 2.307272401093762e+05
14, -2.500000000000000e-02, 1.693865522000000e-02, 1.110218119000000e-03, 1.088076370113874e+00, 0.000000000000000e+00, -4.397355358508390e+00, 1.033133912753886e+02, 2.304413986036125e+05
15, -2.500000000000000e-02, 1.682977652000000e-02, 2.215682113000000e-03, 1.089160870773620e+00, 0.000000000000000e+00, -1.250542284701539e+01, 1.017475684485312e+02, 2.306370388146516e+05
16, -2.500000000000000e-02, 1.664883013000000e-02, 3.311658216000000e-03, 1.089697399371081e+00, 0.000000000000000e+00, -2.051810925726403e+01, 1.000405683945651e+02, 2.307255947565642e+05
17, -2.500000000000000e-02, 1.639659090000000e-02, 4.393453291000000e-03, 1.090650678327358e+00, 0.000000000000000e+00, -2.719451447436638e+01, 9.826471553580414e+01, 2.309124928492560e+05
18, -2.500000000000000e-02, 1.607413895000000e-02, 5.456434924000000e-03, 1.090919501586585e+00, -4.136077479918534e-14, -3.368476562113032e+01, 9.631566404941546e+01, 2.309651938677692e+05
19, -2.500000000000000e-02, 1.568285506000000e-02, 6.496051264000000e-03, 1.091373867483304e+00, 0.000000000000000e+00, -3.980694457447967e+01, 9.417290555831465e+01, 2.310633005539216e+05
20, -2.500000000000000e-02, 1.522441479000000e-02, 7.507850516000000e-03, 1.091323802217263e+00, -4.135124329727983e-14, -4.557984043463159e+01, 9.176102980686699e+01, 2.310586973338242e+05
21, -2.500000000000000e-02, 1.470078123000000e-02, 8.487500000000000e-03, 1.091671301681373e+00, 0.000000000000000e+00, -5.153551166858031e+01, 8.902914880872017e+01, 2.311406870566425e+05
22, -2.500000000000000e-02, 1.411419667000000e-02, 9.430804706000001e-03, 1.091150118019937e+00, 0.000000000000000e+00, -5.631813897002201e+01, 8.625737342077079e+01, 2.310471542471612e+05
23, -2.500000000000000e-02, 1.346717295000000e-02, 1.033372526000000e-02, 1.091570991712172e+00, 0.000000000000000e+00, -6.244762059254703e+01, 8.258694177245529e+01, 2.311421908811037e+05
24, -2.500000000000000e-02, 1.276248073000000e-02, 1.119239521000000e-02, 1.090989359674976e+00, 0.000000000000000e+00, -6.457413282308113e+01, 8.082099482566272e+01, 2.310417629371479e+05
25, -2.500000000000000e-02, 1.200313761000000e-02, 1.200313761000000e-02, 1.089327268156391e+00, 0.000000000000000e+00, -7.120287302543124e+01, 7.613792822020930e+01, 2.307272401093762e+05
26, -2.500000000000000e-02, 1.925000000000000e-02, 0.000000000000000e+00, 1.107822934546538e+00, 0.000000000000000e+00, 4.220123130009194e-01, 9.567749522817252e+01, 2.331319821877263e+05
27, -2.500000000000000e-02, 1.920878427000000e-02, 1.259010238000000e-03, 1.103755522350047e+00, 0.000000000000000e+00, -5.941823181554267e+00, 9.727583093834923e+01, 2.323165225014194e+05
28, -2.500000000000000e-02, 1.908531358000000e-02, 2.512629200000000e-03, 1.103751308077763e+00, -6.194266181465644e-14, -1.230572229800619e+01, 9.705625180976692e+01, 2.323088702293111e+05
29, -2.500000000000000e-02, 1.888011665000000e-02, 3.755488699000000e-03, 1.103337602626199e+00, 0.000000000000000e+00, -1.866681345932963e+01, 9.625165947671734e+01, 2.322120186225839e+05
30, -2.500000000000000e-02, 1.859407216000000e-02, 4.982266618000000e-03, 1.103568106211011e+00, 0.000000000000000e+00, -2.476518112465428e+01, 9.468780244867006e+01, 2.322467417905628e+05
31, -2.500000000000000e-02, 1.822840499000000e-02, 6.187709707000000e-03, 1.103840112253816e+00, 0.000000000000000e+00, -3.065991242479276e+01, 9.261318421065754e+01, 2.322958961176831e+05
32, -2.500000000000000e-02, 1.778468100000000e-02, 7.366656073000000e-03, 1.104303840123406e+00, 0.000000000000000e+00, -3.630099427769836e+01, 9.006103300759102e+01, 2.323906236762593e+05
33, -2.500000000000000e-02, 1.726480027000000e-02, 8.514057287000000e-03, 1.104747488399278e+00, 0.000000000000000e+00, -4.176494891350044e+01, 8.702292557698169e+01, 2.324836901169356e+05
34, -2.500000000000000e-02, 1.667098902000000e-02, 9.625000000000000e-03, 1.105326012521871e+00, -6.208117117887098e-14, -4.703634027380492e+01, 8.366111024784749e+01, 2.326064662733119e+05
35, -2.500000000000000e-02, 1.600579004000000e-02, 1.069472699000000e-02, 1.105476162225004e+00, 0.000000000000000e+00, -5.212073807065448e+01, 7.973661965892059e+01, 2.326323719452607e+05
36, -2.500000000000000e-02, 1.527205180000000e-02, 1.171865751000000e-02, 1.106324530514626e+00, 0.000000000000000e+00, -5.714981899703346e+01, 7.616139680795081e+01, 2.328160520514002e+05
37, -2.500000000000000e-02, 1.447291629000000e-02, 1.269240694000000e-02, 1.104994166108691e+00, 0.000000000000000e+00, -6.208100166252913e+01, 7.136512139504555e+01, 2.325225238099890e+05
38, -2.500000000000000e-02, 1.361180554000000e-02, 1.361180554000000e-02, 1.107822934546538e+00, 0.000000000000000e+00, -6.735579791451715e+01, 6.795261345105150e+01, 2.331319821877263e+05
39, -2.500000000000000e-02, 2.152500000000000e-02, 0.000000000000000e+00, 1.117132438458471e+00, 0.000000000000000e+00, 1.054864480795249e+00, 8.670491418541880e+01, 2.343058378748143e+05
40, -2.500000000000000e-02, 2.147891332000000e-02, 1.407802357000000e-03, 1.115307345025112e+00, 0.000000000000000e+00, -5.181940594902154e+00, 8.707369574953825e+01, 2.339160613650946e+05
41, -2.500000000000000e-02, 2.134085064000000e-02, 2.809576288000000e-03, 1.115925968751798e+00, -6.140026570248354e-14, -1.142157349259555e+01, 8.612071050342112e+01, 2.340174351306453e+05
42, -2.500000000000000e-02, 2.111140316000000e-02, 4.199319181000000e-03, 1.115838283874414e+00, -6.140344347228986e-14, -1.751972173096274e+01, 8.505315979399663e+01, 2.339855720729330e+05
43, -2.500000000000000e-02, 2.079155341000000e-02, 5.571079946000000e-03, 1.115947821424902e+00, 0.000000000000000e+00, -2.328206305048135e+01, 8.359422007136862e+01, 2.340028366153106e+05
44, -2.500000000000000e-02, 2.038267104000000e-02, 6.918984491000000e-03, 1.115946039306961e+00, 0.000000000000000e+00, -2.865106684815344e+01, 8.188878460099824e+01, 2.340072465118383e+05
45, -2.500000000000000e-02, 1.988650694000000e-02, 8.237260882000001e-03, 1.115994860502701e+00, -6.140788212402933e-14, -3.372004128461345e+01, 7.998813118745446e+01, 2.340314586575065e+05
46, -2.500000000000000e-02, 1.930518576000000e-02, 9.520264057000001e-03, 1.115883785353166e+00, 0.000000000000000e+00, -3.849960383100453e+01, 7.785539509411446e+01, 2.340280000469779e+05
47, -2.500000000000000e-02, 1.864119682000000e-02, 1.076250000000000e-02, 1.115973468034379e+00, 0.000000000000000e+00, -4.317649511964331e+01, 7.557742473394154e+01, 2.340701621169147e+05
48, -2.500000000000000e-02, 1.789738340000000e-02, 1.195864927000000e-02, 1.115628253636329e+00, 0.000000000000000e+00, -4.771605418135665e+01, 7.285351372068143e+01, 2.340147924995310e+05
49, -2.500000000000000e-02, 1.707693065000000e-02, 1.310358976000000e-02, 1.116041973387756e+00, -6.135679840719911e-14, -5.227718675017382e+01, 7.005054772600231e+01, 2.341162449698019e+05
50, -2.500000000000000e-02, 1.618335186000000e-02, 1.419241867000000e-02, 1.115277032801821e+00, 0.000000000000000e+00, -5.669676320767042e+01, 6.607473431276851e+01, 2.339453184030974e+05
51, -2.500000000000000e-02, 1.522047347000000e-02, 1.522047347000000e-02, 1.117132438458471e+00, 0.000000000000000e+00, -6.056373095510416e+01, 6.205553461031047e+01, 2.343058378748143e+05
52, -2.500000000000000e-02, 2.380000000000000e-02, 0.000000000000000e+00, 1.124467752429830e+00, 0.000000000000000e+00, 2.059572451374525e-01, 7.886575391279764e+01, 2.351467167504767e+05
53, -2.500000000000000e-02, 2.374904237000000e-02, 1.556594476000000e-03, 1.122624823472015e+00, -6.062585970919233e-14, -5.173076803935088e+00, 7.955092023825721e+01, 2.347764382428433e+05
54, -2.500000000000000e-02, 2.359638770000000e-02, 3.106523375000000e-03, 1.122998101742088e+00, -6.062378445327777e-14, -1.043205254235487e+01, 7.900630352355513e+01, 2.348479473576065e+05
55, -2.500000000000000e-02, 2.334268967000000e-02, 4.643149664000000e-03, 1.122713007966860e+00, 0.000000000000000e+00, -1.561087639660448e+01, 7.829721389067987e+01, 2.347863212039744e+05
56, -2.500000000000000e-02, 2.298903467000000e-02, 6.159893273000000e-03, 1.122759580029747e+00, 0.000000000000000e+00, -2.059948654105919e+01, 7.701262487283338e+01, 2.347904131159248e+05
57, -2.500000000000000e-02, 2.253693708000000e-02, 7.650259274000000e-03, 1.122729755269401e+00, 0.000000000000000e+00, -2.539124660918367e+01, 7.534783106157975e+01, 2.347807853483752e+05
58, -2.500000000000000e-02, 2.198833287000000e-02, 9.107865690000000e-03, 1.122805413941167e+00, -6.063846066822752e-14, -3.003428315258669e+01, 7.335944110431878e+01, 2.347971309974474e+05
59, -2.500000000000000e-02, 2.134557125000000e-02, 1.052647083000000e-02, 1.122780777909728e+00, 0.000000000000000e+00, -3.454399726356694e+01, 7.105014126452443e+01, 2.347947340640824e+05
60, -2.500000000000000e-02, 2.061140461000000e-02, 1.190000000000000e-02, 1.122966749966744e+00, 0.000000000000000e+00, -3.902672744094917e+01, 6.859845023757113e+01, 2.348398993536574e+05
61, -2.500000000000000e-02, 1.978897677000000e-02, 1.322257155000000e-02, 1.122793320853264e+00, 0.000000000000000e+00, -4.337302949945382e+01, 6.575355003310474e+01, 2.348067595390364e+05
62, -2.500000000000000e-02, 1.888180950000000e-02, 1.448852201000000e-02, 1.123305652929808e+00, 0.000000000000000e+00, -4.776733304673372e+01, 6.291933806935950e+01, 2.349191647642102e+05
63, -2.500000000000000e-02, 1.789378742000000e-02, 1.569243040000000e-02, 1.122739312700907e+00, 0.000000000000000e+00, -5.174330965631024e+01, 5.929991962297816e+01, 2.347905472511509e+05
64, -2.500000000000000e-02, 1.682914139000000e-02, 1.682914139000000e-02, 1.124467752429830e+00, 0.000000000000000e+00, -5.562087563045750e+01, 5.591214315979990e+01, 2.351467167504767e+05
65, -2.500000000000000e-02, 2.607500000000000e-02, 0.000000000000000e+00, 1.130233465404653e+00, 0.000000000000000e+00, 4.511871273656957e-01, 7.228476018049152e+01, 2.358955843047694e+05
66, -2.500000000000000e-02, 2.601917142000000e-02, 1.705386595000000e-03, 1.128811105320072e+00, 0.000000000000000e+00, -4.706603931611412e+00, 7.283930730828217e+01, 2.356194454690213e+05
67, -2.500000000000000e-02, 2.585192476000000e-02, 3.403470462000000e-03, 1.129265198856111e+00, 0.000000000000000e+00, -9.696302304791086e+00, 7.232122193587904e+01, 2.357210916338027e+05
68, -2.500000000000000e-02, 2.557397619000000e-02, 5.086980147000000e-03, 1.129034700669027e+00, 0.000000000000000e+00, -1.449814494736452e+01, 7.171924185138552e+01, 2.356837728193161e+05
69, -2.500000000000000e-02, 2.518651592000000e-02, 6.748706601000000e-03, 1.129102426138400e+00, 0.000000000000000e+00, -1.905164024731531e+01, 7.060921590969821e+01, 2.357025595454037e+05
70, -2.500000000000000e-02, 2.469120313000000e-02, 8.381534058000000e-03, 1.129035903524632e+00, 0.000000000000000e+00, -2.340275984381491e+01, 6.917479883771890e+01, 2.356897429990719e+05
71, -2.500000000000000e-02, 2.409015881000000e-02, 9.978470499000001e-03, 1.129073523714782e+00, 0.000000000000000e+00, -2.761071272193847e+01, 6.743257664122174e+01, 2.356957029604828e+05
72, -2.500000000000000e-02, 2.338595674000000e-02, 1.153267760000000e-02, 1.129011909796744e+00, 0.000000000000000e+00, -3.168240137432504e+01, 6.539668744650581e+01, 2.356779780231287e+05
73, -2.500000000000000e-02, 2.258161240000000e-02, 1.303750000000000e-02, 1.129124570421230e+00, 0.000000000000000e+00, -3.571498472381496e+01, 6.315872516691285e+01, 2.356960372837876e+05
74, -2.500000000000000e-02, 2.168057014000000e-02, 1.448649383000000e-02, 1.128972682418737e+00, 0.000000000000000e+00, -3.956436490611402e+01, 6.059002654185491e+01, 2.356541393658169e+05
75, -2.500000000000000e-02, 2.068668835000000e-02, 1.587345426000000e-02, 1.129315764915478e+00, 0.000000000000000e+00, -4.349297032492759e+01, 5.791698379588983e+01, 2.357200380201964e+05
76, -2.500000000000000e-02, 1.960422298000000e-02, 1.719244213000000e-02, 1.128955099378961e+00, 0.000000000000000e+00, -4.711399837179643e+01, 5.464075995447242e+01, 2.356328773887282e+05
77, -2.500000000000000e-02, 1.843780932000000e-02, 1.843780932000000e-02, 1.130233465404653e+00, 0.000000000000000e+00, -5.079400662272451e+01, 5.143208157741324e+01, 2.358955843047694e+05
78, -2.500000000000000e-02, 2.835000000000000e-02, 0.000000000000000e+00, 1.134438577828993e+00, 0.000000000000000e+00, -4.336639376698007e-01, 6.653754796533124e+01, 2.363730488904933e+05
79, -2.500000000000000e-02, 2.828930047000000e-02, 1.854178714000000e-03, 1.133154824816703e+00, 0.000000000000000e+00, -5.044223624339006e+00, 6.717398840311013e+01, 2.361325580326100e+05
80, -2.500000000000000e-02, 2.810746182000000e-02, 3.700417549000000e-03, 1.133657948716519e+00, 0.000000000000000e+00, -9.318443035696689e+00, 6.671264534370636e+01, 2.362518598375245e+05
81, -2.500000000000000e-02, 2.780526270000000e-02, 5.530810629000000e-03, 1.133417878118297e+00, 0.000000000000000e+00, -1.341781047810799e+01, 6.623511689828274e+01, 2.362187866923541e+05
82, -2.500000000000000e-02, 2.738399718000000e-02, 7.337519929000000e-03, 1.133492096764109e+00, 0.000000000000000e+00, -1.735808076015661e+01, 6.525575015927753e+01, 2.362443086998419e+05
83, -2.500000000000000e-02, 2.684546917000000e-02, 9.112808841000001e-03, 1.133385302685883e+00, 0.000000000000000e+00, -2.127079257100689e+01, 6.401653194242701e+01, 2.362289444260249e+05
84, -2.500000000000000e-02, 2.619198475000000e-02, 1.084907531000000e-02, 1.133362419200166e+00, 0.000000000000000e+00, -2.521512837770065e+01, 6.248362181502170e+01, 2.362276098169420e+05
85, -2.500000000000000e-02, 2.542634222000000e-02, 1.253888437000000e-02, 1.133208785899343e+00, -5.914813189844152e-14, -2.910451242792352e+01, 6.060493908595227e+01, 2.361909144534520e+05
86, -2.500000000000000e-02, 2.455182020000000e-02, 1.417500000000000e-02, 1.133263412731908e+00, -5.915314201335420e-14, -3.298453463020298e+01, 5.847492687400951e+01, 2.361923093962174e+05
87, -2.500000000000000e-02, 2.357216351000000e-02, 1.575041611000000e-02, 1.133030423820605e+00, 0.000000000000000e+00, -3.668150224388101e+01, 5.587898675826003e+01, 2.361220399974490e+05
88, -2.500000000000000e-02, 2.249156720000000e-02, 1.725838651000000e-02, 1.133420038159618e+00, 0.000000000000000e+00, -4.056741284708055e+01, 5.316965892748171e+01, 2.361848188545709e+05
89, -2.500000000000000e-02, 2.131465854000000e-02, 1.869245386000000e-02, 1.133008226485483e+00, 0.000000000000000e+00, -4.388984954046364e+01, 4.984745447279246e+01, 2.360768966380861e+05
90, -2.500000000000000e-02, 2.004647725000000e-02, 2.004647725000000e-02, 1.134438577828993e+00, 0.000000000000000e+00, -4.735579808089327e+01, 4.674250465872852e+01, 2.363730488904933e+05
91, -2.500000000000000e-02, 3.062500000000000e-02, 0.000000000000000e+00, 1.138249976704325e+00, -5.845397990920165e-14, 1.753695713332069e-02, 6.164114589984318e+01, 2.368831110180341e+05
92, -2.500000000000000e-02, 3.055942952000000e-02, 2.002970833000000e-03, 1.137007674228816e+00, -5.844989468447957e-14, -4.608270260709762e+00, 6.241112987573286e+01, 2.366667769253615e+05
93, -2.500000000000000e-02, 3.036299888000000e-02, 3.997364637000000e-03, 1.137466017709420e+00, -5.845023229950901e-14, -8.694952790485248e+00, 6.213110087066909e+01, 2.367963108643793e+05
94, -2.500000000000000e-02, 3.003654921000000e-02, 5.974641112000000e-03, 1.137246412469077e+00, 0.000000000000000e+00, -1.257508416264995e+01, 6.183609915963809e+01, 2.367817440944168e+05
95, -2.500000000000000e-02, 2.958147843000000e-02, 7.926333256000000e-03, 1.137331122935247e+00, 0.000000000000000e+00, -1.632411176598836e+01, 6.105812328973331e+01, 2.368193591286207e+05
96, -2.500000000000000e-02, 2.899973522000000e-02, 9.844083625000000e-03, 1.137234125264770e+00, 0.000000000000000e+00, -2.004567501228879e+01, 5.997399931540188e+01, 2.368106226361943e+05
97, -2.500000000000000e-02, 2.829381068000000e-02, 1.171968012000000e-02, 1.137232820722593e+00, 0.000000000000000e+00, -2.361467839744537e+01, 5.854487975171340e+01, 2.368127454617320e+05
98, -2.500000000000000e-02, 2.746672771000000e-02, 1.354509114000000e-02, 1.137086108683695e+00, 0.000000000000000e+00, -2.692920220739494e+01, 5.671895109910938e+01, 2.367689470881948e+05
99, -2.500000000000000e-02, 2.652202799000000e-02, 1.531250000000000e-02, 1.137120301231564e+00, 0.000000000000000e+00, -3.009385065500412e+01, 5.456131441567962e+01, 2.367474491862508e+05
100, -2.500000000000000e-02, 2.546375688000000e-02, 1.701433839000000e-02, 1.136964238380076e+00, 0.000000000000000e+00, -3.317007001383651e+01, 5.197300166043973e+01, 2.366706321565380e+05
101, -2.500000000000000e-02, 2.429644605000000e-02, 1.864331876000000e-02, 1.137348529812154e+00, 0.000000000000000e+00, -3.646894687947710e+01, 4.943711104468262e+01, 2.367183542446625e+05
102, -2.500000000000000e-02, 2.302509410000000e-02, 2.019246559000000e-02, 1.136989716389930e+00, -5.851865213671626e-14, -3.982239121512625e+01, 4.625685768972162e+01, 2.366122095600854e+05
103, -2.500000000000000e-02, 2.165514517000000e-02, 2.165514517000000e-02, 1.138249976704325e+00, -5.845397990920165e-14, -4.357447176457811e+01, 4.359927276719882e+01, 2.368831110180341e+05
104, -2.500000000000000e-02, 3.290000000000000e-02, 0.000000000000000e+00, 1.140511402380283e+00, 0.000000000000000e+00, -1.520059249154665e+00, 5.740946812090588e+01, 2.370872066452803e+05
105, -2.500000000000000e-02, 3.282955857000000e-02, 2.151762952000000e-03, 1.139719594992821e+00, 0.000000000000000e+00, -5.411647709945791e+00, 5.798362926803979e+01, 2.369784296727595e+05
106, -2.500000000000000e-02, 3.261853594000000e-02, 4.294311724000000e-03, 1.140293665167181e+00, 0.000000000000000e+00, -8.715275205489066e+00, 5.752339381769607e+01, 2.371399299235145e+05
107, -2.500000000000000e-02, 3.226783573000000e-02, 6.418471594000000e-03, 1.140178067327922e+00, 0.000000000000000e+00, -1.198752200103001e+01, 5.712803529854711e+01, 2.371543366071584e+05
108, -2.500000000000000e-02, 3.177895968000000e-02, 8.515146584000001e-03, 1.140299865509386e+00, 0.000000000000000e+00, -1.514845428169965e+01, 5.637447835562561e+01, 2.372086064694253e+05
109, -2.500000000000000e-02, 3.115400126000000e-02, 1.057535841000000e-02, 1.140201831690982e+00, -5.779499354734669e-14, -1.836916696519343e+01, 5.551761530144148e+01, 2.372043530813851e+05
110, -2.500000000000000e-02, 3.039563662000000e-02, 1.259028492000000e-02, 1.140109765304927e+00, 0.000000000000000e+00, -2.157400040547116e+01, 5.447738556958563e+01, 2.371890197975994e+05
111, -2.500000000000000e-02, 2.950711320000000e-02, 1.455129791000000e-02, 1.139797557790918e+00, 0.000000000000000e+00, -2.459800918920282e+01, 5.303182969193436e+01, 2.371028380598658e+05
112, -2.500000000000000e-02, 2.849223578000000e-02, 1.645000000000000e-02, 1.139672481974935e+00, 0.000000000000000e+00, -2.769112590280274e+01, 5.112811534436003e+01, 2.370304865431245e+05
113, -2.500000000000000e-02, 2.735535024000000e-02, 1.827826067000000e-02, 1.139324859469278e+00, -5.775917761837606e-14, -3.098042519686728e+01, 4.861140468879798e+01, 2.368908962501089e+05
114, -2.500000000000000e-02, 2.610132490000000e-02, 2.002825101000000e-02, 1.139460799153825e+00, 0.000000000000000e+00, -3.463999098159656e+01, 4.580597300592022e+01, 2.368650087212242e+05
115, -2.500000000000000e-02, 2.473552967000000e-02, 2.169247732000000e-02, 1.139261475330686e+00, 0.000000000000000e+00, -3.837693965580686e+01, 4.224870484598267e+01, 2.367975327492284e+05
116, -2.500000000000000e-02, 2.326381310000000e-02, 2.326381310000000e-02, 1.140511402380283e+00, 0.000000000000000e+00, -4.166946841548806e+01, 3.951978000972288e+01, 2.370872066452803e+05
117, -2.500000000000000e-02, 3.517500000000000e-02, 0.000000000000000e+00, 1.143030028945578e+00, -5.714737806722874e-14, -8.301682725847311e-02, 5.353775859546400e+01, 2.373781866278629e+05
118, -2.500000000000000e-02, 3.509968762000000e-02, 2.300555071000000e-03, 1.142685186268941e+00, 0.000000000000000e+00, -4.508662002871252e+00, 5.391459984089172e+01, 2.373893674746813e+05
119, -2.500000000000000e-02, 3.487407300000000e-02, 4.591258811000000e-03, 1.142944745350053e+00, 0.000000000000000e+00, -7.862870880567811e+00, 5.384067295246179e+01, 2.375316306324855e+05
120, -2.500000000000000e-02, 3.449912224000000e-02, 6.862302077000000e-03, 1.142848544198290e+00, 0.000000000000000e+00, -1.128915847922842e+01, 5.396284789139251e+01, 2.375928412084842e+05
