"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 1.368937845357901e+01, -1.491251940402156e-154, 5.154351105513869e+03, -1.574491304179850e+05, 9.178523321962091e+08
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 5.715203399973183e-01, 0.000000000000000e+00, -7.576179473749773e+02, 1.155901598350810e+04, 1.291567242886311e+08
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 6.699993031293454e-02, 0.000000000000000e+00, -1.756775198468186e+02, 1.334403242430586e+03, 1.597539190804824e+07
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 2.105336766606808e-01, 0.000000000000000e+00, -8.748803264334737e+02, 4.398320482461956e+03, 4.828786550289603e+07
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 4.151897848483394e-01, 0.000000000000000e+00, -8.304934453032058e+02, 3.099443722411927e+03, 1.127570003024106e+08
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 7.238366505317466e-02, 0.000000000000000e+00, 2.868827853659171e+02, -8.451294312336344e+02, 1.731198362086802e+08
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 3.678493430876237e-02, 0.000000000000000e+00, 2.894796549239222e+02, -6.988657117394039e+02, 1.163882994185600e+08
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 2.760376028667184e-02, 0.000000000000000e+00, 2.318774491348119e+02, -4.702009538899311e+02, 8.517408147006801e+07
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 2.599983881154723e-02, 0.000000000000000e+00, 3.262603748516652e+02, -5.650995454959934e+02, 1.080678746893445e+08
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 6.064830149612960e-03, 0.000000000000000e+00, 1.388582398834712e+02, -2.078160406539026e+02, 1.607482985137084e+08
10, -2.500000000000000e-02, 1.166229410000000e-02, 8.948793005999999e-03, 8.291612712803827e-04, 0.000000000000000e+00, 7.721802089186357e+01, -1.006324841723032e+02, 1.819985124009078e+08
11, -2.500000000000000e-02, 1.105204517000000e-02, 9.692383482000000e-03, 1.601971559187326e-04, -2.371812302003132e-15, 1.942858685319550e+01, -2.215405728061920e+01, 6.103666800969998e+07
12, -2.500000000000000e-02, 1.039446968000000e-02, 1.039446968000000e-02, 1.968960882552521e+01, 0.000000000000000e+00, -8.711827810809365e+04, 9.301523792077227e+04, 4.128151132862087e+08
13, -2.500000000000000e-02, 1.697500000000000e-02, 0.000000000000000e+00, 5.045782952012464e+00, -1.066925674466842e-12, 8.947419154192161e+03, -9.862084002075329e+03, 6.031484936684062e+07
14, -2.500000000000000e-02, 1.693865522000000e-02, 1.110218119000000e-03, 3.717171507946901e-01, 0.000000000000000e+00, -2.411627344071710e+03, -3.748092032509737e+03, 3.099358187336152e+07
15, -2.500000000000000e-02, 1.682977652000000e-02, 2.215682113000000e-03, 5.676193694547499e-02, 0.000000000000000e+00, 2.080741775319267e+02, -6.853341565085574e+02, 3.432097105642144e+07
16, -2.500000000000000e-02, 1.664883013000000e-02, 3.311658216000000e-03, 3.941882306478213e-02, 0.000000000000000e+00, 3.903728433037716e+02, -5.824183113483300e+02, 4.489661544232778e+07
17, -2.500000000000000e-02, 1.639659090000000e-02, 4.393453291000000e-03, 6.712873719561999e-02, 0.000000000000000e+00, 1.283095682304070e+03, -1.352577913147193e+02, 6.507247917434390e+07
18, -2.500000000000000e-02, 1.607413895000000e-02, 5.456434924000000e-03, 4.237994470182092e-02, -1.553182297284864e-13, 1.447172498007652e+03, -5.718029546569051e+01, 9.840861463170157e+07
19, -2.500000000000000e-02, 1.568285506000000e-02, 6.496051264000000e-03, 2.732619986779164e-02, 0.000000000000000e+00, 8.785937253877894e+02, -2.536719556840038e+01, 6.895694151275119e+07
20, -2.500000000000000e-02, 1.522441479000000e-02, 7.507850516000000e-03, 2.076908744511138e-02, -7.567731623682578e-14, 6.711739021070059e+02, 2.234846320740082e+01, 5.388066462883814e+07
21, -2.500000000000000e-02, 1.470078123000000e-02, 8.487500000000000e-03, 1.874162926353571e-02, 0.000000000000000e+00, 5.704844447453637e+02, -6.332417076779959e+01, 5.530439665165593e+07
22, -2.500000000000000e-02, 1.411419667000000e-02, 9.430804706000001e-03, 1.514676436330977e-02, 0.000000000000000e+00, 4.364437937395572e+02, 1.549561954787487e+01, 6.135666358638298e+07
23, -2.500000000000000e-02, 1.346717295000000e-02, 1.033372526000000e-02, 9.425799325516619e-03, 0.000000000000000e+00, 1.766625588590269e+02, 7.518903854491855e+01, 4.911544530017034e+07
24, -2.500000000000000e-02, 1.276248073000000e-02, 1.119239521000000e-02, 2.429628668699222e-03, 0.000000000000000e+00, -7.629369879055463e+01, 8.905393086598573e+01, 3.667707118493955e+07
25, -2.500000000000000e-02, 1.200313761000000e-02, 1.200313761000000e-02, 1.842826875060937e-01, 0.000000000000000e+00, -1.258138088884293e+03, 2.767060720844165e+03, 2.762503699073308e+07
26, -2.500000000000000e-02, 1.925000000000000e-02, 0.000000000000000e+00, 7.233781961195969e+00, 0.000000000000000e+00, 1.357269752912686e+04, -1.515293332890720e+04, 4.684458744668848e+07
27, -2.500000000000000e-02, 1.920878427000000e-02, 1.259010238000000e-03, 5.199536609058372e-01, 0.000000000000000e+00, -1.386327318748700e+03, -1.507571770361242e+03, 2.303955066380249e+07
28, -2.500000000000000e-02, 1.908531358000000e-02, 2.512629200000000e-03, 2.748481285100762e-01, -9.028608486242574e-14, 1.359775996511622e+03, -1.453621430160194e+03, 2.370473087080735e+07
29, -2.500000000000000e-02, 1.888011665000000e-02, 3.755488699000000e-03, 4.939133963528049e-02, 0.000000000000000e+00, 7.331191100726491e+02, -2.446834602710264e+02, 4.053357600247840e+07
30, -2.500000000000000e-02, 1.859407216000000e-02, 4.982266618000000e-03, 2.439939806267528e-02, 0.000000000000000e+00, 7.998865674426295e+02, -1.021525174182939e+02, 4.062413160626276e+07
31, -2.500000000000000e-02, 1.822840499000000e-02, 6.187709707000000e-03, 2.518452544024787e-02, 0.000000000000000e+00, 8.673661819700962e+02, -6.123216320598188e+01, 4.395604460638189e+07
32, -2.500000000000000e-02, 1.778468100000000e-02, 7.366656073000000e-03, 2.438095683095492e-02, 0.000000000000000e+00, 7.236621300169862e+02, -7.433528421710659e+01, 3.724865555232958e+07
33, -2.500000000000000e-02, 1.726480027000000e-02, 8.514057287000000e-03, 3.576976901521826e-02, 0.000000000000000e+00, 6.503403866625190e+02, -1.985343439900500e+02, 3.668825188593563e+07
34, -2.500000000000000e-02, 1.667098902000000e-02, 9.625000000000000e-03, 5.720659395169469e-02, -6.770068694586370e-14, 4.756697589576368e+02, -5.737712646455998e+02, 3.532144824548600e+07
35, -2.500000000000000e-02, 1.600579004000000e-02, 1.069472699000000e-02, 4.496033958637015e-02, 0.000000000000000e+00, 3.361489148394411e+02, -7.934902434119414e+02, 2.494578245378065e+07
36, -2.500000000000000e-02, 1.527205180000000e-02, 1.171865751000000e-02, 4.833480630653222e-02, 0.000000000000000e+00, 1.470066321221268e+02, -1.059254133327831e+03, 2.605583535192285e+07
37, -2.500000000000000e-02, 1.447291629000000e-02, 1.269240694000000e-02, 3.652343876937229e-02, 0.000000000000000e+00, -2.505635106062128e+02, -1.148011117972103e+03, 3.357623889122032e+07
38, -2.500000000000000e-02, 1.361180554000000e-02, 1.361180554000000e-02, 2.230740909450637e+00, 0.000000000000000e+00, -2.064554549609486e+03, 1.481471909274527e+04, 5.468728153113443e+07
39, -2.500000000000000e-02, 2.152500000000000e-02, 0.000000000000000e+00, 1.967764539254278e+00, 0.000000000000000e+00, 3.760369757360588e+03, -8.011720186000508e+03, 2.008140033038307e+07
40, -2.500000000000000e-02, 2.147891332000000e-02, 1.407802357000000e-03, 5.332769673918201e-01, 0.000000000000000e+00, -1.991837746556424e+03, 1.980269292091813e+02, 2.933078326497303e+07
41, -2.500000000000000e-02, 2.134085064000000e-02, 2.809576288000000e-03, 1.076270659945430e+00, -4.975951478438202e-13, 1.020466374386799e+03, -5.415436178288329e+02, 2.544696340048062e+07
42, -2.500000000000000e-02, 2.111140316000000e-02, 4.199319181000000e-03, 1.107560180351947e-01, -7.534938289658165e-14, 1.394051869574360e+03, -1.554242743529570e+02, 3.062976957082906e+07
43, -2.500000000000000e-02, 2.079155341000000e-02, 5.571079946000000e-03, 1.468541300445519e-02, 0.000000000000000e+00, 4.925995018641398e+02, -4.049157954786368e+01, 2.587499725803881e+07
44, -2.500000000000000e-02, 2.038267104000000e-02, 6.918984491000000e-03, 2.109362683375976e-02, 0.000000000000000e+00, 5.662235013760643e+02, -8.356362086643345e+01, 2.390302107695882e+07
45, -2.500000000000000e-02, 1.988650694000000e-02, 8.237260882000001e-03, 3.127028330766934e-02, -6.162565234149368e-14, 4.967323094009005e+02, -2.052255680324107e+02, 2.014812416128159e+07
46, -2.500000000000000e-02, 1.930518576000000e-02, 9.520264057000001e-03, 5.152050625275308e-02, 0.000000000000000e+00, 2.437567607768377e+02, -4.658411896395409e+02, 1.644409796556886e+07
47, -2.500000000000000e-02, 1.864119682000000e-02, 1.076250000000000e-02, 5.411919934170515e-02, 0.000000000000000e+00, -4.982172690606686e+01, -6.854494787075594e+02, 1.556566141847103e+07
48, -2.500000000000000e-02, 1.789738340000000e-02, 1.195864927000000e-02, 3.124267646363511e-02, 0.000000000000000e+00, -6.965531177147855e+01, -5.764490035220807e+02, 1.540762836712386e+07
49, -2.500000000000000e-02, 1.707693065000000e-02, 1.310358976000000e-02, 2.657223203218240e-02, -7.320799033791434e-16, -4.770601387200847e+01, -6.355225424682531e+02, 1.560829452242162e+07
50, -2.500000000000000e-02, 1.618335186000000e-02, 1.419241867000000e-02, 4.168121334404221e-02, 0.000000000000000e+00, 1.887415442242840e+02, -7.104053826556534e+02, 8.146027836212921e+06
51, -2.500000000000000e-02, 1.522047347000000e-02, 1.522047347000000e-02, 3.414090699717003e+00, 0.000000000000000e+00, 2.588477822314129e+02, 2.133294858533447e+04, 7.215156899849780e+07
52, -2.500000000000000e-02, 2.380000000000000e-02, 0.000000000000000e+00, 7.932109244491976e-01, 0.000000000000000e+00, 1.068546709681390e+03, -3.516353821839601e+03, 1.363467476916686e+07
53, -2.500000000000000e-02, 2.374904237000000e-02, 1.556594476000000e-03, 5.655869192098029e-01, -5.108678237024249e-13, -3.820396810194865e+02, -6.591887920087888e+02, 2.675630575750806e+07
54, -2.500000000000000e-02, 2.359638770000000e-02, 3.106523375000000e-03, 1.043251417550011e+00, -3.907416974755178e-13, -9.287565554374363e+01, 8.035267192512205e+02, 2.169427894469768e+07
55, -2.500000000000000e-02, 2.334268967000000e-02, 4.643149664000000e-03, 5.374621431805854e-01, 0.000000000000000e+00, 2.202044536783595e+03, 3.245110519704710e+02, 2.902768079589955e+07
56, -2.500000000000000e-02, 2.298903467000000e-02, 6.159893273000000e-03, 4.557288379799158e-02, 0.000000000000000e+00, 7.100774969514924e+02, 5.308067009741924e+01, 2.146998464292063e+07
57, -2.500000000000000e-02, 2.253693708000000e-02, 7.650259274000000e-03, 1.524876349648025e-02, 0.000000000000000e+00, 3.298715668596253e+02, 4.658398738033602e-01, 1.392319594217699e+07
58, -2.500000000000000e-02, 2.198833287000000e-02, 9.107865690000000e-03, 1.830952546615579e-02, -3.266898553068872e-14, 2.234837715009889e+02, -6.452637490351951e+01, 8.234972491482698e+06
59, -2.500000000000000e-02, 2.134557125000000e-02, 1.052647083000000e-02, 2.684942288962502e-02, 0.000000000000000e+00, 2.541296719997420e+01, -1.821200310331482e+02, 6.027961415947339e+06
60, -2.500000000000000e-02, 2.061140461000000e-02, 1.190000000000000e-02, 2.916274117939809e-02, 0.000000000000000e+00, -1.267306496134627e+02, -3.151090608688207e+02, 7.423980066451021e+06
61, -2.500000000000000e-02, 1.978897677000000e-02, 1.322257155000000e-02, 2.682438159433213e-02, 0.000000000000000e+00, -1.749298873755119e+02, -3.056156688405898e+02, 9.623761386371825e+06
62, -2.500000000000000e-02, 1.888180950000000e-02, 1.448852201000000e-02, 2.122041020729434e-02, 0.000000000000000e+00, -1.798041484320523e+02, -1.766950624605815e+02, 1.704816487835469e+07
63, -2.500000000000000e-02, 1.789378742000000e-02, 1.569243040000000e-02, 1.148653578839606e-02, 0.000000000000000e+00, -1.413663417367811e+01, -1.698265116274764e+02, 1.211848975406636e+07
64, -2.500000000000000e-02, 1.682914139000000e-02, 1.682914139000000e-02, 2.595794868813180e+01, 0.000000000000000e+00, -7.141509675755331e+03, 1.071210076680976e+05, 2.236320250816044e+08
65, -2.500000000000000e-02, 2.607500000000000e-02, 0.000000000000000e+00, 2.620164595886918e+01, 0.000000000000000e+00, 1.215902468947615e+04, -1.114002794688587e+05, 2.898331476119564e+08
66, -2.500000000000000e-02, 2.601917142000000e-02, 1.705386595000000e-03, 1.136511571271465e+00, 0.000000000000000e+00, -1.522305114720321e+02, 1.869848157911402e+02, 2.643265266110862e+07
67, -2.500000000000000e-02, 2.585192476000000e-02, 3.403470462000000e-03, 1.105791852112329e+00, 0.000000000000000e+00, 1.196342237491164e+03, 4.408402922157716e+02, 2.151215043837048e+07
68, -2.500000000000000e-02, 2.557397619000000e-02, 5.086980147000000e-03, 9.984519164262782e-01, 0.000000000000000e+00, 2.019725954416183e+03, 8.523932992716269e+02, 2.242667970876936e+07
69, -2.500000000000000e-02, 2.518651592000000e-02, 6.748706601000000e-03, 4.486910256925044e-01, 0.000000000000000e+00, 2.658691266262655e+03, 8.907835471063319e+02, 2.674082307041344e+07
70, -2.500000000000000e-02, 2.469120313000000e-02, 8.381534058000000e-03, 3.839565159850590e-02, 0.000000000000000e+00, 4.813985711319073e+02, 1.672108384435977e+02, 1.383777480075231e+07
71, -2.500000000000000e-02, 2.409015881000000e-02, 9.978470499000001e-03, 1.061051373423362e-02, 0.000000000000000e+00, 1.253778670756641e+02, 2.325540547665311e+01, 5.916910872015116e+06
72, -2.500000000000000e-02, 2.338595674000000e-02, 1.153267760000000e-02, 1.073712303333263e-02, 0.000000000000000e+00, 2.353189485414584e+01, -6.997907558519698e+01, 4.173424625033075e+06
73, -2.500000000000000e-02, 2.258161240000000e-02, 1.303750000000000e-02, 1.305999814780102e-02, 0.000000000000000e+00, -3.285318269881638e+01, -1.373849253951826e+02, 5.797676594595959e+06
74, -2.500000000000000e-02, 2.168057014000000e-02, 1.448649383000000e-02, 2.350012692964041e-02, 0.000000000000000e+00, -1.255754811451696e+02, -1.566241689063887e+02, 9.541818342123907e+06
75, -2.500000000000000e-02, 2.068668835000000e-02, 1.587345426000000e-02, 2.287831283477844e-02, 0.000000000000000e+00, -2.625582858769611e+02, -9.030609310573325e+01, 1.223613042097642e+07
76, -2.500000000000000e-02, 1.960422298000000e-02, 1.719244213000000e-02, 6.799987677483634e-03, 0.000000000000000e+00, -6.234064844666135e+01, 3.116417929090808e+01, 5.448694059421313e+06
77, -2.500000000000000e-02, 1.843780932000000e-02, 1.843780932000000e-02, 7.635554959949519e+01, 0.000000000000000e+00, 1.466168464775068e+04, 1.853915703939996e+05, 3.539417822510394e+08
78, -2.500000000000000e-02, 2.835000000000000e-02, 0.000000000000000e+00, 2.271904017869229e+01, 0.000000000000000e+00, 1.516849211947889e+04, -7.370608230262891e+04, 2.539338481584032e+08
79, -2.500000000000000e-02, 2.828930047000000e-02, 1.854178714000000e-03, 1.010143149759051e+00, 0.000000000000000e+00, -1.493083656203438e+02, 4.057589480607097e+02, 3.376360953268438e+07
80, -2.500000000000000e-02, 2.810746182000000e-02, 3.700417549000000e-03, 1.308757649603863e+00, 0.000000000000000e+00, 2.102023580526603e+03, 4.557462715069290e+02, 2.830281157568840e+07
81, -2.500000000000000e-02, 2.780526270000000e-02, 5.530810629000000e-03, 1.187069113027569e+00, 0.000000000000000e+00, 2.721719646062818e+03, 1.162710156468414e+03, 2.285863157354059e+07
82, -2.500000000000000e-02, 2.738399718000000e-02, 7.337519929000000e-03, 1.113213812516226e+00, 0.000000000000000e+00, 3.415308752631859e+03, 2.173717846205845e+03, 2.410238944700719e+07
83, -2.500000000000000e-02, 2.684546917000000e-02, 9.112808841000001e-03, 3.267918399833444e-01, 0.000000000000000e+00, 1.889912961236434e+03, 1.182571041315505e+03, 2.008455802314802e+07
84, -2.500000000000000e-02, 2.619198475000000e-02, 1.084907531000000e-02, 2.695035539187070e-02, 0.000000000000000e+00, 2.308901550082616e+02, 1.661248481999434e+02, 9.415558264061432e+06
85, -2.500000000000000e-02, 2.542634222000000e-02, 1.253888437000000e-02, 1.000183433375580e-02, -3.296198225145783e-14, 8.129828966122501e+00, 6.697317785217352e+00, 5.960789513887703e+06
86, -2.500000000000000e-02, 2.455182020000000e-02, 1.417500000000000e-02, 1.170573638217593e-02, -3.291420558579606e-14, -4.461275918058919e+01, -6.171891712085926e+01, 7.116061634561772e+06
87, -2.500000000000000e-02, 2.357216351000000e-02, 1.575041611000000e-02, 1.656954796272470e-02, 0.000000000000000e+00, -4.983672247087645e+01, -5.761268696144096e+01, 8.694363625410127e+06
88, -2.500000000000000e-02, 2.249156720000000e-02, 1.725838651000000e-02, 2.278767125838032e-02, 0.000000000000000e+00, -1.065318128930476e+02, -8.339164022691128e+01, 1.140941067769889e+07
89, -2.500000000000000e-02, 2.131465854000000e-02, 1.869245386000000e-02, 5.511114508332251e-02, 0.000000000000000e+00, -1.305955866763193e+02, -1.815565076428151e+02, 1.845559870113155e+07
90, -2.500000000000000e-02, 2.004647725000000e-02, 2.004647725000000e-02, 8.576834235913282e+01, 0.000000000000000e+00, 3.548028504076731e+04, 1.889256708287191e+05, 2.692744700281363e+08
91, -2.500000000000000e-02, 3.062500000000000e-02, 0.000000000000000e+00, 2.152383053610559e+01, 0.000000000000000e+00, 6.996390128550626e+04, 4.725517658491707e+03, 1.159460760963314e+08
92, -2.500000000000000e-02, 3.055942952000000e-02, 2.002970833000000e-03, 9.872797629872758e-01, -6.842128317669285e-13, -2.996397581612465e+02, -9.300517660473802e+02, 3.490321143628791e+07
93, -2.500000000000000e-02, 3.036299888000000e-02, 3.997364637000000e-03, 1.036018286317902e+00, -6.378754606405890e-13, 1.041304956591568e+03, 2.797334374235354e+02, 3.239531505541480e+07
94, -2.500000000000000e-02, 3.003654921000000e-02, 5.974641112000000e-03, 1.012602761136707e+00, 0.000000000000000e+00, 2.447733423804701e+03, 8.997724260010816e+02, 2.360347101347722e+07
95, -2.500000000000000e-02, 2.958147843000000e-02, 7.926333256000000e-03, 8.806447976544399e-01, 0.000000000000000e+00, 2.706733315756183e+03, 1.559154703790651e+03, 1.889235098355580e+07
96, -2.500000000000000e-02, 2.899973522000000e-02, 9.844083625000000e-03, 4.284523114627071e-01, 0.000000000000000e+00, 1.932522146696819e+03, 1.335640977628142e+03, 1.637670988376370e+07
97, -2.500000000000000e-02, 2.829381068000000e-02, 1.171968012000000e-02, 4.683362231141840e-02, 0.000000000000000e+00, 3.529345908004028e+02, 2.551126621643973e+02, 1.067010964642740e+07
98, -2.500000000000000e-02, 2.746672771000000e-02, 1.354509114000000e-02, 1.380040147055653e-02, 0.000000000000000e+00, 4.294203975177000e+01, 5.963333113275422e+01, 7.690148602889336e+06
99, -2.500000000000000e-02, 2.652202799000000e-02, 1.531250000000000e-02, 1.243335780554198e-02, 0.000000000000000e+00, -1.758176419356558e+01, 1.387230461785238e+01, 7.746145007763988e+06
100, -2.500000000000000e-02, 2.546375688000000e-02, 1.701433839000000e-02, 1.448812881594539e-02, 0.000000000000000e+00, -3.080924694938743e+01, 1.108615676055092e+01, 8.122561238800721e+06
101, -2.500000000000000e-02, 2.429644605000000e-02, 1.864331876000000e-02, 2.221187145211754e-02, 0.000000000000000e+00, -7.795970639373654e+01, 4.295534419078481e+00, 7.059725310131637e+06
102, -2.500000000000000e-02, 2.302509410000000e-02, 2.019246559000000e-02, 3.135323692013175e-02, -4.786259817485722e-14, -4.887735647774636e+01, 1.021151945260920e+02, 5.652704052311299e+06
103, -2.500000000000000e-02, 2.165514517000000e-02, 2.165514517000000e-02, 4.914184534405564e+01, -1.632219104665149e-43, 4.736827951167113e+04, 1.095941303369847e+05, 1.450767563568709e+08
104, -2.500000000000000e-02, 3.290000000000000e-02, 0.000000000000000e+00, 3.259520570414583e+01, 0.000000000000000e+00, 7.520744028368249e+04, -3.369175522221864e+04, 1.974200882138482e+08
105, -2.500000000000000e-02, 3.282955857000000e-02, 2.151762952000000e-03, 3.996527140976256e+00, 0.000000000000000e+00, 1.832062589483127e+03, 4.275452410180525e+03, 4.432977998060405e+07
106, -2.500000000000000e-02, 3.261853594000000e-02, 4.294311724000000e-03, 1.331528530350113e+00, 0.000000000000000e+00, 7.106694168718907e+01, 1.254234712046274e+03, 3.705884276806370e+07
107, -2.500000000000000e-02, 3.226783573000000e-02, 6.418471594000000e-03, 6.089291014051214e-01, 0.000000000000000e+00, 9.457936388679677e+02, 4.671405896878871e+02, 2.355884280167280e+07
108, -2.500000000000000e-02, 3.177895968000000e-02, 8.515146584000001e-03, 4.714950537024055e-01, 0.000000000000000e+00, 1.344648742237172e+03, 3.425378844430426e+02, 1.609332568414352e+07
109, -2.500000000000000e-02, 3.115400126000000e-02, 1.057535841000000e-02, 2.565877163433303e-01, -1.683732604338720e-13, 1.098154792634534e+03, 5.448890734904907e+02, 1.373584380636721e+07
