"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 1.054525786361043e+00, 0.000000000000000e+00, 1.410259712939747e+00, 4.307898454039158e+01, 2.242110698166486e+05
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 1.042971161278953e+00, 0.000000000000000e+00, -2.960498219197074e+00, 4.516847357353998e+01, 2.212994060846778e+05
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 1.047965693075463e+00, 0.000000000000000e+00, -5.979371633372202e+00, 4.541783662603217e+01, 2.224480782863272e+05
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.049619707769062e+00, 0.000000000000000e+00, -9.166352723243723e+00, 4.608236774104610e+01, 2.226797239490219e+05
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 1.052052028363719e+00, 0.000000000000000e+00, -1.238087034656909e+01, 4.620603701412669e+01, 2.231466873209315e+05
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 1.054154659890210e+00, 0.000000000000000e+00, -1.560097894580073e+01, 4.595900184925812e+01, 2.235247113425874e+05
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 1.056418762019993e+00, 0.000000000000000e+00, -1.873114642779152e+01, 4.522098792536504e+01, 2.239880948376213e+05
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 1.058534106540399e+00, 0.000000000000000e+00, -2.172694035111855e+01, 4.405787676345384e+01, 2.244507039548562e+05
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 1.060576129453547e+00, 0.000000000000000e+00, -2.449384861811124e+01, 4.242459026118438e+01, 2.249305538839151e+05
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 1.062624480862765e+00, 0.000000000000000e+00, -2.694207756268391e+01, 4.032166827669685e+01, 2.254222679187269e+05
10, -2.500000000000000e-02, 1.166229410000000e-02, 8.948793005999999e-03, 1.064162797603551e+00, 0.000000000000000e+00, -2.894289710528386e+01, 3.771911791066090e+01, 2.258411451822753e+05
11, -2.500000000000000e-02, 1.105204517000000e-02, 9.692383482000000e-03, 1.068313402834342e+00, -4.340797884977027e-14, -3.090386635153590e+01, 3.523910568060283e+01, 2.265080350359568e+05
12, -2.500000000000000e-02, 1.039446968000000e-02, 1.039446968000000e-02, 1.054525786361043e+00, 0.000000000000000e+00, -2.946423788888744e+01, 3.145864630139522e+01, 2.242110698166486e+05
13, -2.500000000000000e-02, 1.697500000000000e-02, 0.000000000000000e+00, 1.091151979280214e+00, 0.000000000000000e+00, 2.244042359075674e+00, 1.059028899887773e+02, 2.311943032234106e+05
14, -2.500000000000000e-02, 1.693865522000000e-02, 1.110218119000000e-03, 1.090082893333377e+00, 0.000000000000000e+00, -4.987584635163089e+00, 1.044483220222905e+02, 2.308115181817253e+05
15, -2.500000000000000e-02, 1.682977652000000e-02, 2.215682113000000e-03, 1.091589702321829e+00, 0.000000000000000e+00, -1.250315693623905e+01, 1.024154763292929e+02, 2.311250919403103e+05
16, -2.500000000000000e-02, 1.664883013000000e-02, 3.311658216000000e-03, 1.092588092298414e+00, 0.000000000000000e+00, -1.954917040838130e+01, 1.005217605975176e+02, 2.313141134257402e+05
