"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 1.054520469936073e+00, 0.000000000000000e+00, 1.410144124667229e+00, 4.307545368337350e+01, 2.242093414616406e+05
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 1.042970746724812e+00, 0.000000000000000e+00, -2.960237114407597e+00, 4.516448988433973e+01, 2.212992603848805e+05
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 1.047955914294980e+00, 0.000000000000000e+00, -5.979150611724175e+00, 4.541615779994201e+01, 2.224458775586116e+05
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.049617743685331e+00, 0.000000000000000e+00, -9.166066493929055e+00, 4.608092876908690e+01, 2.226789488277961e+05
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 1.052051157374393e+00, 0.000000000000000e+00, -1.238109451006115e+01, 4.620687360366534e+01, 2.231460392116077e+05
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 1.054154294940983e+00, 0.000000000000000e+00, -1.560136347443577e+01, 4.596013463408595e+01, 2.235243414261358e+05
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 1.056418571938744e+00, 0.000000000000000e+00, -1.873150836469141e+01, 4.522186171834098e+01, 2.239879196139861e+05
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 1.058533503197458e+00, 0.000000000000000e+00, -2.172723171063333e+01, 4.405846758210517e+01, 2.244504898610255e+05
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 1.060575013504751e+00, 0.000000000000000e+00, -2.449413420538367e+01, 4.242508491285000e+01, 2.249302460943503e+05
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 1.062622853298292e+00, 0.000000000000000e+00, -2.694244465222364e+01, 4.032221766501386e+01, 2.254218582063641e+05
10, -2.500000000000000e-02, 1.166229410000000e-02, 8.948793005999999e-03, 1.064160745015956e+00, 0.000000000000000e+00, -2.894323302600457e+01, 3.771955569106785e+01, 2.258406361315307e+05
11, -2.500000000000000e-02, 1.105204517000000e-02, 9.692383482000000e-03, 1.068310666162650e+00, -4.340905586945498e-14, -3.090355658679766e+01, 3.523875246161647e+01, 2.265073381016079e+05
12, -2.500000000000000e-02, 1.039446968000000e-02, 1.039446968000000e-02, 1.054520469936073e+00, 0.000000000000000e+00, -2.946182292919788e+01, 3.145606787520301e+01, 2.242093414616406e+05
13, -2.500000000000000e-02, 1.697500000000000e-02, 0.000000000000000e+00, 1.091155551485894e+00, 0.000000000000000e+00, 2.242492982113927e+00, 1.059045774525697e+02, 2.311953560790933e+05
14, -2.500000000000000e-02, 1.693865522000000e-02, 1.110218119000000e-03, 1.090080790534428e+00, 0.000000000000000e+00, -4.987897682748097e+00, 1.044505251312732e+02, 2.308110771329112e+05
15, -2.500000000000000e-02, 1.682977652000000e-02, 2.215682113000000e-03, 1.091588118766145e+00, 0.000000000000000e+00, -1.250532947721480e+01, 1.024163619237776e+02, 2.311246883985028e+05
