"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 1.060447027970049e+00, -4.565018168032904e-14, -4.937879730378871e-15, 2.339363846836335e-14, 2.238579102857754e+05
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 1.065983605739342e+00, 0.000000000000000e+00, -1.356498033237371e-01, 2.069616025084377e+00, 2.247295684872238e+05
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 1.071502179328137e+00, 0.000000000000000e+00, -2.957042110419923e-01, 2.246096474716064e+00, 2.257026650857756e+05
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.079099810346239e+00, 0.000000000000000e+00, -6.453670571750314e-01, 3.244479342506929e+00, 2.274951020296872e+05
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 1.088249889189293e+00, 0.000000000000000e+00, -7.358955624737298e-01, 2.746399618635464e+00, 2.298225019060578e+05
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 1.098046821457686e+00, 0.000000000000000e+00, -8.004620127411755e-01, 2.358085043998849e+00, 2.323872319671441e+05
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 1.108416519288100e+00, 0.000000000000000e+00, -5.737517819710620e-01, 1.385159339002098e+00, 2.350883766371442e+05
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 1.117750662379852e+00, 0.000000000000000e+00, -4.564126662886345e-01, 9.255133341215735e-01, 2.376004813944391e+05
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 1.125706298239093e+00, 0.000000000000000e+00, -1.690820116012496e-01, 2.928586346130805e-01, 2.400333305281354e+05
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 1.131831381955644e+00, 0.000000000000000e+00, -2.032098592470925e-01, 3.041250444050745e-01, 2.420429880873578e+05
10, -2.500000000000000e-02, 1.166229410000000e-02, 8.948793005999999e-03, 1.137298831018838e+00, 0.000000000000000e+00, -4.306226478806942e-01, 5.611983614262214e-01, 2.436197922925850e+05
11, -2.500000000000000e-02, 1.105204517000000e-02, 9.692383482000000e-03, 1.139036565551681e+00, -4.705656969014205e-14, -5.819725719162173e-01, 6.636125309268849e-01, 2.444638971279340e+05
12, -2.500000000000000e-02, 1.039446968000000e-02, 1.039446968000000e-02, 1.134111268861635e+00, 0.000000000000000e+00, 1.973278953628521e-14, 6.543038882993972e-16, 2.449268588387193e+05
13, -2.500000000000000e-02, 1.697500000000000e-02, 0.000000000000000e+00, 1.075036469889675e+00, -4.582426285538878e-14, -2.966972971149761e+00, 0.000000000000000e+00, 2.242457791194696e+05
14, -2.500000000000000e-02, 1.693865522000000e-02, 1.110218119000000e-03, 1.079635380799441e+00, 0.000000000000000e+00, -3.659403607407888e+00, -6.582708136672422e-01, 2.246065264784847e+05
15, -2.500000000000000e-02, 1.682977652000000e-02, 2.215682113000000e-03, 1.085717919500650e+00, 0.000000000000000e+00, -2.589517420059861e+00, -1.350998907842284e+00, 2.256757042095407e+05
16, -2.500000000000000e-02, 1.664883013000000e-02, 3.311658216000000e-03, 1.092874818972607e+00, 0.000000000000000e+00, -1.265660376144220e+00, -1.789288457846750e+00, 2.275350087404782e+05
17, -2.500000000000000e-02, 1.639659090000000e-02, 4.393453291000000e-03, 1.100672114877806e+00, 0.000000000000000e+00, 1.314710305098248e-01, -2.663838215617924e+00, 2.298743810885307e+05
18, -2.500000000000000e-02, 1.607413895000000e-02, 5.456434924000000e-03, 1.108805664176816e+00, -4.641118233691255e-14, 1.473415052073018e+00, -3.026025886475591e+00, 2.325396192942577e+05
19, -2.500000000000000e-02, 1.568285506000000e-02, 6.496051264000000e-03, 1.117079453746699e+00, 0.000000000000000e+00, 2.900307198511651e+00, -3.522483684950012e+00, 2.353932730789403e+05
20, -2.500000000000000e-02, 1.522441479000000e-02, 7.507850516000000e-03, 1.124826465418839e+00, -4.664069408226607e-14, 3.401392321555760e+00, -3.458741708475952e+00, 2.381083611386687e+05
21, -2.500000000000000e-02, 1.470078123000000e-02, 8.487500000000000e-03, 1.131868366745017e+00, 0.000000000000000e+00, 3.310893057775075e+00, -3.420312055576000e+00, 2.404980696318830e+05
22, -2.500000000000000e-02, 1.411419667000000e-02, 9.430804706000001e-03, 1.137983661734947e+00, 0.000000000000000e+00, 2.572862139592028e+00, -2.560977248438835e+00, 2.424642500592378e+05
23, -2.500000000000000e-02, 1.346717295000000e-02, 1.033372526000000e-02, 1.142130732109793e+00, 0.000000000000000e+00, 2.181151675179303e+00, -1.522148298629545e+00, 2.439667359860576e+05
24, -2.500000000000000e-02, 1.276248073000000e-02, 1.119239521000000e-02, 1.140606889771887e+00, 0.000000000000000e+00, 2.343047878934581e+00, 3.012730751784419e-01, 2.446230252627391e+05
25, -2.500000000000000e-02, 1.200313761000000e-02, 1.200313761000000e-02, 1.135469838066850e+00, 0.000000000000000e+00, 2.337329563384059e+00, 2.337329563384007e+00, 2.452944520183178e+05
26, -2.500000000000000e-02, 1.925000000000000e-02, 0.000000000000000e+00, 1.080623479897824e+00, 0.000000000000000e+00, -2.431251190780849e+00, 0.000000000000000e+00, 2.239496575464841e+05
27, -2.500000000000000e-02, 1.920878427000000e-02, 1.259010238000000e-03, 1.085449646060635e+00, 0.000000000000000e+00, -2.367527607372750e+00, -2.251763714023692e+00, 2.243930825523436e+05
28, -2.500000000000000e-02, 1.908531358000000e-02, 2.512629200000000e-03, 1.091757895056155e+00, -6.773014228421899e-14, -7.608339179856660e-01, -5.034433652347405e+00, 2.256793204042878e+05
29, -2.500000000000000e-02, 1.888011665000000e-02, 3.755488699000000e-03, 1.098743904091197e+00, 0.000000000000000e+00, 1.240716984049928e+00, -7.299714066056096e+00, 2.277327957231177e+05
30, -2.500000000000000e-02, 1.859407216000000e-02, 4.982266618000000e-03, 1.106623429063531e+00, 0.000000000000000e+00, 3.406207880498949e+00, -9.424917698495227e+00, 2.303492487095234e+05
31, -2.500000000000000e-02, 1.822840499000000e-02, 6.187709707000000e-03, 1.115073452752107e+00, 0.000000000000000e+00, 4.802722312648080e+00, -1.084644496442358e+01, 2.332225619828357e+05
32, -2.500000000000000e-02, 1.778468100000000e-02, 7.366656073000000e-03, 1.123962330076891e+00, 0.000000000000000e+00, 5.770868009152116e+00, -1.151752386281656e+01, 2.361638935379937e+05
33, -2.500000000000000e-02, 1.726480027000000e-02, 8.514057287000000e-03, 1.132497012718349e+00, 0.000000000000000e+00, 5.724992293211422e+00, -1.120993984806985e+01, 2.389101726449747e+05
34, -2.500000000000000e-02, 1.667098902000000e-02, 9.625000000000000e-03, 1.139932001527352e+00, -6.802512219379169e-14, 5.282040302844954e+00, -1.038768193182301e+01, 2.412676318500628e+05
35, -2.500000000000000e-02, 1.600579004000000e-02, 1.069472699000000e-02, 1.145556707170013e+00, 0.000000000000000e+00, 4.360442671458914e+00, -8.523323080850142e+00, 2.431794651537280e+05
36, -2.500000000000000e-02, 1.527205180000000e-02, 1.171865751000000e-02, 1.147700112459210e+00, 0.000000000000000e+00, 3.333189225826998e+00, -6.200629416110527e+00, 2.445091529180569e+05
37, -2.500000000000000e-02, 1.447291629000000e-02, 1.269240694000000e-02, 1.145268052138372e+00, 0.000000000000000e+00, 2.278625100921911e+00, -3.092590567337046e+00, 2.452697295622818e+05
38, -2.500000000000000e-02, 1.361180554000000e-02, 1.361180554000000e-02, 1.140672196852562e+00, 0.000000000000000e+00, -2.759406959370651e-01, -2.759406959371083e-01, 2.456248820016417e+05
39, -2.500000000000000e-02, 2.152500000000000e-02, 0.000000000000000e+00, 1.084029108948342e+00, 0.000000000000000e+00, -4.466183039155974e-01, 0.000000000000000e+00, 2.240771752700097e+05
40, -2.500000000000000e-02, 2.147891332000000e-02, 1.407802357000000e-03, 1.088786516295668e+00, 0.000000000000000e+00, -1.919422661117041e-02, -3.645768698169670e+00, 2.245441294625696e+05
41, -2.500000000000000e-02, 2.134085064000000e-02, 2.809576288000000e-03, 1.095403431701775e+00, -6.571885169667800e-14, 1.634634194401531e+00, -7.332795751208790e+00, 2.259546244288799e+05
42, -2.500000000000000e-02, 2.111140316000000e-02, 4.199319181000000e-03, 1.103070005360138e+00, -6.563707214521182e-14, 3.732665748519396e+00, -1.039999800420290e+01, 2.281743051304017e+05
43, -2.500000000000000e-02, 2.079155341000000e-02, 5.571079946000000e-03, 1.111981780421769e+00, 0.000000000000000e+00, 5.720605209069261e+00, -1.287577012005906e+01, 2.310178203469173e+05
44, -2.500000000000000e-02, 2.038267104000000e-02, 6.918984491000000e-03, 1.121547517076216e+00, 0.000000000000000e+00, 7.052250460240951e+00, -1.459694798673175e+01, 2.340957093898229e+05
45, -2.500000000000000e-02, 1.988650694000000e-02, 8.237260882000001e-03, 1.131085602832046e+00, -6.574148250285158e-14, 7.737282575874303e+00, -1.553753235207521e+01, 2.371200318603078e+05
46, -2.500000000000000e-02, 1.930518576000000e-02, 9.520264057000001e-03, 1.139717471071516e+00, 0.000000000000000e+00, 7.598690405357286e+00, -1.547062374203363e+01, 2.398212956528497e+05
