"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.152021893169893e+00, 1.122452377640429e+02, 0.000000000000000e+00, 0.000000000000000e+00, 2.397639807405146e+05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1, 0.000000000000000e+00, 0.000000000000000e+00, 1.666666667000000e-03, 1.152434157685421e+00, 1.117499319768501e+02, 9.610005504142639e-01, -6.826380674578733e-01, 2.401230809599845e+05, 0.000000000000000e+00, 8.333333334999999e-01, 0.000000000000000e+00
2, 0.000000000000000e+00, 0.000000000000000e+00, 3.333333333000000e-03, 1.154557960038749e+00, 1.113548302765523e+02, 1.924861946381055e+00, -6.669546720992471e-01, 2.402695249791420e+05, 0.000000000000000e+00, 1.666666666500000e+00, 0.000000000000000e+00
3, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000000000e-03, 1.154591361801095e+00, 1.107492833000795e+02, 2.888094975049023e+00, -1.069160773589770e-01, 2.404074641822543e+05, 0.000000000000000e+00, 2.500000000000000e+00, 0.000000000000000e+00
4, 0.000000000000000e+00, 0.000000000000000e+00, 6.666666667000000e-03, 1.156442634327872e+00, 1.101706551133281e+02, 3.854960182511511e+00, 2.261529915160858e-01, 2.405545809268856e+05, 0.000000000000000e+00, 3.333333333500000e+00, 0.000000000000000e+00
5, 0.000000000000000e+00, 0.000000000000000e+00, 8.333333332999999e-03, 1.155184577150827e+00, 1.091210353904589e+02, 4.813684133738808e+00, 4.058561377340082e-01, 2.406753414040524e+05, 0.000000000000000e+00, 4.166666666499999e+00, 0.000000000000000e+00
6, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-02, 1.151856407620223e+00, 1.080082028648144e+02, 5.765965112888695e+00, 8.617475651073101e-01, 2.405187734802975e+05, 0.000000000000000e+00, 5.000000000000000e+00, 0.000000000000000e+00
7, 0.000000000000000e+00, 0.000000000000000e+00, 1.166666667000000e-02, 1.153337324050204e+00, 1.075575874522123e+02, 6.728197544969444e+00, 1.704436312885060e+00, 2.404306775952824e+05, 0.000000000000000e+00, 5.833333335000001e+00, 0.000000000000000e+00
8, 0.000000000000000e+00, 0.000000000000000e+00, 1.333333333000000e-02, 1.144563708421013e+00, 1.040784335885593e+02, 7.631539382085148e+00, 2.696008591754833e+00, 2.397096343523650e+05, 0.000000000000000e+00, 6.666666665000000e+00, 0.000000000000000e+00
9, 0.000000000000000e+00, 0.000000000000000e+00, 1.500000000000000e-02, 1.125990061908027e+00, 9.593535288035379e+01, 8.447591602708437e+00, 2.648947621042278e+00, 2.383184272077181e+05, 0.000000000000000e+00, 7.500000000000000e+00, 0.000000000000000e+00
10, 0.000000000000000e+00, 0.000000000000000e+00, 1.666666667000000e-02, 1.107706660563058e+00, 8.680634752615049e+01, 9.235261408189498e+00, 2.154918678265569e+00, 2.368416784671362e+05, 0.000000000000000e+00, 8.333333335000001e+00, 0.000000000000000e+00
11, 0.000000000000000e+00, 0.000000000000000e+00, 1.833333333000000e-02, 1.093574199007970e+00, 7.999848941465615e+01, 1.003228812908664e+01, 1.628394206566411e+00, 2.357067352268523e+05, 0.000000000000000e+00, 9.166666664999999e+00, 0.000000000000000e+00
12, 0.000000000000000e+00, 0.000000000000000e+00, 2.000000000000000e-02, 1.081911634209230e+00, 7.437347299944395e+01, 1.083110182902426e+01, 0.000000000000000e+00, 2.349410593843448e+05, 0.000000000000000e+00, 1.000000000000000e+01, 0.000000000000000e+00
13, 0.000000000000000e+00, 1.666666667000000e-03, 0.000000000000000e+00, 1.151576788831174e+00, 1.134982705812822e+02, 7.059353827029176e-01, -9.596926138224091e-01, 2.395848696177051e+05, 0.000000000000000e+00, 0.000000000000000e+00, -8.333333334999999e-01
14, 0.000000000000000e+00, 1.666666667000000e-03, 1.666666667000000e-03, 1.152076781202971e+00, 1.125421944053813e+02, 7.779748350351483e-01, -7.139453736645537e-01, 2.397398984697738e+05, 0.000000000000000e+00, 8.333333334999999e-01, -8.333333334999999e-01
15, 0.000000000000000e+00, 1.666666667000000e-03, 3.333333333000000e-03, 1.154555918824889e+00, 1.126061804256244e+02, 9.621675869339003e-01, -4.987948727333064e-01, 2.400495914404954e+05, 0.000000000000000e+00, 1.666666666500000e+00, -8.333333334999999e-01
16, 0.000000000000000e+00, 1.666666667000000e-03, 5.000000000000000e-03, 1.156117700667731e+00, 1.125781862008772e+02, 1.157593902350597e+00, -1.846698239339908e-01, 2.403050502294471e+05, 0.000000000000000e+00, 2.500000000000000e+00, -8.333333334999999e-01
17, 0.000000000000000e+00, 1.666666667000000e-03, 6.666666667000000e-03, 1.156647977809290e+00, 1.125373923941195e+02, 1.113292585014924e+00, 1.406088113491028e-01, 2.404162611361154e+05, 0.000000000000000e+00, 3.333333333500000e+00, -8.333333334999999e-01
18, 0.000000000000000e+00, 1.666666667000000e-03, 8.333333332999999e-03, 1.157220782939482e+00, 1.126571531721357e+02, 1.107603646865731e+00, 4.322841352717513e-01, 2.405453619396413e+05, 0.000000000000000e+00, 4.166666666499999e+00, -8.333333334999999e-01
19, 0.000000000000000e+00, 1.666666667000000e-03, 1.000000000000000e-02, 1.157346961147470e+00, 1.130648857421843e+02, 1.038402638701918e+00, 6.929564237960584e-01, 2.406024132134813e+05, 0.000000000000000e+00, 5.000000000000000e+00, -8.333333334999999e-01
20, 0.000000000000000e+00, 1.666666667000000e-03, 1.166666667000000e-02, 1.156907330457000e+00, 1.131095970828927e+02, 6.300885932712702e-01, 1.118468109387581e+00, 2.405309533452714e+05, 0.000000000000000e+00, 5.833333335000001e+00, -8.333333334999999e-01
21, 0.000000000000000e+00, 1.666666667000000e-03, 1.333333333000000e-02, 1.155491223324779e+00, 1.130916433284902e+02, -3.836807010656201e-01, 1.640654421961953e+00, 2.402923897739769e+05, 0.000000000000000e+00, 6.666666665000000e+00, -8.333333334999999e-01
22, 0.000000000000000e+00, 1.666666667000000e-03, 1.500000000000000e-02, 1.153160335368754e+00, 1.131057915160249e+02, -1.546930317841692e+00, 1.430559542248721e+00, 2.399650530466968e+05, 0.000000000000000e+00, 7.500000000000000e+00, -8.333333334999999e-01
23, 0.000000000000000e+00, 1.666666667000000e-03, 1.666666667000000e-02, 1.150867939640964e+00, 1.123340374394933e+02, -2.631559446078818e+00, 8.068089804184527e-01, 2.395767473263700e+05, 0.000000000000000e+00, 8.333333335000001e+00, -8.333333334999999e-01
24, 0.000000000000000e+00, 1.666666667000000e-03, 1.833333333000000e-02, 1.149898481985633e+00, 1.110995288454753e+02, -3.573371912667505e+00, 4.550145141465549e-01, 2.394300920060048e+05, 0.000000000000000e+00, 9.166666664999999e+00, -8.333333334999999e-01
25, 0.000000000000000e+00, 1.666666667000000e-03, 2.000000000000000e-02, 1.140282750580419e+00, 1.048298685926059e+02, -4.695877942551736e+00, -9.502924265189723e-01, 2.386876960190155e+05, 0.000000000000000e+00, 1.000000000000000e+01, -8.333333334999999e-01
