"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.123445015944709e+00, 1.382627002745446e+02, 0.000000000000000e+00, 0.000000000000000e+00, 2.347276125097425e+05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1, 0.000000000000000e+00, 0.000000000000000e+00, 1.666666667000000e-03, 1.124856516530503e+00, 1.377308072526119e+02, 9.374014705958019e-01, -5.678967567292195e-01, 2.349658341273278e+05, 0.000000000000000e+00, 8.333333334999999e-01, 0.000000000000000e+00
2, 0.000000000000000e+00, 0.000000000000000e+00, 3.333333333000000e-03, 1.127089755443505e+00, 1.368593523166440e+02, 1.878523258756399e+00, -5.542491910154244e-01, 2.353261015995661e+05, 0.000000000000000e+00, 1.666666666500000e+00, 0.000000000000000e+00
3, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000000000e-03, 1.129837994949731e+00, 1.356888195882664e+02, 2.824651574881400e+00, -5.002574948855206e-01, 2.357658689844227e+05, 0.000000000000000e+00, 2.500000000000000e+00, 0.000000000000000e+00
4, 0.000000000000000e+00, 0.000000000000000e+00, 6.666666667000000e-03, 1.132724661236600e+00, 1.343820568909748e+02, 3.775813607306107e+00, -4.351655741765889e-01, 2.362034695420365e+05, 0.000000000000000e+00, 3.333333333500000e+00, 0.000000000000000e+00
5, 0.000000000000000e+00, 0.000000000000000e+00, 8.333333332999999e-03, 1.135812961227669e+00, 1.330467135919943e+02, 4.732612484284594e+00, -4.082051885286204e-01, 2.366507868833289e+05, 0.000000000000000e+00, 4.166666666499999e+00, 0.000000000000000e+00
6, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-02, 1.139112335998915e+00, 1.317275145191942e+02, 5.695584185583575e+00, -4.070408699757844e-01, 2.371040945971601e+05, 0.000000000000000e+00, 5.000000000000000e+00, 0.000000000000000e+00
7, 0.000000000000000e+00, 0.000000000000000e+00, 1.166666667000000e-02, 1.142731872309152e+00, 1.304974192800249e+02, 6.665880637097077e+00, -4.091156798693679e-01, 2.375757977725976e+05, 0.000000000000000e+00, 5.833333335000001e+00, 0.000000000000000e+00
8, 0.000000000000000e+00, 0.000000000000000e+00, 1.333333333000000e-02, 1.146623038324740e+00, 1.294794930289900e+02, 7.643965652346932e+00, -3.748397677630899e-01, 2.380714634691974e+05, 0.000000000000000e+00, 6.666666665000000e+00, 0.000000000000000e+00
9, 0.000000000000000e+00, 0.000000000000000e+00, 1.500000000000000e-02, 1.150939165121915e+00, 1.288834972477173e+02, 8.631715160879741e+00, -3.470173042765151e-01, 2.385856503123594e+05, 0.000000000000000e+00, 7.500000000000000e+00, 0.000000000000000e+00
