"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy"
0, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.126831511930428e+00, 1.327307636917236e+02, 0.000000000000000e+00, -9.196184740103884e-03, 2.352938006975064e+05
1, 0.000000000000000e+00, 0.000000000000000e+00, 1.666666667000000e-03, 1.127525654811616e+00, 1.341490940466329e+02, 0.000000000000000e+00, 1.202209165164289e-01, 2.354237326732628e+05
2, 0.000000000000000e+00, 0.000000000000000e+00, 3.333333333000000e-03, 1.127009553023688e+00, 1.337172199506356e+02, 0.000000000000000e+00, 6.557110845888155e-02, 2.353144438139347e+05
3, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000000000e-03, 1.127092635499264e+00, 1.337232122377107e+02, 0.000000000000000e+00, 2.899449097650077e-02, 2.353644783368830e+05
4, 0.000000000000000e+00, 0.000000000000000e+00, 6.666666667000000e-03, 1.127018186804226e+00, 1.336294258606794e+02, 0.000000000000000e+00, 5.268604803587007e-03, 2.353339535598865e+05
5, 0.000000000000000e+00, 0.000000000000000e+00, 8.333333332999999e-03, 1.127031572038131e+00, 1.335664651929455e+02, 0.000000000000000e+00, -9.574990751864507e-03, 2.353176640408067e+05
6, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-02, 1.127021009938917e+00, 1.336172271909842e+02, 0.000000000000000e+00, -1.516670208987609e-02, 2.353024488155885e+05
7, 0.000000000000000e+00, 0.000000000000000e+00, 1.166666667000000e-02, 1.127282657007489e+00, 1.337947634270197e+02, 0.000000000000000e+00, -1.612981263367088e-02, 2.353615552407806e+05
8, 0.000000000000000e+00, 0.000000000000000e+00, 1.333333333000000e-02, 1.127296165995961e+00, 1.337090993200135e+02, 0.000000000000000e+00, -1.705347435230538e-02, 2.353634397268305e+05
9, 0.000000000000000e+00, 0.000000000000000e+00, 1.500000000000000e-02, 1.127340941312413e+00, 1.338019777034135e+02, -3.663714889522530e-14, -2.378559707925258e-02, 2.353847454225354e+05
10, 0.000000000000000e+00, 0.000000000000000e+00, 1.666666667000000e-02, 1.127424781189631e+00, 1.338940703315023e+02, -3.662748023876431e-14, -5.433094910975725e-02, 2.353994661542467e+05
11, 0.000000000000000e+00, 0.000000000000000e+00, 1.833333333000000e-02, 1.127643644140996e+00, 1.341871100638438e+02, 0.000000000000000e+00, -8.149152316756920e-02, 2.354509987153422e+05
12, 0.000000000000000e+00, 0.000000000000000e+00, 2.000000000000000e-02, 1.126831511930428e+00, 1.327307636917236e+02, 0.000000000000000e+00, -9.196184740103884e-03, 2.352938006975064e+05
13, 0.000000000000000e+00, 1.666666667000000e-03, 0.000000000000000e+00, 1.127138928352760e+00, 1.329214211863716e+02, -1.655217565549333e-02, 2.304989538566996e-03, 2.353643513124361e+05
