"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy"
0, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.127312105394194e+00, 1.328143060752511e+02, 0.000000000000000e+00, -3.526949659886857e-02, 2.353994653771113e+05
1, 0.000000000000000e+00, 0.000000000000000e+00, 1.666666667000000e-03, 1.127731470972079e+00, 1.342262875175623e+02, 0.000000000000000e+00, 1.033615612837008e-01, 2.354638291449630e+05
2, 0.000000000000000e+00, 0.000000000000000e+00, 3.333333333000000e-03, 1.127414146708797e+00, 1.338110790586822e+02, 0.000000000000000e+00, 7.242178788229216e-02, 2.353868438964769e+05
3, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000000000e-03, 1.127360274909063e+00, 1.337279776948422e+02, 0.000000000000000e+00, 3.847443944173910e-02, 2.353970008384907e+05
4, 0.000000000000000e+00, 0.000000000000000e+00, 6.666666667000000e-03, 1.127313186538741e+00, 1.336410162982214e+02, 0.000000000000000e+00, 1.309244950488916e-02, 2.353675181045416e+05
5, 0.000000000000000e+00, 0.000000000000000e+00, 8.333333332999999e-03, 1.126930279105844e+00, 1.334564216938118e+02, 0.000000000000000e+00, -1.328538939325278e-02, 2.353021803809581e+05
6, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-02, 1.127300235056135e+00, 1.336836859503402e+02, 0.000000000000000e+00, -1.723831598621497e-02, 2.353920253982262e+05
7, 0.000000000000000e+00, 0.000000000000000e+00, 1.166666667000000e-02, 1.127421737435458e+00, 1.337996686104487e+02, 0.000000000000000e+00, -1.235637380866557e-02, 2.353830008787663e+05
8, 0.000000000000000e+00, 0.000000000000000e+00, 1.333333333000000e-02, 1.127547548109654e+00, 1.339112525777749e+02, 0.000000000000000e+00, -7.986305076335801e-03, 2.354149520977121e+05
9, 0.000000000000000e+00, 0.000000000000000e+00, 1.500000000000000e-02, 1.127054938491830e+00, 1.337417644571553e+02, -3.663210939064414e-14, -1.518059164015384e-02, 2.353778294946202e+05
10, 0.000000000000000e+00, 0.000000000000000e+00, 1.666666667000000e-02, 1.127592181627318e+00, 1.340231019653252e+02, -3.663295608931765e-14, -4.636598084812853e-02, 2.354367694863244e+05
11, 0.000000000000000e+00, 0.000000000000000e+00, 1.833333333000000e-02, 1.127654411257671e+00, 1.341086417766552e+02, 0.000000000000000e+00, -1.050325114869311e-01, 2.354531769265128e+05
12, 0.000000000000000e+00, 0.000000000000000e+00, 2.000000000000000e-02, 1.127312105394194e+00, 1.328143060752511e+02, 0.000000000000000e+00, -3.526949659886857e-02, 2.353994653771113e+05
13, 0.000000000000000e+00, 1.666666667000000e-03, 0.000000000000000e+00, 1.126982306311752e+00, 1.327349104165078e+02, 1.359334654657009e-02, -2.718718636452350e-02, 2.353150644616109e+05
14, 0.000000000000000e+00, 1.666666667000000e-03, 1.666666667000000e-03, 1.127695829293945e+00, 1.341956315703763e+02, 2.757761738460208e-02, 1.133884536551305e-01, 2.354593727835921e+05
15, 0.000000000000000e+00, 1.666666667000000e-03, 3.333333333000000e-03, 1.127460903277857e+00, 1.338888503465095e+02, 1.533750697188662e-03, 6.299399054637710e-02, 2.354212972836588e+05
16, 0.000000000000000e+00, 1.666666667000000e-03, 5.000000000000000e-03, 1.127094797618378e+00, 1.336403738298053e+02, -1.225295142518493e-02, 2.101880510984777e-02, 2.353235029371254e+05
17, 0.000000000000000e+00, 1.666666667000000e-03, 6.666666667000000e-03, 1.127312868686022e+00, 1.336728842755382e+02, -1.299707353359903e-02, -3.831988081278253e-03, 2.353839158158932e+05
18, 0.000000000000000e+00, 1.666666667000000e-03, 8.333333332999999e-03, 1.127325858932296e+00, 1.337296616758275e+02, -1.571510800408597e-02, -2.037722812199201e-02, 2.353602473976652e+05
19, 0.000000000000000e+00, 1.666666667000000e-03, 1.000000000000000e-02, 1.127509865818064e+00, 1.339261408208149e+02, -6.952942819535053e-03, 3.146681235432463e-03, 2.353997798658253e+05
20, 0.000000000000000e+00, 1.666666667000000e-03, 1.166666667000000e-02, 1.127181564722594e+00, 1.336419598372177e+02, 1.126687075624820e-03, 1.363389994844886e-02, 2.353261733783943e+05
