"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, -2.521296116000000e-02, 4.913112014000000e-03, -1.386267187000000e-02, 1.159513682215530e+00, 1.064446919794855e+02, -1.107859881398166e+00, -5.967687603909384e-01, 2.408422490196829e+05, 0.000000000000000e+00, 1.052479306158547e+02, 3.730124157929695e+01
1, -2.521296116000000e-02, 5.038867655000000e-03, -1.381745830000000e-02, 1.156888636390956e+00, 1.059451176818407e+02, 1.213179510013542e-01, -1.308134101686200e+00, 2.406311181216449e+05, 0.000000000000000e+00, 1.049046609545023e+02, 3.825600131844674e+01
2, -2.521296116000000e-02, 5.225741463000000e-03, -1.374787137000000e-02, 1.157945469052717e+00, 1.055842548038548e+02, 3.625721064533837e-01, -1.360449652346089e+00, 2.408012978706926e+05, 0.000000000000000e+00, 1.043763443032036e+02, 3.967478131719056e+01
3, -2.521296116000000e-02, 5.494725896000000e-03, -1.364259244000000e-02, 1.158467304168640e+00, 1.054019930959457e+02, 6.694105222687050e-01, -1.370416298297100e+00, 2.409500485658451e+05, 0.000000000000000e+00, 1.035770474848226e+02, 4.171696014149025e+01
4, -2.521296116000000e-02, 5.864541816000000e-03, -1.348775335000000e-02, 1.158767210452379e+00, 1.054289809650167e+02, 7.998094353253407e-01, -1.379369624271622e+00, 2.410381461430655e+05, 0.000000000000000e+00, 1.024014809018604e+02, 4.452466998659088e+01
5, -2.521296116000000e-02, 6.341911768000000e-03, -1.326998478000000e-02, 1.158918169098130e+00, 1.055249218627517e+02, 7.343351642714626e-01, -1.332551621389584e+00, 2.410993609346309e+05, 0.000000000000000e+00, 1.007481422409869e+02, 4.814894963898013e+01
6, -2.521296116000000e-02, 6.909906270000000e-03, -1.298327911000000e-02, 1.158850556122974e+00, 1.055832352003744e+02, 4.809162669268862e-01, -1.198097030748186e+00, 2.410841319871649e+05, 0.000000000000000e+00, 9.857142055657386e+01, 5.246126738676239e+01
7, -2.521296116000000e-02, 7.523181064000000e-03, -1.263780391000000e-02, 1.158538142798812e+00, 1.054614366906379e+02, 1.454516972270625e-01, -9.835964100587209e-01, 2.409886304929334e+05, 0.000000000000000e+00, 9.594850989259241e+01, 5.711736136147786e+01
8, -2.521296116000000e-02, 8.119224162000000e-03, -1.226338208000000e-02, 1.158147890095082e+00, 1.052418637184001e+02, -9.930811816934786e-02, -7.302714647986086e-01, 2.408614322723615e+05, 0.000000000000000e+00, 9.310583113957497e+01, 6.164262916054631e+01
9, -2.521296116000000e-02, 8.642019872999999e-03, -1.190074929000000e-02, 1.157947244895463e+00, 1.050860979308378e+02, -1.480850221926560e-01, -4.975653279609636e-01, 2.407841686440262e+05, 0.000000000000000e+00, 9.035265692620064e+01, 6.561178945183686e+01
10, -2.521296116000000e-02, 9.061014648000000e-03, -1.158491927000000e-02, 1.157888172551711e+00, 1.051141195419792e+02, -2.749866938842205e-02, -3.354366225639083e-01, 2.407577972723013e+05, 0.000000000000000e+00, 8.795481787013100e+01, 6.879287412448487e+01
11, -2.521296116000000e-02, 9.373419342000000e-03, -1.133363803000000e-02, 1.157926101364016e+00, 1.051792620210575e+02, 1.524373748468277e-01, -2.745425486782375e-01, 2.407671897265008e+05, 0.000000000000000e+00, 8.604704491260908e+01, 7.116470748146811e+01
12, -2.521296116000000e-02, 9.594191102999999e-03, -1.114736911000000e-02, 1.157998439649503e+00, 1.052152314294919e+02, 3.416411107447813e-01, -2.730588964762513e-01, 2.407926988169338e+05, 0.000000000000000e+00, 8.463285733377184e+01, 7.284084691559497e+01
