"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 7.160298983597206e+00, 0.000000000000000e+00, 0.000000000000000e+00, -2.099733409073095e+02, 3.573922072548734e+05, 0.000000000000000e+00, 0.000000000000000e+00, -2.940000000000000e+01
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 1.130387039666552e+00, 0.000000000000000e+00, 2.176441935980063e+00, -3.320608710953401e+01, 2.262962396953827e+05, 0.000000000000000e+00, 1.922851999400000e+00, -2.933705234000000e+01
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 1.048141759681064e+00, 0.000000000000000e+00, 4.025685993606696e+00, -3.057812093205204e+01, 2.103086312703156e+05, 0.000000000000000e+00, 3.837470052000000e+00, -2.914847892000000e+01
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.049784386764441e+00, 0.000000000000000e+00, 6.027016238203041e+00, -3.029985674611677e+01, 2.107717534421717e+05, 0.000000000000000e+00, 5.735655468000000e+00, -2.883508724000000e+01
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 1.053469610812864e+00, 0.000000000000000e+00, 8.026002700804955e+00, -2.995344986863497e+01, 2.132883606147320e+05, 0.000000000000000e+00, 7.609279926000000e+00, -2.839821930000000e+01
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 1.027010660761593e+00, 0.000000000000000e+00, 9.729074642384631e+00, -2.866092967096921e+01, 2.158416056520187e+05, 0.000000000000000e+00, 9.450320280000000e+00, -2.783974580000000e+01
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 9.242595667573609e-01, 0.000000000000000e+00, 1.044438339370315e+01, -2.521497204252668e+01, 2.182868197259174e+05, 0.000000000000000e+00, 1.125089291200000e+01, -2.716205826000000e+01
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 7.628090985610633e-01, 0.000000000000000e+00, 9.974740823601254e+00, -2.022677347696452e+01, 2.208233894595542e+05, 0.000000000000000e+00, 1.300328749200000e+01, -2.636805860000000e+01
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 5.995436882552152e-01, 0.000000000000000e+00, 8.864551981655433e+00, -1.535385442383157e+01, 2.228836206423335e+05, 0.000000000000000e+00, 1.470000000000000e+01, -2.546114688000000e+01
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 4.604879892515227e-01, 0.000000000000000e+00, 7.565157456727102e+00, -1.132205824496271e+01, 2.238558718179255e+05, 0.000000000000000e+00, 1.633376485000000e+01, -2.444520660000000e+01
