"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy"
0, -2.521296116000000e-02, 1.470756068000000e-02, 0.000000000000000e+00, 1.195181207952144e+00, -3.505220544201509e+00, -1.384645754943359e-01, -3.047710418561170e+01, 2.469415918196968e+05
1, -2.521296116000000e-02, 1.470695355000000e-02, 1.336352487000000e-04, 1.189826751559801e+00, -2.111774542210116e+00, 2.666105201509094e-01, -2.354624984162233e+01, 2.460873003841535e+05
2, -2.521296116000000e-02, 1.470378995000000e-02, 3.330196821000000e-04, 1.190700814005899e+00, -2.310528901090321e+00, 6.188141417578269e-01, -2.408662866017745e+01, 2.465377884676390e+05
3, -2.521296116000000e-02, 1.469441405000000e-02, 6.217208623000000e-04, 1.186395922659329e+00, -9.956075396861279e-01, 8.853014548188411e-01, -1.919242687151661e+01, 2.463874875386353e+05
4, -2.521296116000000e-02, 1.467200813000000e-02, 1.022016919000000e-03, 1.183239077341163e+00, -2.713497798989981e+00, 1.330000058528584e+00, -1.800031294737367e+01, 2.466636441834334e+05
5, -2.521296116000000e-02, 1.462621657000000e-02, 1.544710282000000e-03, 1.175360369339086e+00, -3.014052311937323e+00, 1.459706861135222e+00, -1.333679849042286e+01, 2.465565536990526e+05
6, -2.521296116000000e-02, 1.454572150000000e-02, 2.175850871000000e-03, 1.169581487085761e+00, -3.149331901943140e+00, 1.633056665801883e+00, -1.074809146823391e+01, 2.466229316275158e+05
7, -2.521296116000000e-02, 1.442495902000000e-02, 2.869302748000000e-03, 1.162364734179038e+00, -4.212448314273463e+00, 6.702235119528146e-01, -3.369441143008997e+00, 2.466990002585433e+05
8, -2.521296116000000e-02, 1.427115646000000e-02, 3.556182545000000e-03, 1.163359872973649e+00, -3.092697865979152e+00, -1.331553821155005e+00, 5.396469770416052e+00, 2.467358422794048e+05
9, -2.521296116000000e-02, 1.410399716000000e-02, 4.170084547000000e-03, 1.167153371045818e+00, -1.023510450535889e+00, -3.884022069175050e+00, 1.332213175690431e+01, 2.466802368915366e+05
10, -2.521296116000000e-02, 1.394627695000000e-02, 4.670513916000000e-03, 1.172162864892311e+00, 6.842116783888679e-01, -6.272332286877488e+00, 1.899443262174304e+01, 2.466477004185870e+05
11, -2.521296116000000e-02, 1.381379065000000e-02, 5.048913625000000e-03, 1.177609271735427e+00, 1.384906264429265e+00, -8.200372637939539e+00, 2.270408743982306e+01, 2.466435782757916e+05
12, -2.521296116000000e-02, 1.371197170000000e-02, 5.319226739000000e-03, 1.182527296746696e+00, 8.339565550145507e-01, -9.341570815234707e+00, 2.429970863662182e+01, 2.466326929840201e+05
13, -2.521296116000000e-02, 1.363859336000000e-02, 5.504644592000000e-03, 1.186578981185757e+00, -4.315752633919241e-01, -9.972982159237537e+00, 2.486966131203157e+01, 2.466491937264999e+05
14, -2.521296116000000e-02, 1.358801428000000e-02, 5.628339801000000e-03, 1.189197793183011e+00, -1.759244583927136e+00, -1.030041780170141e+01, 2.486740865535158e+01, 2.466194624812197e+05
15, -2.521296116000000e-02, 1.353631337000000e-02, 5.751570334000000e-03, 1.191448453733668e+00, -2.707022961608927e+00, -1.070466192681208e+01, 2.503770913023698e+01, 2.466596055080442e+05
