"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, -2.521296116000000e-02, 4.913112014000000e-03, -1.386267187000000e-02, 1.184905908086465e+00, 1.460025262589127e+02, -2.232143250294799e+00, 1.805818003423231e+00, 2.434904115891598e+05, 0.000000000000000e+00, -1.052479306158547e+02, -3.730124157929695e+01
1, -2.521296116000000e-02, 5.038867655000000e-03, -1.381745830000000e-02, 1.199906405968858e+00, 1.496269818389692e+02, -1.629928522009931e+00, 2.721570945961306e+00, 2.431345543919239e+05, 0.000000000000000e+00, -1.049046609545023e+02, -3.825600131844674e+01
2, -2.521296116000000e-02, 5.225741463000000e-03, -1.374787137000000e-02, 1.201489940485276e+00, 1.483856725405627e+02, -2.316268690547281e+00, 2.512547593075359e+00, 2.430216880182247e+05, 0.000000000000000e+00, -1.043763443032036e+02, -3.967478131719056e+01
3, -2.521296116000000e-02, 5.494725896000000e-03, -1.364259244000000e-02, 1.207262132245161e+00, 1.495967835268010e+02, -2.286777178262366e+00, 2.595710465820833e+00, 2.432844173406345e+05, 0.000000000000000e+00, -1.035770474848226e+02, -4.171696014149025e+01
4, -2.521296116000000e-02, 5.864541816000000e-03, -1.348775335000000e-02, 1.212464798499876e+00, 1.507485524075634e+02, -2.283390239126906e+00, 2.624884510702517e+00, 2.435698051026907e+05, 0.000000000000000e+00, -1.024014809018604e+02, -4.452466998659088e+01
5, -2.521296116000000e-02, 6.341911768000000e-03, -1.326998478000000e-02, 1.216897403640806e+00, 1.516063124729295e+02, -2.232819606163010e+00, 2.586595150310809e+00, 2.438678465768058e+05, 0.000000000000000e+00, -1.007481422409869e+02, -4.814894963898013e+01
6, -2.521296116000000e-02, 6.909906270000000e-03, -1.298327911000000e-02, 1.219772005202423e+00, 1.520432696942810e+02, -2.014659557386536e+00, 2.521990161600000e+00, 2.441323069821990e+05, 0.000000000000000e+00, -9.857142055657386e+01, -5.246126738676239e+01
7, -2.521296116000000e-02, 7.523181064000000e-03, -1.263780391000000e-02, 1.219794700460631e+00, 1.519524854906912e+02, -1.432394832814733e+00, 2.603682470755428e+00, 2.443173469780735e+05, 0.000000000000000e+00, -9.594850989259241e+01, -5.711736136147786e+01
8, -2.521296116000000e-02, 8.119224162000000e-03, -1.226338208000000e-02, 1.211069610620780e+00, 1.477840059194979e+02, -1.046780404275167e+00, 2.564952008715267e+00, 2.437881546280596e+05, 0.000000000000000e+00, -9.310583113957497e+01, -6.164262916054631e+01
9, -2.521296116000000e-02, 8.642019872999999e-03, -1.190074929000000e-02, 1.196320419522260e+00, 1.409290806977282e+02, -1.292232403922939e+00, 2.149785558177836e+00, 2.428689587028551e+05, 0.000000000000000e+00, -9.035265692620064e+01, -6.561178945183686e+01
10, -2.521296116000000e-02, 9.061014648000000e-03, -1.158491927000000e-02, 1.183210020117473e+00, 1.374699165261652e+02, -1.651230215614349e+00, 1.771099509014449e+00, 2.424334179274760e+05, 0.000000000000000e+00, -8.795481787013100e+01, -6.879287412448487e+01
11, -2.521296116000000e-02, 9.373419342000000e-03, -1.133363803000000e-02, 1.177523845009632e+00, 1.382092086455298e+02, -1.840824137694339e+00, 1.654681935760783e+00, 2.425107964642217e+05, 0.000000000000000e+00, -8.604704491260908e+01, -7.116470748146811e+01
12, -2.521296116000000e-02, 9.594191102999999e-03, -1.114736911000000e-02, 1.180517937839450e+00, 1.415526416057191e+02, -1.859552545087452e+00, 1.765345286681265e+00, 2.429223035574463e+05, 0.000000000000000e+00, -8.463285733377184e+01, -7.284084691559497e+01
13, -2.521296116000000e-02, 9.744445175000000e-03, -1.101626658000000e-02, 1.187719580389671e+00, 1.446647169781701e+02, -1.844731856903941e+00, 1.920222336426771e+00, 2.432526490505913e+05, 0.000000000000000e+00, -8.363750303913088e+01, -7.398160320651088e+01
14, -2.521296116000000e-02, 9.844138484000000e-03, -1.092727224000000e-02, 1.195187685542414e+00, 1.473123278668427e+02, -1.883820106359127e+00, 2.202688292338525e+00, 2.435058879974408e+05, 0.000000000000000e+00, -8.296184179508214e+01, -7.473849297255978e+01
15, -2.521296116000000e-02, 9.943019060999999e-03, -1.083737574000000e-02, 1.200092658205620e+00, 1.490147316033708e+02, -2.272724337944168e+00, 2.145161184964417e+00, 2.434957951404792e+05, 0.000000000000000e+00, -8.227933118793983e+01, -7.548921232918491e+01
16, -2.521296116000000e-02, 1.008903818000000e-02, -1.070157229000000e-02, 1.204264959581005e+00, 1.495801225882267e+02, -2.620556523372124e+00, 1.921583396383844e+00, 2.435507842999654e+05, 0.000000000000000e+00, -8.124828665215124e+01, -7.659781608531641e+01
17, -2.521296116000000e-02, 1.029725889000000e-02, -1.050137136000000e-02, 1.208996892529680e+00, 1.512801795927358e+02, -2.790523527183512e+00, 1.863497698847799e+00, 2.436862459581416e+05, 0.000000000000000e+00, -7.972832471498178e+01, -7.817866565344976e+01
18, -2.521296116000000e-02, 1.057966990000000e-02, -1.021679626000000e-02, 1.213506163285936e+00, 1.511495002505275e+02, -3.128623659934413e+00, 1.542295265834112e+00, 2.437849214186997e+05, 0.000000000000000e+00, -7.756777870619857e+01, -8.032278149665578e+01
19, -2.521296116000000e-02, 1.093736580000000e-02, -9.832922775000001e-03, 1.217315977440291e+00, 1.514178104010736e+02, -3.111035175531922e+00, 1.467247571867041e+00, 2.439480742416000e+05, 0.000000000000000e+00, -7.465334126632962e+01, -8.303847394164876e+01
