"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 1.131159728189191e+00, 1.290137823700268e+02, 3.977322076560989e+00, -4.749807272159874e+00, 2.361929492841045e+05, 0.000000000000000e+00, 0.000000000000000e+00, -1.116050783400000e+02
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 1.127122014413187e+00, 1.343944350025370e+02, 6.058442528899374e-02, -9.243418432197029e-01, 2.352616662466385e+05, 0.000000000000000e+00, 7.299321361539546e+00, -1.113661232881082e+02
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 1.127466264998658e+00, 1.362742142393622e+02, -9.166378758210580e-03, 6.962546518539324e-02, 2.355037144665883e+05, 0.000000000000000e+00, 1.456738591091374e+01, -1.106502814067496e+02
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.127367226874422e+00, 1.364948481261052e+02, -4.135266436759157e-02, 2.078957836999893e-01, 2.354879243875506e+05, 0.000000000000000e+00, 2.177307067474113e+01, -1.094606180394876e+02
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 1.126907767674173e+00, 1.361128230122338e+02, -5.446281712892152e-02, 2.032575455302780e-01, 2.353690850496702e+05, 0.000000000000000e+00, 2.888551980449726e+01, -1.078022275405782e+02
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 1.126909670707761e+00, 1.355982774884406e+02, -4.318168213299718e-02, 1.272088980432408e-01, 2.353501458514071e+05, 0.000000000000000e+00, 3.587427670705751e+01, -1.056822112576424e+02
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 1.127210272367112e+00, 1.350600759571683e+02, -8.637345507433572e-03, 2.085284789794466e-02, 2.353940305309102e+05, 0.000000000000000e+00, 4.270941445029629e+01, -1.031096476184675e+02
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 1.127729066629404e+00, 1.345373164043149e+02, 1.670651967379224e-02, -3.387718197264082e-02, 2.354797166552522e+05, 0.000000000000000e+00, 4.936166391912252e+01, -1.000955525757385e+02
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 1.128465747807740e+00, 1.339559886266220e+02, 3.896723986273117e-02, -6.749332368310490e-02, 2.356094953640920e+05, 0.000000000000000e+00, 5.580253917000000e+01, -9.665283306696077e+01
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 1.129534628658810e+00, 1.330940942328739e+02, 8.955590657291780e-02, -1.340305632521589e-01, 2.357972603890352e+05, 0.000000000000000e+00, 6.200445937657784e+01, -9.279623121192127e+01
