"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 1.128165140745252e+00, 1.314591661828298e+02, 3.949897523085483e+00, -5.254878866497570e+00, 2.356882315739526e+05, 0.000000000000000e+00, 0.000000000000000e+00, -1.116050783400000e+02
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 1.124798873061775e+00, 1.343023711180052e+02, 1.253825988954750e-01, -1.912970905761274e+00, 2.348021680817832e+05, 0.000000000000000e+00, 7.299321361539546e+00, -1.113661232881082e+02
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 1.125629285861246e+00, 1.354869715375675e+02, 1.328662524107906e-01, -1.009219475826050e+00, 2.350667747150953e+05, 0.000000000000000e+00, 1.456738591091374e+01, -1.106502814067496e+02
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.126081090937456e+00, 1.358798679185596e+02, 1.117827938139323e-01, -5.619681666431469e-01, 2.351993517588586e+05, 0.000000000000000e+00, 2.177307067474113e+01, -1.094606180394876e+02
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 1.126421612691045e+00, 1.359260468659801e+02, 9.522075045384253e-02, -3.553691316072746e-01, 2.352842086967923e+05, 0.000000000000000e+00, 2.888551980449726e+01, -1.078022275405782e+02
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 1.126765547409567e+00, 1.357828471278894e+02, 9.324789783370724e-02, -2.746996834208200e-01, 2.353562396300249e+05, 0.000000000000000e+00, 3.587427670705751e+01, -1.056822112576424e+02
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 1.127166747234914e+00, 1.355089726004603e+02, 1.085334135220232e-01, -2.620223888062127e-01, 2.354316764311727e+05, 0.000000000000000e+00, 4.270941445029629e+01, -1.031096476184675e+02
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 1.127665134632211e+00, 1.351181729608222e+02, 1.442671083279866e-01, -2.925444680357547e-01, 2.355211868273215e+05, 0.000000000000000e+00, 4.936166391912252e+01, -1.000955525757385e+02
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 1.128310573457794e+00, 1.345950061999827e+02, 2.095728238344788e-01, -3.629908630392165e-01, 2.356360929385188e+05, 0.000000000000000e+00, 5.580253917000000e+01, -9.665283306696077e+01
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 1.129185068843202e+00, 1.338962259713967e+02, 3.279333652580447e-01, -4.907876390919198e-01, 2.357939527491603e+05, 0.000000000000000e+00, 6.200445937657784e+01, -9.279623121192127e+01
10, -2.500000000000000e-02, 1.166229410000000e-02, 8.948793005999999e-03, 1.130440305081329e+00, 1.329431890845403e+02, 5.583155293023588e-01, -7.276108449312909e-01, 2.360280977752019e+05, 0.000000000000000e+00, 6.794086697163769e+01, -8.854226167718502e+01
11, -2.500000000000000e-02, 1.105204517000000e-02, 9.692383482000000e-03, 1.132374353329381e+00, 1.316085868877782e+02, 1.054720778288281e+00, -1.202678828762399e+00, 2.364091099806184e+05, 0.000000000000000e+00, 7.358634134761442e+01, -8.390914061326998e+01
12, -2.500000000000000e-02, 1.039446968000000e-02, 1.039446968000000e-02, 1.128165140745252e+00, 1.314591661828298e+02, 6.508759804380003e+00, -9.227611572486182e-01, 2.356882315739526e+05, 0.000000000000000e+00, 7.891670768293571e+01, -7.891670768293571e+01
13, -2.500000000000000e-02, 1.697500000000000e-02, 0.000000000000000e+00, 1.129822704070193e+00, 1.333798466690334e+02, 7.356694561051158e-01, 2.190453700566412e-03, 2.359116007609390e+05, 0.000000000000000e+00, 0.000000000000000e+00, -1.288772928450000e+02
14, -2.500000000000000e-02, 1.693865522000000e-02, 1.110218119000000e-03, 1.128452466397348e+00, 1.339001293425239e+02, 2.037221078904008e-02, 2.208373561051848e-01, 2.355935249520025e+05, 0.000000000000000e+00, 8.428978241189283e+00, -1.286013566532211e+02
15, -2.500000000000000e-02, 1.682977652000000e-02, 2.215682113000000e-03, 1.128301763503631e+00, 1.341632393272745e+02, -1.388820382626303e-01, 1.101325715160909e-01, 2.355822962354594e+05, 0.000000000000000e+00, 1.682186229917699e+01, -1.277747297251219e+02
16, -2.500000000000000e-02, 1.664883013000000e-02, 3.311658216000000e-03, 1.128242742487942e+00, 1.342641221624125e+02, -1.589413086548098e-01, 3.512314961344016e-02, 2.355776308626617e+05, 0.000000000000000e+00, 2.514271255999896e+01, -1.264009517638097e+02
