"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 1.132899479641371e+00, 1.281880624145479e+02, 3.955308878913388e+00, -5.616248567559364e+00, 2.364642447774471e+05, 0.000000000000000e+00, 0.000000000000000e+00, -1.116050783400000e+02
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 1.125536018558245e+00, 1.359949528049984e+02, -1.416328448754421e-02, 2.160878117673808e-01, 2.350334542300162e+05, 0.000000000000000e+00, 7.299321361539546e+00, -1.113661232881082e+02
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 1.127096015512325e+00, 1.368123015727573e+02, -1.300644672711674e-01, 9.879376172552266e-01, 2.354411865926045e+05, 0.000000000000000e+00, 1.456738591091374e+01, -1.106502814067496e+02
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.126179528323715e+00, 1.367459690294893e+02, -2.067300285634125e-01, 1.039303948391460e+00, 2.352383161792347e+05, 0.000000000000000e+00, 2.177307067474113e+01, -1.094606180394876e+02
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 1.125995236727831e+00, 1.360268401529075e+02, -1.352522126379937e-01, 5.047676735997219e-01, 2.351747892998000e+05, 0.000000000000000e+00, 2.888551980449726e+01, -1.078022275405782e+02
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 1.126465897863904e+00, 1.352450158565051e+02, -4.547259012769764e-02, 1.339576954472937e-01, 2.352422073070398e+05, 0.000000000000000e+00, 3.587427670705751e+01, -1.056822112576424e+02
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 1.126804928854138e+00, 1.348236679591041e+02, 5.229471965683393e-02, -1.262501709541748e-01, 2.353045938247310e+05, 0.000000000000000e+00, 4.270941445029629e+01, -1.031096476184675e+02
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 1.128162938825394e+00, 1.339812990160868e+02, 4.707599212954543e-02, -9.546038010248015e-02, 2.355532045000342e+05, 0.000000000000000e+00, 4.936166391912252e+01, -1.000955525757385e+02
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 1.128245540197302e+00, 1.338160557648294e+02, 1.085109045484842e-01, -1.879464841952465e-01, 2.355759893107385e+05, 0.000000000000000e+00, 5.580253917000000e+01, -9.665283306696077e+01
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 1.130830645659382e+00, 1.322669334769438e+02, -2.494315934220846e-02, 3.732939672358204e-02, 2.360423781703519e+05, 0.000000000000000e+00, 6.200445937657784e+01, -9.279623121192127e+01
10, -2.500000000000000e-02, 1.166229410000000e-02, 8.948793005999999e-03, 1.129830274282719e+00, 1.321877871275354e+02, 3.925444954735480e-01, -5.115738274029373e-01, 2.358817219345970e+05, 0.000000000000000e+00, 6.794086697163769e+01, -8.854226167718502e+01
11, -2.500000000000000e-02, 1.105204517000000e-02, 9.692383482000000e-03, 1.137975680543247e+00, 1.273106840056408e+02, 2.507214481064275e-01, -2.858933043360788e-01, 2.374022047473847e+05, 0.000000000000000e+00, 7.358634134761442e+01, -8.390914061326998e+01
