"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 1.131558806178455e+00, 1.295045760520468e+02, 3.981068862773290e+00, -4.679794452196298e+00, 2.363509862030002e+05, 0.000000000000000e+00, 0.000000000000000e+00, -1.116050783400000e+02
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 1.126909712555423e+00, 1.344777271775768e+02, 5.289084378730901e-02, -8.069604741986104e-01, 2.352093118223414e+05, 0.000000000000000e+00, 7.299321361539546e+00, -1.113661232881082e+02
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 1.127362505601910e+00, 1.362890299977139e+02, -8.971069435476559e-03, 6.814194360436154e-02, 2.354868577775832e+05, 0.000000000000000e+00, 1.456738591091374e+01, -1.106502814067496e+02
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.127318250327698e+00, 1.365015545735664e+02, -4.081232122938431e-02, 2.051792951776266e-01, 2.354815628127728e+05, 0.000000000000000e+00, 2.177307067474113e+01, -1.094606180394876e+02
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 1.126846000047924e+00, 1.360894783633815e+02, -5.398486304078288e-02, 2.014737966209786e-01, 2.353533070895734e+05, 0.000000000000000e+00, 2.888551980449726e+01, -1.078022275405782e+02
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 1.126867372270702e+00, 1.355538416577499e+02, -4.203568187401633e-02, 1.238328901615642e-01, 2.353336453910749e+05, 0.000000000000000e+00, 3.587427670705751e+01, -1.056822112576424e+02
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 1.127184033012039e+00, 1.350069377764446e+02, -6.944880829623640e-03, 1.676687669189750e-02, 2.353796102213365e+05, 0.000000000000000e+00, 4.270941445029629e+01, -1.031096476184675e+02
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 1.127709394252055e+00, 1.344672181046832e+02, 1.807986115955609e-02, -3.666204302858488e-02, 2.354652221453819e+05, 0.000000000000000e+00, 4.936166391912252e+01, -1.000955525757385e+02
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 1.128460676258695e+00, 1.338629193136723e+02, 4.194313005583069e-02, -7.264771669261538e-02, 2.355967834861912e+05, 0.000000000000000e+00, 5.580253917000000e+01, -9.665283306696077e+01
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 1.129558293597119e+00, 1.329683844527158e+02, 9.742951663684520e-02, -1.458142533838338e-01, 2.357889341567129e+05, 0.000000000000000e+00, 6.200445937657784e+01, -9.279623121192127e+01
