"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 1.107169673923438e+00, -4.657657790876044e-14, 8.784686675754583e-15, -3.255082714330285e+01, 2.294577484996514e+05, 0.000000000000000e+00, 0.000000000000000e+00, -2.940000000000000e+01
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 1.107066602395862e+00, 0.000000000000000e+00, 2.175018121050356e+00, -3.318436387945718e+01, 2.294397790671369e+05, 0.000000000000000e+00, 1.922851999400000e+00, -2.933705234000000e+01
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 1.106979070868534e+00, 0.000000000000000e+00, 4.397671418171596e+00, -3.340363074874577e+01, 2.294229078790128e+05, 0.000000000000000e+00, 3.837470052000000e+00, -2.914847892000000e+01
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.106628981247533e+00, 0.000000000000000e+00, 6.603904463402434e+00, -3.320006972229331e+01, 2.293511413975175e+05, 0.000000000000000e+00, 5.735655468000000e+00, -2.883508724000000e+01
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 1.106664024946012e+00, 0.000000000000000e+00, 8.807912574286412e+00, -3.287157723874060e+01, 2.293622422072946e+05, 0.000000000000000e+00, 7.609279926000000e+00, -2.839821930000000e+01
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 1.106516394795027e+00, 0.000000000000000e+00, 1.094161220443996e+01, -3.223295013945729e+01, 2.293316002109306e+05, 0.000000000000000e+00, 9.450320280000000e+00, -2.783974580000000e+01
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 1.106486319275953e+00, 0.000000000000000e+00, 1.305022299981606e+01, -3.150602536731205e+01, 2.293266185678489e+05, 0.000000000000000e+00, 1.125089291200000e+01, -2.716205826000000e+01
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 1.106454559569896e+00, 0.000000000000000e+00, 1.505442964526573e+01, -3.052736343521858e+01, 2.293175242429086e+05, 0.000000000000000e+00, 1.300328749200000e+01, -2.636805860000000e+01
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 1.106317355562629e+00, 0.000000000000000e+00, 1.700777376875699e+01, -2.945832830023480e+01, 2.292878143482489e+05, 0.000000000000000e+00, 1.470000000000000e+01, -2.546114688000000e+01
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 1.106326123479553e+00, 0.000000000000000e+00, 1.880349381638409e+01, -2.814141719613368e+01, 2.292850602326036e+05, 0.000000000000000e+00, 1.633376485000000e+01, -2.444520660000000e+01
