"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 1.098296455272065e+00, 0.000000000000000e+00, -2.220455563293557e+00, -1.001104135087935e+02, 2.310205768520008e+05, 0.000000000000000e+00, 0.000000000000000e+00, -2.940000000000000e+01
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 1.092625590548549e+00, 0.000000000000000e+00, 5.905038413821543e+00, -9.009347529473750e+01, 2.285173254897524e+05, 0.000000000000000e+00, 1.922851999400000e+00, -2.933705234000000e+01
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 1.098327825671647e+00, 0.000000000000000e+00, 1.195385592315083e+01, -9.079855021599300e+01, 2.300758555550308e+05, 0.000000000000000e+00, 3.837470052000000e+00, -2.914847892000000e+01
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.098292043537571e+00, 0.000000000000000e+00, 1.754963559516844e+01, -8.822797694696827e+01, 2.300669701594213e+05, 0.000000000000000e+00, 5.735655468000000e+00, -2.883508724000000e+01
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 1.099536798809710e+00, 0.000000000000000e+00, 2.361851696020953e+01, -8.814550510420939e+01, 2.304287934852648e+05, 0.000000000000000e+00, 7.609279926000000e+00, -2.839821930000000e+01
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 1.100423897613383e+00, 0.000000000000000e+00, 2.973604579011574e+01, -8.759956597268764e+01, 2.307290731350130e+05, 0.000000000000000e+00, 9.450320280000000e+00, -2.783974580000000e+01
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 1.100693357114312e+00, 0.000000000000000e+00, 3.605467857839311e+01, -8.704369424254665e+01, 2.309152698277225e+05, 0.000000000000000e+00, 1.125089291200000e+01, -2.716205826000000e+01
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 1.101365811822115e+00, 0.000000000000000e+00, 4.259599942468596e+01, -8.637614230660846e+01, 2.311940833577288e+05, 0.000000000000000e+00, 1.300328749200000e+01, -2.636805860000000e+01
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 1.102055339663887e+00, 0.000000000000000e+00, 4.917907164252831e+01, -8.518065073893511e+01, 2.314730392520422e+05, 0.000000000000000e+00, 1.470000000000000e+01, -2.546114688000000e+01
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 1.102542153344374e+00, 0.000000000000000e+00, 5.558824876893031e+01, -8.319369307828512e+01, 2.317046063023583e+05, 0.000000000000000e+00, 1.633376485000000e+01, -2.444520660000000e+01
