"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 1.292579501140603e+01, 1.181380613115284e-13, 1.409661120680884e+04, -4.310819278742846e+05, 7.566329247445663e+09, 0.000000000000000e+00, 0.000000000000000e+00, -2.940000000000000e+01
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 3.431529260620207e+00, 0.000000000000000e+00, 8.335254885933453e+03, -1.271714124355870e+05, 2.377558246775321e+09, 0.000000000000000e+00, 1.922851999400000e+00, -2.933705234000000e+01
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 5.651340440455532e+00, 0.000000000000000e+00, -8.351268589106860e+02, 6.343418266157244e+03, 4.375060191105692e+06, 0.000000000000000e+00, 3.837470052000000e+00, -2.914847892000000e+01
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.007231934332455e+03, 0.000000000000000e+00, -4.450359814505763e+05, 2.237346999236995e+06, 2.810288464693459e+09, 0.000000000000000e+00, 5.735655468000000e+00, -2.883508724000000e+01
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 2.333919648295688e+02, 0.000000000000000e+00, -1.322735496233961e+05, 4.936516059450780e+05, 5.698095201436062e+08, 0.000000000000000e+00, 7.609279926000000e+00, -2.839821930000000e+01
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 4.377508207974804e+00, 0.000000000000000e+00, -7.773891802543664e+02, 2.290114671227631e+03, 7.128024829332515e+05, 0.000000000000000e+00, 9.450320280000000e+00, -2.783974580000000e+01
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 7.714372363373364e+00, 0.000000000000000e+00, -1.932470621457576e+01, 4.665396882208700e+01, 9.378274355617647e+04, 0.000000000000000e+00, 1.125089291200000e+01, -2.716205826000000e+01
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 2.735250910719959e+00, 0.000000000000000e+00, -3.069570982509199e+02, 6.224474220420152e+02, 9.436242654174447e+04, 0.000000000000000e+00, 1.300328749200000e+01, -2.636805860000000e+01
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 1.669504920959188e+00, 0.000000000000000e+00, -1.407514158207663e+02, 2.437886033006566e+02, 6.510810038887017e+04, 0.000000000000000e+00, 1.470000000000000e+01, -2.546114688000000e+01
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 6.371097219811780e-02, 0.000000000000000e+00, 8.356350440418334e+00, -1.250616215538167e+01, 7.839981526009613e+03, 0.000000000000000e+00, 1.633376485000000e+01, -2.444520660000000e+01
10, -2.500000000000000e-02, 1.166229410000000e-02, 8.948793005999999e-03, 2.844788109844839e-02, 0.000000000000000e+00, 1.807324987655567e+00, -2.355351782361294e+00, 9.765531471278376e+04, 0.000000000000000e+00, 1.789758601200000e+01, -2.332458820000000e+01
11, -2.500000000000000e-02, 1.105204517000000e-02, 9.692383482000000e-03, 1.572382177734319e-02, -9.932552874768730e-15, 3.108539075708557e+01, -3.544609459470755e+01, 6.006203169979689e+05, 0.000000000000000e+00, 1.938476696400000e+01, -2.210409034000000e+01
12, -2.500000000000000e-02, 1.039446968000000e-02, 1.039446968000000e-02, 4.843018210456592e+01, 0.000000000000000e+00, 1.808623447670369e+04, -1.924381050579014e+04, 2.552939351198508e+07, 0.000000000000000e+00, 2.078893936000000e+01, -2.078893936000000e+01
13, -2.500000000000000e-02, 1.697500000000000e-02, 0.000000000000000e+00, 1.487145203998625e-01, 1.058042890472676e-109, -3.069952002154931e+02, -1.165905564420678e+01, 3.181070114633783e+05, 0.000000000000000e+00, 0.000000000000000e+00, -3.395000000000000e+01
14, -2.500000000000000e-02, 1.693865522000000e-02, 1.110218119000000e-03, 4.348957023955352e-03, 0.000000000000000e+00, -2.677713704892905e+01, -8.563723421474643e+01, 9.392900394200404e+05, 0.000000000000000e+00, 2.220436238000000e+00, -3.387731044000000e+01
15, -2.500000000000000e-02, 1.682977652000000e-02, 2.215682113000000e-03, 2.114078512512893e-02, 0.000000000000000e+00, -1.900471070219533e+02, -3.286027917615708e+02, 7.129656848081526e+06, 0.000000000000000e+00, 4.431364226000000e+00, -3.365955304000000e+01
16, -2.500000000000000e-02, 1.664883013000000e-02, 3.311658216000000e-03, 1.331476027124397e-01, 0.000000000000000e+00, -8.860124866177786e+02, 6.751915927676956e+02, 4.689985113555459e+06, 0.000000000000000e+00, 6.623316432000000e+00, -3.329766026000000e+01
17, -2.500000000000000e-02, 1.639659090000000e-02, 4.393453291000000e-03, 2.093560475954622e+00, 0.000000000000000e+00, -4.849791500476801e+03, 3.389391175814424e+03, 8.361479929718379e+06, 0.000000000000000e+00, 8.786906582000000e+00, -3.279318180000000e+01
18, -2.500000000000000e-02, 1.607413895000000e-02, 5.456434924000000e-03, 3.109517686158500e+00, -0.000000000000000e+00, -5.213071789554554e+03, 5.799656929530638e+03, 9.781178775293518e+06, 0.000000000000000e+00, 1.091286984800000e+01, -3.214827790000000e+01
19, -2.500000000000000e-02, 1.568285506000000e-02, 6.496051264000000e-03, 1.901408146102201e+00, 0.000000000000000e+00, -9.581715700419737e+02, 9.702486085621721e+02, 4.953873437306650e+05, 0.000000000000000e+00, 1.299210252800000e+01, -3.136571012000000e+01
20, -2.500000000000000e-02, 1.522441479000000e-02, 7.507850516000000e-03, 1.435818700317181e+00, 7.010459761423902e-15, -7.205523642267135e+02, 1.228242882530447e+03, 7.351630898036937e+05, 0.000000000000000e+00, 1.501570103200000e+01, -3.044882958000000e+01
21, -2.500000000000000e-02, 1.470078123000000e-02, 8.487500000000000e-03, 1.026620551743627e-01, 0.000000000000000e+00, 4.094186799852453e+01, 9.475801678385481e+01, 5.289449985177525e+04, 0.000000000000000e+00, 1.697500000000000e+01, -2.940156246000000e+01
22, -2.500000000000000e-02, 1.411419667000000e-02, 9.430804706000001e-03, 3.133135506103682e-01, 0.000000000000000e+00, 2.632177139829848e+01, -7.035351607394658e+01, 1.370324305942499e+04, 0.000000000000000e+00, 1.886160941200000e+01, -2.822839334000000e+01
23, -2.500000000000000e-02, 1.346717295000000e-02, 1.033372526000000e-02, 5.521063626375158e-01, 0.000000000000000e+00, 2.333977682843592e+02, -4.667688871627856e+02, 6.959712126149272e+05, 0.000000000000000e+00, 2.066745052000000e+01, -2.693434590000000e+01
24, -2.500000000000000e-02, 1.276248073000000e-02, 1.119239521000000e-02, 3.298590257809070e+00, 0.000000000000000e+00, 2.025819887340895e+03, -3.088307058276369e+03, 1.444119703444830e+07, 0.000000000000000e+00, 2.238479042000000e+01, -2.552496146000000e+01
25, -2.500000000000000e-02, 1.200313761000000e-02, 1.200313761000000e-02, 1.629052249648004e+00, 0.000000000000000e+00, -2.089017716306356e+02, 5.676465031256351e+03, 9.904822475584131e+06, 0.000000000000000e+00, 2.400627522000000e+01, -2.400627522000000e+01
26, -2.500000000000000e-02, 1.925000000000000e-02, 0.000000000000000e+00, 1.342065578616041e+02, 0.000000000000000e+00, 7.246557211909647e+04, 3.393050714501293e+04, 4.571568200822554e+07, 0.000000000000000e+00, 0.000000000000000e+00, -3.850000000000000e+01
27, -2.500000000000000e-02, 1.920878427000000e-02, 1.259010238000000e-03, 1.759941646207374e-01, 0.000000000000000e+00, 1.702703149520796e+02, -2.941584838643432e+02, 3.282468576161946e+05, 0.000000000000000e+00, 2.518020476000000e+00, -3.841756854000000e+01
28, -2.500000000000000e-02, 1.908531358000000e-02, 2.512629200000000e-03, 1.064316151801767e-01, -6.542434911838563e-16, -4.463617906002561e+01, 1.769635145412838e+02, 4.100033670745368e+05, 0.000000000000000e+00, 5.025258399999999e+00, -3.817062716000000e+01
29, -2.500000000000000e-02, 1.888011665000000e-02, 3.755488699000000e-03, 7.778278192401597e+02, 0.000000000000000e+00, -2.941390058680592e+06, 1.458452631141227e+06, 8.313810324225160e+09, 0.000000000000000e+00, 7.510977398000001e+00, -3.776023330000000e+01
30, -2.500000000000000e-02, 1.859407216000000e-02, 4.982266618000000e-03, 3.314052149975328e+01, 0.000000000000000e+00, 1.040173836638533e+05, 3.548463021998432e+05, 4.335854129675470e+09, 0.000000000000000e+00, 9.964533235999999e+00, -3.718814432000000e+01
31, -2.500000000000000e-02, 1.822840499000000e-02, 6.187709707000000e-03, 2.793078328786747e+01, 0.000000000000000e+00, -4.420571840678990e+04, 1.218874316497769e+05, 1.758479963876302e+09, 0.000000000000000e+00, 1.237541941400000e+01, -3.645680998000000e+01
32, -2.500000000000000e-02, 1.778468100000000e-02, 7.366656073000000e-03, 2.183123569314703e+01, 0.000000000000000e+00, 7.792388583705401e+04, 2.550431381772160e+05, 1.640241642840099e+09, 0.000000000000000e+00, 1.473331214600000e+01, -3.556936200000000e+01
33, -2.500000000000000e-02, 1.726480027000000e-02, 8.514057287000000e-03, 4.975921462078117e+01, 0.000000000000000e+00, -6.265196425568268e+03, 4.398573176195908e+05, 2.011136227325588e+09, 0.000000000000000e+00, 1.702811457400000e+01, -3.452960054000000e+01
34, -2.500000000000000e-02, 1.667098902000000e-02, 9.625000000000000e-03, 5.647027898460460e+00, 8.781684510622117e-14, -6.836078607993679e+03, 2.280466668578605e+04, 6.130227750681021e+07, 0.000000000000000e+00, 1.925000000000000e+01, -3.334197804000000e+01
35, -2.500000000000000e-02, 1.600579004000000e-02, 1.069472699000000e-02, 3.014842860700003e+00, 0.000000000000000e+00, -2.295016893264579e+03, 5.041395298322267e+03, 5.103208835761549e+06, 0.000000000000000e+00, 2.138945398000000e+01, -3.201158007999999e+01
36, -2.500000000000000e-02, 1.527205180000000e-02, 1.171865751000000e-02, 4.223318975616117e-01, 0.000000000000000e+00, -6.906257821477000e+03, 3.019422435184551e+03, 7.288708509815167e+07, 0.000000000000000e+00, 2.343731502000000e+01, -3.054410360000000e+01
37, -2.500000000000000e-02, 1.447291629000000e-02, 1.269240694000000e-02, 6.065944293594636e-01, 0.000000000000000e+00, -8.763816080695509e+03, -6.231927127821297e+03, 9.574824166830872e+07, 0.000000000000000e+00, 2.538481388000000e+01, -2.894583258000000e+01
38, -2.500000000000000e-02, 1.361180554000000e-02, 1.361180554000000e-02, 1.417787614230672e+00, 0.000000000000000e+00, 3.911415305208616e+02, 1.039189402331857e+03, 5.418639807105304e+05, 0.000000000000000e+00, 2.722361108000000e+01, -2.722361108000000e+01
39, -2.500000000000000e-02, 2.152500000000000e-02, 0.000000000000000e+00, 1.141538899084251e+02, 0.000000000000000e+00, -4.788152371717424e+04, 1.498684559302637e+04, 1.298627520070146e+07, 0.000000000000000e+00, 0.000000000000000e+00, -4.305000000000000e+01
40, -2.500000000000000e-02, 2.147891332000000e-02, 1.407802357000000e-03, 1.487060987438225e+00, 0.000000000000000e+00, -7.522063073876973e+02, -1.436249540973304e+03, 9.499139667845924e+05, 0.000000000000000e+00, 2.815604714000000e+00, -4.295782664000000e+01
41, -2.500000000000000e-02, 2.134085064000000e-02, 2.809576288000000e-03, 5.654681861550292e-02, -1.097682871612197e-16, -3.890159229195354e+00, 2.212931026506361e+01, 1.847971160900515e+04, 0.000000000000000e+00, 5.619152576000000e+00, -4.268170128000000e+01
42, -2.500000000000000e-02, 2.111140316000000e-02, 4.199319181000000e-03, 1.818360349911449e-02, 1.699725211457441e-17, -1.744784037036357e+00, 3.840317749253111e+00, 2.164525829302421e+03, 0.000000000000000e+00, 8.398638362000000e+00, -4.222280632000000e+01
43, -2.500000000000000e-02, 2.079155341000000e-02, 5.571079946000000e-03, 2.692180308590613e-01, 0.000000000000000e+00, 3.884003157770435e+02, 1.647491484979071e+03, 1.231928206078988e+07, 0.000000000000000e+00, 1.114215989200000e+01, -4.158310682000000e+01
44, -2.500000000000000e-02, 2.038267104000000e-02, 6.918984491000000e-03, 2.816240827377726e-02, 0.000000000000000e+00, 1.058886030833003e+02, 2.403043608587133e+02, 1.224430520714642e+06, 0.000000000000000e+00, 1.383796898200000e+01, -4.076534208000000e+01
