"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 1.113172303309250e+00, 0.000000000000000e+00, -2.512884951814387e+00, -1.094836870108535e+02, 2.322876026658233e+05, 0.000000000000000e+00, 0.000000000000000e+00, -2.940000000000000e+01
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 1.101430634288077e+00, 0.000000000000000e+00, 6.649601080176933e+00, -1.014533061888362e+02, 2.304361926586949e+05, 0.000000000000000e+00, 1.922851999400000e+00, -2.933705234000000e+01
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 1.110482515297891e+00, 0.000000000000000e+00, 1.293974322929500e+01, -9.828710776840182e+01, 2.315101147963197e+05, 0.000000000000000e+00, 3.837470052000000e+00, -2.914847892000000e+01
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.114172671120292e+00, 0.000000000000000e+00, 1.893568365718262e+01, -9.519611120535600e+01, 2.321040702988278e+05, 0.000000000000000e+00, 5.735655468000000e+00, -2.883508724000000e+01
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 1.116167752217076e+00, 0.000000000000000e+00, 2.493728838968267e+01, -9.306722706718949e+01, 2.325968762995963e+05, 0.000000000000000e+00, 7.609279926000000e+00, -2.839821930000000e+01
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 1.116861296745277e+00, 0.000000000000000e+00, 3.105018812903935e+01, -9.147090445784850e+01, 2.330279904182448e+05, 0.000000000000000e+00, 9.450320280000000e+00, -2.783974580000000e+01
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 1.117146395116571e+00, 0.000000000000000e+00, 3.732480650779127e+01, -9.011005432613740e+01, 2.333828979813063e+05, 0.000000000000000e+00, 1.125089291200000e+01, -2.716205826000000e+01
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 1.117531338285089e+00, 0.000000000000000e+00, 4.378280333507848e+01, -8.878274257141693e+01, 2.336952716024602e+05, 0.000000000000000e+00, 1.300328749200000e+01, -2.636805860000000e+01
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 1.118106218694903e+00, 0.000000000000000e+00, 5.042125615063534e+01, -8.733217741874392e+01, 2.339672862616081e+05, 0.000000000000000e+00, 1.470000000000000e+01, -2.546114688000000e+01
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 1.119128639640793e+00, 0.000000000000000e+00, 5.723878831311651e+01, -8.566390005822583e+01, 2.342327964581298e+05, 0.000000000000000e+00, 1.633376485000000e+01, -2.444520660000000e+01
10, -2.500000000000000e-02, 1.166229410000000e-02, 8.948793005999999e-03, 1.120617599461519e+00, 0.000000000000000e+00, 6.416791121419833e+01, -8.362525007294219e+01, 2.344664418237916e+05, 0.000000000000000e+00, 1.789758601200000e+01, -2.332458820000000e+01
11, -2.500000000000000e-02, 1.105204517000000e-02, 9.692383482000000e-03, 1.123221366612999e+00, -4.315548603689683e-14, 7.100840438862045e+01, -8.096956672999222e+01, 2.348319463181456e+05, 0.000000000000000e+00, 1.938476696400000e+01, -2.210409034000000e+01
12, -2.500000000000000e-02, 1.039446968000000e-02, 1.039446968000000e-02, 1.113172303309250e+00, 0.000000000000000e+00, 7.563977952491044e+01, -7.919353550444961e+01, 2.322876026658233e+05, 0.000000000000000e+00, 2.078893936000000e+01, -2.078893936000000e+01
13, -2.500000000000000e-02, 1.697500000000000e-02, 0.000000000000000e+00, 1.107187453124672e+00, 0.000000000000000e+00, -1.628134631724303e+00, -4.155352927300336e+01, 2.297414201736405e+05, 0.000000000000000e+00, 0.000000000000000e+00, -3.395000000000000e+01
14, -2.500000000000000e-02, 1.693865522000000e-02, 1.110218119000000e-03, 1.109596759611071e+00, 0.000000000000000e+00, -2.619475216826532e+00, -4.330274145510693e+01, 2.302706223424273e+05, 0.000000000000000e+00, 2.220436238000000e+00, -3.387731044000000e+01
15, -2.500000000000000e-02, 1.682977652000000e-02, 2.215682113000000e-03, 1.112406908810024e+00, 0.000000000000000e+00, 2.063434074818730e+00, -4.275282535047919e+01, 2.310627420871874e+05, 0.000000000000000e+00, 4.431364226000000e+00, -3.365955304000000e+01
16, -2.500000000000000e-02, 1.664883013000000e-02, 3.311658216000000e-03, 1.112701224386307e+00, 0.000000000000000e+00, 6.354101897240158e+00, -4.142431306443920e+01, 2.311667419883817e+05, 0.000000000000000e+00, 6.623316432000000e+00, -3.329766026000000e+01
