"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 1.107681591119369e+00, -4.663704582163729e-14, 4.443687278753583e-15, -3.256590079895340e+01, 2.295529860976870e+05, 0.000000000000000e+00, 0.000000000000000e+00, -2.940000000000000e+01
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 1.107266250146759e+00, 0.000000000000000e+00, 2.124374500689965e+00, -3.241169155937896e+01, 2.295072699802417e+05, 0.000000000000000e+00, 1.922851999400000e+00, -2.933705234000000e+01
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 1.107310174162471e+00, 0.000000000000000e+00, 4.240498599707315e+00, -3.220978466779999e+01, 2.295213972694857e+05, 0.000000000000000e+00, 3.837470052000000e+00, -2.914847892000000e+01
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.107313653873640e+00, 0.000000000000000e+00, 6.337876754311328e+00, -3.186265809385416e+01, 2.295222130490303e+05, 0.000000000000000e+00, 5.735655468000000e+00, -2.883508724000000e+01
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 1.107327981945875e+00, 0.000000000000000e+00, 8.409489178473352e+00, -3.138464088790007e+01, 2.295264925829764e+05, 0.000000000000000e+00, 7.609279926000000e+00, -2.839821930000000e+01
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 1.107340025503916e+00, 0.000000000000000e+00, 1.044503983152030e+01, -3.077009510427749e+01, 2.295300490443789e+05, 0.000000000000000e+00, 9.450320280000000e+00, -2.783974580000000e+01
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 1.107353800883615e+00, 0.000000000000000e+00, 1.243616581572327e+01, -3.002356017939096e+01, 2.295341033973536e+05, 0.000000000000000e+00, 1.125089291200000e+01, -2.716205826000000e+01
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 1.107368446978384e+00, 0.000000000000000e+00, 1.437382089826425e+01, -2.914722542147792e+01, 2.295383869911545e+05, 0.000000000000000e+00, 1.300328749200000e+01, -2.636805860000000e+01
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 1.107379703333466e+00, 0.000000000000000e+00, 1.624992552206859e+01, -2.814569663313006e+01, 2.295416724726603e+05, 0.000000000000000e+00, 1.470000000000000e+01, -2.546114688000000e+01
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 1.107391409257540e+00, 0.000000000000000e+00, 1.805639768406276e+01, -2.702330882666352e+01, 2.295450772320668e+05, 0.000000000000000e+00, 1.633376485000000e+01, -2.444520660000000e+01
10, -2.500000000000000e-02, 1.166229410000000e-02, 8.948793005999999e-03, 1.107390770252754e+00, 0.000000000000000e+00, 1.978613810928043e+01, -2.578579721069255e+01, 2.295449460621539e+05, 0.000000000000000e+00, 1.789758601200000e+01, -2.332458820000000e+01
11, -2.500000000000000e-02, 1.105204517000000e-02, 9.692383482000000e-03, 1.107451060834404e+00, -4.663907683397380e-14, 2.142664556830389e+01, -2.443240665246256e+01, 2.295603873416415e+05, 0.000000000000000e+00, 1.938476696400000e+01, -2.210409034000000e+01
