"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 9.088858918323890e+00, -6.479407355338702e-14, 4.870969076356947e-15, -2.687174315475202e+02, 2.336335620025358e+05, 0.000000000000000e+00, 0.000000000000000e+00, -2.940000000000000e+01
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 2.908518633044528e-01, 0.000000000000000e+00, 8.183982992211808e-01, -1.248634508479288e+01, 2.315309516848091e+05, 0.000000000000000e+00, 1.922851999400000e+00, -2.933705234000000e+01
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 2.433405269982240e-01, 0.000000000000000e+00, 1.715097696056978e+00, -1.302746036968670e+01, 2.311125643130849e+05, 0.000000000000000e+00, 3.837470052000000e+00, -2.914847892000000e+01
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.862756591332957e-01, 0.000000000000000e+00, 2.339580645393904e+00, -1.176186626817704e+01, 2.309462010794585e+05, 0.000000000000000e+00, 5.735655468000000e+00, -2.883508724000000e+01
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 1.507802217701112e-01, 0.000000000000000e+00, 2.765405520882944e+00, -1.032063388759827e+01, 2.305668852829487e+05, 0.000000000000000e+00, 7.609279926000000e+00, -2.839821930000000e+01
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 1.211811957355465e-01, 0.000000000000000e+00, 2.902699515346484e+00, -8.551077016498631e+00, 2.304480522017810e+05, 0.000000000000000e+00, 9.450320280000000e+00, -2.783974580000000e+01
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 9.690979735705195e-02, 0.000000000000000e+00, 2.803194090201796e+00, -6.767509207269073e+00, 2.302249724806178e+05, 0.000000000000000e+00, 1.125089291200000e+01, -2.716205826000000e+01
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 7.563097304966390e-02, 0.000000000000000e+00, 2.415384172257247e+00, -4.897914587438976e+00, 2.301647107218595e+05, 0.000000000000000e+00, 1.300328749200000e+01, -2.636805860000000e+01
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 5.644571006332082e-02, 0.000000000000000e+00, 1.955484522049920e+00, -3.386998545264873e+00, 2.299591815971177e+05, 0.000000000000000e+00, 1.470000000000000e+01, -2.546114688000000e+01
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 3.932621324963613e-02, 0.000000000000000e+00, 1.374882574424326e+00, -2.057657176770728e+00, 2.299793684932698e+05, 0.000000000000000e+00, 1.633376485000000e+01, -2.444520660000000e+01
10, -2.500000000000000e-02, 1.166229410000000e-02, 8.948793005999999e-03, 2.442237510675132e-02, 0.000000000000000e+00, 8.623444913510842e-01, -1.123829221751061e+00, 2.297315648784063e+05, 0.000000000000000e+00, 1.789758601200000e+01, -2.332458820000000e+01
11, -2.500000000000000e-02, 1.105204517000000e-02, 9.692383482000000e-03, 1.282587145506387e-02, -4.897658953062269e-15, 3.567270673718266e-01, -4.067692601864187e-01, 2.298587521763049e+05, 0.000000000000000e+00, 1.938476696400000e+01, -2.210409034000000e+01
12, -2.500000000000000e-02, 1.039446968000000e-02, 1.039446968000000e-02, 5.977907435245575e-03, 0.000000000000000e+00, 1.250595487720271e-01, -1.250595487720276e-01, 2.296391208510283e+05, 0.000000000000000e+00, 2.078893936000000e+01, -2.078893936000000e+01
13, -2.500000000000000e-02, 1.697500000000000e-02, 0.000000000000000e+00, 7.702704646012386e+00, -6.486185463520252e-14, 1.181224236566425e+02, -2.630281328947769e+02, 2.369549359884287e+05, 0.000000000000000e+00, 0.000000000000000e+00, -3.395000000000000e+01
14, -2.500000000000000e-02, 1.693865522000000e-02, 1.110218119000000e-03, 2.990512146765820e-01, 0.000000000000000e+00, 9.651194357829388e+00, -1.310123165389492e+01, 2.314777061970473e+05, 0.000000000000000e+00, 2.220436238000000e+00, -3.387731044000000e+01
15, -2.500000000000000e-02, 1.682977652000000e-02, 2.215682113000000e-03, 2.570836696899756e-01, 0.000000000000000e+00, 7.550049074672278e+00, -1.343146218369710e+01, 2.310196828860487e+05, 0.000000000000000e+00, 4.431364226000000e+00, -3.365955304000000e+01
16, -2.500000000000000e-02, 1.664883013000000e-02, 3.311658216000000e-03, 2.011299005543657e-01, 0.000000000000000e+00, 5.741538416429266e+00, -1.188757872012868e+01, 2.308428499552618e+05, 0.000000000000000e+00, 6.623316432000000e+00, -3.329766026000000e+01
17, -2.500000000000000e-02, 1.639659090000000e-02, 4.393453291000000e-03, 1.649868212693044e-01, 0.000000000000000e+00, 4.686870074178917e+00, -1.034300125011747e+01, 2.304934799767182e+05, 0.000000000000000e+00, 8.786906582000000e+00, -3.279318180000000e+01
18, -2.500000000000000e-02, 1.607413895000000e-02, 5.456434924000000e-03, 1.331589720827909e-01, -1.590195197678499e-14, 3.631580047277651e+00, -8.771110929382717e+00, 2.303716000986223e+05, 0.000000000000000e+00, 1.091286984800000e+01, -3.214827790000000e+01
19, -2.500000000000000e-02, 1.568285506000000e-02, 6.496051264000000e-03, 1.060833025392520e-01, 0.000000000000000e+00, 2.879759924901772e+00, -6.983070797969143e+00, 2.300840637192052e+05, 0.000000000000000e+00, 1.299210252800000e+01, -3.136571012000000e+01
20, -2.500000000000000e-02, 1.522441479000000e-02, 7.507850516000000e-03, 8.202895222874829e-02, -1.246948525917067e-14, 2.027634329931739e+00, -5.371457859434427e+00, 2.300416910805487e+05, 0.000000000000000e+00, 1.501570103200000e+01, -3.044882958000000e+01
21, -2.500000000000000e-02, 1.470078123000000e-02, 8.487500000000000e-03, 6.033796607785204e-02, 0.000000000000000e+00, 1.443005722629572e+00, -3.745843818936517e+00, 2.297598744471230e+05, 0.000000000000000e+00, 1.697500000000000e+01, -2.940156246000000e+01
