"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, -2.521296116000000e-02, 4.913112014000000e-03, -1.386267187000000e-02, 2.124286142205504e+00, -3.276935458802667e+02, -1.444097305986016e+01, -6.166136422835903e+00, 4.615520158142286e+05, 0.000000000000000e+00, -1.052479306158547e+02, -3.730124157929695e+01
1, -2.521296116000000e-02, 5.038867655000000e-03, -1.381745830000000e-02, 2.118250869952865e+00, -3.325522152449436e+02, -1.536544577062148e+01, -4.433621452327090e+00, 4.617197451335532e+05, 0.000000000000000e+00, -1.049046609545023e+02, -3.825600131844674e+01
2, -2.521296116000000e-02, 5.225741463000000e-03, -1.374787137000000e-02, 2.121389439658507e+00, -3.360665069157488e+02, -1.679038620724722e+01, -4.984373689259640e+00, 4.615947231293053e+05, 0.000000000000000e+00, -1.043763443032036e+02, -3.967478131719056e+01
3, -2.521296116000000e-02, 5.494725896000000e-03, -1.364259244000000e-02, 2.126519229860471e+00, -3.365670565713829e+02, -1.629118193471080e+01, -4.880857752482223e+00, 4.581402575293109e+05, 0.000000000000000e+00, -1.035770474848226e+02, -4.171696014149025e+01
4, -2.521296116000000e-02, 5.864541816000000e-03, -1.348775335000000e-02, 2.145596887996056e+00, -3.340754858164060e+02, -1.414665123179257e+01, -4.209469290228982e+00, 4.534642428495315e+05, 0.000000000000000e+00, -1.024014809018604e+02, -4.452466998659088e+01
5, -2.521296116000000e-02, 6.341911768000000e-03, -1.326998478000000e-02, 2.203903253426036e+00, -3.337541713297442e+02, -2.396340835170090e+00, 1.056291128551729e+00, 4.486190430614176e+05, 0.000000000000000e+00, -1.007481422409869e+02, -4.814894963898013e+01
6, -2.521296116000000e-02, 6.909906270000000e-03, -1.298327911000000e-02, 2.295148254124586e+00, -3.312125355346350e+02, 8.943501649987962e+00, 6.861007958276633e+00, 4.409271366323192e+05, 0.000000000000000e+00, -9.857142055657386e+01, -5.246126738676239e+01
7, -2.521296116000000e-02, 7.523181064000000e-03, -1.263780391000000e-02, 2.403501964127570e+00, -3.256192383874071e+02, 4.203983046566249e+00, 3.836922578885321e+00, 4.334419819339619e+05, 0.000000000000000e+00, -9.594850989259241e+01, -5.711736136147786e+01
8, -2.521296116000000e-02, 8.119224162000000e-03, -1.226338208000000e-02, 2.444826492156226e+00, -3.220690070573434e+02, -1.197865414664799e+01, -7.735310266992078e+00, 4.297134225673729e+05, 0.000000000000000e+00, -9.310583113957497e+01, -6.164262916054631e+01
9, -2.521296116000000e-02, 8.642019872999999e-03, -1.190074929000000e-02, 2.320363967999266e+00, -3.135122666532154e+02, -3.025003689985411e+01, -2.275214452041840e+01, 4.250705583849640e+05, 0.000000000000000e+00, -9.035265692620064e+01, -6.561178945183686e+01
10, -2.521296116000000e-02, 9.061014648000000e-03, -1.158491927000000e-02, 2.183868396355169e+00, -3.028547869209930e+02, -4.408013410253740e+01, -3.571512429321636e+01, 4.260228177772568e+05, 0.000000000000000e+00, -8.795481787013100e+01, -6.879287412448487e+01
11, -2.521296116000000e-02, 9.373419342000000e-03, -1.133363803000000e-02, 2.089265393257969e+00, -2.963164753515549e+02, -4.953179270344397e+01, -4.224456961656875e+01, 4.284841351498187e+05, 0.000000000000000e+00, -8.604704491260908e+01, -7.116470748146811e+01
12, -2.521296116000000e-02, 9.594191102999999e-03, -1.114736911000000e-02, 2.040498702391044e+00, -2.941443988792769e+02, -5.131265501034291e+01, -4.529945545988777e+01, 4.316464289335814e+05, 0.000000000000000e+00, -8.463285733377184e+01, -7.284084691559497e+01
13, -2.521296116000000e-02, 9.744445175000000e-03, -1.101626658000000e-02, 2.018028014184734e+00, -2.944818331001723e+02, -5.164536262339314e+01, -4.662666682677474e+01, 4.345705873287810e+05, 0.000000000000000e+00, -8.363750303913088e+01, -7.398160320651088e+01
14, -2.521296116000000e-02, 9.844138484000000e-03, -1.092727224000000e-02, 2.012480777155683e+00, -2.963391897565921e+02, -5.156907212121365e+01, -4.671198932213294e+01, 4.369972973771613e+05, 0.000000000000000e+00, -8.296184179508214e+01, -7.473849297255978e+01
15, -2.521296116000000e-02, 9.943019060999999e-03, -1.083737574000000e-02, 2.016813551921344e+00, -2.991742694941029e+02, -5.023817883050521e+01, -4.559621603565523e+01, 4.395241078650937e+05, 0.000000000000000e+00, -8.227933118793983e+01, -7.548921232918491e+01
16, -2.521296116000000e-02, 1.008903818000000e-02, -1.070157229000000e-02, 2.026487012292432e+00, -3.026960764312561e+02, -4.564304557769619e+01, -4.213644643294423e+01, 4.424229889829090e+05, 0.000000000000000e+00, -8.124828665215124e+01, -7.659781608531641e+01
17, -2.521296116000000e-02, 1.029725889000000e-02, -1.050137136000000e-02, 2.054625226113814e+00, -3.062302804144853e+02, -3.642312851570937e+01, -3.419533678014020e+01, 4.449674229811516e+05, 0.000000000000000e+00, -7.972832471498178e+01, -7.817866565344976e+01
18, -2.521296116000000e-02, 1.057966990000000e-02, -1.021679626000000e-02, 2.131160595463373e+00, -3.108864609449583e+02, -2.282706964903643e+01, -2.127232103260065e+01, 4.469963459365343e+05, 0.000000000000000e+00, -7.756777870619857e+01, -8.032278149665578e+01
19, -2.521296116000000e-02, 1.093736580000000e-02, -9.832922775000001e-03, 2.234218022060631e+00, -3.168902767682231e+02, -1.004559167719545e+01, -8.194265133332099e+00, 4.489359406261929e+05, 0.000000000000000e+00, -7.465334126632962e+01, -8.303847394164876e+01
20, -2.521296116000000e-02, 1.135240679000000e-02, -9.350679182999999e-03, 2.311048542431578e+00, -3.207206019727013e+02, -3.345983595940412e+00, -1.296863544473799e+00, 4.494951685019695e+05, 0.000000000000000e+00, -7.099206005108314e+01, -8.618954075819714e+01
21, -2.521296116000000e-02, 1.178679118000000e-02, -8.796811618000000e-03, 2.331604113509037e+00, -3.224171054645852e+02, -1.680377588168124e+00, -5.878241395495150e-01, 4.499599762524819e+05, 0.000000000000000e+00, -6.678699658293280e+01, -8.948746619191300e+01
22, -2.521296116000000e-02, 1.219417817000000e-02, -8.222795133000000e-03, 2.292773277062747e+00, -3.214234867793497e+02, -2.336668163256143e+00, -3.257819948380021e+00, 4.502355784266491e+05, 0.000000000000000e+00, -6.242895884300923e+01, -9.258042244590257e+01
23, -2.521296116000000e-02, 1.253840486000000e-02, -7.687700859000000e-03, 2.228068634967022e+00, -3.196119499299882e+02, -3.322228671986642e+00, -6.343002550669917e+00, 4.518795777556634e+05, 0.000000000000000e+00, -5.836642562062451e+01, -9.519385419448550e+01
24, -2.521296116000000e-02, 1.280464265000000e-02, -7.235569617000000e-03, 2.174060093720258e+00, -3.189113238514170e+02, -3.669424616269717e+00, -7.887150842585704e+00, 4.543439468142898e+05, 0.000000000000000e+00, -5.493376285304822e+01, -9.721518000469084e+01
25, -2.521296116000000e-02, 1.299710578000000e-02, -6.883863914000000e-03, 2.145176867040866e+00, -3.194428184425212e+02, -3.827541139437789e+00, -8.503861794896842e+00, 4.567282518005936e+05, 0.000000000000000e+00, -5.226354907509313e+01, -9.867639515443312e+01
26, -2.521296116000000e-02, 1.312979026000000e-02, -6.627288181000000e-03, 2.135901044732465e+00, -3.226164607142920e+02, -4.209090692988959e+00, -9.220240162265519e+00, 4.591113146659692e+05, 0.000000000000000e+00, -5.031557936205858e+01, -9.968375990170537e+01
27, -2.521296116000000e-02, 1.321843616000000e-02, -6.448665489000000e-03, 2.140328395859397e+00, -3.260819464490464e+02, -4.919524026811422e+00, -1.049328614952052e+01, 4.606576595966541e+05, 0.000000000000000e+00, -4.895944333934010e+01, -1.003567757257884e+02
28, -2.521296116000000e-02, 1.327648411000000e-02, -6.328294462000000e-03, 2.124286142205504e+00, -3.276935458802667e+02, -5.851193099250737e+00, -1.457142685586799e+01, 4.615520158142286e+05, 0.000000000000000e+00, -4.804556457075498e+01, -1.007974863385248e+02
29, -2.521296116000000e-02, 5.068382427000000e-03, -1.411117372000000e-02, 1.806601376563539e+00, -2.916800718728479e+02, -2.120247701924560e+01, 1.131987410712886e+01, 4.583576323829885e+05, 0.000000000000000e+00, -1.071346019380918e+02, -3.848008284506220e+01
30, -2.521296116000000e-02, 5.196389585000000e-03, -1.406453908000000e-02, 1.817514183080663e+00, -2.945455709378494e+02, -2.024511749088651e+01, 1.267730326805396e+01, 4.590257072392218e+05, 0.000000000000000e+00, -1.067805432543804e+02, -3.945193651150239e+01
31, -2.521296116000000e-02, 5.386598833000000e-03, -1.399279376000000e-02, 1.820382345578538e+00, -2.952028475591747e+02, -2.015274263643327e+01, 1.457002119807739e+01, 4.582734422787708e+05, 0.000000000000000e+00, -1.062358397129431e+02, -4.089603977844337e+01
32, -2.521296116000000e-02, 5.660362235000000e-03, -1.388430854000000e-02, 1.817802563163357e+00, -2.934951857908434e+02, -1.908501038548464e+01, 1.883932460287042e+01, 4.562243738772055e+05, 0.000000000000000e+00, -1.054122001566960e+02, -4.297450140611922e+01
33, -2.521296116000000e-02, 6.036705093000000e-03, -1.372486488000000e-02, 1.815178478860225e+00, -2.906459829006870e+02, -1.204973758879898e+01, 2.358081313550600e+01, 4.535752325379628e+05, 0.000000000000000e+00, -1.042016748393411e+02, -4.583176495372395e+01
34, -2.521296116000000e-02, 6.522423146000000e-03, -1.350080444000000e-02, 1.815673908088745e+00, -2.887596667707015e+02, -9.719051817331459e-02, 2.549029825067914e+01, 4.494599501165140e+05, 0.000000000000000e+00, -1.025005671550490e+02, -4.951942490992920e+01
